 	a66	a87	a23	a99	a54	a92	a85	a47	a36	a47	a37	a93	a44	a53	a93	a56	a47	a61	a62	a47	a43	a75	a85	a98	a85	a47	a92	a37	a26	a82	a10	a87	a23	a99	a97	</S>
le	0.0325089	0.0547094	0.0379153	0.0571566	0.0953318	0.10243	0.111909	0.0664392	0.0378342	0.0167161	0.0128474	0.00714631	0.00726251	0.00899993	0.0125009	0.01383	0.018895	0.00970101	0.0286228	0.0234	0.0334217	0.0261665	0.0117723	0.0104885	0.0194148	0.00931074	0.00881967	0.0124065	0.0115549	0.0109262	0.00810278	0.0093062	0.00871994	0.0198438	0.00765372	0.0359358
féticheur	0.00222928	0.00623987	0.00916478	0.0205821	0.0377404	0.131143	0.082395	0.068357	0.0877518	0.0981603	0.0410647	0.0666213	0.0873649	0.0659522	0.0710025	0.0347121	0.0326097	0.0171044	0.0100483	0.00824371	0.00326659	0.00373143	0.00270714	0.00232309	0.00155609	0.00124321	0.00138182	0.00125294	0.000895923	0.000355795	0.000743591	0.000241469	0.000377708	0.000121518	0.0011705	0.00014396
lui	0.0207311	0.0228175	0.0306025	0.0322884	0.059447	0.0949768	0.0786271	0.0764174	0.0776043	0.0638628	0.0619964	0.0648065	0.0590844	0.0770072	0.0465472	0.0334199	0.0200805	0.019602	0.0118999	0.010237	0.0044936	0.00544055	0.0046795	0.00437718	0.00446564	0.00188223	0.00203355	0.00101296	0.00119353	0.000899742	0.00126316	0.0009829	0.0008118	0.00124977	0.00221113	0.000946721
a	0.013143	0.00768652	0.00644932	0.00453018	0.00753048	0.0134837	0.0162287	0.022313	0.0418137	0.0655805	0.0761704	0.0829929	0.0722706	0.0624407	0.0623124	0.0918929	0.0500808	0.0778051	0.0341921	0.0228752	0.011211	0.0159094	0.0142756	0.0128312	0.0122098	0.0213916	0.0065706	0.0100074	0.00849003	0.00801377	0.00766982	0.0102983	0.00818834	0.00798313	0.00692188	0.00623603
attaché	0.0379202	0.0453473	0.0497886	0.0325591	0.022518	0.018553	0.0160681	0.0167173	0.0157772	0.0288001	0.0393685	0.0383158	0.0231705	0.0306436	0.0323569	0.0701576	0.040543	0.0396074	0.0713678	0.0311318	0.0375426	0.0401744	0.0166475	0.0175949	0.0310036	0.0199913	0.0158933	0.0142435	0.013095	0.0109335	0.00622607	0.0171535	0.00707487	0.0213348	0.0069824	0.0233972
une	0.0357121	0.0263615	0.0214795	0.0239921	0.0180278	0.0172754	0.0211741	0.0142551	0.0221224	0.0255525	0.0378604	0.0286011	0.0111221	0.0111143	0.00895201	0.0171585	0.0108409	0.00959343	0.0161012	0.0152864	0.00889272	0.011101	0.00776925	0.01035	0.0218831	0.0394273	0.0474909	0.045339	0.0490559	0.057402	0.053633	0.0639188	0.0502407	0.0500755	0.0378621	0.0529756
amulette	0.0265536	0.0130298	0.0220032	0.0142823	0.00538563	0.00512476	0.00829651	0.0105206	0.0187503	0.0271896	0.0340117	0.0395182	0.0357983	0.0414876	0.0357707	0.0569286	0.0267533	0.0418356	0.0208484	0.0198203	0.0185644	0.0248023	0.027969	0.0289287	0.0338187	0.0481658	0.0455574	0.054887	0.0444054	0.0263367	0.0224416	0.0333295	0.0230513	0.0277809	0.0200806	0.0159715
pour	0.0415831	0.026822	0.0270476	0.0203217	0.0179002	0.0204241	0.0210719	0.0213579	0.0194256	0.0283183	0.0294193	0.029226	0.0224417	0.0222775	0.0296751	0.0513528	0.0261774	0.0380469	0.0464422	0.0361064	0.0344884	0.0392125	0.030566	0.0191617	0.0218592	0.0248543	0.0191957	0.0395922	0.0274971	0.0168781	0.0324902	0.0304968	0.0232126	0.0234298	0.0212289	0.0203984
le	0.0499604	0.0377651	0.0384695	0.0351632	0.0201312	0.0245398	0.0134371	0.0144502	0.0149266	0.0198401	0.0291644	0.0254339	0.019847	0.0226391	0.0243112	0.0352526	0.0258178	0.0243669	0.0311861	0.0274618	0.0224893	0.0256303	0.0305777	0.0294309	0.0343664	0.0245829	0.0272908	0.0249547	0.0285677	0.0258838	0.0205134	0.038821	0.0283394	0.0366377	0.0295809	0.0381691
protéger	0.0391369	0.0308323	0.0404965	0.0292257	0.0187038	0.017951	0.0253533	0.0164123	0.0241679	0.0256636	0.0296318	0.0190673	0.0221598	0.0240305	0.0339618	0.0467853	0.0467409	0.0403394	0.0390567	0.0451482	0.0357483	0.031917	0.0251344	0.0200802	0.032449	0.0176423	0.0251101	0.0214072	0.0240122	0.0165921	0.0199342	0.0223788	0.0252341	0.0232735	0.0260633	0.0181586
