 	a66	a87	a23	a79	a20	a32	a90	a94	a4	a57	a53	a15	a20	a44	a90	a79	a44	a7	a75	a6	a37	a26	a82	a87	a23	a87	</S>
il	0.0514647	0.0403395	0.059363	0.0474801	0.0724482	0.0392092	0.0389999	0.0351133	0.0420189	0.0253903	0.0252224	0.0210766	0.0218343	0.0113206	0.00819563	0.00764322	0.00722656	0.0175936	0.0124402	0.0404934	0.0329212	0.0443346	0.0514534	0.0478226	0.0458706	0.0398735	0.11285
a	0.0170341	0.0151278	0.0205943	0.0253715	0.0280142	0.018361	0.0177131	0.0159965	0.013752	0.0303858	0.0315502	0.0398552	0.0488461	0.042201	0.0417852	0.029353	0.0252877	0.0270587	0.0311569	0.0630312	0.0709775	0.0612999	0.0684064	0.0516642	0.0542057	0.0752735	0.0356969
acheté	0.0289834	0.0162844	0.0206967	0.0244182	0.0242481	0.0190915	0.0143489	0.0164302	0.0260089	0.0220757	0.0210965	0.0234561	0.0281387	0.0285957	0.0334896	0.0284523	0.052025	0.0285505	0.0425319	0.0469407	0.021884	0.0551722	0.0447562	0.0847717	0.0574698	0.0789653	0.111118
ce	0.0513256	0.0664367	0.0729962	0.0588118	0.0243072	0.0228176	0.0154229	0.0206753	0.0211869	0.0365962	0.0307308	0.044279	0.0187912	0.0466462	0.0667263	0.0736306	0.0922716	0.0505206	0.0414207	0.0234294	0.0155127	0.0176624	0.0156098	0.0151253	0.0135929	0.011708	0.0317659
noyau	0.134275	0.0584886	0.0448953	0.0296538	0.0287829	0.0331922	0.0306535	0.0479481	0.0183021	0.0262298	0.0222753	0.0121745	0.0186437	0.0196864	0.0267993	0.0149304	0.0215595	0.0209441	0.027855	0.0321342	0.0215039	0.0367476	0.0487417	0.0599839	0.0576192	0.049858	0.0561219
de	0.059148	0.0347008	0.0270534	0.0132513	0.0108605	0.00539828	0.00796368	0.00381448	0.00629919	0.00472284	0.0138807	0.00864242	0.0142048	0.00594212	0.00839107	0.0093313	0.0147407	0.0170724	0.0389556	0.0440192	0.0526386	0.0723075	0.0833755	0.115581	0.118589	0.0856196	0.123496
palmier	0.084517	0.0316807	0.0184483	0.0107841	0.00769476	0.00671158	0.00613418	0.00598567	0.00649727	0.0070327	0.00918581	0.00516211	0.00854988	0.00550049	0.0061802	0.0146516	0.0136886	0.0262488	0.0488539	0.0612654	0.0651015	0.0771985	0.0737066	0.097747	0.0916532	0.124865	0.0849546
au	0.127718	0.073223	0.0458336	0.0310266	0.0154262	0.0118937	0.0135515	0.0168471	0.0263396	0.0257946	0.0240617	0.0108648	0.0131785	0.00697304	0.00916687	0.0321877	0.0276541	0.0337095	0.0383684	0.0382957	0.0485167	0.0530618	0.0439721	0.0640282	0.0488038	0.0535047	0.0659988
marché	0.0609037	0.0517182	0.0602903	0.055031	0.0419462	0.0235375	0.0298955	0.0344491	0.0466871	0.0275049	0.0299864	0.0160603	0.0177427	0.0198168	0.0208245	0.0236414	0.0292859	0.0372581	0.0361598	0.0272248	0.0263592	0.0296288	0.0304722	0.0500588	0.0377806	0.0394623	0.0962739
</S>	0.0413831	0.0320122	0.0347554	0.0239925	0.0306521	0.0137683	0.0177463	0.0141107	0.017961	0.00887726	0.0169604	0.0122258	0.0103275	0.0108982	0.013118	0.0115259	0.0149326	0.0302887	0.0266397	0.0317054	0.0387696	0.0370346	0.0665499	0.0757174	0.0857531	0.0733714	0.208923
