 	a66	a87	a23	a99	a75	a6	a85	a5	a12	a21	a85	a47	a36	a26	a47	a85	a5	a6	a36	a26	a57	a87	a23	a40	a6	a37	a12	a47	a61	a88	a62	a21	a92	a47	a36	a26	a57	a87	a23	a87	</S>
papa	0.0622676	0.0459363	0.0347138	0.0205164	0.024641	0.060975	0.130348	0.105231	0.0252538	0.0422952	0.0146794	0.0155751	0.00861655	0.00891731	0.00902402	0.0171778	0.0232437	0.0129995	0.0196129	0.00844226	0.0181961	0.0128247	0.0127799	0.0119409	0.00956004	0.0132294	0.0102961	0.0138285	0.0101234	0.00707318	0.0140359	0.0169247	0.0217208	0.0198141	0.0122632	0.0152791	0.0126281	0.0117881	0.00948276	0.0157883	0.0399562
a	0.0289006	0.0268545	0.0455937	0.05649	0.0560973	0.0653478	0.04467	0.0457619	0.0402431	0.0325101	0.0328061	0.0342967	0.0343459	0.0402936	0.0325747	0.0266541	0.0237905	0.0182446	0.00850253	0.0168767	0.016134	0.0158341	0.00888226	0.00684917	0.00841054	0.00656725	0.00851501	0.00499073	0.00984583	0.0112466	0.00911901	0.0122596	0.0118746	0.0190484	0.0239073	0.0162076	0.0205904	0.0171403	0.0214662	0.0257038	0.0145528
apporté	0.0317713	0.0224554	0.0185782	0.023472	0.0166895	0.0182969	0.0154754	0.0152214	0.0268906	0.0304057	0.0241262	0.0226183	0.0281001	0.0446373	0.0286142	0.0160435	0.0115508	0.0134026	0.01448	0.021955	0.0209721	0.0168293	0.015584	0.0181875	0.0135812	0.0137261	0.0130226	0.00730516	0.0114176	0.0110517	0.0109843	0.0142856	0.0178551	0.0247574	0.0364926	0.0392799	0.036212	0.0431444	0.051345	0.0880517	0.0511303
les	0.0686701	0.0467234	0.0186163	0.0182984	0.00954137	0.0110292	0.0094948	0.0114396	0.0117542	0.0146127	0.011389	0.0107136	0.0100189	0.0115475	0.010969	0.0144577	0.0103405	0.00992721	0.0135666	0.0149628	0.0146998	0.0114562	0.0107806	0.0143325	0.0153026	0.0154231	0.0151857	0.0154603	0.0181195	0.0264904	0.0317039	0.0359947	0.0280802	0.0544527	0.0272855	0.0342369	0.04693	0.0464684	0.0408934	0.0620679	0.0965628
planches	0.0297204	0.0179256	0.0103698	0.0114252	0.00744816	0.00487666	0.00639831	0.0144901	0.0324341	0.0357676	0.0326561	0.0309376	0.0283828	0.0373698	0.0518542	0.0503317	0.0682787	0.0725189	0.0440462	0.0291785	0.0302348	0.0627336	0.0357113	0.0178274	0.0113344	0.0137454	0.0101116	0.00789044	0.0128429	0.0232544	0.0175319	0.013731	0.0115275	0.0138036	0.00939412	0.0121953	0.0130073	0.0124641	0.0106801	0.0185937	0.0249748
il	0.0304172	0.0174629	0.0113938	0.0119529	0.0112114	0.0117157	0.0104292	0.0151684	0.0211848	0.0271889	0.0254361	0.0259381	0.0283231	0.0371085	0.0403793	0.0275891	0.0311392	0.0350702	0.0232034	0.0278171	0.0251079	0.0451573	0.0310336	0.0213796	0.0199155	0.0185719	0.0198444	0.0176184	0.0218543	0.0607996	0.040626	0.0379001	0.0357659	0.0185432	0.0195633	0.017057	0.0149827	0.0142734	0.0152271	0.00960813	0.0250415
faut	0.0346037	0.0222345	0.024313	0.0217917	0.0222592	0.0258384	0.0239408	0.0262714	0.0191052	0.030575	0.0198064	0.0321734	0.0326212	0.0399818	0.0417938	0.0307317	0.0208786	0.0175718	0.0121789	0.0256047	0.0237411	0.0299806	0.0202945	0.0194613	0.0196617	0.0206277	0.020588	0.0148419	0.0126111	0.021118	0.0238802	0.0249991	0.0309162	0.0293262	0.0330194	0.0218982	0.0233181	0.0225664	0.0197081	0.0176793	0.025488
les	0.0347611	0.0268215	0.0224136	0.0160718	0.00758368	0.00640588	0.00629046	0.0067386	0.00685581	0.0100323	0.00966245	0.0156306	0.0160411	0.0355679	0.0431307	0.0401523	0.0316859	0.0265439	0.0168654	0.0332234	0.0354293	0.0340799	0.0286698	0.0261825	0.0250036	0.0258461	0.0295241	0.0266914	0.0238887	0.0438402	0.0297768	0.0162169	0.0176614	0.0240961	0.0155223	0.0221484	0.0262559	0.0218429	0.0320693	0.0401691	0.042607
vendre	0.0412208	0.0238292	0.015892	0.0123617	0.00521605	0.00420622	0.00650519	0.00795372	0.00696336	0.0118415	0.00836585	0.0161431	0.0174535	0.0247962	0.0249015	0.0291689	0.0183718	0.0106534	0.00945875	0.0173795	0.0195764	0.018202	0.015783	0.0200586	0.0154198	0.0241951	0.0189986	0.0230443	0.0219937	0.0380339	0.0393971	0.0275193	0.0378364	0.0374397	0.0288542	0.0454847	0.0483937	0.033559	0.044348	0.0495773	0.0796031
</S>	0.0471334	0.0314457	0.0133909	0.00731913	0.00351948	0.0041763	0.00587494	0.00780325	0.00906849	0.0124714	0.00997534	0.0205363	0.019612	0.0242905	0.0228312	0.0270036	0.0234218	0.0163396	0.00978086	0.0151741	0.0172192	0.0137198	0.0129021	0.0136057	0.0138344	0.0184103	0.0177725	0.0189453	0.0163953	0.0268889	0.0274057	0.0232006	0.0396281	0.041125	0.0258951	0.0570108	0.0328291	0.041165	0.0416491	0.0488719	0.120358
