 	a66	a87	a23	a40	a37	a96	a90	a92	a79	a56	a21	a12	a75	a85	a92	a98	a85	a47	a36	a61	a21	a85	a47	a36	a47	a36	a26	a57	a87	a23	a99	a97	</S>
les	0.0512902	0.0641617	0.0852135	0.0921013	0.0837724	0.0890826	0.0474736	0.0376822	0.0373385	0.0223702	0.0201633	0.0116638	0.00921938	0.00671956	0.00662771	0.012735	0.00954649	0.0169349	0.0249292	0.013456	0.0162524	0.0174648	0.0101261	0.00986868	0.0196418	0.029674	0.02597	0.0192585	0.0144482	0.0185519	0.0141795	0.0174114	0.0446714
femmes	0.0143564	0.0193831	0.0346063	0.0528209	0.126209	0.133981	0.0525757	0.0659193	0.0478432	0.0938783	0.0441521	0.0417297	0.0368313	0.0354538	0.049814	0.0282336	0.0186817	0.0197818	0.00452785	0.0126045	0.0103708	0.0165696	0.00952288	0.0120667	0.00503851	0.00250494	0.00213233	0.000669305	0.00156008	0.000742954	0.000474932	0.00438874	0.000575037
d'	0.06981	0.0472748	0.0365274	0.0396064	0.0549474	0.0732129	0.0555875	0.0685335	0.0840884	0.0891176	0.0719212	0.0616627	0.030768	0.0303848	0.035767	0.0213945	0.0121556	0.0172655	0.0224834	0.0167254	0.0163	0.0120574	0.00383577	0.0056091	0.00620639	0.00385857	0.0014914	0.0014599	0.00177729	0.00197671	0.000773755	0.00418267	0.00123706
otsende	0.0334657	0.0185747	0.0121793	0.0109213	0.0147871	0.0367737	0.0490107	0.076146	0.073739	0.0528117	0.0503427	0.0251877	0.0232101	0.0248287	0.0275627	0.0197268	0.0204477	0.0143347	0.0105725	0.014063	0.0156762	0.0277297	0.025784	0.0331699	0.0264931	0.0104326	0.0287299	0.0260757	0.0472881	0.0446838	0.034932	0.0324532	0.0378658
étaient	0.0336554	0.0160635	0.0173453	0.0138921	0.018513	0.0267997	0.0478152	0.0560942	0.0667306	0.042879	0.0806886	0.0563808	0.0425533	0.0289863	0.0343792	0.0271462	0.0166472	0.017858	0.00969628	0.0164609	0.018824	0.0232223	0.0119021	0.0188359	0.0201132	0.0121148	0.0199267	0.0287847	0.0213136	0.0403906	0.0216756	0.0437448	0.048567
en	0.0425984	0.0274015	0.0147303	0.00667553	0.00680641	0.0162144	0.0504796	0.0395437	0.05495	0.0372405	0.0480776	0.0290061	0.0197423	0.00993994	0.0128245	0.0123866	0.00828951	0.0121636	0.0122249	0.0153866	0.0189107	0.0177418	0.0129273	0.020954	0.0253649	0.0496819	0.0539151	0.0816634	0.0326821	0.0833395	0.0357905	0.0529006	0.0374466
train	0.0337506	0.0335192	0.0194542	0.00867513	0.0105925	0.0229098	0.0276459	0.0209732	0.0350701	0.0203425	0.0221014	0.0198871	0.0198667	0.0162841	0.0180994	0.017395	0.012264	0.0154955	0.0141925	0.018278	0.0171298	0.0174024	0.0217897	0.0324878	0.0282911	0.0584283	0.0763608	0.0704522	0.0371257	0.0893021	0.0420972	0.057513	0.0448228
de	0.025946	0.0120155	0.0133789	0.0326964	0.0287502	0.0428776	0.0207524	0.0194937	0.0359587	0.0178542	0.0150717	0.0075036	0.00465174	0.0028675	0.00302813	0.00351769	0.0014916	0.00482471	0.0106271	0.0172729	0.0187245	0.0226181	0.0316219	0.0331884	0.0316743	0.0545863	0.0451058	0.0410477	0.0763417	0.0711704	0.0453222	0.123894	0.084124
vendre	0.0386473	0.0283952	0.0179402	0.0116777	0.0191482	0.0335635	0.0554001	0.0463952	0.0345283	0.0417501	0.0499244	0.0372339	0.0455743	0.0348252	0.0359358	0.0504106	0.0416635	0.0753296	0.0656631	0.0613259	0.0330651	0.0190808	0.0111683	0.00763724	0.00635264	0.00393263	0.00576418	0.00557166	0.011879	0.011552	0.0108741	0.034025	0.0137654
des	0.0507857	0.0243215	0.0130222	0.00883282	0.00912509	0.0130519	0.0128171	0.0132924	0.0112747	0.0137406	0.0150105	0.0151064	0.0135156	0.0119097	0.0125198	0.0145562	0.013882	0.0286166	0.0362778	0.0410968	0.049845	0.0622727	0.0378044	0.034016	0.0352268	0.0367083	0.0331337	0.0303219	0.0576649	0.0405069	0.0578577	0.0874743	0.0644122
fruits	0.0612817	0.0336083	0.0114494	0.00238772	0.00226733	0.00499725	0.00664662	0.00680695	0.00693407	0.00955095	0.0115771	0.0182762	0.0200318	0.0158446	0.0166503	0.020389	0.0128135	0.0231597	0.0381382	0.0169962	0.017137	0.0274563	0.0515538	0.0310463	0.0337354	0.0551374	0.055199	0.0244439	0.0498296	0.0350262	0.0606451	0.082254	0.136729
gambea	0.0670772	0.043641	0.0182641	0.00528257	0.00320479	0.00966563	0.00898616	0.00893066	0.0114737	0.010279	0.013419	0.0178714	0.0156426	0.0075782	0.00820985	0.0154589	0.00587491	0.0216903	0.0342358	0.0155004	0.0175022	0.0235066	0.0382533	0.0324175	0.0448486	0.0372023	0.0496569	0.0198864	0.0450437	0.0407115	0.0567528	0.0731481	0.178784
</S>	0.0594503	0.0453339	0.0291541	0.0166352	0.0161359	0.0219312	0.0230251	0.0145172	0.0166515	0.0122626	0.0142973	0.019027	0.0117226	0.00726691	0.00797806	0.015602	0.010408	0.0237081	0.0337763	0.0171416	0.0188395	0.0248509	0.0265937	0.0340067	0.0431563	0.0865509	0.0562311	0.0310956	0.0285822	0.0409338	0.0440134	0.046277	0.102844
