 	a66	a87	a10	a87	a97	a40	a6	a36	a37	a93	a54	a15	a44	a90	a25	a98	a15	a79	a44	a53	a90	a98	a47	a36	a2	a44	a4	a44	a13	a11	a12	a18	a54	a7	a79	a44	a54	a36	a7	a26	a66	a71	a9	a3	a97	a87	a97	</S>
adzoona	0.0346126	0.0400025	0.0478611	0.0288294	0.0465689	0.0169962	0.0420529	0.0325335	0.0709869	0.0609409	0.079644	0.0342547	0.0294045	0.0353935	0.0554773	0.0251974	0.0313399	0.0253771	0.0154632	0.0108725	0.0107311	0.0184831	0.0121818	0.00592381	0.0069399	0.00362716	0.00351276	0.00342356	0.00426621	0.00430348	0.0040782	0.0035054	0.00378334	0.00340883	0.00710183	0.0100436	0.0122051	0.00925682	0.0100239	0.0114883	0.0102769	0.0103354	0.0115502	0.00821716	0.00597382	0.0124953	0.00734909	0.0217048
est	0.0293996	0.0191033	0.0232971	0.0186774	0.00624147	0.0104745	0.0112257	0.00488575	0.0137697	0.00757873	0.00695239	0.0120397	0.0128358	0.0133181	0.0185986	0.0200081	0.0235473	0.036048	0.0442351	0.0384047	0.033277	0.0256996	0.0372883	0.016007	0.0183153	0.0111236	0.00854483	0.00868482	0.0128219	0.0208514	0.018416	0.0209374	0.0139484	0.0161326	0.0167172	0.0191462	0.0153412	0.0283905	0.0352879	0.0191341	0.0302452	0.0462989	0.0252004	0.0303774	0.0293158	0.0224481	0.0278279	0.02158
en	0.018494	0.00885696	0.0064755	0.0084311	0.00817382	0.00970125	0.0157429	0.0104015	0.0136067	0.00522313	0.0042352	0.00387671	0.00798826	0.00774898	0.00584999	0.00763329	0.00412885	0.010694	0.0249235	0.0458731	0.032902	0.0459231	0.111942	0.0978461	0.0782213	0.05909	0.0584117	0.0226692	0.0110557	0.00926222	0.00565647	0.0063123	0.00386329	0.00446894	0.00451589	0.00614747	0.00588414	0.00609207	0.00783852	0.0126325	0.0189513	0.0125822	0.0131549	0.0186169	0.0248673	0.0241568	0.0422221	0.026655
train	0.0092981	0.00512074	0.00370111	0.00368754	0.00904234	0.0271973	0.0176227	0.0112893	0.0141609	0.00350986	0.00697175	0.00738109	0.0105959	0.0075488	0.00615441	0.00834627	0.00980998	0.0046656	0.00632914	0.006639	0.00859146	0.00660285	0.00574258	0.00973893	0.0151168	0.0151705	0.025933	0.0240841	0.0265619	0.0494225	0.0737959	0.0686928	0.065886	0.0731129	0.0283497	0.0276194	0.0113088	0.0197506	0.0278667	0.0327643	0.0245667	0.044328	0.0499304	0.0467238	0.013308	0.0107969	0.00467433	0.010488
de	0.0604739	0.0327172	0.0161962	0.0119711	0.0181617	0.0185709	0.0211163	0.0138537	0.0155334	0.032411	0.0392805	0.0310843	0.0728071	0.0901327	0.0428184	0.062804	0.061786	0.0266652	0.034726	0.0293675	0.0382764	0.029631	0.0110746	0.00517719	0.0105151	0.00558095	0.00688922	0.00665425	0.00606623	0.00753857	0.0040322	0.00460137	0.00361244	0.00464902	0.00557472	0.00805844	0.00506619	0.00402338	0.00488122	0.00539264	0.00671371	0.0096624	0.00872284	0.0100469	0.0165604	0.0132749	0.0147555	0.0104911
racler	0.0121365	0.00888872	0.00754999	0.0068799	0.0051975	0.00728243	0.0162503	0.0156447	0.0211525	0.0166636	0.0199862	0.00958888	0.0240742	0.0403228	0.0386765	0.0469517	0.0492706	0.0425661	0.069065	0.0816569	0.125558	0.0677807	0.0432894	0.0235111	0.0271196	0.00852911	0.0258222	0.0257361	0.0174847	0.0170017	0.00813889	0.00806827	0.00615896	0.00616998	0.00449756	0.00806151	0.00568939	0.00472215	0.0035087	0.00294999	0.00330246	0.00319082	0.00343231	0.0026391	0.00267396	0.0017156	0.00222727	0.00121611
avec	0.0413339	0.0269042	0.00789448	0.00766706	0.00475389	0.0107416	0.0132083	0.00989604	0.0114425	0.00847829	0.0119512	0.00802546	0.0105503	0.0129803	0.0117305	0.0237329	0.029128	0.0455034	0.0829928	0.0952908	0.103865	0.0436808	0.0315512	0.0116025	0.012034	0.00667474	0.0127008	0.0112313	0.00674332	0.0110523	0.00445378	0.00461754	0.00441634	0.00763904	0.0116807	0.0189352	0.0114346	0.0169159	0.0130972	0.0207946	0.0250717	0.0219275	0.0221183	0.0212001	0.0225905	0.0174904	0.0156735	0.0146015
ses	0.0652527	0.0282519	0.0094505	0.00572973	0.00227083	0.00421621	0.00223929	0.00138186	0.00183861	0.00393976	0.00481819	0.00572161	0.00584624	0.0172482	0.0145761	0.0304735	0.0285246	0.0515983	0.0935869	0.0960165	0.0762413	0.0423684	0.0352586	0.0112226	0.00933427	0.00584099	0.00839145	0.00721111	0.00589519	0.00829927	0.00538829	0.00575927	0.00591264	0.00915547	0.0112194	0.0157834	0.0128632	0.0166193	0.020271	0.0220131	0.0278402	0.0283955	0.0278587	0.0272365	0.0287407	0.0179175	0.0193756	0.0146055
dents	0.0894222	0.04154	0.0178246	0.0151157	0.00749617	0.00515724	0.00410196	0.0029249	0.0047867	0.0064081	0.00663921	0.0078329	0.0111279	0.01216	0.0138917	0.0218652	0.0361197	0.0360077	0.0605102	0.0638329	0.0573144	0.0284464	0.0172359	0.00918193	0.00883686	0.0065481	0.00604361	0.00689726	0.00986045	0.0114096	0.00835074	0.00841569	0.0101064	0.0154291	0.0115186	0.00887864	0.00850197	0.0107408	0.0127145	0.0154606	0.0186141	0.0156703	0.0163921	0.0237519	0.0436196	0.0406479	0.0505765	0.0540709
le	0.110286	0.0436382	0.0306905	0.0320029	0.0182849	0.00860879	0.0057392	0.00493746	0.00540786	0.00530958	0.00509737	0.00517936	0.00826783	0.00943815	0.013715	0.0144201	0.0152463	0.0276417	0.045682	0.0492835	0.0387752	0.0250298	0.0172646	0.0108876	0.0126306	0.0112308	0.00990663	0.0105109	0.0173493	0.0146714	0.0148363	0.0124665	0.0121195	0.0141594	0.0103514	0.00762392	0.00836828	0.0103022	0.0120968	0.0154063	0.0143982	0.013755	0.0131707	0.0222964	0.0343475	0.037413	0.0420111	0.0777441
noyau	0.0616065	0.0230768	0.0160788	0.0181682	0.0115853	0.00995307	0.00631446	0.00501589	0.00480148	0.00959829	0.00410132	0.0041182	0.00625334	0.0128958	0.0073884	0.0107342	0.00638901	0.0116918	0.0224471	0.0310199	0.0258933	0.0212073	0.0296274	0.015971	0.0250347	0.0198302	0.0208778	0.021791	0.0248794	0.0242274	0.0217757	0.0153027	0.0135589	0.0160646	0.018668	0.0214921	0.0221716	0.0234992	0.0234814	0.0268339	0.0280175	0.026377	0.026794	0.0355931	0.0429532	0.0332111	0.0405995	0.0510292
de	0.0803566	0.0220589	0.00425528	0.00686992	0.00749983	0.00346938	0.00278813	0.00235635	0.00399964	0.0100786	0.0125126	0.009048	0.00558938	0.0085936	0.0112576	0.0117381	0.00620452	0.00691046	0.00789253	0.00755162	0.00639762	0.00443794	0.00518494	0.00231225	0.00147538	0.00111621	0.00103629	0.000831554	0.000993722	0.000812471	0.000943286	0.000872304	0.00110414	0.00167186	0.00855249	0.00683602	0.0126344	0.0252832	0.0228207	0.047231	0.0675115	0.0397788	0.0420883	0.0622792	0.080531	0.123988	0.105191	0.095054
la	0.0603519	0.0235658	0.00536238	0.00686893	0.00467271	0.00126388	0.00118955	0.00106189	0.00182034	0.00485459	0.00587144	0.00744929	0.00899608	0.0088019	0.0147194	0.0188018	0.0119477	0.0173478	0.0240704	0.0230941	0.0167921	0.0117504	0.0104871	0.00498389	0.00365428	0.00237564	0.00228292	0.00196856	0.00173505	0.00257376	0.00197304	0.00236103	0.00291343	0.00465487	0.0112555	0.00907077	0.0147418	0.0241628	0.0258043	0.0371696	0.0519232	0.0353963	0.0317043	0.0494319	0.0736075	0.113017	0.100902	0.0991958
mangue	0.0592787	0.0372499	0.0120383	0.013049	0.00703634	0.00218641	0.00305674	0.00262608	0.00353525	0.00893014	0.00522059	0.00569942	0.00730874	0.0101567	0.0100856	0.0125047	0.00733164	0.0072212	0.00683614	0.00847546	0.00851832	0.00981964	0.00830509	0.00383318	0.00627445	0.00284304	0.00261059	0.00261755	0.00373706	0.00553358	0.00476326	0.00527517	0.00635686	0.00813479	0.0188232	0.0232197	0.035941	0.0350629	0.0385388	0.0528687	0.0586384	0.0541311	0.0527962	0.0660851	0.0656052	0.0690309	0.0644641	0.0563451
</S>	0.0780808	0.04276	0.0327151	0.0273025	0.0167051	0.00561484	0.00653694	0.00523585	0.00903614	0.0122966	0.00905333	0.00847322	0.00864276	0.0117581	0.00954612	0.0145821	0.00598076	0.00560947	0.0102082	0.0100766	0.00830755	0.00851099	0.0107344	0.00753264	0.00912984	0.00474067	0.00460199	0.00281454	0.00282556	0.00258687	0.00289329	0.00262654	0.00361067	0.00488823	0.0107721	0.0114671	0.0208534	0.0229097	0.0255111	0.0371448	0.0388504	0.0278451	0.0339865	0.0339291	0.0429921	0.0799002	0.0655951	0.142225
