 	a66	a82	a97	a3	a97	a3	a9	a3	a30	a13	a53	a90	a56	a93	a70	a62	a31	a90	a25	a44	a90	a93	a70	a98	a50	a75	a41	a96	a94	a70	a62	a12	a94	a96	a88	a50	a99	a94	a70	a50	a83	a38	a56	a96	a0	a54	a44	a15	a79	a44	a58	a90	a44	a70	a99	a50	a83	a9	a3	a97	a87	a10	a87	a23	a87	a23	a87	</S>
le	0.00721786	0.0107094	0.0112121	0.00996404	0.0100787	0.00815197	0.0119605	0.0177519	0.00968935	0.0111072	0.0208076	0.0336356	0.0329596	0.0255219	0.0312631	0.0237061	0.0295353	0.0250614	0.0150408	0.0201685	0.0227537	0.0491908	0.0295133	0.0155658	0.0176676	0.0160401	0.0270694	0.023935	0.011442	0.0216265	0.0330731	0.0320933	0.0250701	0.02659	0.0229251	0.0132325	0.0124701	0.0106523	0.00523368	0.00458936	0.0063809	0.00761685	0.00700553	0.0116466	0.00686202	0.00714691	0.00819991	0.00505793	0.00559559	0.00421144	0.00363286	0.00262899	0.00338561	0.00427425	0.00458415	0.00609285	0.00507605	0.0075645	0.00816599	0.00595679	0.00631632	0.00655039	0.00783911	0.00911696	0.00873064	0.0155992	0.00682033	0.0316648
chauffeur	0.00131595	0.00557168	0.00702785	0.00996629	0.0108935	0.0164655	0.034662	0.0347716	0.00925205	0.0140038	0.0236075	0.0217238	0.0218653	0.0267628	0.0700045	0.0640627	0.0684714	0.0675479	0.0529637	0.0303471	0.0332908	0.0131405	0.0266048	0.0171691	0.0249462	0.0254831	0.0153273	0.0164593	0.00966069	0.00483772	0.00995537	0.00625512	0.00838035	0.0048053	0.00754683	0.0106951	0.00889987	0.00886994	0.00988987	0.0142313	0.00931252	0.00862232	0.00525087	0.00900072	0.00793612	0.0127214	0.0236309	0.0126369	0.00760719	0.00526458	0.00655751	0.00410158	0.00345019	0.00168211	0.0015571	0.00107632	0.000872722	0.000662139	0.000611234	0.000726498	0.00141956	0.0008004	0.000771567	0.00092886	0.00119609	0.00107929	0.00143616	0.00135193
tourne	0.0234143	0.0150511	0.014887	0.00998974	0.00767427	0.00583438	0.00835595	0.00886828	0.0103864	0.0101285	0.0168996	0.0155078	0.0107189	0.032426	0.0411777	0.0411394	0.0603349	0.0147544	0.0236746	0.0102441	0.021891	0.00339218	0.00836465	0.0174002	0.0338085	0.0191192	0.0257922	0.0105426	0.0157556	0.0145169	0.00693614	0.0162734	0.0126759	0.0113243	0.0418278	0.0332044	0.0313344	0.0306906	0.0421971	0.0670361	0.0186177	0.029688	0.0121784	0.0138731	0.0042148	0.0093798	0.0103293	0.0151061	0.00597998	0.00614625	0.00301103	0.0019657	0.00133046	0.00125079	0.00082245	0.00113043	0.000656735	0.00117145	0.00267482	0.00224919	0.00130556	0.000950958	0.00143629	0.00138106	0.00240042	0.00280607	0.00196531	0.000427251
le	0.0271143	0.0102693	0.0135853	0.0121497	0.00696926	0.00822125	0.00877754	0.00733599	0.0110494	0.00978063	0.0141347	0.00862479	0.00960571	0.0145314	0.0281602	0.0356296	0.0418647	0.0257112	0.0353725	0.0275013	0.0284961	0.0159619	0.016808	0.0104289	0.0214708	0.0187304	0.0261998	0.0167927	0.0154894	0.0263555	0.0113471	0.015882	0.0113326	0.0089027	0.0146887	0.0132966	0.00894122	0.00774484	0.0114455	0.0195936	0.0174555	0.0121345	0.0357707	0.0245757	0.0204022	0.0160087	0.01708	0.0151152	0.0105496	0.00992041	0.00658739	0.00491973	0.00457552	0.00394882	0.00326742	0.00384599	0.00365624	0.0050731	0.00710381	0.00616807	0.00710862	0.00998655	0.0130269	0.0105141	0.0132118	0.0168876	0.0155935	0.0092153
volant	0.0143324	0.0119223	0.0111334	0.011213	0.00861111	0.00770643	0.0090687	0.00848646	0.0122454	0.0183976	0.0185495	0.0100388	0.0124884	0.0159018	0.0122526	0.0103148	0.00990652	0.0157832	0.0388877	0.030466	0.0324164	0.0238723	0.0278604	0.0279316	0.0274044	0.0457886	0.0312145	0.0356557	0.037652	0.0354344	0.0190595	0.027056	0.0240821	0.0216093	0.0239802	0.0195935	0.0179132	0.0160471	0.0146839	0.0105353	0.0113336	0.0166083	0.0187608	0.0201223	0.0142708	0.00604942	0.00567066	0.00565389	0.00512889	0.00424025	0.0027605	0.00142555	0.00162605	0.00145801	0.00178732	0.00306664	0.00233975	0.00275517	0.00317958	0.00216391	0.00308786	0.00467024	0.00684456	0.00577484	0.00756317	0.00635323	0.0185353	0.00927315
pour	0.0148876	0.00839868	0.0061235	0.00811904	0.00936715	0.0172643	0.0157873	0.0146064	0.0148893	0.0125349	0.0106785	0.0074008	0.00443166	0.00549411	0.00789889	0.0074096	0.0115506	0.00908766	0.0156722	0.0106892	0.01925	0.00910821	0.0165841	0.0308171	0.02344	0.0394304	0.0291958	0.0501014	0.0539034	0.0397416	0.0225528	0.0261177	0.0454039	0.0409651	0.0405596	0.0480712	0.039669	0.032408	0.0228907	0.00996044	0.0114296	0.0250948	0.0149075	0.0129567	0.00656009	0.00404434	0.00382134	0.00230115	0.0020026	0.00323878	0.00311162	0.00229416	0.00240535	0.0014776	0.00138246	0.00274965	0.00242073	0.00170631	0.00313778	0.00182617	0.00315653	0.00312005	0.00463288	0.0037954	0.00703432	0.0071699	0.00607827	0.00368187
garer	0.0111343	0.00882599	0.00755016	0.00599559	0.00582274	0.0073228	0.00906113	0.00479113	0.00832744	0.00870429	0.0100082	0.00847665	0.00426734	0.00921531	0.0129489	0.0167623	0.0226185	0.0128162	0.0223131	0.0168489	0.0169234	0.0115952	0.0175528	0.0168777	0.0187029	0.0281776	0.0311307	0.0276582	0.0381397	0.0408933	0.0241514	0.0284023	0.0305158	0.0381031	0.0401798	0.0559948	0.0379053	0.0415522	0.0323596	0.0200726	0.0232037	0.0296491	0.0127233	0.0115469	0.00314495	0.00383808	0.00325684	0.00176323	0.00186935	0.00341098	0.00335647	0.00362872	0.00413299	0.00369175	0.00312733	0.00316345	0.00338431	0.00205962	0.00490886	0.00440442	0.00599183	0.00540898	0.00804275	0.00740756	0.0120708	0.00782112	0.00755619	0.00473712
sa	0.00761626	0.00466535	0.00436023	0.00419182	0.00461467	0.00565055	0.00790274	0.00334277	0.00566972	0.00534505	0.00676916	0.00790732	0.00708813	0.0121152	0.0164037	0.0231643	0.0168162	0.0133031	0.0183802	0.0198024	0.0128723	0.0173131	0.0160786	0.0155024	0.0160592	0.024128	0.0201676	0.0166785	0.0332712	0.0360507	0.0221296	0.0293666	0.0187118	0.0290245	0.0377284	0.0445941	0.0453993	0.0460968	0.0358322	0.0196799	0.0297286	0.0300092	0.0288315	0.0314909	0.0125461	0.0190639	0.00670239	0.00372978	0.00283476	0.00424585	0.00451642	0.00659515	0.00650856	0.00782091	0.00491571	0.00291111	0.00298429	0.00280825	0.00485974	0.00437961	0.00357662	0.00316665	0.00610053	0.00678371	0.00942902	0.00547863	0.00921	0.00697843
voiture	0.0179269	0.0146627	0.0156688	0.0131961	0.0113127	0.008012	0.00785883	0.00889999	0.00795408	0.0185987	0.0212092	0.010232	0.0106214	0.0099856	0.0129749	0.00858297	0.00830213	0.00774038	0.00830537	0.00725069	0.00893808	0.00902679	0.0112673	0.0101801	0.0141422	0.0142101	0.0195036	0.0198741	0.0225915	0.0276731	0.0181047	0.0288289	0.0240103	0.0237778	0.02507	0.021716	0.0207566	0.0163955	0.0125022	0.0108082	0.0132608	0.0150666	0.0235271	0.0257228	0.0180757	0.018946	0.0181176	0.0153787	0.0234119	0.024902	0.030276	0.0274387	0.0180489	0.0149178	0.00931651	0.00440801	0.00445512	0.00354569	0.00445902	0.00373903	0.00590856	0.00830821	0.011591	0.0113012	0.0158776	0.0123684	0.0162985	0.0126601
</S>	0.0120367	0.0199013	0.0221271	0.0241245	0.0267106	0.0237224	0.0252868	0.0229722	0.0127224	0.0240962	0.0177107	0.0109456	0.0111627	0.00620398	0.00707535	0.00558786	0.00669906	0.00956796	0.0073626	0.00948579	0.00917797	0.0147303	0.0131561	0.0142925	0.0116602	0.015276	0.018277	0.0201571	0.0213693	0.0190176	0.0221352	0.0223068	0.020726	0.0173701	0.01635	0.0188924	0.014655	0.0123006	0.00871892	0.00569719	0.00818447	0.00827837	0.011116	0.0146029	0.0128517	0.00832698	0.00607722	0.00453964	0.00777038	0.00915433	0.0119101	0.0106985	0.0134517	0.0148931	0.013745	0.00846754	0.00966004	0.00681643	0.00799819	0.00683181	0.0121719	0.0150319	0.0205035	0.0230391	0.0260321	0.0238586	0.0217636	0.0404567
