 	a82	a87	a23	a97	a87	a99	a97	a99	a30	a53	a4	a53	a93	a34	a31	a47	a98	a94	a70	a96	a98	a92	a79	a56	a44	a57	a3	a87	a79	a69	a4	a57	a75	a96	a18	a62	a88	a71	a9	a99	a87	a97	a3	a99	a97	a87	a23	a99	a97	a99	a97	</S>
si	0.00743907	0.0119799	0.0101356	0.00890501	0.00820613	0.0107948	0.0171044	0.011706	0.0170827	0.0179035	0.0296202	0.0360591	0.0833676	0.0670517	0.0432922	0.0522421	0.0534793	0.0642446	0.0327911	0.0281469	0.00981462	0.0116581	0.0138237	0.00883433	0.00927797	0.0103274	0.00918626	0.0114618	0.010951	0.015031	0.0153299	0.0052344	0.00725963	0.00465448	0.00481106	0.00558642	0.00683106	0.00849507	0.0080236	0.0107316	0.0132713	0.00934748	0.0136937	0.0161869	0.0149139	0.0117865	0.0162031	0.0143404	0.0167812	0.0147331	0.0145018	0.0453653
tu	0.0108548	0.0100825	0.00849913	0.00713585	0.00573735	0.00666872	0.00662044	0.0128478	0.0142799	0.017617	0.0197034	0.0258054	0.0447507	0.0446466	0.0289866	0.0459911	0.0374596	0.0436329	0.0218022	0.0182017	0.0102491	0.0137477	0.0150615	0.011817	0.0185358	0.0199763	0.022825	0.0265907	0.0141338	0.0142918	0.0125198	0.0142468	0.00905271	0.00779488	0.0159577	0.0166406	0.0113197	0.0136064	0.015449	0.014716	0.0136403	0.0161673	0.0164461	0.0185429	0.0164339	0.0194944	0.0236293	0.0265467	0.0306161	0.0288906	0.0330868	0.0266496
entres	0.0244095	0.0197256	0.0165422	0.0112617	0.0066544	0.0117827	0.00781325	0.0144961	0.0124368	0.0257113	0.0374476	0.0245322	0.0271393	0.0277655	0.0435999	0.080593	0.05141	0.0413976	0.0535492	0.0616691	0.0552022	0.0711556	0.0306685	0.0150495	0.00531606	0.00325929	0.00141998	0.00123362	0.00114509	0.000964201	0.00276334	0.00385906	0.00201304	0.00275848	0.00172986	0.00141148	0.00201097	0.00327662	0.0022518	0.0036645	0.00598123	0.0067583	0.00635672	0.00759646	0.0101572	0.0113162	0.0135782	0.0174003	0.0213595	0.0224405	0.0334303	0.0325348
dans	0.0676414	0.0507641	0.0501165	0.0490546	0.0413556	0.047224	0.0350492	0.0409519	0.0413372	0.0331537	0.0129877	0.00774843	0.00321421	0.00734146	0.0105516	0.0123495	0.0129621	0.0186354	0.0185041	0.0193391	0.0211259	0.0156597	0.01652	0.0173505	0.0131274	0.0120551	0.00648663	0.00644077	0.00524863	0.00491553	0.0051347	0.0079643	0.00584448	0.0122348	0.00929116	0.0109976	0.00751557	0.00646537	0.00799364	0.0095743	0.0108845	0.018082	0.0127893	0.0153773	0.0162615	0.0217659	0.0222862	0.0233787	0.0206158	0.0196903	0.0172746	0.019366
la	0.0343562	0.0259579	0.025676	0.0219866	0.0154963	0.0128243	0.0153631	0.016703	0.0136975	0.0114897	0.00686525	0.00546417	0.0066677	0.0126546	0.0340606	0.0248919	0.0319372	0.0345803	0.0445016	0.0635879	0.0571419	0.0440564	0.0507435	0.0290753	0.0146863	0.0133251	0.00756445	0.00690106	0.00413574	0.003743	0.00632769	0.00693472	0.00587846	0.0117736	0.00696064	0.00721043	0.00953534	0.0159546	0.00933842	0.0117806	0.0127253	0.0131122	0.0103337	0.0162115	0.0109912	0.0176201	0.0238231	0.0252734	0.0242623	0.0204445	0.0244495	0.0189243
cachette	0.0473086	0.0255951	0.0185253	0.014113	0.0105809	0.0129935	0.0131657	0.0173855	0.0181424	0.0268263	0.019504	0.00974927	0.00958301	0.0122836	0.0236855	0.0236219	0.0475221	0.043573	0.0838191	0.0768453	0.0392528	0.0419972	0.0147821	0.0104966	0.00496838	0.00546347	0.00325936	0.0025462	0.0029182	0.00218277	0.00827522	0.00976372	0.00623398	0.0103648	0.00846744	0.00821523	0.0175483	0.0205731	0.0222683	0.0248852	0.0260562	0.0272135	0.0125884	0.0208182	0.0108347	0.0139592	0.0171411	0.0126499	0.0125464	0.0124692	0.00991695	0.00452066
de	0.0479274	0.0326138	0.0194132	0.0116646	0.00518794	0.00942506	0.00627453	0.0112684	0.0125582	0.0410763	0.0247055	0.0126955	0.0119963	0.0110507	0.020112	0.0247366	0.0482542	0.0559832	0.0685679	0.0847797	0.0342438	0.0458774	0.0226066	0.011251	0.00343994	0.00350608	0.00232936	0.00136189	0.00153124	0.00186775	0.00375685	0.00427189	0.00684359	0.00576433	0.00400485	0.00386605	0.00589322	0.0118788	0.00444741	0.0071074	0.0165512	0.00876447	0.00879886	0.0203877	0.0113556	0.0164087	0.0290821	0.0334429	0.0321941	0.0312059	0.0380669	0.00760101
panthères	0.0230056	0.0159749	0.00890608	0.00623804	0.00341891	0.0071737	0.0048997	0.0066364	0.00552336	0.0139723	0.00850755	0.00552747	0.00746549	0.00521901	0.0155633	0.0116185	0.0220106	0.0251838	0.0369892	0.0542991	0.0306494	0.0232034	0.0166448	0.00712549	0.00230708	0.00225793	0.00195205	0.00140496	0.00145804	0.0017254	0.00240248	0.00308461	0.00470897	0.0040437	0.00301521	0.00363695	0.00449677	0.00849179	0.00615514	0.0102838	0.0308267	0.0211111	0.0294904	0.045038	0.0471785	0.0505097	0.0630067	0.0648777	0.0672769	0.0713139	0.0635288	0.0186606
tu	0.028767	0.0125163	0.00963605	0.00843443	0.00704785	0.00758362	0.00737819	0.0115272	0.0110726	0.0115021	0.00715922	0.00650598	0.0062124	0.00672914	0.00729739	0.0073753	0.0118536	0.0214472	0.0270374	0.0306358	0.0205493	0.0185325	0.0176019	0.0113274	0.0073207	0.0105436	0.00620213	0.00574463	0.00573996	0.00427834	0.0130167	0.00866113	0.0126439	0.0103802	0.019514	0.0157397	0.0222387	0.0313161	0.0270983	0.0341896	0.0315333	0.0307046	0.0373015	0.0581895	0.0261407	0.0329074	0.0586618	0.0437325	0.0391766	0.035408	0.0328478	0.0230388
mets	0.018741	0.0168675	0.0132569	0.00858328	0.00569193	0.00757459	0.00710468	0.00717899	0.00687946	0.00769926	0.00519439	0.00296187	0.00427451	0.00422778	0.0184857	0.0114541	0.0154783	0.0213556	0.0311851	0.0382963	0.0271782	0.02099	0.018453	0.00752823	0.00235233	0.0021226	0.00206342	0.00215837	0.00139775	0.00156471	0.00398907	0.00477019	0.00685477	0.00616401	0.00610934	0.00636021	0.00849645	0.013285	0.00877017	0.0129974	0.031629	0.0288845	0.0332664	0.0494863	0.0410472	0.0502585	0.0738115	0.067109	0.0638964	0.0659812	0.0523052	0.0262282
