 	a66	a87	a23	a53	a15	a56	a75	a6	a37	a43	a90	a94	a38	a56	a90	a25	a90	a15	a20	a7	a58	a82	a87	a23	a11	a75	a92	a12	a62	a47	a62	a12	a96	a54	a7	a2	a57	a99	a97	a87	a23	a99	a97	</S>
son	0.0184651	0.0227387	0.0321998	0.0511689	0.106222	0.074428	0.0765746	0.0805231	0.0792276	0.0357499	0.0235481	0.0193669	0.00979516	0.00849869	0.0106786	0.011339	0.00764117	0.00727779	0.00553519	0.00520113	0.00679663	0.00942878	0.01076	0.0112295	0.00903822	0.00869418	0.0105433	0.00835228	0.0046635	0.00638992	0.0106901	0.00897729	0.0131211	0.00971913	0.0109678	0.0147114	0.0159828	0.0158682	0.0160988	0.018218	0.0152518	0.0203966	0.018542	0.0393788
épouse	0.00251869	0.00477843	0.0125497	0.0113782	0.0288341	0.0453817	0.056752	0.042218	0.0224476	0.0234676	0.0254704	0.0498678	0.0360624	0.0491061	0.0484093	0.0496904	0.0469236	0.07174	0.0347582	0.0301358	0.0231554	0.0218942	0.0219458	0.0280381	0.0295184	0.0342283	0.0357438	0.0411969	0.0197961	0.0229691	0.0090432	0.00444777	0.00263305	0.00387144	0.00132424	0.000586567	0.000915477	0.000812933	0.000756434	0.000945012	0.000785699	0.00110558	0.00127181	0.000524518
l'	0.0290695	0.0224932	0.016294	0.0178518	0.0243646	0.0448913	0.0539204	0.0499041	0.0545661	0.0535633	0.0717631	0.0338338	0.0347939	0.0162428	0.0187622	0.0221848	0.0247455	0.031361	0.0363253	0.0353121	0.0390638	0.0281536	0.0331748	0.0220939	0.0101862	0.00632516	0.00467069	0.00657065	0.00420008	0.00499067	0.00545954	0.00518372	0.00774342	0.00879513	0.0120067	0.0143416	0.0102504	0.0107842	0.00938807	0.0134015	0.0119669	0.0116893	0.0190267	0.00829077
a	0.0358479	0.0148246	0.00987233	0.00930242	0.00995378	0.0140675	0.0403044	0.0253597	0.0147025	0.0289046	0.0173177	0.01426	0.0186365	0.0192829	0.0322049	0.0227912	0.024082	0.0345792	0.0243321	0.0348498	0.0515297	0.0664574	0.0729031	0.0762982	0.053035	0.0491457	0.0281881	0.0240238	0.0168686	0.0297189	0.0174357	0.00960629	0.00592243	0.00165498	0.00189824	0.00167104	0.00193562	0.00239287	0.00376084	0.00646933	0.00699847	0.00577395	0.00686925	0.0139662
quitté	0.0143893	0.0155459	0.0192676	0.0197099	0.0146159	0.0189764	0.0309829	0.0329017	0.0357609	0.0416396	0.0589904	0.0346158	0.0364213	0.0220592	0.0343323	0.0485635	0.0295688	0.0331835	0.0262767	0.0264263	0.037115	0.0476847	0.0427909	0.024621	0.0330385	0.0466821	0.0251672	0.0235929	0.0164604	0.0106361	0.0125461	0.00870814	0.00553056	0.00322046	0.00234612	0.00196441	0.00250812	0.00356556	0.00484852	0.00730305	0.00818973	0.00886625	0.0102208	0.0181652
du	0.0330238	0.0209428	0.0204077	0.0156624	0.0248869	0.0294245	0.0408075	0.0384984	0.0350826	0.0345704	0.0497971	0.032518	0.0385577	0.0324802	0.0459711	0.0364657	0.0229965	0.0276596	0.02726	0.027654	0.0341383	0.0397089	0.0131577	0.00914158	0.00746235	0.00698551	0.00538257	0.00573485	0.00332029	0.00622835	0.0116502	0.0123546	0.0137519	0.0113973	0.0147749	0.0149893	0.011947	0.0163674	0.0185304	0.0180433	0.0175652	0.0168235	0.016466	0.0394114
fait	0.0161343	0.00993068	0.00884833	0.0114147	0.0156617	0.0323481	0.0482327	0.0456085	0.0421459	0.0540262	0.0391946	0.0271555	0.0335805	0.0257348	0.0410237	0.0380216	0.039039	0.0544227	0.0495728	0.0514772	0.0644556	0.0531802	0.028616	0.0166406	0.00908635	0.00738489	0.0057995	0.00767433	0.00691222	0.00840534	0.0104445	0.00705657	0.00672183	0.00429327	0.00438077	0.00349635	0.00302332	0.00638289	0.00675333	0.0100809	0.00999891	0.0111049	0.0107881	0.013746
qu'	0.0193386	0.0120674	0.0107075	0.016557	0.0193722	0.0483654	0.0666623	0.0642498	0.051254	0.0502439	0.0371535	0.0260264	0.036179	0.0178428	0.0254306	0.035522	0.0388989	0.0271528	0.026379	0.022914	0.0437634	0.0320049	0.0229405	0.00923914	0.00787216	0.00632429	0.00499513	0.00767765	0.00855609	0.00777852	0.0126851	0.0124882	0.00995275	0.00897798	0.0177051	0.0168137	0.00990318	0.0136218	0.0143284	0.0149898	0.0168813	0.0148501	0.0133194	0.0200142
il	0.0332485	0.0271003	0.020338	0.0197305	0.0201459	0.0250674	0.0205588	0.0218048	0.0299894	0.0299061	0.0320802	0.0270522	0.0312631	0.0236489	0.0238427	0.0242256	0.0165255	0.021668	0.0190338	0.0142383	0.0203533	0.0185224	0.0111762	0.0109185	0.00812035	0.0060249	0.00633295	0.00675071	0.00495166	0.00821546	0.02696	0.0193565	0.0288071	0.013117	0.0151246	0.0172778	0.0127764	0.0214281	0.024619	0.041632	0.0334955	0.0381069	0.0519767	0.0724879
n'	0.0165854	0.0149836	0.0160352	0.021127	0.0226717	0.0402874	0.0474427	0.0532277	0.0543024	0.0484902	0.0283947	0.0267026	0.0240567	0.0267351	0.042328	0.035035	0.0248609	0.0393617	0.0242389	0.0194558	0.0241947	0.0241499	0.0168211	0.0146459	0.0116105	0.00898574	0.00891779	0.0137409	0.00717284	0.00931103	0.0142279	0.00761315	0.0117749	0.00624416	0.00920209	0.00880151	0.010752	0.0148662	0.0125204	0.0198582	0.0171623	0.0243498	0.0310427	0.0457111
