 	a66	a87	a97	a87	a99	a87	a23	a18	a38	a21	a12	a18	a31	a0	a24	a62	a21	a92	a79	a92	a12	a47	a88	a71	a9	a99	a97	a87	a23	a99	a83	a50	a88	a50	a88	a24	a88	a71	a53	a69	a58	a84	a82	a87	a99	a97	a87	a23	a87	</S>
sa	0.0453769	0.0462448	0.0343648	0.0374604	0.0248789	0.0365519	0.037196	0.0677134	0.0519355	0.0320304	0.0337297	0.0273112	0.0312167	0.037217	0.0310938	0.0147462	0.0137481	0.0192078	0.0250086	0.0145528	0.0135051	0.0196523	0.0133598	0.0113405	0.0110751	0.0141712	0.011769	0.00993316	0.00909457	0.0103081	0.00862486	0.0107954	0.00811829	0.00733132	0.00545121	0.00399063	0.00320329	0.00960888	0.00818004	0.010136	0.0113448	0.0136027	0.0145169	0.0189994	0.0166739	0.0171548	0.0116652	0.0106044	0.00896869	0.0152353
manière	0.00220295	0.0026155	0.00394467	0.00460323	0.00990136	0.0115214	0.0163063	0.0252368	0.0125743	0.00812723	0.0125965	0.0109493	0.0121257	0.0146259	0.0261842	0.054951	0.0805554	0.125971	0.0661283	0.0900378	0.10834	0.077783	0.0586654	0.0408965	0.0297244	0.0206119	0.0104271	0.00436292	0.00524843	0.00687821	0.00334566	0.00229861	0.0024108	0.0043621	0.00403558	0.00156703	0.00340458	0.00205984	0.00352658	0.000962724	0.000763598	0.000300746	0.000753381	0.00103377	0.00124313	0.00175695	0.00146307	0.00254634	0.0023127	0.00575628
de	0.0542304	0.0319257	0.0250387	0.0198268	0.0213648	0.0188839	0.0234517	0.0153573	0.0122818	0.013807	0.0160146	0.00993903	0.0185928	0.0122836	0.00698093	0.0157225	0.0206904	0.0223584	0.0223935	0.0129866	0.0186568	0.0142502	0.0178654	0.0114697	0.0110372	0.0126224	0.0131869	0.0119855	0.016093	0.0071252	0.00997991	0.00884382	0.00894685	0.00982038	0.00889519	0.00908582	0.00561699	0.00700485	0.0131788	0.0234868	0.0296718	0.0308652	0.0264686	0.0241932	0.0381311	0.0379597	0.0380334	0.0390481	0.0608986	0.0414482
contrôler	0.0251797	0.0188629	0.0166776	0.0125716	0.00741889	0.0108466	0.0175087	0.0104426	0.0121694	0.0142497	0.00795122	0.00734531	0.00649873	0.01396	0.00580471	0.00502511	0.0106047	0.0112137	0.00842645	0.0058012	0.010581	0.0133513	0.0177371	0.0188599	0.0238189	0.0510593	0.0582532	0.0818687	0.0670628	0.0408177	0.100634	0.0860136	0.0684913	0.0303574	0.0163733	0.0130085	0.00880894	0.00805366	0.00450924	0.00623939	0.00505794	0.00282251	0.0033037	0.00338475	0.00605765	0.00379333	0.00394971	0.00465575	0.00830923	0.00420794
là	0.0217108	0.00873978	0.00731359	0.00471179	0.00409294	0.00436271	0.00478943	0.00894087	0.008423	0.00999481	0.00650457	0.00769857	0.0108102	0.0225812	0.00955542	0.00814143	0.0149803	0.011156	0.0116648	0.0104141	0.0274367	0.0313971	0.0363711	0.0539781	0.0597376	0.0796218	0.0728981	0.0694006	0.071576	0.0398355	0.0311571	0.0226657	0.0254876	0.0101249	0.00753572	0.00474449	0.0038267	0.00394664	0.00420771	0.00966332	0.0124029	0.00848899	0.00932137	0.00820533	0.0118059	0.0110722	0.0127462	0.0140647	0.0203239	0.0293699
laissera	0.0668463	0.0206281	0.0182004	0.011298	0.00760561	0.00640262	0.00724017	0.00589443	0.0102486	0.0168447	0.014271	0.0147388	0.0174489	0.026907	0.0211667	0.0277863	0.0355184	0.0151447	0.022053	0.0177211	0.0196132	0.0171234	0.0273035	0.0283171	0.0364949	0.0248323	0.0239047	0.0173176	0.0197699	0.0155126	0.0111415	0.0128383	0.0121754	0.0132648	0.0135841	0.0106566	0.00982172	0.0121686	0.0119109	0.0291068	0.0221835	0.0087494	0.0229838	0.0225086	0.031282	0.0309187	0.0238935	0.0207885	0.0333664	0.0325028
passer	0.0707507	0.0374474	0.0225435	0.0166774	0.00888115	0.0070305	0.00698335	0.00426113	0.00853534	0.0114305	0.00764831	0.00812736	0.0101543	0.0133682	0.0122728	0.0143264	0.0184188	0.0109717	0.011495	0.0109961	0.0255013	0.0261818	0.0281829	0.0380961	0.0561044	0.0523626	0.0456507	0.031736	0.0379788	0.0251289	0.0180805	0.0247079	0.0222552	0.0112539	0.016942	0.0115772	0.00744262	0.00833532	0.00487761	0.0193093	0.0118704	0.00659415	0.0131565	0.00913415	0.0181346	0.0205048	0.0183323	0.0196446	0.0282196	0.0303839
plusieurs	0.0410988	0.0268849	0.0163418	0.0121515	0.00771206	0.00626367	0.00579659	0.00352246	0.00552702	0.00815432	0.00577648	0.0046884	0.00454056	0.00300103	0.00462906	0.00735005	0.00959117	0.00745132	0.00656331	0.003502	0.00797895	0.0106489	0.0111111	0.0160232	0.01989	0.0176977	0.0112492	0.0102811	0.0111423	0.00766129	0.00822998	0.00935235	0.010304	0.0106061	0.0197172	0.0249155	0.0228323	0.0330693	0.0438216	0.0541333	0.0360293	0.0350163	0.0323431	0.0267596	0.050573	0.0391779	0.05026	0.0526543	0.0468089	0.0791658
tricheurs	0.025569	0.0185692	0.0215386	0.0124925	0.0085744	0.007775	0.0086274	0.00900747	0.0148151	0.0172542	0.0167316	0.020887	0.0201237	0.0114272	0.019093	0.0328245	0.0279175	0.0261082	0.0255715	0.0115453	0.012121	0.0142921	0.0100909	0.00855452	0.00944168	0.0121153	0.0109549	0.00685858	0.00681207	0.00489133	0.00506181	0.00545039	0.00673107	0.00788704	0.00672391	0.00828285	0.00673191	0.0140752	0.0104777	0.0123207	0.0121255	0.0116419	0.0242825	0.0359748	0.0655092	0.0630708	0.0566744	0.0784411	0.0645203	0.0514321
</S>	0.0440806	0.0369251	0.0339797	0.0323368	0.0287623	0.0302063	0.0328881	0.0334457	0.0290586	0.022887	0.0225847	0.0228601	0.0205724	0.0141388	0.0265408	0.0247907	0.0156465	0.019576	0.0388733	0.0175619	0.013096	0.0153664	0.0116206	0.0111376	0.0101425	0.0114398	0.00975963	0.00695555	0.00546439	0.00407752	0.00472892	0.00583615	0.00424335	0.00561339	0.00788439	0.00911082	0.00732601	0.0100294	0.00641982	0.00756573	0.00559204	0.00537838	0.00885862	0.0117281	0.0298597	0.0266401	0.0258786	0.0394797	0.0327593	0.0982921
