 	a23	a87	a23	a50	a96	a66	a75	a5	a61	a0	a61	a96	a44	a98	a47	a61	a31	a61	a62	a88	a66	a90	a44	a94	a58	a82	a10	a87	a23	a87	</S>
les	0.114627	0.0851961	0.0485972	0.0603556	0.067038	0.0272092	0.0231046	0.0217515	0.0263007	0.0365888	0.0316935	0.029887	0.0341253	0.0504446	0.0429668	0.0283534	0.0423634	0.014729	0.00703613	0.00597554	0.0113195	0.0130688	0.0164803	0.0269242	0.0239739	0.0186134	0.0141836	0.0148009	0.01616	0.0150464	0.0310854
boules	0.0062246	0.0119198	0.0198029	0.0275436	0.0298479	0.0543581	0.0901486	0.0853668	0.0826961	0.0759186	0.0784105	0.0827359	0.0891431	0.0644141	0.0532548	0.040452	0.0334641	0.01459	0.00679409	0.00799305	0.00578563	0.0033708	0.00152028	0.00251111	0.00167539	0.00300047	0.00269883	0.00561025	0.00532583	0.0084789	0.00494384
de	0.0172322	0.0361156	0.0339002	0.0391045	0.0494746	0.0521111	0.0684223	0.101371	0.0798748	0.140546	0.102677	0.0773593	0.0403222	0.0596335	0.041499	0.0196607	0.00360021	0.00376301	0.00401359	0.0027389	0.00170218	0.0025154	0.00274105	0.00259967	0.0022278	0.00249487	0.00312498	0.00353342	0.00250137	0.00265714	0.00048262
manioc	0.0208138	0.0125468	0.0109711	0.0121503	0.0177104	0.0360858	0.029255	0.0393665	0.0506775	0.0663917	0.0706457	0.0427213	0.0210761	0.0328778	0.0303931	0.0261793	0.00371483	0.00353864	0.00221668	0.00213502	0.00198862	0.00706148	0.00637235	0.0184281	0.0256907	0.0474315	0.0774943	0.0901429	0.0920442	0.0769263	0.024952
qu'	0.10265	0.0366097	0.0160814	0.0180705	0.0153788	0.0234837	0.0246274	0.0496012	0.0731672	0.139931	0.125507	0.0383112	0.0152811	0.0241601	0.0242275	0.0270501	0.00880005	0.00527657	0.00410031	0.00264003	0.00119236	0.0063843	0.0034491	0.0053024	0.00807723	0.0161158	0.0329032	0.0344888	0.0460909	0.0398921	0.0311481
on	0.0585095	0.0300206	0.0274939	0.0252048	0.0154337	0.0204121	0.0229689	0.0417176	0.0310898	0.0550326	0.0407682	0.0269302	0.0298467	0.0303694	0.0200254	0.0145373	0.00508044	0.00680023	0.0106364	0.00612897	0.00746659	0.0244806	0.0351001	0.0284816	0.0497633	0.0484483	0.0454082	0.0639766	0.0576274	0.0482285	0.072012
m'	0.0143563	0.00602023	0.00695915	0.0077833	0.00515369	0.00916154	0.0104235	0.0185367	0.0148045	0.0189075	0.0145146	0.0152173	0.0166347	0.0217571	0.0167775	0.0157632	0.0137393	0.0117796	0.0198931	0.0118805	0.0154734	0.0206862	0.030841	0.052975	0.0673452	0.0896516	0.143185	0.0881253	0.0776332	0.0717443	0.0722765
a	0.0145374	0.00848481	0.010757	0.0102301	0.00517308	0.00809935	0.00699462	0.00820552	0.011194	0.0124823	0.00957165	0.0100094	0.0080245	0.00943209	0.0128242	0.00986117	0.00341821	0.00560634	0.0075711	0.00609727	0.00643401	0.00915939	0.0189883	0.0743979	0.091279	0.126926	0.155013	0.114014	0.0909561	0.0805564	0.053702
envoyées	0.0134242	0.00775686	0.00798119	0.0051597	0.00217235	0.00387801	0.00301062	0.00428486	0.00607035	0.00671199	0.00829258	0.0110909	0.00826147	0.00599872	0.00673443	0.00918713	0.0018207	0.00321221	0.00367654	0.00359469	0.00494272	0.00663671	0.00994862	0.0223655	0.0429288	0.0821505	0.11676	0.125526	0.156158	0.130323	0.17994
ont	0.0353555	0.0226044	0.0198541	0.0128757	0.007184	0.00624502	0.00507577	0.00511472	0.00323953	0.00368653	0.00371323	0.00341387	0.00307537	0.00226626	0.00309161	0.0028522	0.00340866	0.00364713	0.00569721	0.00814248	0.0210366	0.0191154	0.0329935	0.0406474	0.0623161	0.0814199	0.0837156	0.128123	0.131548	0.12862	0.109922
moisi	0.0201674	0.0136319	0.0139648	0.0110656	0.00771764	0.00828647	0.00730194	0.00735816	0.00522405	0.00522389	0.00493829	0.00388331	0.00416768	0.00267093	0.00268631	0.00337479	0.00393926	0.00570787	0.00722838	0.0107239	0.0171046	0.0155261	0.0200752	0.0227011	0.040379	0.0679561	0.0850522	0.110921	0.142836	0.137935	0.190251
</S>	0.0562499	0.0358905	0.0283634	0.0240375	0.0109498	0.00950636	0.00798133	0.00664255	0.00328979	0.00546817	0.00339296	0.0019096	0.00260525	0.00201263	0.002013	0.00163069	0.00213867	0.0038503	0.00624158	0.00683252	0.0168621	0.0203867	0.0116846	0.0189495	0.0291221	0.0415411	0.0659067	0.0725054	0.114647	0.134554	0.252834
