 	a23	a99	a30	a20	a94	a54	a30	a44	a26	a57	a38	a41	a96	a94	a41	a35	a20	a84	a53	a90	a43	a32	a25	a12	a62	a21	a85	a14	a35	a76	a90	a13	a53	a90	a21	a41	a73	a84	a57	a87	a23	a38	a20	a94	a98	a90	a41	a94	a4	a44	a27	a57	a87	</S>
il	0.00898346	0.0121125	0.0272784	0.0630117	0.025388	0.0354101	0.043704	0.0886614	0.0370967	0.0644989	0.0749546	0.0673266	0.0489336	0.0366758	0.0328642	0.0184803	0.0414752	0.0327604	0.0211057	0.031984	0.0137031	0.00444195	0.00541671	0.00345393	0.00297847	0.00299137	0.00167091	0.00149739	0.00192874	0.00159814	0.00246754	0.0025642	0.0024591	0.00293991	0.00399793	0.00232292	0.00346889	0.00534244	0.00408175	0.00477547	0.00350925	0.00344206	0.00333135	0.00316116	0.00336927	0.00452643	0.00452169	0.0052154	0.00409003	0.00511879	0.0101018	0.0128714	0.0150685	0.0348663
attire	0.00123836	0.0012568	0.00154232	0.00231045	0.00607503	0.00891832	0.00844113	0.0147794	0.0203401	0.0278039	0.0240685	0.0449561	0.0290623	0.0292067	0.0405663	0.0370401	0.0372689	0.0350196	0.014451	0.0139307	0.0155814	0.0144201	0.0219914	0.0207504	0.0341374	0.0347392	0.026112	0.0355579	0.0321283	0.0294995	0.0291388	0.0288227	0.0174463	0.00867634	0.012324	0.0129165	0.00815562	0.0108748	0.0101735	0.00933032	0.00827927	0.0136123	0.011685	0.0157322	0.0167952	0.0163557	0.0178613	0.0131563	0.0147115	0.0216666	0.0131981	0.0128751	0.00811494	0.00490436
les	0.00756557	0.0131694	0.00622428	0.00515575	0.00705605	0.00783683	0.0104315	0.0224987	0.0307449	0.0427268	0.0371989	0.0556508	0.0435411	0.0553859	0.0614123	0.0534436	0.0292981	0.0242927	0.0109342	0.00847482	0.00962394	0.00978048	0.011718	0.00526932	0.00727417	0.00470961	0.00370577	0.00377389	0.00370894	0.003308	0.00314843	0.00461725	0.00330805	0.00179862	0.00210316	0.00285105	0.00215156	0.00209781	0.0037314	0.00414257	0.00318389	0.00455596	0.012162	0.0118299	0.0178621	0.0256666	0.0361748	0.0254752	0.0273142	0.0380291	0.033183	0.0281084	0.0409816	0.069609
animaux	0.0312331	0.01658	0.0184029	0.0151701	0.00884765	0.0127866	0.0114986	0.0159792	0.0217407	0.0176095	0.0133157	0.0254301	0.0458656	0.039692	0.0579291	0.0338474	0.0248811	0.0408405	0.0283749	0.023443	0.0335896	0.031379	0.019791	0.0172824	0.0173219	0.0136237	0.0168517	0.0180645	0.0175634	0.0173133	0.0188735	0.0210611	0.025342	0.0264553	0.0269197	0.0337188	0.0214158	0.0195135	0.0296019	0.0191043	0.0195232	0.00639591	0.00431734	0.00460072	0.00387869	0.00310474	0.0016928	0.00149744	0.00121477	0.00112282	0.000982705	0.0010777	0.000851852	0.00148507
au	0.0156233	0.0144714	0.0165194	0.0147941	0.0146061	0.0132614	0.0112315	0.0160691	0.0209309	0.0160284	0.0173913	0.0380128	0.0608738	0.052831	0.0637348	0.0357428	0.0291662	0.0295364	0.024119	0.0182309	0.016056	0.0177081	0.0193933	0.0204491	0.0215563	0.0270578	0.0265856	0.0354589	0.0299376	0.0241143	0.0227573	0.0207921	0.0220837	0.0153168	0.0119908	0.0050561	0.00962959	0.00675866	0.00765701	0.0052936	0.0056568	0.0100224	0.00720276	0.00610129	0.00897757	0.00753359	0.00648057	0.00832731	0.00575989	0.00941714	0.00861076	0.00897544	0.0095843	0.00852278
piège	0.0130133	0.00886578	0.00863081	0.0121187	0.0142329	0.0204302	0.017852	0.025966	0.0280634	0.0422087	0.0473165	0.0471434	0.0794954	0.0390115	0.0632712	0.0217435	0.0121743	0.020638	0.0295887	0.0228706	0.0302868	0.0336136	0.0218268	0.0304132	0.0185926	0.0206609	0.0258469	0.0208094	0.0212995	0.0205526	0.0196707	0.015955	0.0268697	0.0210233	0.00940459	0.00261354	0.00892987	0.00421453	0.0053048	0.00292358	0.00440905	0.00464462	0.00365602	0.00364477	0.00515497	0.00387496	0.00322161	0.00434578	0.00263934	0.00521087	0.00489257	0.00636148	0.00573941	0.00675777
avec	0.04177	0.0333335	0.0474268	0.0209492	0.0241543	0.0313067	0.0212473	0.0316612	0.064773	0.0517303	0.0757739	0.0812854	0.0472222	0.0367322	0.0412117	0.0392372	0.023533	0.0139106	0.0123681	0.0084133	0.00668514	0.00465939	0.00438054	0.00370288	0.00315775	0.00607001	0.00710495	0.0118904	0.00842155	0.00952087	0.0137058	0.00783763	0.00656217	0.0061149	0.0075716	0.00541952	0.00581354	0.00338362	0.00301411	0.0022586	0.00267326	0.0020555	0.00201315	0.00190131	0.00261911	0.00172331	0.00112896	0.00296397	0.00179784	0.00555198	0.0109922	0.0113381	0.0204162	0.0575101
un	0.0244594	0.0195965	0.00701514	0.00237844	0.0024686	0.00261139	0.00150474	0.00229154	0.00620536	0.00430236	0.00542853	0.0122334	0.00762279	0.00943171	0.0103227	0.0152816	0.00909953	0.00756853	0.00459213	0.00527026	0.00515543	0.0049084	0.00616346	0.00508276	0.00963278	0.00672987	0.00760029	0.0110347	0.00954749	0.00863762	0.0128366	0.0118266	0.0112178	0.0131093	0.0275789	0.0171279	0.032679	0.0319406	0.0211869	0.0181636	0.0228043	0.0184998	0.0220111	0.0181006	0.019197	0.0325922	0.0381774	0.0789437	0.0648554	0.0735736	0.0579947	0.050235	0.0392825	0.031888
remède	0.0129692	0.0135037	0.0107994	0.0152205	0.00505321	0.00486364	0.005045	0.00518388	0.00462646	0.00500231	0.00668137	0.00714118	0.00857038	0.00806417	0.010119	0.0060643	0.00776915	0.015703	0.0150917	0.0211943	0.0188774	0.0144333	0.0212608	0.0197914	0.0280966	0.0199517	0.0222785	0.0343417	0.0285641	0.0273946	0.0291906	0.033405	0.0294272	0.0285193	0.0253124	0.0257434	0.022989	0.0208895	0.0197794	0.0189056	0.0186538	0.0179436	0.0195854	0.0171079	0.016951	0.0302134	0.0378548	0.0301551	0.0288324	0.0233887	0.0237298	0.0189867	0.0154744	0.0233059
</S>	0.0374257	0.0274914	0.0153512	0.0110276	0.00388467	0.00545408	0.00851744	0.00741048	0.00773373	0.00727386	0.00572723	0.0131938	0.00964589	0.0051133	0.00706716	0.00564999	0.00929679	0.0193484	0.0139767	0.0169207	0.0163972	0.00837529	0.00906448	0.00815743	0.00763278	0.00784297	0.00646595	0.010991	0.0112764	0.0110243	0.013438	0.0117771	0.012834	0.0183769	0.0153041	0.00620142	0.0157034	0.0123687	0.0169435	0.0147095	0.0114421	0.0123207	0.0135387	0.0117559	0.0170132	0.0338655	0.0358142	0.051166	0.0404476	0.0408396	0.0711776	0.0512463	0.0673064	0.0696717
