 	a66	a87	a23	a30	a13	a70	a61	a96	a93	a90	a98	a92	a36	a12	a21	a85	a36	a21	a5	a18	a47	a88	a62	a21	a5	a85	a37	a92	a37	a70	a13	a99	a87	a23	a87	</S>
cette	0.0205472	0.0667969	0.0854254	0.0565048	0.0431019	0.0643198	0.0281664	0.0224242	0.0145789	0.0142893	0.0139395	0.0123237	0.0161245	0.0109741	0.0131417	0.0114117	0.00817291	0.00977606	0.00786666	0.0106897	0.0124268	0.0191243	0.0155309	0.0240095	0.0217798	0.0368385	0.0392795	0.041554	0.025496	0.0674519	0.0204711	0.0382824	0.0195689	0.0279007	0.0172247	0.0424854
femme	0.0145796	0.0183909	0.0235098	0.0336467	0.0261889	0.0173276	0.0327634	0.0267161	0.0368711	0.0213445	0.070721	0.0536052	0.0478717	0.0461693	0.0916754	0.0603709	0.0528809	0.0307453	0.0229965	0.0205288	0.0452615	0.0177772	0.0229041	0.0337422	0.032955	0.0112175	0.021224	0.00578514	0.00825484	0.00661814	0.00366773	0.00545357	0.00658555	0.00741814	0.0119456	0.0102863
fait	0.0425364	0.0618751	0.0574932	0.0776583	0.193477	0.0840823	0.0905043	0.0193543	0.0458122	0.0365013	0.0145318	0.0140991	0.0183005	0.0243672	0.00992194	0.0113968	0.0136759	0.0136229	0.0221201	0.0092003	0.00812027	0.00397923	0.00499905	0.0228226	0.0115026	0.00574586	0.0107516	0.00450495	0.00689165	0.00758976	0.00239353	0.00617702	0.0104973	0.00869648	0.0195119	0.0052849
des	0.0501795	0.0235086	0.0164801	0.0223377	0.0172266	0.00940898	0.014046	0.00910838	0.0177057	0.0267006	0.0252791	0.0326829	0.0278883	0.0594734	0.0318106	0.0264985	0.0232209	0.0209516	0.0260408	0.0382218	0.0302225	0.0274397	0.0217131	0.0348795	0.033616	0.0286034	0.0347447	0.022582	0.0213584	0.0282725	0.0228661	0.0442276	0.0291941	0.031722	0.0278189	0.0419694
manières	0.0131414	0.0262018	0.0387658	0.0480803	0.0273159	0.023839	0.00936331	0.0108998	0.0118566	0.0240782	0.0257535	0.0346317	0.0360923	0.0492152	0.0575231	0.0920588	0.0666261	0.0717526	0.0492696	0.0540527	0.0398747	0.0377288	0.0162439	0.0198575	0.0276808	0.0141124	0.00869322	0.0120593	0.00971371	0.0086461	0.00915702	0.00912879	0.00510897	0.00432141	0.00380716	0.00334851
pour	0.00780088	0.0101595	0.0101176	0.0078476	0.0132204	0.0247712	0.0330723	0.0380654	0.0427086	0.0553237	0.0435423	0.0442493	0.0406168	0.0283215	0.0291613	0.0153027	0.0126336	0.00980517	0.00596136	0.00488916	0.00584611	0.00737529	0.00613686	0.0125586	0.0102494	0.0441363	0.0512056	0.0311268	0.05656	0.0665936	0.0280935	0.0490744	0.0430814	0.0397506	0.0308016	0.0398395
me	0.0255935	0.0390025	0.0439136	0.0429295	0.0168953	0.0164187	0.0234202	0.0100874	0.0225312	0.0261713	0.0131062	0.0330325	0.0433975	0.0778984	0.0440422	0.0365519	0.0414236	0.0439753	0.0409461	0.0318989	0.0393925	0.0312209	0.0336849	0.029376	0.0212462	0.0267376	0.0266729	0.00821599	0.0240552	0.022085	0.0142204	0.0150795	0.0148196	0.00628643	0.00690582	0.00676535
vendre	0.0311349	0.0321119	0.0401898	0.0573755	0.0348693	0.0327921	0.0328209	0.0192719	0.0289007	0.0329993	0.0211826	0.0258448	0.0201527	0.0346883	0.0230787	0.0271692	0.041619	0.047939	0.0612629	0.0402332	0.034461	0.0265818	0.0196431	0.0215847	0.0227565	0.020588	0.0237313	0.0154058	0.0281786	0.0256837	0.0111189	0.0169982	0.0176668	0.0101744	0.00966119	0.0101292
des	0.035362	0.0222852	0.0203599	0.0148099	0.0116339	0.0119888	0.0122729	0.00824065	0.00625904	0.0106878	0.0112055	0.0113966	0.0129602	0.0123311	0.0104499	0.00962629	0.0133449	0.0138181	0.0172553	0.02858	0.0256653	0.0352945	0.027672	0.01834	0.0163334	0.0352091	0.0381375	0.0183798	0.0489	0.0544608	0.0590124	0.0660973	0.101082	0.0564857	0.0542555	0.0498064
arachides	0.0377125	0.0177477	0.014803	0.0153898	0.00783401	0.00961478	0.00788759	0.00560998	0.0047659	0.00848757	0.00897888	0.00841816	0.010122	0.00957301	0.00987873	0.00915745	0.0122754	0.012124	0.0175977	0.0323957	0.0276402	0.0404842	0.0393701	0.0258183	0.0160423	0.0219973	0.0438517	0.0175001	0.0476602	0.052243	0.0523485	0.0693069	0.088786	0.0722514	0.064979	0.0593468
</S>	0.0276547	0.0236445	0.0196257	0.016544	0.0148007	0.0242238	0.0165263	0.00976123	0.00883379	0.0142731	0.0140035	0.0110302	0.0114564	0.00963147	0.0107306	0.00700416	0.00802151	0.00793492	0.0119103	0.0143863	0.0104902	0.0194409	0.0106221	0.0203169	0.0140154	0.0383568	0.058849	0.0305523	0.053925	0.0809211	0.065575	0.0777724	0.0779292	0.0528816	0.0506932	0.0556618
