 	a66	a87	a23	a13	a53	a69	a58	a13	a44	a98	a47	a36	a7	a40	a47	a7	a44	a37	a47	a37	a5	a61	a21	a12	a18	a9	a3	a87	a23	a50	a88	a62	a88	a50	a61	a54	a79	a7	a82	a87	a23	a87	</S>
il	0.0369442	0.0620866	0.0566492	0.0315105	0.0595703	0.0360841	0.0670604	0.0378876	0.0210023	0.0265791	0.0358273	0.0212856	0.0212609	0.0200669	0.0190514	0.01403	0.0141684	0.01849	0.0102519	0.0162764	0.0169591	0.0193661	0.0268193	0.0309587	0.0205509	0.0198359	0.0272956	0.0214924	0.00690029	0.00931844	0.00794465	0.00950335	0.008679	0.0106588	0.00769142	0.00989714	0.0120266	0.00956708	0.0127872	0.00965593	0.0168362	0.0100504	0.0491223
a	0.00743897	0.00648395	0.00539107	0.00846785	0.00753524	0.0146437	0.0378802	0.0240814	0.0344432	0.0409293	0.0590993	0.0268516	0.0322398	0.0486306	0.038003	0.0499797	0.0408636	0.0233384	0.0278706	0.0304503	0.03658	0.0365977	0.0261432	0.0262881	0.00980632	0.0129363	0.0133681	0.0158957	0.0100262	0.0111432	0.00712767	0.0106406	0.00982868	0.0164617	0.0144572	0.0275871	0.0163081	0.0282652	0.0166068	0.0202403	0.016829	0.0315489	0.0206924
abandonné	0.00591949	0.00249468	0.00267474	0.00446587	0.00417954	0.0064343	0.0084237	0.00910315	0.0176572	0.052697	0.0790769	0.0525007	0.0663916	0.125872	0.101354	0.0764018	0.0959771	0.0364596	0.0371367	0.0347157	0.00801179	0.0109367	0.00583346	0.00618229	0.00299268	0.00340773	0.00207447	0.00252479	0.00141572	0.00181914	0.00179696	0.00239198	0.0026705	0.00401246	0.00414476	0.00973162	0.010571	0.0115889	0.013185	0.0183833	0.00909854	0.028438	0.0188524
le	0.0456327	0.0450822	0.0291894	0.0309003	0.0105434	0.00741669	0.00310274	0.0023155	0.0017711	0.00197977	0.00228067	0.00499861	0.00397217	0.0100251	0.00902471	0.00834542	0.0154341	0.0128858	0.0186247	0.0170652	0.0147803	0.0191432	0.0234805	0.0404717	0.0388397	0.0407487	0.0316641	0.054489	0.0502669	0.0518158	0.0506998	0.047656	0.0350696	0.0345537	0.0165283	0.0263556	0.0183687	0.0184455	0.0234072	0.0280282	0.0191171	0.0180299	0.0174499
poisson	0.0406845	0.0321269	0.0345901	0.0305969	0.0454448	0.042019	0.0330102	0.0235924	0.0140777	0.0113851	0.0125693	0.0194357	0.0144116	0.0262907	0.0240029	0.0251045	0.041457	0.0268813	0.0275652	0.0314092	0.0302599	0.0243377	0.0362317	0.0318694	0.0446446	0.0317755	0.0319549	0.0386697	0.0320109	0.0192028	0.0164284	0.00788681	0.0101337	0.00882364	0.00644792	0.00746463	0.0053611	0.00616871	0.00926347	0.0110363	0.00985458	0.0117706	0.011748
salé	0.0302508	0.0255604	0.0276392	0.0261446	0.0195088	0.0127766	0.0126298	0.0100073	0.00721132	0.0174317	0.0263013	0.0297114	0.0365144	0.0601852	0.0717236	0.0732621	0.0689801	0.0567666	0.0383332	0.0430937	0.0199245	0.0236556	0.0113326	0.0168518	0.00675049	0.0104645	0.0105696	0.0117871	0.00775505	0.00816863	0.00867548	0.00540516	0.00955621	0.00933104	0.00581176	0.00796751	0.0065509	0.00988106	0.0137111	0.0233536	0.0174898	0.0254572	0.0355171
là	0.0491373	0.0571583	0.0654018	0.0431265	0.0312478	0.0340797	0.0449994	0.0431367	0.0212571	0.0336231	0.0492575	0.0214155	0.0294724	0.040439	0.0468845	0.053585	0.0292159	0.0195484	0.0122625	0.0150135	0.00984701	0.0144172	0.00666608	0.00735652	0.00253554	0.00537234	0.00533314	0.00619806	0.00304274	0.00509278	0.00409024	0.00531077	0.00576993	0.00820936	0.00857141	0.010171	0.00898488	0.0162766	0.0170293	0.0244744	0.0160587	0.0413716	0.0275585
où	0.0364309	0.0242192	0.0314288	0.0349807	0.0262089	0.03451	0.0206681	0.0290957	0.0128444	0.024815	0.0295604	0.0443918	0.0154903	0.0235908	0.0211313	0.032879	0.0221446	0.0254108	0.0268195	0.0219688	0.011861	0.0167119	0.00933773	0.0097034	0.00433352	0.00926562	0.00862922	0.0139099	0.00584741	0.0105223	0.00961608	0.0114196	0.0173206	0.0183876	0.01485	0.0226068	0.0315145	0.0453575	0.0319251	0.0445955	0.0294223	0.0496912	0.0345822
il	0.0509989	0.0369671	0.0482894	0.0416765	0.0304622	0.0322919	0.0312787	0.0345986	0.0106831	0.0225259	0.0281237	0.0408322	0.00867735	0.0195551	0.0162175	0.0270269	0.0191025	0.0189325	0.0176264	0.0175304	0.00927987	0.00989358	0.00709139	0.00949699	0.00437125	0.00827634	0.0101542	0.0121672	0.00579548	0.0108437	0.00698454	0.00922872	0.0125314	0.0129166	0.0113864	0.0193494	0.0293097	0.0420676	0.0357919	0.0574028	0.0300067	0.0606446	0.0316126
vend	0.0723672	0.0852645	0.082309	0.0479446	0.0331937	0.0264792	0.0165803	0.0170254	0.00582918	0.0089082	0.0101671	0.0141465	0.00675369	0.0127894	0.00935341	0.0128803	0.0200088	0.0162546	0.0129893	0.0178311	0.0104206	0.0111298	0.00797986	0.0178476	0.00827745	0.0180501	0.0194948	0.0204531	0.0108258	0.0164096	0.0120098	0.0137092	0.0188532	0.0160505	0.0150376	0.0183963	0.021606	0.0275557	0.0345247	0.0372386	0.0301001	0.0388172	0.0461369
</S>	0.05068	0.0403986	0.0432277	0.0344331	0.0392161	0.029675	0.0216577	0.0275238	0.00687943	0.0126885	0.0178488	0.0147857	0.00937241	0.020878	0.0184993	0.0218375	0.02746	0.0132537	0.0072101	0.0123012	0.00577684	0.00573051	0.00438223	0.00713265	0.00304327	0.0112323	0.0124036	0.0133839	0.00783468	0.0201441	0.0174671	0.0190577	0.0187223	0.0230698	0.0190498	0.0349098	0.0262058	0.0429103	0.0425727	0.0443193	0.0396891	0.0482991	0.0628365
