 	a66	a87	a97	a30	a90	a69	a90	a98	a85	a47	a37	a21	a12	a31	a21	a12	a62	a21	a61	a62	a0	a75	a5	a36	a27	a82	a3	a97	a3	a97	</S>
il	0.0765642	0.0919062	0.0919486	0.0756401	0.0533238	0.0375046	0.0299766	0.0142006	0.0270811	0.0264383	0.0184668	0.0220696	0.0185843	0.0142383	0.0110701	0.0131978	0.0120474	0.00959495	0.0128125	0.0146527	0.0108097	0.0168565	0.0206604	0.0242223	0.0455446	0.0370163	0.0259325	0.0330304	0.0356408	0.0346184	0.0443496
est	0.0116714	0.0131431	0.0288362	0.0305426	0.0268859	0.0155794	0.0187261	0.0101881	0.00952792	0.00852162	0.0127558	0.0252803	0.0337269	0.0318683	0.026175	0.0291321	0.0310262	0.0238984	0.0215713	0.0347022	0.0491097	0.0623998	0.0726058	0.0854151	0.0613611	0.056619	0.0445956	0.0477506	0.0353172	0.0255472	0.0155202
en	0.0244466	0.00932916	0.00455779	0.00475184	0.00473234	0.00496761	0.006171	0.00934892	0.0109532	0.0144233	0.0176209	0.0117536	0.0121586	0.0116858	0.00886577	0.0056461	0.0107947	0.0109412	0.00529332	0.0152623	0.0253227	0.0417063	0.0665764	0.153736	0.064574	0.0725143	0.108568	0.0857987	0.0656255	0.0649364	0.0469381
train	0.0118552	0.01245	0.00987689	0.0119086	0.00940956	0.0113489	0.010707	0.0151773	0.0298659	0.0379303	0.0585972	0.0867225	0.109865	0.0676961	0.0943669	0.0587123	0.0543987	0.0561759	0.0387001	0.0392604	0.0414455	0.0262162	0.0291951	0.0230503	0.0116038	0.00881488	0.00988065	0.0067537	0.00574389	0.00373748	0.00853361
de	0.132488	0.0874006	0.0327715	0.0112436	0.00649723	0.0081773	0.0168626	0.0124903	0.0193213	0.0248475	0.0241661	0.016126	0.0147308	0.0148567	0.0211133	0.0136744	0.0143705	0.0264025	0.0430276	0.0366024	0.060208	0.0476608	0.0284465	0.0372797	0.0173425	0.0172157	0.0397022	0.0371711	0.0455893	0.0674792	0.0247352
faire	0.0459469	0.0283156	0.0271269	0.0226808	0.0182287	0.0153048	0.0151789	0.0161954	0.0351279	0.0475928	0.0570185	0.0547597	0.0632471	0.0717063	0.0844372	0.077999	0.0618491	0.0329716	0.0552545	0.0292436	0.0293558	0.0309708	0.0151453	0.0207716	0.00789393	0.00570398	0.00356687	0.00571332	0.00625743	0.00656342	0.00787219
craquer	0.0268893	0.018354	0.0103347	0.00809432	0.00480983	0.00353666	0.00355775	0.00446051	0.00991765	0.00764289	0.0119974	0.0137176	0.0285161	0.0377687	0.0429483	0.0340507	0.0476557	0.0502744	0.0511683	0.0527193	0.0968593	0.0799031	0.0654248	0.110839	0.0422123	0.0331463	0.02267	0.0269139	0.0211629	0.0168369	0.0156173
ses	0.0632388	0.0216304	0.00715281	0.00737607	0.00745939	0.00827244	0.0195802	0.0176956	0.0191383	0.0125507	0.0236126	0.0146697	0.0156244	0.0162789	0.0162998	0.0151507	0.011632	0.0143723	0.0393222	0.0388013	0.0532812	0.100677	0.0778879	0.0855481	0.0478281	0.0596491	0.0504888	0.0364801	0.039442	0.0324107	0.0264484
doigts	0.0559323	0.0284777	0.0133712	0.00856744	0.00503643	0.00451934	0.00698694	0.00853665	0.0112142	0.00537302	0.0107323	0.00690906	0.0214316	0.0366817	0.0386207	0.0410597	0.0529471	0.0613004	0.057615	0.059383	0.0549779	0.0668164	0.053937	0.059846	0.0325097	0.0352081	0.0324728	0.0304998	0.0314456	0.0329844	0.0346064
</S>	0.0482915	0.0279155	0.00733444	0.00442323	0.00305867	0.00497888	0.00907823	0.00998271	0.00872815	0.00587646	0.00910178	0.00461769	0.00525197	0.00605122	0.00749657	0.011547	0.0112004	0.0213835	0.026638	0.0340481	0.0340449	0.0593965	0.0697733	0.0978088	0.0730875	0.0896698	0.0909348	0.0719555	0.0596517	0.0610528	0.0256204
