 	a66	a87	a23	a87	a23	a99	a30	a53	a15	a0	a56	a96	a75	a98	a85	a79	a25	a79	a44	a93	a56	a93	a4	a13	a9	a87	a23	a87	</S>
la	0.0492615	0.0719364	0.0628471	0.0979302	0.0418803	0.0476003	0.0246933	0.0219133	0.0147444	0.00838256	0.00841499	0.00881505	0.00769218	0.00908821	0.0110281	0.00845359	0.00765463	0.00877583	0.0185572	0.0406699	0.0437088	0.0591528	0.0723832	0.0497064	0.0538916	0.0528939	0.0353235	0.0329907	0.02961
mère	0.0108287	0.0226772	0.0375134	0.0484576	0.0476873	0.0986381	0.0548876	0.0953497	0.114079	0.0964503	0.0931004	0.085462	0.0404509	0.0246941	0.0253738	0.0192627	0.016677	0.0169725	0.00726671	0.00781276	0.00761533	0.00244239	0.00210057	0.00118091	0.00220485	0.00405809	0.00231105	0.00971343	0.00473189
a	0.0278005	0.0351219	0.0351191	0.0382741	0.030189	0.0353238	0.0330704	0.0418747	0.0485339	0.0627745	0.0448277	0.0595599	0.0847452	0.115935	0.0446922	0.015112	0.0198061	0.00771361	0.00418715	0.00516063	0.00761319	0.00666218	0.0109078	0.0215911	0.0288387	0.0310605	0.0361718	0.038956	0.0283772
acheté	0.0294953	0.014341	0.0159807	0.0102071	0.0142263	0.0150537	0.0153536	0.0212875	0.0290919	0.0305623	0.0420341	0.0457806	0.0651355	0.0446177	0.0516663	0.0435426	0.0381884	0.0357023	0.0496244	0.0396765	0.042906	0.0528749	0.0536177	0.0324843	0.0347001	0.0272532	0.0224421	0.0247751	0.0573789
un	0.0900999	0.0651586	0.0583114	0.0458265	0.0423885	0.0328826	0.034098	0.0256228	0.0292022	0.026816	0.0221659	0.0204177	0.0166311	0.0416321	0.0402585	0.0221002	0.0342059	0.0199065	0.0287593	0.0331847	0.0449605	0.0451142	0.0431894	0.0313205	0.0220765	0.0240318	0.0164609	0.0123692	0.0308086
ballon	0.0810217	0.046268	0.0353603	0.0217583	0.0151358	0.0156829	0.018427	0.0171835	0.0185384	0.0228023	0.0286654	0.0142578	0.0156793	0.0200068	0.022296	0.0169873	0.0202613	0.0133598	0.0170915	0.0224566	0.0298681	0.0302189	0.039024	0.0344794	0.0453613	0.0909919	0.0730494	0.0656953	0.108072
à	0.0794023	0.0510781	0.0396083	0.0262256	0.0119533	0.0135417	0.0176045	0.0155778	0.0171722	0.0119602	0.0116142	0.00476978	0.00441352	0.00455471	0.00876724	0.00566448	0.0056429	0.00700888	0.0175931	0.021421	0.028548	0.0327712	0.0550556	0.0803966	0.0736557	0.0988102	0.0790332	0.0686953	0.107461
son	0.0589779	0.0411209	0.0464272	0.0271734	0.0281795	0.0181796	0.011234	0.0116671	0.00951182	0.0225257	0.038149	0.0243957	0.0217181	0.0256668	0.0385089	0.0255309	0.0177534	0.0161967	0.0201932	0.026909	0.0323662	0.0422736	0.0345007	0.0445269	0.0595879	0.0521776	0.0466176	0.0597732	0.0981577
enfant	0.0377528	0.0359744	0.0313328	0.0236821	0.016592	0.0160619	0.0112343	0.00580095	0.00400629	0.00859892	0.0160985	0.0113786	0.012178	0.017782	0.0264151	0.0174962	0.0149944	0.0151664	0.0316732	0.0258249	0.0300337	0.0304699	0.0478388	0.0464766	0.0638329	0.0854439	0.0993209	0.124765	0.0917744
</S>	0.0383974	0.0359277	0.0248009	0.0202901	0.0132258	0.0181465	0.0133617	0.0107165	0.0114762	0.00722113	0.00677423	0.00431609	0.00305768	0.00489591	0.0082153	0.00732738	0.00762452	0.0054279	0.0151615	0.0133271	0.0248645	0.0294686	0.0755735	0.0894005	0.107909	0.0917385	0.0797175	0.0702574	0.161379
