 	a66	a87	a23	a99	a50	a83	a50	a83	a93	a11	a61	a83	a62	a34	a21	a47	a62	a21	a92	a93	a56	a92	a37	a92	a79	a44	a40	a6	a36	a26	a57	a87	a23	a83	a96	a70	a13	a62	a88	a62	a12	a18	a90	a37	a26	a90	a69	a32	a94	a58	a82	a10	a87	a23	a87	</S>
je	0.0346633	0.0309343	0.0293527	0.0190311	0.017638	0.016161	0.0280398	0.0313155	0.0187393	0.0167977	0.018698	0.0204016	0.016611	0.0183932	0.0268417	0.0300604	0.0191062	0.0120415	0.0162525	0.0135261	0.0138168	0.00845184	0.00967856	0.0175821	0.0180237	0.0234915	0.0221819	0.0186468	0.0215338	0.0201179	0.0160732	0.0205398	0.0259819	0.0135672	0.0135351	0.011351	0.0135397	0.0139894	0.0174345	0.0173881	0.0264228	0.0302738	0.026933	0.0151375	0.00997187	0.00690855	0.00801914	0.00851949	0.00737815	0.00960245	0.0119954	0.00991559	0.0126231	0.0140599	0.00940903	0.0213007
ne	0.0207081	0.0158695	0.0269887	0.0181278	0.0191371	0.0151702	0.0120058	0.00831817	0.0107036	0.0115274	0.0157421	0.0131397	0.0282814	0.0193535	0.0241904	0.0229693	0.0365171	0.0579921	0.0496058	0.0532724	0.0449115	0.0456385	0.0446351	0.0273637	0.0235568	0.0166618	0.013398	0.0168183	0.0149795	0.0128848	0.0144982	0.00992545	0.00653812	0.00888724	0.0116582	0.0135444	0.00601478	0.00705702	0.015376	0.0102827	0.00493036	0.00478017	0.00326944	0.00517222	0.00650863	0.00672591	0.0123025	0.0129296	0.0122806	0.00979486	0.0093391	0.0117963	0.00922191	0.0126448	0.0134034	0.0206499
veux	0.0250864	0.0141976	0.0117713	0.0100743	0.0113634	0.0135248	0.00515314	0.00511391	0.0113445	0.00867551	0.00966532	0.00916478	0.0154055	0.01629	0.0159209	0.024952	0.0201527	0.0375434	0.0343751	0.0348648	0.0400371	0.0580586	0.0521941	0.0885868	0.0304377	0.0304472	0.0309486	0.029384	0.0384889	0.0242305	0.038776	0.0376015	0.022636	0.0181614	0.0133911	0.00850957	0.00297007	0.00486625	0.00303738	0.00124646	0.00199361	0.00127582	0.00165572	0.00204365	0.00433366	0.00372911	0.00423659	0.00404033	0.00525998	0.00592794	0.00915288	0.00875819	0.00959503	0.010312	0.0107477	0.00828917
pas	0.0733285	0.0545203	0.0213199	0.0286237	0.0134334	0.0202667	0.00756186	0.0108565	0.00408451	0.00549437	0.00635756	0.00548495	0.00677847	0.00574401	0.00956986	0.00578664	0.00259101	0.00370198	0.00245951	0.002415	0.00262977	0.00383917	0.00504024	0.00370682	0.00271088	0.00236419	0.00450834	0.00563119	0.00462442	0.00535074	0.00646069	0.00584954	0.00583185	0.00380489	0.00481597	0.00816386	0.0116502	0.0186235	0.015926	0.0257724	0.0286308	0.03187	0.03161	0.0374532	0.0287579	0.0233463	0.0162114	0.0212949	0.0285851	0.0290392	0.0451564	0.0522623	0.0495061	0.0522024	0.0467773	0.0396135
cohabiter	0.0448942	0.0185722	0.0108042	0.0111682	0.00789598	0.0102139	0.00622225	0.00519695	0.00498501	0.00429781	0.00538981	0.0151689	0.0215374	0.0202666	0.0423691	0.0117881	0.0162245	0.0221319	0.0138219	0.0207024	0.0252958	0.0553319	0.0663208	0.0348946	0.0484211	0.0246186	0.0338404	0.0203626	0.0139177	0.0189915	0.0185067	0.0158865	0.0103397	0.0150881	0.0113313	0.0148163	0.0105914	0.0156148	0.00910991	0.0140853	0.0119193	0.00949316	0.0134289	0.013984	0.010035	0.0114966	0.00969963	0.0123158	0.0167215	0.0120381	0.0118767	0.0145741	0.016919	0.0139612	0.0174411	0.0130799
avec	0.0199904	0.00999937	0.0095478	0.00797482	0.00524765	0.005439	0.00395778	0.00330698	0.00347934	0.00346809	0.00430532	0.00625401	0.0112777	0.0146842	0.0272632	0.0211556	0.0257222	0.0280789	0.0184332	0.0222928	0.02972	0.0532659	0.0406631	0.041313	0.0266452	0.0403742	0.036709	0.0182278	0.0146334	0.0189188	0.0240139	0.0212698	0.0118635	0.0148773	0.0178755	0.0158918	0.0109783	0.0246093	0.0181967	0.0230922	0.0338078	0.0197806	0.0235215	0.0242961	0.0154526	0.0158697	0.012951	0.0109055	0.0124567	0.0108053	0.0103919	0.0113808	0.0112028	0.0108192	0.0116205	0.00972114
toi	0.0315289	0.019766	0.0237528	0.0126974	0.00820165	0.00685278	0.00439692	0.0043669	0.00527632	0.00936732	0.0102748	0.00681186	0.0121756	0.0116747	0.0145333	0.0207649	0.0272886	0.0176264	0.0239523	0.0219502	0.0226303	0.0284294	0.035502	0.0255605	0.0265861	0.0424114	0.0310069	0.0290286	0.0273057	0.03036	0.0330616	0.0229256	0.0153439	0.0148177	0.0186869	0.0208485	0.012353	0.0211661	0.0379305	0.0170029	0.0205818	0.0136194	0.0112345	0.0144579	0.0124158	0.0136953	0.0100024	0.00509478	0.00778353	0.00966771	0.00995758	0.00989331	0.0186841	0.0161316	0.0160986	0.00446454
parce	0.029783	0.0195669	0.0105208	0.00727954	0.00744184	0.004981	0.00303037	0.00350975	0.00419339	0.00392822	0.00452938	0.00778756	0.0103714	0.00806001	0.0159329	0.00895329	0.0197783	0.0195162	0.0201268	0.0258701	0.0194946	0.0434257	0.0523719	0.0489411	0.041342	0.0533341	0.051155	0.0210343	0.0154471	0.0168684	0.0191977	0.0146202	0.00979113	0.00854577	0.00926703	0.010267	0.00870048	0.0102625	0.0172217	0.0143565	0.0135585	0.00667149	0.00816846	0.0192884	0.0129931	0.0178202	0.0163895	0.0195265	0.0241642	0.0244245	0.0212323	0.0209163	0.0173797	0.0198546	0.0197302	0.0170774
que	0.029769	0.0166989	0.00858231	0.00698493	0.00547619	0.00508316	0.00282561	0.00311936	0.00449222	0.00418423	0.00457811	0.0132489	0.0187924	0.0160289	0.0235824	0.0181273	0.0185842	0.026795	0.0143533	0.0135202	0.0133013	0.0194307	0.0290259	0.0308973	0.0406995	0.0569175	0.0502216	0.0274765	0.0231592	0.019761	0.0158668	0.0113827	0.0105976	0.00671549	0.00891208	0.0108893	0.0102149	0.0118112	0.0226277	0.0178732	0.0208226	0.014493	0.0142375	0.019538	0.0235792	0.0188126	0.0329988	0.0220896	0.0167986	0.0128424	0.0214104	0.0148327	0.0209351	0.0189004	0.0254419	0.00965915
tu	0.0294452	0.014999	0.00784513	0.00510596	0.00247632	0.00298604	0.00166175	0.00242687	0.00337375	0.00370305	0.00414184	0.00726601	0.011232	0.0124139	0.0194514	0.0153768	0.0223473	0.026074	0.0229406	0.0179051	0.0146569	0.0163374	0.0267218	0.0187806	0.0276632	0.0364414	0.029014	0.0157776	0.0105343	0.010613	0.00765834	0.00704167	0.00721855	0.00582288	0.00553431	0.00673491	0.00757553	0.00535895	0.00994978	0.0136872	0.0147387	0.0101275	0.0177106	0.0276821	0.0306123	0.0336468	0.0492607	0.0533849	0.0364373	0.0283282	0.0442089	0.0261047	0.0307578	0.0262327	0.0422789	0.0121934
