 	a66	a87	a97	a87	a82	a87	a97	a85	a57	a87	a23	a87	a66	a57	a84	a57	a66	a87	a82	a57	a87	a23	a87	a23	a87	a23	a87	a10	a87	a38	a21	a96	a98	a5	a61	a47	a88	a71	a38	a24	a61	a21	a85	a5	a27	a66	a88	a9	a53	a93	a4	a53	a69	a20	a47	a6	a37	a26	a24	a0	a90	a94	a66	a58	a82	a57	a87	a97	a87	a97	a82	a87	a82	a87	</S>
ce	0.0406339	0.0511516	0.0475102	0.0371532	0.0154919	0.0167516	0.0134928	0.00939715	0.00941384	0.00713082	0.00725266	0.0120184	0.00860164	0.0134255	0.0122732	0.00582279	0.00829974	0.00551716	0.00649211	0.00663114	0.0063584	0.00558936	0.00662175	0.00614266	0.00742596	0.00893002	0.010802	0.00662114	0.00846167	0.00807821	0.00721634	0.00674748	0.0123207	0.0100232	0.00735857	0.00563921	0.00921505	0.00681407	0.0101141	0.00889338	0.0105085	0.00807036	0.00521579	0.00571437	0.00816125	0.00701654	0.00692349	0.00693461	0.00913568	0.00647289	0.0146275	0.0357024	0.0266867	0.0223624	0.0265555	0.0259995	0.025425	0.0144069	0.0179288	0.0145017	0.0176233	0.0162797	0.0144742	0.00882282	0.0141053	0.0154683	0.0122665	0.0197375	0.0131696	0.0185193	0.0136202	0.00997802	0.0117941	0.00839634	0.0135602
singe	0.00122141	0.00164	0.00196427	0.00468861	0.00286296	0.00691644	0.0115484	0.0139152	0.0125135	0.0152048	0.0135529	0.0156325	0.0145447	0.0135678	0.0231015	0.00932837	0.0117397	0.00724424	0.0118284	0.00853785	0.0105418	0.0129311	0.00896534	0.0235008	0.00795021	0.0766418	0.023407	0.021326	0.0438014	0.0242049	0.0272189	0.0476755	0.014396	0.0186941	0.0291573	0.0158734	0.0123845	0.0145495	0.0100779	0.0244843	0.00680183	0.0139546	0.0151734	0.00926404	0.0119592	0.0100707	0.0151932	0.022058	0.0211908	0.0142832	0.0104033	0.024552	0.0137447	0.0117025	0.0118988	0.0114328	0.0141945	0.0152788	0.0141773	0.00960714	0.00724392	0.00401966	0.00623897	0.00283889	0.00459151	0.0055259	0.00281594	0.00304859	0.0028863	0.00149544	0.00173266	0.00268419	0.00238854	0.0034671	0.00274636
que	0.00576191	0.00705314	0.00704701	0.00759049	0.00571379	0.00440309	0.00533542	0.00549112	0.00781633	0.0109037	0.00862523	0.0103407	0.0101433	0.00857208	0.0135976	0.0129689	0.0151041	0.0180141	0.0170344	0.00862355	0.0104403	0.0116169	0.0119419	0.0248876	0.0154109	0.0244956	0.0201443	0.025964	0.0215286	0.0226256	0.021578	0.0207681	0.0200313	0.0241484	0.0211411	0.0132717	0.0125373	0.0147389	0.00864352	0.0179252	0.0138354	0.0291125	0.0516439	0.046363	0.0584124	0.0506933	0.0508315	0.0146818	0.0107208	0.0211763	0.00575219	0.00434278	0.00163486	0.00334866	0.00441439	0.0067177	0.00269482	0.00690451	0.00158108	0.00242977	0.00225653	0.00175024	0.00257956	0.00290257	0.00523175	0.00354679	0.00281125	0.00153063	0.00308303	0.00315254	0.00562234	0.00673801	0.00450337	0.0112662	0.0017545
vend	0.0164608	0.019958	0.0217938	0.0245026	0.0350206	0.0276289	0.0330316	0.0124537	0.0187634	0.0215448	0.0250666	0.0206555	0.0254662	0.0234339	0.0230245	0.0417583	0.0291987	0.0481308	0.0348719	0.0412468	0.0318725	0.022444	0.0239498	0.0218142	0.0199053	0.0194277	0.0158898	0.0258959	0.0199606	0.0150634	0.00992544	0.0110829	0.011827	0.00946782	0.00651632	0.0052459	0.00932316	0.00613675	0.00473147	0.00506361	0.00574083	0.00598334	0.0044548	0.00403454	0.00517576	0.00556114	0.00934456	0.00314071	0.00320151	0.00841403	0.00672636	0.00486501	0.00354296	0.00494155	0.00553166	0.0109551	0.00474856	0.00450726	0.00293886	0.00168445	0.00147025	0.00167972	0.00199032	0.00126152	0.00117063	0.000869122	0.00161205	0.00181414	0.0017745	0.00561642	0.00319144	0.00561486	0.00643603	0.00749992	0.012951
ikoo	0.0186952	0.0178473	0.0143767	0.0180465	0.0198933	0.0113372	0.0124714	0.00591091	0.0086292	0.00731632	0.00953222	0.00897504	0.00927602	0.00875271	0.0109168	0.0105116	0.0174169	0.0258304	0.0257809	0.0216288	0.0212664	0.0167675	0.0198184	0.020926	0.0149511	0.0263121	0.0202586	0.0264725	0.0193359	0.015727	0.0167349	0.0179568	0.0195765	0.0104742	0.00955293	0.00907159	0.0109445	0.0146797	0.00733849	0.00796776	0.0196807	0.0150012	0.0112259	0.0123227	0.0120386	0.013459	0.0144982	0.0104606	0.017539	0.029905	0.019147	0.0158573	0.011022	0.0172306	0.00970225	0.0202331	0.0110963	0.0163334	0.0061414	0.00643521	0.00527709	0.0153016	0.00657593	0.0042474	0.00502042	0.00313612	0.00217021	0.00258341	0.00283371	0.0088948	0.0059439	0.0119661	0.00716934	0.0102854	0.00998671
est	0.0186974	0.0140114	0.0123124	0.019175	0.0136233	0.00999906	0.0119996	0.00915066	0.00938334	0.00798911	0.00952615	0.0139349	0.0124017	0.0148387	0.0183041	0.0125307	0.0180905	0.0154343	0.0200333	0.0117346	0.0174473	0.0169165	0.015834	0.012993	0.0181372	0.015885	0.0264229	0.0155427	0.0082419	0.0127204	0.013063	0.00638315	0.0232141	0.0131351	0.0126739	0.0171528	0.0125245	0.0114181	0.0141527	0.0129255	0.00908957	0.00767492	0.00790852	0.00882391	0.0147678	0.0109077	0.0262497	0.027285	0.0271757	0.0237585	0.0221124	0.023643	0.0076705	0.00900686	0.00761903	0.00528159	0.00408936	0.00266993	0.00284431	0.00436549	0.006061	0.0120936	0.0068717	0.00962834	0.0100259	0.00618425	0.00912418	0.00809133	0.00859146	0.0137412	0.0105309	0.021671	0.0171438	0.0204114	0.0169324
un	0.0188361	0.0167287	0.0146058	0.0127245	0.0128945	0.0143776	0.0124059	0.0173718	0.016747	0.0185835	0.0193084	0.0137696	0.0174502	0.0146426	0.0130968	0.0135821	0.0171057	0.0206025	0.0165813	0.0113727	0.012685	0.0101705	0.0119317	0.0097643	0.0112707	0.00689867	0.00776355	0.00628675	0.00512629	0.00563068	0.00572519	0.0058973	0.00626758	0.00344468	0.00360434	0.00496958	0.00512406	0.00665089	0.00471592	0.00487233	0.00946443	0.0054722	0.00496572	0.00899662	0.0117073	0.0136411	0.011001	0.00870576	0.0205032	0.0287687	0.0236407	0.0199479	0.0198494	0.0234608	0.0253784	0.0250004	0.0223515	0.0236271	0.0127495	0.00947419	0.0116551	0.0286479	0.0117636	0.0200734	0.0215314	0.0103937	0.00696834	0.00494593	0.0103498	0.0104028	0.019963	0.0198396	0.0134424	0.0179987	0.0117313
cercopithèque	0.0191081	0.0161104	0.0161408	0.0143773	0.0123559	0.0151453	0.0144211	0.0183313	0.0142645	0.0163285	0.0173636	0.0129923	0.0220181	0.0182649	0.0125338	0.0103348	0.0354102	0.0222991	0.0215799	0.0188109	0.0127313	0.0101782	0.0134746	0.00862585	0.00783475	0.00664619	0.00641152	0.00759509	0.00475173	0.00604426	0.00715701	0.00637002	0.00618079	0.00737255	0.00455366	0.00492454	0.0056409	0.00479166	0.00466471	0.00604263	0.00610618	0.00806967	0.00923904	0.0107061	0.0174112	0.0198767	0.015187	0.0145853	0.0133774	0.0237973	0.0148506	0.0123911	0.0118102	0.0159891	0.0175903	0.0193718	0.0193935	0.0388055	0.0115603	0.013736	0.0104561	0.0235724	0.00613482	0.00844871	0.00892349	0.00641502	0.00641198	0.00548193	0.00983839	0.0119291	0.0202037	0.0222645	0.016116	0.02362	0.0161468
nuido	0.011561	0.00996184	0.00918335	0.00925359	0.00794489	0.00967259	0.00925183	0.0154455	0.0104208	0.0114411	0.0132725	0.00819048	0.0154089	0.013808	0.00906476	0.00687143	0.0170558	0.00947056	0.00967956	0.0121328	0.0101394	0.00839232	0.00729541	0.00528012	0.00945344	0.00555829	0.00724822	0.00611857	0.00539337	0.006734	0.00858593	0.00893766	0.0100933	0.00981802	0.00973515	0.0073848	0.00994159	0.0146159	0.0107749	0.00886218	0.016864	0.0100945	0.0140422	0.0138568	0.0187699	0.0142823	0.0207227	0.0113543	0.0122479	0.00870925	0.00641498	0.00933575	0.00839655	0.010347	0.0249109	0.0241069	0.0289092	0.0373915	0.0291674	0.03314	0.0203799	0.0288787	0.00909132	0.0119647	0.0115818	0.0105483	0.00803507	0.0105551	0.0129191	0.0124565	0.0221623	0.0215357	0.019133	0.0205063	0.0377344
</S>	0.023623	0.0188659	0.0132337	0.0191634	0.0127756	0.0136841	0.0157185	0.0183572	0.0143172	0.0140382	0.0164508	0.0103455	0.0190343	0.0158922	0.0135503	0.00888172	0.0130461	0.00774821	0.00807312	0.00963162	0.00750596	0.00545208	0.00647447	0.00688287	0.00992564	0.00736561	0.00839761	0.00477875	0.00580524	0.00712077	0.00887342	0.00446047	0.00921951	0.00740947	0.00655138	0.00792115	0.0104341	0.0098774	0.00873561	0.0132778	0.0090329	0.0104816	0.00903335	0.0146003	0.021238	0.0141304	0.0189818	0.0205513	0.0207318	0.0156561	0.0111352	0.0123613	0.0119652	0.015684	0.0179033	0.0180088	0.0204452	0.0365229	0.0194349	0.0235126	0.0129034	0.0226721	0.0036979	0.0111787	0.0121999	0.0105701	0.009355	0.00845196	0.0108664	0.0130583	0.0247627	0.0215992	0.0182258	0.0188966	0.0172508
