 	a23	a87	a23	a20	a30	a41	a37	a41	a37	a61	a31	a32	a25	a76	a35	a24	a32	a25	a10	a24	a71	a75	a30	a84	a57	a87	a10	a40	a41	a2	a11	a47	a43	a75	a12	a96	a61	a12	a98	a70	a4	a13	a9	a87	</S>
ils	0.0147494	0.00960727	0.0111885	0.0230703	0.051742	0.0380066	0.0418612	0.0721916	0.0630044	0.0888348	0.113202	0.0643568	0.047712	0.0711171	0.0564981	0.0411594	0.01786	0.0261337	0.0129803	0.012823	0.00592936	0.00360185	0.00166182	0.00139575	0.00137597	0.00153271	0.00176665	0.00163161	0.003248	0.00171431	0.00218241	0.00217014	0.00264074	0.00374213	0.00402186	0.00367139	0.00751433	0.00667079	0.0111621	0.00806616	0.00683145	0.0086953	0.0107386	0.00797714	0.0119592
ont	0.00302648	0.00434093	0.00409611	0.00717848	0.00737513	0.0279338	0.0365287	0.025629	0.0292005	0.0307168	0.032616	0.0188729	0.0304034	0.0293903	0.0291374	0.0302875	0.0235453	0.036045	0.0324818	0.0308177	0.0236191	0.0217617	0.0246454	0.0230467	0.0271455	0.0333381	0.0309474	0.0074637	0.0173144	0.0121678	0.0209369	0.0192763	0.0219258	0.0218152	0.0226888	0.0234267	0.0252629	0.0254503	0.0205732	0.0155516	0.0183778	0.0247904	0.0182902	0.0213953	0.00916532
marché	0.0148536	0.011773	0.00692574	0.0056673	0.00531327	0.0141663	0.0172356	0.0179128	0.0292786	0.0190842	0.0419294	0.0180596	0.047892	0.0238655	0.032871	0.0285041	0.0331065	0.0392068	0.0178309	0.0152955	0.0116383	0.0113176	0.00733548	0.0130271	0.0132579	0.00965125	0.00736582	0.00481393	0.00443219	0.00580696	0.00430195	0.00414306	0.00414762	0.00702831	0.00906555	0.0133544	0.0202476	0.0471644	0.0684985	0.0488306	0.0582685	0.0694637	0.0375003	0.0551007	0.0234666
toute	0.012992	0.00840172	0.0106611	0.012938	0.00768834	0.00763046	0.00906273	0.0187839	0.0302034	0.0366432	0.0294774	0.0290721	0.050323	0.0485615	0.0558139	0.0377897	0.0253505	0.0394681	0.0341672	0.0271563	0.0363138	0.0369273	0.0298322	0.0205644	0.0504636	0.0227714	0.0227868	0.0107113	0.0074351	0.0212791	0.0081201	0.0134963	0.0107684	0.0203177	0.0286346	0.0361833	0.0174952	0.0174757	0.0116114	0.00987933	0.00725067	0.00694288	0.00662406	0.0061813	0.00774983
la	0.0119804	0.0111164	0.0104163	0.0103985	0.00876509	0.0195192	0.0231738	0.0364423	0.0311093	0.0394487	0.0449578	0.0459583	0.0501515	0.0515208	0.0477514	0.0605214	0.0557211	0.0654925	0.0469817	0.0321887	0.0351776	0.0318752	0.0185145	0.010075	0.0180607	0.0154406	0.0135111	0.0098016	0.00622178	0.00758306	0.00450852	0.00772999	0.00567314	0.00936312	0.00896784	0.0092045	0.00619243	0.00735334	0.00793892	0.00726733	0.00858345	0.00949502	0.00820857	0.0126633	0.0169741
nuit	0.0117525	0.00838984	0.0103993	0.00801457	0.00648192	0.0167244	0.0212102	0.0312826	0.0348305	0.0633481	0.0868182	0.0648056	0.0911084	0.072029	0.0359602	0.0625849	0.0454345	0.0728876	0.0404593	0.0335624	0.0193988	0.0145479	0.0270619	0.00638888	0.0166867	0.0180656	0.0055189	0.00888635	0.00352839	0.00382316	0.00133529	0.00221618	0.00158996	0.00294968	0.00402221	0.00698404	0.00661756	0.00651385	0.00294815	0.00398942	0.00143229	0.00342866	0.00529913	0.00253689	0.00614619
et	0.0621537	0.0232379	0.0248911	0.0273196	0.0229768	0.0142405	0.00932732	0.0192649	0.0376618	0.035584	0.0594651	0.0467816	0.0322163	0.0568742	0.0303659	0.0450442	0.0226813	0.0457641	0.070032	0.0495244	0.0259483	0.0153553	0.02261	0.00460074	0.00676766	0.00886518	0.00730127	0.0118427	0.00573337	0.0086159	0.0033506	0.00267249	0.000742556	0.00336771	0.00315701	0.0041986	0.00501382	0.0043142	0.00399502	0.00452797	0.00334467	0.00732951	0.0114644	0.0257528	0.0637215
son	0.0155978	0.0102997	0.0167954	0.00684823	0.00494054	0.00530984	0.00512421	0.00643602	0.012177	0.00849267	0.0127097	0.00760645	0.00815169	0.0117826	0.0113878	0.0152913	0.0107842	0.0281086	0.0466769	0.0335984	0.025673	0.0295169	0.0434826	0.0252727	0.0347408	0.0404484	0.0345642	0.0184329	0.0129797	0.0285464	0.0133423	0.0273003	0.0157136	0.0274144	0.0253416	0.0309109	0.0431506	0.0457604	0.0296819	0.0247377	0.023795	0.0263329	0.0283627	0.02154	0.0448389
arrivés	0.0262072	0.0161824	0.0193987	0.0184699	0.0109735	0.0163306	0.0183288	0.0187963	0.0235047	0.0326502	0.0291075	0.0181459	0.0260285	0.0262483	0.0200023	0.0246761	0.017715	0.0242121	0.0302313	0.0212399	0.0288925	0.0244357	0.0338734	0.0157005	0.0327775	0.0285928	0.0182828	0.0136681	0.0101448	0.0201341	0.0118377	0.0104449	0.00853881	0.0190807	0.0207205	0.0212238	0.0201724	0.0248081	0.0232838	0.0215938	0.0216341	0.0275009	0.0259245	0.0404392	0.0378455
à	0.0181444	0.00811368	0.00727148	0.00806146	0.0153819	0.0153718	0.0156289	0.0194494	0.0299401	0.0214608	0.0319366	0.0253719	0.03984	0.0347275	0.0491456	0.0345749	0.0329684	0.036632	0.0252109	0.0425422	0.0341372	0.0241511	0.0096535	0.00795514	0.0082639	0.00690918	0.00692028	0.00322985	0.00372668	0.00697187	0.00743122	0.00763643	0.00602615	0.00951897	0.0114568	0.0116835	0.0127385	0.0162279	0.0378461	0.0432414	0.044975	0.0486738	0.036058	0.0514179	0.0313757
l'	0.0164607	0.00774004	0.00786378	0.0075624	0.0151403	0.0163833	0.0187768	0.0244063	0.0263187	0.0201588	0.0209164	0.0160546	0.0248383	0.0266261	0.0335743	0.0211449	0.0216667	0.0281462	0.0220796	0.0346361	0.0290421	0.0209647	0.00754455	0.00616386	0.0069521	0.0057055	0.00589132	0.00204599	0.00266765	0.00578494	0.0069109	0.00938263	0.0121676	0.0138795	0.0164245	0.025738	0.0411204	0.0422219	0.0566882	0.0539183	0.0616332	0.0428754	0.037327	0.0374564	0.0389994
aube	0.0154495	0.012674	0.0103294	0.00930435	0.0147853	0.0410774	0.0577453	0.05592	0.0530378	0.0527561	0.0485079	0.0416018	0.0435238	0.0437089	0.0583642	0.0369802	0.0298699	0.0380604	0.0191505	0.0281134	0.0175306	0.0155277	0.00592318	0.00562059	0.00587551	0.0038339	0.00550482	0.00214431	0.00279767	0.00630648	0.00705867	0.00722896	0.00773476	0.0108337	0.0117638	0.00904574	0.0108623	0.0111437	0.0243409	0.0236843	0.0190864	0.0209833	0.0184846	0.020283	0.0154409
