 	a66	a87	a23	a53	a54	a47	a85	a5	a43	a21	a41	a43	a93	a13	a75	a21	a12	a88	a71	a82	a3	a10	a24	a88	a61	a75	a92	a56	a96	a90	a25	a69	a94	a90	a44	a62	a88	a75	a92	a79	a69	a4	a53	a4	a58	a82	a10	a87	a23	a87	a97	a99	</S>
l'	0.0265386	0.0258276	0.0269106	0.018342	0.0243398	0.0245354	0.023745	0.0472802	0.04972	0.0603363	0.0401016	0.0406762	0.0280275	0.0379319	0.0327518	0.0287747	0.0316357	0.027756	0.0410781	0.0251875	0.0244239	0.0221671	0.0193568	0.0140678	0.0112376	0.00525911	0.0035987	0.00571978	0.00591419	0.00455002	0.00364311	0.00290719	0.00704918	0.00542789	0.00489994	0.00395778	0.00657181	0.00544523	0.00293136	0.00410606	0.00781443	0.0114773	0.0110919	0.0095755	0.00812907	0.01391	0.0182148	0.0121782	0.0193638	0.0159728	0.013122	0.0147468	0.0196726
enfant	0.00271334	0.00564598	0.0124687	0.0226238	0.086312	0.0754565	0.149237	0.259384	0.0889375	0.0623647	0.0184942	0.0164868	0.0148108	0.0101314	0.00478457	0.0130826	0.0113991	0.009398	0.00877572	0.011801	0.0100473	0.00670015	0.00811346	0.00882629	0.00595512	0.00357704	0.00249862	0.00309303	0.0032197	0.00374074	0.00343148	0.00245011	0.00374805	0.00603221	0.00684698	0.00623304	0.00478991	0.00506329	0.00343833	0.00201874	0.0020616	0.00264277	0.00148165	0.000627626	0.000376695	0.000842782	0.000307039	0.00102531	0.000612232	0.000792085	0.000766712	0.0030603	0.00127241
est	0.0160732	0.016923	0.0171288	0.0135069	0.0167419	0.050726	0.0684006	0.0998616	0.0641702	0.0713899	0.0440816	0.0309572	0.018656	0.0131419	0.0141938	0.0247821	0.0165627	0.0226919	0.0230449	0.0173895	0.0177857	0.0192607	0.0229202	0.0276443	0.0244015	0.0223353	0.0148754	0.0121559	0.0133596	0.00782056	0.0102493	0.00499154	0.00356689	0.00391496	0.00437354	0.00201461	0.00187837	0.00208632	0.00381155	0.00221662	0.00211521	0.00456225	0.00556531	0.00732192	0.00533831	0.0113301	0.00507852	0.0151415	0.00869703	0.0117822	0.00750683	0.0193392	0.0141352
calme	0.00724396	0.00668593	0.0109309	0.0123594	0.0202684	0.0199421	0.0278075	0.0384335	0.0204534	0.021937	0.0234216	0.0227055	0.0347576	0.0237473	0.0158674	0.0343319	0.0395748	0.022162	0.0302427	0.030743	0.0306021	0.0152754	0.0332924	0.0333059	0.0212221	0.0401222	0.0212725	0.0207065	0.0257163	0.0248299	0.0410686	0.0246659	0.0162113	0.0250845	0.0115819	0.0114223	0.0118881	0.0056713	0.0096763	0.00528862	0.00555808	0.00637708	0.00495334	0.00872671	0.0109976	0.0108836	0.0104671	0.00722276	0.00936742	0.00872219	0.00814498	0.00773332	0.00832572
dans	0.0171175	0.00911505	0.0071072	0.00663636	0.00360899	0.00423851	0.0109387	0.023083	0.0187898	0.0305598	0.0422219	0.0621728	0.0692476	0.0440653	0.0539183	0.048927	0.0664946	0.082002	0.0644766	0.0619032	0.0365101	0.0305261	0.0347913	0.0275564	0.0188963	0.0161853	0.0152109	0.0120816	0.00842809	0.00495526	0.00578203	0.00354369	0.00307274	0.00354663	0.00140258	0.00180963	0.00160103	0.00141113	0.000699108	0.000936572	0.00130475	0.00106503	0.00115327	0.00225961	0.00240305	0.00217801	0.00403301	0.00371144	0.00370747	0.00565192	0.0044223	0.0039173	0.0086219
le	0.026332	0.0140839	0.0123729	0.00731736	0.00697497	0.0102497	0.0161784	0.0181824	0.0224709	0.0214541	0.0297467	0.0342187	0.0449786	0.0317918	0.0227148	0.0307849	0.0308147	0.0472739	0.0616078	0.0553984	0.0423262	0.0342343	0.0419766	0.031439	0.0235698	0.0208225	0.0157466	0.0205309	0.0158737	0.013059	0.0131373	0.00798612	0.00693246	0.00579698	0.00379369	0.00232814	0.00330966	0.00258301	0.00302009	0.00299591	0.00509652	0.00388181	0.00793729	0.00888569	0.00614229	0.0123053	0.0198789	0.00918426	0.0120585	0.0144002	0.00741378	0.0104706	0.025936
lit	0.00824497	0.00515615	0.00441267	0.0029428	0.00406251	0.00668405	0.0132846	0.0104568	0.0088462	0.0121597	0.0542806	0.0291889	0.0465858	0.0301325	0.0190051	0.026371	0.0416816	0.0305986	0.0399244	0.0364	0.0276844	0.02312	0.0350919	0.0345014	0.0232713	0.017521	0.0242587	0.0243489	0.0133277	0.0128783	0.0154029	0.0062083	0.0084308	0.011674	0.00958142	0.00458232	0.00599636	0.0116716	0.00829095	0.00858729	0.0125227	0.0126534	0.0146395	0.0208299	0.0182868	0.027477	0.0238456	0.023962	0.0190861	0.0198481	0.0158273	0.0182391	0.0159339
parce	0.00913409	0.0057374	0.0046537	0.00385121	0.00461475	0.00872363	0.00934429	0.0103812	0.0164123	0.0234676	0.064228	0.0392625	0.0747821	0.0479697	0.0285991	0.0536511	0.0809703	0.0513496	0.0626702	0.0486459	0.0460698	0.0319212	0.0401443	0.0378846	0.0214811	0.012022	0.0124096	0.0181626	0.0114705	0.0061694	0.00866057	0.00379	0.0048913	0.00485589	0.00388857	0.00184346	0.00350774	0.00442266	0.00304755	0.00283462	0.00732523	0.00545122	0.00595949	0.00558972	0.00490947	0.00555637	0.00607442	0.00545321	0.00491009	0.00501685	0.00464322	0.00485597	0.0063284
que	0.0301753	0.0355907	0.0148645	0.00933386	0.00460651	0.00465486	0.0031582	0.00758489	0.00574264	0.0189249	0.0139337	0.0175238	0.0126177	0.0181609	0.0402812	0.0333534	0.0593241	0.0535074	0.072221	0.0396074	0.0212495	0.0460667	0.02842	0.0255521	0.014466	0.00559159	0.00456512	0.00837376	0.00474392	0.00419384	0.00601252	0.00408699	0.00887408	0.00469794	0.00442075	0.00257137	0.00635	0.00608196	0.00343392	0.00377615	0.00618252	0.0109273	0.00971344	0.00743567	0.00841629	0.0121987	0.0186817	0.0285024	0.0274471	0.0309853	0.0177205	0.0407143	0.0723796
le	0.0543019	0.0369264	0.0183623	0.0133855	0.0097702	0.00841891	0.00347482	0.00670824	0.00785007	0.0150056	0.0260917	0.0170285	0.0201321	0.0230028	0.0130762	0.0207809	0.0385252	0.0415392	0.0670049	0.0453288	0.0272971	0.0385242	0.0270292	0.0267168	0.0213032	0.0086198	0.0130804	0.0184651	0.0142477	0.0161518	0.0115114	0.00707608	0.0186662	0.0100087	0.00951486	0.0115168	0.0137083	0.0186976	0.0137158	0.00755947	0.0134035	0.0108403	0.00929917	0.00624894	0.00458091	0.00771877	0.010911	0.0105726	0.0158056	0.0191306	0.0114746	0.0266692	0.0332204
