 	a66	a87	a40	a36	a2	a40	a6	a37	a90	a98	a79	a7	a6	a5	a85	a92	a98	a85	a5	a36	a27	a82	a87	a23	a79	a20	a56	a96	a83	a66	a93	a96	a0	a9	a10	a87	a23	a87	</S>
on	0.0334743	0.0484354	0.0538002	0.0404278	0.0570397	0.0834714	0.0676502	0.0546314	0.0516539	0.0529411	0.0418396	0.0145809	0.0166401	0.0149417	0.0103812	0.0116444	0.00930877	0.00684506	0.00776201	0.00839327	0.0144898	0.0169756	0.0238251	0.0236932	0.0184243	0.0196514	0.0461028	0.0209566	0.00887296	0.00441942	0.00707465	0.00894692	0.00790362	0.011115	0.0130785	0.0121104	0.0189786	0.0134744	0.0240444
l'	0.0193115	0.0123973	0.0149868	0.0182208	0.0270907	0.0323059	0.0428007	0.0383851	0.0543881	0.0672842	0.0475954	0.0297549	0.0242068	0.0222427	0.0210099	0.0265696	0.0279876	0.0317841	0.0293992	0.0271549	0.0252398	0.0354828	0.0296319	0.0280936	0.0334186	0.0113882	0.0153141	0.0140733	0.0159583	0.0116691	0.0125826	0.0128132	0.0124678	0.0105273	0.0164733	0.021545	0.0157889	0.023414	0.039242
a	0.0398687	0.0163094	0.0320032	0.0355516	0.064103	0.0338409	0.0285681	0.0349612	0.0405948	0.0459577	0.0442621	0.0535909	0.0370406	0.0287704	0.0419559	0.0534302	0.0455798	0.050675	0.0486275	0.0374609	0.0170034	0.0170879	0.010652	0.00979451	0.00786798	0.00416724	0.0027703	0.00462898	0.00612288	0.00426331	0.00267453	0.00313752	0.00252927	0.00395734	0.0063538	0.0107554	0.0151596	0.0349336	0.0229886
accusé	0.0355632	0.0152646	0.00942554	0.00411581	0.00692768	0.00703839	0.0079966	0.0221711	0.0114857	0.0168702	0.013695	0.0159334	0.0178797	0.0168041	0.0151353	0.0140442	0.0156709	0.0187902	0.0151922	0.0125533	0.0127695	0.0130223	0.00923532	0.00969918	0.0145388	0.0163728	0.00937121	0.0480572	0.036773	0.0603035	0.0299553	0.0325675	0.0936657	0.0618394	0.0761562	0.0545908	0.0508453	0.0381822	0.0394978
à	0.0195662	0.00667966	0.00985997	0.0049524	0.0123144	0.0122565	0.0104757	0.0144832	0.0116902	0.0145852	0.017234	0.0229082	0.026442	0.02114	0.0394179	0.0654301	0.0651981	0.109673	0.0877086	0.0982363	0.0558243	0.0499086	0.0438536	0.0283158	0.0201987	0.0123633	0.0115583	0.00914454	0.0115828	0.0124834	0.0123412	0.00699283	0.0102393	0.00418876	0.00504807	0.00738174	0.01059	0.00958951	0.00814336
tort	0.0642585	0.0277665	0.0435202	0.0181297	0.0227141	0.0147484	0.00995102	0.0202905	0.0145357	0.0101952	0.0138424	0.0181149	0.0225188	0.0165624	0.0580644	0.066246	0.0666748	0.0875193	0.0855644	0.0779101	0.0236739	0.022983	0.0250253	0.0138902	0.0173746	0.0110676	0.00548707	0.00508496	0.00827472	0.01234	0.00633097	0.00442843	0.00958783	0.0138455	0.0142659	0.0120311	0.017626	0.0117149	0.00584069
d'	0.0492458	0.0178465	0.0144936	0.0132245	0.00679092	0.0119349	0.0144006	0.0167433	0.014381	0.0113834	0.02056	0.038958	0.0312881	0.0284219	0.0678557	0.0702654	0.0920686	0.0944802	0.0609771	0.0348222	0.020699	0.0227529	0.0184657	0.023181	0.0262901	0.0094747	0.00505176	0.00631913	0.0118911	0.0123517	0.00767322	0.00855596	0.011517	0.0124595	0.0160904	0.020561	0.0171596	0.0225817	0.0167827
avoir	0.0814748	0.0274013	0.0130155	0.0105659	0.00538223	0.0123076	0.0151038	0.0154119	0.00669806	0.00673911	0.010766	0.0101917	0.0182467	0.013267	0.0418735	0.0699427	0.0593482	0.0967546	0.0415636	0.0392951	0.0214162	0.0221881	0.0159689	0.0182895	0.0215166	0.0146662	0.00568256	0.0107934	0.0180355	0.0228573	0.0158777	0.0172508	0.0343268	0.0453679	0.0438286	0.0265671	0.0168144	0.0199822	0.0132212
volé	0.0644446	0.0370556	0.0171675	0.016774	0.00867563	0.00519899	0.00655046	0.0108311	0.00700704	0.0044064	0.00616312	0.00621818	0.00906691	0.00666912	0.0182047	0.0221964	0.0261916	0.0461465	0.0284034	0.0290253	0.0274893	0.0265667	0.0189006	0.0197242	0.019856	0.0113008	0.00707285	0.0137717	0.0255624	0.031496	0.0281836	0.0302976	0.0542627	0.0720989	0.0681059	0.049943	0.0352807	0.0390281	0.0446624
un	0.0393479	0.0255929	0.0169142	0.0145628	0.0163337	0.00948666	0.0110696	0.0124951	0.012118	0.0095087	0.013451	0.0106169	0.0144569	0.0120306	0.021006	0.030123	0.0381414	0.0556507	0.0314522	0.0407957	0.0261317	0.0257148	0.0157439	0.0181786	0.0196113	0.0109372	0.00781298	0.00921453	0.014715	0.0155847	0.0171056	0.0165239	0.0317341	0.0534969	0.0725316	0.0610522	0.0545013	0.0445887	0.0496672
