 	a66	a87	a23	a40	a6	a5	a12	a43	a75	a5	a61	a47	a56	a25	a92	a37	a75	a5	a61	a18	a71	a9	a10	a87	a23	a87	</S>
un	0.0923723	0.0713683	0.0540867	0.0496315	0.0566336	0.0571033	0.0572879	0.0217106	0.0177212	0.0119613	0.0110501	0.0145722	0.0222939	0.0155034	0.00907153	0.018621	0.0196748	0.0319583	0.0574564	0.0358287	0.0482945	0.0430414	0.0387932	0.0253166	0.0422182	0.0278432	0.0485862
petit	0.0253327	0.0395317	0.0437582	0.0737947	0.0389144	0.0249548	0.0252947	0.039454	0.0510492	0.045441	0.0811514	0.0953967	0.0992017	0.0513942	0.0231198	0.0110333	0.0239569	0.0132861	0.0204347	0.0198134	0.0181779	0.0251066	0.0272333	0.0215757	0.0226938	0.024297	0.0146023
enfant	0.0450195	0.0706847	0.0713366	0.0799862	0.0964703	0.0879164	0.0962679	0.032934	0.0230518	0.0085948	0.00763693	0.0167782	0.0374882	0.0248157	0.0297567	0.017005	0.0132622	0.0206422	0.0324963	0.0139705	0.0214413	0.0249187	0.0320422	0.028128	0.019455	0.0376986	0.0102019
s'	0.0540284	0.0464572	0.033809	0.0133362	0.0125183	0.0134948	0.0252229	0.0682263	0.0576395	0.0562066	0.0610564	0.0676931	0.0385716	0.0219432	0.0230655	0.0207478	0.0223308	0.024272	0.0216888	0.0299462	0.0286185	0.0371865	0.0359096	0.0420383	0.031909	0.05355	0.0585335
est	0.0365026	0.0262103	0.0283344	0.036884	0.0355169	0.0310755	0.038402	0.102327	0.112914	0.0557926	0.0394302	0.0409966	0.0385557	0.0522656	0.0277325	0.0159071	0.0166319	0.0118416	0.0139787	0.0198871	0.0201599	0.034706	0.0274139	0.0328365	0.0235302	0.0566827	0.0234849
noyé	0.0655729	0.0465791	0.0382113	0.0166887	0.00862164	0.0114568	0.0179201	0.0171311	0.0217799	0.0178129	0.0142856	0.033041	0.0683726	0.0672974	0.0508522	0.0358294	0.036078	0.0287009	0.0390272	0.0425075	0.0364267	0.0479515	0.0535213	0.0424397	0.0449562	0.0449923	0.0519458
dans	0.0370384	0.0412824	0.0355846	0.0276193	0.0241465	0.0273083	0.0372431	0.0350199	0.0393645	0.0235604	0.01913	0.0514337	0.081187	0.0668515	0.0523384	0.03748	0.0327918	0.0265147	0.0317333	0.026493	0.025514	0.0290479	0.0392174	0.0253073	0.0376248	0.0383524	0.0508154
le	0.0861188	0.0514748	0.0423273	0.0176832	0.0101341	0.00777749	0.00509809	0.0035301	0.0028767	0.00222588	0.00182907	0.00424973	0.00962182	0.0277631	0.0446657	0.0453906	0.0425704	0.0404451	0.0448917	0.0426006	0.0518845	0.0467886	0.0650173	0.0627588	0.0664878	0.0737264	0.100062
fleuve	0.0351147	0.0295371	0.0214957	0.0213933	0.0118417	0.00515205	0.00639334	0.00943818	0.00799087	0.00961867	0.010364	0.0136917	0.0136882	0.0170293	0.0268788	0.0215991	0.0329417	0.0429832	0.0857677	0.0704756	0.0753648	0.0907604	0.0826437	0.057691	0.0621803	0.0739728	0.0639919
</S>	0.0922363	0.0825252	0.0705826	0.0458929	0.01814	0.0114459	0.0159081	0.0110713	0.0090574	0.0040057	0.00280058	0.00384942	0.00868676	0.0280974	0.0305833	0.0229321	0.0313616	0.0280575	0.0409253	0.0388704	0.0395833	0.0449602	0.0495399	0.0460413	0.0670713	0.0750097	0.0807645
