 	a66	a87	a97	a87	a97	a87	a97	a83	a9	a50	a21	a12	a31	a88	a31	a61	a75	a79	a44	a75	a5	a37	a21	a12	a18	a50	a83	a88	a0	a93	a13	a38	a13	a30	a13	a26	a57	a99	a97	a87	a97	a57	</S>
le	0.0604451	0.0391731	0.0307614	0.0337558	0.0270289	0.0322234	0.0193483	0.0193325	0.0254354	0.0255835	0.0295917	0.0339299	0.0319938	0.0104439	0.0116516	0.00755242	0.00935618	0.015386	0.00876465	0.0178976	0.013493	0.0120157	0.01542	0.00854548	0.00927612	0.0155679	0.00810769	0.00918314	0.0216757	0.0435973	0.0210562	0.0300339	0.0233547	0.0648388	0.0459772	0.0510198	0.0342969	0.025736	0.0208009	0.0108733	0.00742037	0.00654787	0.0115071
furoncle	0.00166088	0.00389007	0.00419384	0.00206691	0.00506857	0.0113866	0.014412	0.0161306	0.021976	0.0431558	0.0634111	0.0476309	0.0273128	0.036781	0.0530576	0.0573082	0.0558075	0.0546567	0.0543542	0.0519536	0.04306	0.0158914	0.0368053	0.00807263	0.015298	0.0246444	0.0121228	0.00788542	0.0202301	0.0156483	0.0173705	0.0485852	0.0357822	0.0142616	0.00841526	0.00949392	0.00468656	0.0152789	0.00786514	0.00381321	0.00224644	0.00500138	0.00132683
qu'	0.0100928	0.014119	0.0135045	0.0172665	0.0318713	0.0361617	0.0445868	0.0463971	0.0731128	0.0555491	0.0669773	0.129296	0.0961565	0.0612359	0.0539214	0.0324555	0.020466	0.0119612	0.0243781	0.0138267	0.0159138	0.00768617	0.00710246	0.00199394	0.00227036	0.00272529	0.00105751	0.00107788	0.00264964	0.00283681	0.00388183	0.0027251	0.00310764	0.00274875	0.00441007	0.00412236	0.00823118	0.00548904	0.0082902	0.0143857	0.0078341	0.0271993	0.00892488
il	0.0625682	0.0391498	0.0550973	0.0260025	0.0261419	0.0197084	0.0217734	0.0110479	0.0187321	0.0255252	0.0250931	0.0172421	0.0198285	0.0215901	0.0170552	0.0203804	0.0120991	0.0152139	0.0101649	0.0111258	0.0148329	0.0125349	0.0129688	0.00767581	0.0030103	0.00670985	0.00266957	0.00382352	0.00471598	0.0050854	0.00435599	0.0085878	0.0155939	0.0164696	0.017035	0.0229022	0.0207547	0.0500091	0.0682249	0.0558448	0.049503	0.0509795	0.0701727
avait	0.0512694	0.0408631	0.0300836	0.0231544	0.0304429	0.0263256	0.0254167	0.0150633	0.0128616	0.0182248	0.0231078	0.00742843	0.0180818	0.0185898	0.0108925	0.0216852	0.0135035	0.00993723	0.00913547	0.00604986	0.0076734	0.0130815	0.0163022	0.0385372	0.0417069	0.0156267	0.02533	0.0332861	0.0132074	0.0128092	0.0167595	0.0222511	0.0123352	0.0206133	0.0146342	0.0147987	0.0109421	0.0275958	0.0445931	0.0366107	0.0330516	0.0408976	0.0752397
à	0.0220323	0.0162284	0.0252769	0.0146745	0.0180639	0.00994934	0.00975503	0.00595068	0.00942662	0.00949471	0.0100318	0.0127282	0.0173326	0.0155129	0.0102365	0.013908	0.0121809	0.0161883	0.0181758	0.0149019	0.0143245	0.0088996	0.0138404	0.0190077	0.0184038	0.0152653	0.0112018	0.0192656	0.0172654	0.0183846	0.0177155	0.0071635	0.0140793	0.0150627	0.0129987	0.0100671	0.0142082	0.0378066	0.0329399	0.0513456	0.0653148	0.0987072	0.184683
la	0.0262739	0.0205673	0.0197165	0.0148017	0.0196548	0.0181757	0.0167427	0.013741	0.018459	0.0174119	0.0224793	0.019501	0.0403163	0.0468542	0.037405	0.0353412	0.0272971	0.0263698	0.0225687	0.0217578	0.0270819	0.0139419	0.0205632	0.0245909	0.0164789	0.0178529	0.00862735	0.0132698	0.0125474	0.0127997	0.0116156	0.00441284	0.00986315	0.00868173	0.00970023	0.0122772	0.011105	0.0228259	0.0255065	0.0391821	0.0325709	0.0721215	0.0869485
cuisse	0.0227995	0.0113778	0.00977431	0.0105103	0.0144751	0.00844348	0.0136319	0.0154601	0.0215454	0.0138256	0.0283694	0.0277816	0.0576268	0.0313084	0.0307885	0.0177302	0.0139785	0.0227577	0.0116179	0.0135498	0.0131694	0.0134943	0.0149844	0.0170937	0.0196059	0.014344	0.00879413	0.00872593	0.00995817	0.0112973	0.0186744	0.00641218	0.0112151	0.0104826	0.00782296	0.0224379	0.0319602	0.047432	0.0550572	0.0745464	0.0597134	0.057968	0.0674579
est	0.101859	0.053793	0.018054	0.00517928	0.00457306	0.00356263	0.00203343	0.000753167	0.00136513	0.002899	0.00268772	0.0038608	0.00320301	0.00423811	0.00364101	0.0031885	0.00276176	0.00163616	0.00368395	0.00466403	0.00761599	0.0124878	0.0108884	0.0173766	0.0195727	0.0156155	0.0181567	0.0265021	0.0507396	0.0443899	0.0306776	0.0478587	0.0340758	0.0634844	0.0515021	0.0437685	0.0475825	0.0366586	0.0229358	0.0281928	0.0374909	0.0610194	0.043771
crevé	0.0355759	0.0166464	0.0119465	0.00808611	0.00760314	0.00365282	0.00485842	0.00269945	0.00294172	0.00311686	0.00479812	0.00396441	0.00588578	0.00852697	0.0072117	0.00846099	0.00499832	0.00344053	0.0029212	0.00488851	0.00761309	0.0127117	0.0166352	0.027038	0.0310999	0.019509	0.0330122	0.0322755	0.0282788	0.0313377	0.0300705	0.0413536	0.0413114	0.060653	0.0439331	0.0702099	0.0549044	0.0435469	0.0239718	0.0395	0.04133	0.061728	0.0557527
