 	a66	a87	a23	a87	a23	a13	a50	a70	a90	a79	a56	a32	a21	a12	a96	a0	a96	a75	a5	a36	a11	a61	a12	a18	a62	a88	a61	a47	a88	a61	a12	a96	a70	a53	a69	a58	a82	a87	a23	a87	</S>
cette	0.0218136	0.0296668	0.0559637	0.0468034	0.0316995	0.0446909	0.0323043	0.0656126	0.0512513	0.0416607	0.0242634	0.0254328	0.028961	0.0171439	0.0214072	0.021787	0.0192105	0.0188237	0.0188597	0.0228233	0.0127302	0.0110786	0.0082067	0.0145188	0.00970756	0.0071152	0.0128794	0.00907858	0.00720041	0.0229394	0.0201365	0.0162707	0.014957	0.023561	0.0274488	0.0166585	0.0238025	0.014864	0.019708	0.0240359	0.0429232
femme	0.0163884	0.0152239	0.0128125	0.0253821	0.0401204	0.049713	0.070034	0.0872337	0.0433162	0.0345722	0.030474	0.0179662	0.0392766	0.0305996	0.0463367	0.0556131	0.0420267	0.0320997	0.0307434	0.0372089	0.0222233	0.0147055	0.0136247	0.0168384	0.0208231	0.0154715	0.0153972	0.00926493	0.0158906	0.0106481	0.00676267	0.00590629	0.0100764	0.00764744	0.00717866	0.0051235	0.00486069	0.00453273	0.012671	0.00897758	0.0142345
m'	0.0253522	0.024694	0.035518	0.0416477	0.0488677	0.0809277	0.0632738	0.0405939	0.0977423	0.0690152	0.0757145	0.0672578	0.0652625	0.0363196	0.0341965	0.0193458	0.0198063	0.0171907	0.00895682	0.00536789	0.00371211	0.00385477	0.00422165	0.00197577	0.0033605	0.00175053	0.00248541	0.00213313	0.00285311	0.00303797	0.003591	0.00514561	0.00530299	0.00805068	0.00798041	0.00507647	0.00536724	0.0098311	0.0278712	0.00954259	0.00580504
a	0.0269419	0.0195627	0.0136714	0.00901139	0.00910664	0.0113952	0.0139262	0.00902536	0.00786357	0.0182315	0.0458825	0.0485346	0.0823039	0.0624681	0.0958701	0.112318	0.0831069	0.0674156	0.0393866	0.019841	0.02001	0.0188523	0.0203657	0.0134072	0.0146604	0.00818081	0.0110594	0.0102081	0.00840553	0.00766103	0.00490428	0.00516931	0.00398695	0.00411083	0.00483899	0.00787553	0.00972201	0.00916869	0.00692971	0.007148	0.00747186
dénigré	0.0213972	0.0203814	0.0224233	0.0205493	0.0205569	0.0161174	0.0133656	0.013753	0.0122521	0.0182413	0.0189284	0.017702	0.0195105	0.0198346	0.0190975	0.0175535	0.0261609	0.0262051	0.0365323	0.0497449	0.0639754	0.0570978	0.0465039	0.0645054	0.035357	0.0545827	0.0411379	0.0464434	0.0255436	0.0209129	0.0145453	0.0174161	0.00938418	0.00896011	0.0103888	0.0114773	0.0104557	0.00783633	0.00762721	0.00653843	0.00900327
parce	0.0468778	0.0222407	0.0179361	0.0144227	0.0162673	0.0185828	0.0253979	0.0370408	0.0338473	0.0503115	0.0330613	0.0307178	0.0340605	0.0220526	0.0265251	0.017998	0.0197433	0.0233552	0.018868	0.0258282	0.0238063	0.0167118	0.0172599	0.0173073	0.0157103	0.0143688	0.0161847	0.0150483	0.0133686	0.0167813	0.028026	0.0189412	0.0165487	0.0200549	0.0253692	0.0310013	0.0331768	0.0345285	0.0336007	0.0344379	0.0226323
que	0.026931	0.0135867	0.0106342	0.00906651	0.00904731	0.00972521	0.0177342	0.029134	0.0244106	0.0306627	0.0410063	0.0290301	0.0358478	0.0287559	0.042015	0.0420964	0.0407436	0.0458361	0.0317147	0.0366175	0.0271586	0.0263616	0.0209315	0.0175496	0.0185024	0.0110016	0.0186971	0.0109617	0.0140573	0.0152678	0.0156521	0.0109293	0.0137304	0.0167571	0.0238087	0.0309069	0.0263382	0.040394	0.0312736	0.0298495	0.0252752
je	0.0432946	0.0288741	0.0174652	0.00871954	0.00475133	0.00469908	0.00606743	0.00836761	0.00723058	0.00826458	0.0130659	0.0202256	0.0149718	0.0120738	0.0185443	0.0125279	0.0134883	0.0229115	0.0233381	0.0324423	0.0304093	0.03119	0.0288516	0.0300608	0.0381433	0.024316	0.0518338	0.0306262	0.0462646	0.0429395	0.0280383	0.0390789	0.016539	0.0187365	0.0250193	0.0312808	0.0351694	0.0372322	0.0310106	0.0425407	0.0193956
lui	0.0298144	0.0309622	0.0248571	0.0212889	0.0179984	0.013752	0.0159771	0.0173132	0.0130338	0.0116805	0.0180271	0.0103698	0.0172837	0.0135051	0.023266	0.0209108	0.0187506	0.0179675	0.0157152	0.0132791	0.0137926	0.0194904	0.0217428	0.019951	0.0255977	0.0221403	0.028893	0.021096	0.0324539	0.023948	0.0191113	0.0168706	0.0164585	0.0195849	0.0273962	0.0417744	0.0424844	0.0529414	0.0454743	0.0739287	0.0491171
dois	0.0279778	0.0452312	0.0471066	0.0395962	0.0290446	0.0211328	0.0142536	0.0221953	0.00814599	0.00785201	0.0113242	0.00754371	0.00940314	0.00910272	0.0126855	0.0127788	0.0119115	0.014071	0.0143082	0.0149781	0.0129776	0.0166865	0.0146982	0.0128876	0.0182909	0.0174424	0.0215307	0.0111813	0.0214954	0.0204105	0.0149134	0.0157899	0.0124908	0.019033	0.0246141	0.0384229	0.0452108	0.055487	0.0481645	0.112352	0.0652775
