 	a66	a87	a23	a99	a87	a23	a83	a47	a88	a18	a70	a34	a70	a90	a25	a56	a47	a88	a0	a11	a75	a37	a75	a79	a56	a75	a85	a92	a37	a21	a75	a92	a37	a12	a61	a12	a18	a71	a9	a87	a23	a82	a57	a87	a23	a85	a3	a82	a57	</S>
je	0.0390613	0.0374842	0.0366398	0.0220018	0.0156132	0.0276437	0.0219497	0.0306859	0.0402672	0.0289763	0.0237587	0.0199358	0.0323972	0.0209881	0.0198158	0.0300017	0.0230815	0.0137296	0.0184387	0.0292764	0.0181295	0.0247479	0.0171496	0.0161609	0.00782902	0.00910333	0.0118781	0.00838928	0.0148281	0.0142238	0.0128014	0.015054	0.0180409	0.0203542	0.0168787	0.0200059	0.0107018	0.0233159	0.0132267	0.0142408	0.0113591	0.0192124	0.0169737	0.00888727	0.00877901	0.01762	0.0139226	0.0128556	0.0150118	0.0365721
suis	0.018903	0.0120413	0.0375815	0.0209683	0.0172951	0.0194223	0.0181727	0.0262977	0.0286558	0.0329593	0.0243662	0.0384492	0.0278903	0.0231033	0.0251024	0.0218112	0.0173202	0.0262017	0.0289854	0.0230221	0.0232339	0.0169007	0.032176	0.0310315	0.0200089	0.0218938	0.0213834	0.0139822	0.0156385	0.0117362	0.00857483	0.0203896	0.015204	0.0318869	0.0139473	0.0241625	0.0191431	0.020516	0.0116163	0.0176609	0.0168932	0.0105442	0.0108454	0.0108554	0.0159576	0.00901826	0.0121379	0.0143665	0.0103065	0.00943953
impliqué	0.0225492	0.0161727	0.0196644	0.0150216	0.0109619	0.00842159	0.00897551	0.0066314	0.00761517	0.00599555	0.00623427	0.00872063	0.0101043	0.021812	0.0267951	0.034117	0.0314333	0.0334932	0.0362123	0.0331089	0.0250358	0.0259164	0.0333826	0.020749	0.0122793	0.021005	0.0144805	0.0138824	0.0107237	0.0111307	0.00628326	0.00866202	0.01081	0.0114467	0.00694527	0.00812797	0.00588046	0.00988057	0.00794382	0.0081815	0.0180064	0.0193947	0.0202785	0.0263134	0.0627861	0.0405286	0.0382464	0.0465693	0.0522352	0.0388545
dans	0.0337053	0.0442	0.0259516	0.02988	0.0449305	0.0255704	0.0237657	0.00708609	0.00741893	0.00718105	0.00413732	0.00601193	0.00826089	0.0144298	0.0121111	0.0165841	0.0161144	0.0122266	0.0154685	0.0200996	0.0219515	0.0257	0.01877	0.0165212	0.0115581	0.0225013	0.0204257	0.0242001	0.0221505	0.0223914	0.033399	0.0163558	0.0174136	0.0157312	0.0145118	0.0155236	0.00982646	0.0199045	0.0175058	0.0466797	0.0203934	0.0260841	0.0289384	0.0170898	0.0216514	0.0172638	0.0144594	0.0148568	0.0192211	0.0318868
cette	0.0621193	0.0337222	0.0136079	0.0139624	0.0118447	0.00967155	0.00887685	0.00508593	0.0052275	0.00389776	0.00304848	0.00301531	0.00414747	0.00472871	0.0046169	0.00769095	0.00670376	0.011135	0.0166262	0.0150144	0.0248322	0.0334111	0.01865	0.0163965	0.0130531	0.0264042	0.0239569	0.0279001	0.0278017	0.02859	0.0334822	0.0253024	0.0268715	0.0251325	0.0287076	0.0173536	0.0177916	0.0183511	0.0203903	0.0272174	0.0221947	0.0215461	0.0241636	0.0323385	0.0290187	0.0314217	0.0211736	0.0315998	0.0261488	0.0340553
affaire	0.0359556	0.0218294	0.010159	0.00905587	0.014417	0.00962603	0.00705692	0.00403178	0.00339007	0.00295838	0.00272257	0.00244043	0.00633819	0.00953792	0.00846719	0.0166098	0.017167	0.0209766	0.031518	0.051697	0.0427468	0.05938	0.0620441	0.0502243	0.0293791	0.0511275	0.0373815	0.0270685	0.0303383	0.0182818	0.0223707	0.0315246	0.0311781	0.0216948	0.0247635	0.027286	0.0163492	0.0178635	0.0152285	0.00877907	0.0141376	0.00810415	0.00880676	0.0104245	0.00813649	0.0114766	0.00513054	0.0111929	0.00549916	0.00612651
parce	0.0917309	0.049893	0.0421643	0.0246957	0.0112842	0.00613205	0.00383914	0.00468834	0.0052796	0.00258975	0.00236263	0.00407091	0.0091102	0.0141846	0.0237708	0.037464	0.0367042	0.0375016	0.039061	0.0436957	0.0443878	0.0502449	0.0326346	0.0358094	0.0248396	0.0354574	0.0225461	0.0173013	0.0155099	0.0119811	0.0100871	0.0156927	0.0134487	0.0230328	0.0138835	0.010965	0.0100431	0.0133292	0.00939046	0.00865895	0.0109285	0.00717237	0.00907069	0.00970455	0.0113187	0.0123809	0.00706866	0.00897034	0.00650044	0.00741859
que	0.064281	0.0295364	0.0250647	0.0224967	0.0140037	0.00922839	0.0103947	0.0118569	0.0202127	0.010924	0.00824168	0.0150442	0.0114702	0.0156749	0.0210267	0.0237764	0.0205863	0.0289445	0.0427853	0.0517295	0.0263286	0.0308128	0.0333919	0.0300051	0.0144327	0.0129621	0.00977488	0.0061759	0.00579387	0.00593696	0.00503711	0.00812787	0.00785198	0.0190575	0.0154673	0.0145155	0.0192066	0.00930646	0.014073	0.00862293	0.00785926	0.0133717	0.0151122	0.0198556	0.039236	0.0335198	0.0232467	0.034367	0.0380366	0.021235
c'	0.0334717	0.0155909	0.0108948	0.012426	0.0102371	0.00749057	0.00593712	0.0042857	0.00610057	0.0044472	0.00383693	0.00572529	0.00727027	0.00949709	0.0112195	0.0187839	0.0152085	0.0185651	0.0342767	0.0343973	0.0243915	0.0362589	0.0342235	0.0210553	0.0162983	0.0315778	0.0287134	0.0245145	0.023572	0.0376796	0.0211647	0.0340227	0.0325649	0.0321413	0.0263726	0.016462	0.0177611	0.0147144	0.0156947	0.00827253	0.011483	0.0138932	0.0119854	0.0168637	0.0244127	0.0272409	0.0198294	0.0340621	0.0380051	0.0351063
est	0.0470021	0.0132323	0.00750134	0.00865123	0.00710766	0.00442214	0.00461003	0.00277151	0.00626634	0.00434217	0.00355659	0.00674706	0.0061736	0.00928562	0.0110398	0.0234013	0.0202899	0.0223647	0.0318648	0.0534871	0.0439724	0.0378361	0.0384853	0.0317021	0.0201658	0.0348119	0.0255337	0.0192018	0.0182217	0.0136566	0.0106118	0.0162628	0.0130412	0.0086103	0.00892599	0.00962101	0.01068	0.0130403	0.00717259	0.00807365	0.00836399	0.0135039	0.0151543	0.0135552	0.0399079	0.0364272	0.0244607	0.0902229	0.0579095	0.0167502
moi	0.0289851	0.0137951	0.00445048	0.00543371	0.00403884	0.00172354	0.00240277	0.0013935	0.00338	0.00232277	0.00256785	0.00512716	0.00546827	0.00819553	0.0118506	0.0205419	0.0211508	0.0212502	0.046603	0.0536305	0.046765	0.0514641	0.0539377	0.0387617	0.0249316	0.0383037	0.030675	0.0265437	0.0194255	0.0235858	0.0122954	0.0163436	0.0130075	0.0127068	0.01266	0.0107826	0.0135598	0.0129402	0.00864488	0.00858092	0.00889674	0.0103207	0.0116157	0.0129856	0.0310086	0.0313191	0.0217115	0.0577531	0.0446614	0.0295005
qui	0.0213961	0.0114413	0.00523905	0.00580059	0.00456769	0.00292491	0.00388079	0.00290933	0.00632327	0.00629285	0.00852224	0.0127343	0.0117974	0.0129727	0.0171568	0.0292496	0.0281148	0.0331772	0.0450576	0.0502001	0.0617243	0.0448269	0.0523397	0.0508096	0.0294538	0.0228142	0.0156422	0.012158	0.00974776	0.00839729	0.00507274	0.00925253	0.00733663	0.00730691	0.00696887	0.00688796	0.0115633	0.0112716	0.00609591	0.00853097	0.00790495	0.0120474	0.0188091	0.0143934	0.0403115	0.0342119	0.0239041	0.0693209	0.0440504	0.0270865
