 	a23	a18	a54	a5	a61	a62	a0	a21	a34	a21	a61	a75	a37	a75	a70	a98	a15	a98	a85	a37	a66	a62	a0	a93	a34	a62	a34	a98	a92	a56	a96	a75	a47	a2	a57	a87	a23	a87	</S>
je	0.0552951	0.0662959	0.0322963	0.0348968	0.0493284	0.0649273	0.0575664	0.0643491	0.0616544	0.0256242	0.0476327	0.0156934	0.0187563	0.0183997	0.0160791	0.00821356	0.00583578	0.00838186	0.0106374	0.00700717	0.00675374	0.0193069	0.0170825	0.0203583	0.017767	0.0247968	0.0211404	0.0149124	0.0125255	0.022854	0.00829445	0.0124302	0.0147427	0.0191167	0.0139898	0.0168226	0.0178712	0.0207517	0.0296121
prie	0.0141966	0.0194111	0.0236374	0.0256302	0.0320516	0.0665365	0.0285643	0.0540526	0.0501724	0.0916622	0.0853465	0.0781399	0.0786449	0.0692429	0.0591426	0.0270569	0.0227893	0.0130359	0.0161815	0.0133287	0.0102281	0.01328	0.0146852	0.0136132	0.00567117	0.00330127	0.00378361	0.00436011	0.00487657	0.00355139	0.00506174	0.0059474	0.0043084	0.00324694	0.00694754	0.00458918	0.00639948	0.00803775	0.00928706
dieu	0.0457131	0.0107527	0.0159316	0.00873193	0.0314526	0.0268443	0.0271414	0.0258646	0.0348108	0.042823	0.0345447	0.0267324	0.0281206	0.0418613	0.0386201	0.034705	0.0244027	0.0273053	0.0372215	0.0257429	0.0250392	0.024685	0.0338522	0.0132673	0.0140814	0.0220638	0.0425822	0.0235425	0.0202343	0.0298734	0.0106701	0.013117	0.0132415	0.0128575	0.0137929	0.0169015	0.0179651	0.0261356	0.0367753
pour	0.0455187	0.0136371	0.0189416	0.00891607	0.0218743	0.0142789	0.0258551	0.0117623	0.0260692	0.0559873	0.0271679	0.0368704	0.0248663	0.0370972	0.0365393	0.0305766	0.0200402	0.024296	0.0307312	0.0207104	0.0374268	0.0644624	0.0563032	0.0278781	0.0255673	0.0279736	0.028394	0.0206322	0.0241206	0.0193454	0.0187969	0.0104517	0.0169355	0.0114937	0.0144473	0.017381	0.0147697	0.0148019	0.0170826
qu'	0.0283058	0.0116489	0.0136971	0.00859054	0.0199315	0.0160706	0.0290126	0.0165797	0.0446393	0.0699921	0.0419798	0.0683082	0.0258884	0.0279377	0.0283923	0.0254547	0.0119175	0.0142858	0.0241349	0.0235678	0.02797	0.0523051	0.0412554	0.0198389	0.0149114	0.0165019	0.0138229	0.0158409	0.0272868	0.017016	0.0193741	0.0255742	0.0231253	0.0170694	0.0246992	0.0205864	0.0247275	0.0253527	0.0224068
il	0.0904693	0.0471013	0.0450138	0.0284346	0.0327392	0.023541	0.0240436	0.0202804	0.0315128	0.0308279	0.0288401	0.0328236	0.0177584	0.0214631	0.0129181	0.00860814	0.00659378	0.0071813	0.0131038	0.00869139	0.0115053	0.0184067	0.0365152	0.0174926	0.0140723	0.0271073	0.038027	0.0291025	0.0542146	0.0196901	0.022463	0.0283575	0.0232031	0.0164873	0.0194421	0.0144144	0.0230596	0.0204832	0.0340107
sauve	0.0462797	0.0192241	0.0179073	0.0132866	0.0224697	0.0134004	0.00865716	0.0125292	0.0100277	0.0133131	0.0163823	0.0165042	0.0201595	0.0290405	0.0182139	0.0150205	0.00879174	0.0104232	0.0306141	0.0203937	0.0277206	0.0308918	0.0345354	0.0318047	0.0228494	0.035746	0.0330484	0.0237171	0.0369879	0.0260659	0.0317416	0.0424629	0.0528514	0.0444129	0.0360428	0.0268024	0.0424192	0.0280041	0.0292571
mon	0.067648	0.0285282	0.0284568	0.0189595	0.0414198	0.0172754	0.0163335	0.019827	0.0203668	0.030548	0.0372733	0.0474937	0.024749	0.027484	0.0225592	0.0108665	0.0043688	0.00523339	0.0136822	0.00856941	0.0129309	0.042142	0.0286947	0.0187192	0.016646	0.0136251	0.00870417	0.006721	0.013319	0.0109388	0.0125005	0.0198858	0.02989	0.0421269	0.0273597	0.0320548	0.0607628	0.0444491	0.0668874
âme	0.0502555	0.0202384	0.023899	0.016627	0.0434077	0.0230098	0.0329367	0.0249333	0.0346718	0.0394331	0.0411245	0.0352034	0.0159095	0.0173584	0.0202972	0.0149166	0.0102297	0.0121834	0.0232583	0.0160209	0.0220932	0.0525395	0.0276733	0.0172964	0.0146713	0.0120353	0.00943071	0.00789899	0.0161914	0.0140202	0.0157993	0.0231671	0.0334003	0.0452934	0.0263054	0.0349356	0.0452208	0.0353014	0.0308121
</S>	0.0948262	0.052928	0.0416529	0.0267327	0.0190429	0.00857508	0.00615588	0.0139479	0.00856571	0.0123926	0.0137359	0.0124439	0.00676808	0.00757926	0.00683237	0.00322106	0.00217799	0.00211707	0.00455844	0.00247144	0.00343423	0.0119831	0.00725604	0.00652485	0.00826243	0.0113681	0.00841837	0.00661309	0.0133158	0.00977651	0.0207428	0.0300605	0.0474859	0.0473733	0.0635725	0.0602041	0.0956247	0.0737247	0.127533
