 	a66	a87	a23	a79	a47	a85	a5	a56	a90	a98	a85	a6	a36	a61	a18	a62	a21	a85	a6	a5	a21	a5	a43	a75	a85	a47	a36	a2	a57	a87	a23	a99	a97	</S>
la	0.0359326	0.0556549	0.0815329	0.0860718	0.0683578	0.0762476	0.0446159	0.0207079	0.0240469	0.0145494	0.010142	0.0107369	0.0140454	0.0157241	0.0108771	0.0100658	0.0173384	0.0116155	0.0137349	0.0188985	0.0376418	0.0173324	0.0195891	0.0143377	0.0228408	0.0240421	0.0390972	0.0166348	0.0189291	0.0128513	0.0216786	0.016913	0.0322412	0.0649745
plupart	0.00215603	0.00485702	0.00635357	0.0140663	0.0205333	0.0562366	0.0556667	0.126973	0.0501302	0.0797881	0.0769901	0.142338	0.142408	0.0539016	0.0635228	0.025333	0.0305914	0.0170557	0.0121894	0.0034734	0.00313675	0.00213053	0.00221099	0.00181911	0.00030854	0.000753672	0.000594807	0.000274457	0.000324697	0.000623834	0.000599556	0.000748869	0.00101232	0.000898217
de	0.045341	0.0352202	0.0302584	0.0358286	0.055951	0.0823587	0.0631327	0.096995	0.0573463	0.0507104	0.0455169	0.0527047	0.0760817	0.060814	0.0320606	0.0285166	0.0230693	0.0187663	0.0105181	0.0080566	0.00989433	0.00331953	0.00532334	0.00378644	0.00145621	0.00390102	0.00257222	0.00234133	0.00213912	0.00610863	0.00479502	0.00874153	0.0282771	0.00809724
gens	0.03662	0.0252415	0.0284225	0.031612	0.0441318	0.0274845	0.0186488	0.060811	0.0408918	0.0290119	0.0811157	0.0558392	0.0708646	0.0371702	0.0458967	0.027003	0.0300403	0.0217499	0.0147781	0.00751204	0.00827366	0.010755	0.0148588	0.0107788	0.0184241	0.0186287	0.018677	0.0269999	0.0215176	0.034383	0.0173675	0.0285135	0.0200417	0.0159349
deviennent	0.0430435	0.0316606	0.0194634	0.0120789	0.0127312	0.014177	0.0230358	0.0565936	0.0512179	0.0413651	0.0815908	0.0965233	0.0802783	0.0483036	0.0396589	0.0302416	0.028547	0.0209161	0.0185302	0.0107129	0.0116309	0.0186071	0.00964976	0.0166369	0.0195615	0.0182815	0.0153148	0.0157777	0.0158963	0.0193885	0.0137988	0.0210515	0.0141899	0.0295453
fonfarons	0.0369242	0.0197905	0.0117156	0.0129805	0.0197301	0.0229413	0.0223014	0.0228228	0.0412645	0.052285	0.0628774	0.0708566	0.062376	0.0452854	0.03398	0.0357591	0.0272186	0.0186773	0.0250301	0.0221028	0.0285766	0.025992	0.0269684	0.0361117	0.036758	0.0214291	0.0320947	0.0301087	0.0249885	0.0122287	0.0129881	0.0133585	0.0139163	0.0175613
lorsqu'	0.0398649	0.0278136	0.0177881	0.0137544	0.015754	0.0133774	0.0148092	0.0232656	0.0235445	0.0363286	0.0219718	0.0241057	0.0280828	0.0232464	0.0231785	0.0220766	0.0222167	0.0169796	0.0205503	0.0233536	0.0388167	0.038978	0.0307456	0.0471478	0.0568005	0.0467357	0.05301	0.0572758	0.0459161	0.0234494	0.0303378	0.0253406	0.0267384	0.0266453
ils	0.0583727	0.0259344	0.0209939	0.0135879	0.016392	0.0166382	0.0176748	0.0286238	0.0349499	0.026521	0.0238365	0.0260363	0.0418071	0.0315302	0.0264938	0.0341421	0.0173233	0.0219008	0.0242798	0.0274994	0.0342693	0.0316286	0.027636	0.0348714	0.0369693	0.0305086	0.0382877	0.0398514	0.0379115	0.0290345	0.0302207	0.0336912	0.0329735	0.0276086
s'	0.0411896	0.0362187	0.0392743	0.0328453	0.0295057	0.023032	0.0179059	0.0196489	0.0270591	0.0308872	0.0390817	0.0324375	0.0294111	0.0388377	0.0311519	0.0403558	0.0238474	0.0299304	0.0302592	0.0278041	0.0206871	0.0222192	0.0152943	0.0197303	0.0188021	0.0271554	0.0411188	0.0288032	0.023118	0.0226432	0.0214194	0.0302598	0.0279595	0.0601062
enrichissent	0.0339069	0.0215792	0.0204767	0.0188906	0.0182346	0.0150405	0.0137531	0.0179949	0.0237343	0.0394532	0.0390833	0.0313379	0.0303015	0.028782	0.0282384	0.0315384	0.0232776	0.025332	0.0284275	0.0357467	0.035481	0.0365861	0.0239731	0.0261291	0.0277671	0.0380123	0.0472641	0.0397792	0.0345936	0.0302829	0.0254148	0.0351825	0.0236869	0.0507183
</S>	0.0639594	0.0486026	0.032902	0.0186505	0.0181724	0.0219448	0.0265519	0.0204326	0.0234738	0.0243686	0.0195769	0.0193669	0.0311981	0.0291461	0.0190663	0.0191512	0.0269089	0.0228736	0.0276221	0.034809	0.053855	0.032992	0.0199361	0.0227818	0.0304915	0.0237735	0.0289126	0.0234789	0.0244168	0.0193864	0.0310047	0.0236469	0.0330109	0.0835356
