 	a66	a10	a87	a23	a5	a85	a6	a21	a85	a15	a98	a85	a5	a0	a21	a12	a75	a85	a47	a7	a84	a57	a10	a57	a87	a23	a99	a87	</S>
sa	0.0370598	0.0427834	0.049926	0.060128	0.0544985	0.0747627	0.0769412	0.0649682	0.033772	0.0209155	0.0160281	0.0192578	0.0181441	0.0351427	0.0220243	0.0130365	0.0134625	0.0271885	0.0365139	0.0238999	0.034248	0.0338275	0.0182573	0.018283	0.0229452	0.0169711	0.027804	0.0268637	0.0603468
manière	0.007221	0.0130562	0.0125165	0.0317792	0.075536	0.0944194	0.0924042	0.062787	0.0717427	0.101179	0.0567654	0.072634	0.0481632	0.0534217	0.043071	0.0431806	0.0757015	0.00990503	0.0129001	0.00413387	0.00291637	0.00144417	0.000817609	0.000672335	0.00114135	0.00195201	0.0015806	0.00465044	0.00230725
de	0.0408476	0.0174644	0.0113099	0.0114897	0.0190114	0.0218249	0.0203603	0.0352511	0.0581849	0.0495384	0.0144322	0.0531339	0.0247911	0.0244031	0.0215739	0.0113021	0.00712757	0.0144798	0.0111404	0.0366782	0.0401921	0.0446744	0.0575299	0.0445727	0.0385214	0.0471945	0.0729614	0.098094	0.0519147
cuire	0.0225091	0.0198742	0.0103433	0.0089385	0.00475398	0.00420667	0.00567275	0.0116176	0.0415468	0.0541748	0.0472819	0.281844	0.0778611	0.132357	0.0636344	0.0262701	0.0201493	0.0199556	0.0131976	0.00962848	0.00914852	0.00973809	0.00983032	0.0117322	0.0137643	0.0126718	0.0204348	0.0266381	0.0102244
le	0.0762764	0.0468338	0.0279235	0.0209184	0.00880599	0.00487134	0.00440512	0.00855447	0.0183676	0.0384906	0.0355067	0.108347	0.0677215	0.111168	0.0548799	0.0422589	0.0326381	0.0297351	0.0369367	0.0224864	0.0169441	0.0138363	0.0120299	0.0164235	0.016995	0.0175882	0.0449149	0.0358272	0.0283149
safou	0.0303997	0.0218978	0.0133691	0.0123738	0.012881	0.00947227	0.0101611	0.0199282	0.0393851	0.0340385	0.0247829	0.104712	0.0704902	0.108445	0.0519926	0.0254171	0.036616	0.0600441	0.0262351	0.0316379	0.0270196	0.024325	0.0222773	0.0255698	0.0348751	0.0235167	0.0432329	0.0276885	0.0272152
est	0.08005	0.0386336	0.0424619	0.0378827	0.0257714	0.0159425	0.00949498	0.0145158	0.0171039	0.0230868	0.0106963	0.0496342	0.0421141	0.0812652	0.0416154	0.0260464	0.0166318	0.0399541	0.0207562	0.0188974	0.027076	0.0340991	0.0254436	0.0345376	0.0325983	0.0383782	0.0508405	0.0493024	0.05517
hors	0.0729403	0.0384123	0.0213146	0.0173083	0.0149769	0.0105248	0.0128205	0.0175501	0.0145082	0.0232464	0.0160616	0.0225786	0.0226766	0.0400322	0.0297943	0.0187141	0.0177337	0.0398407	0.0351804	0.0455588	0.0491803	0.0639207	0.0329397	0.0400632	0.0367012	0.0436216	0.0708846	0.04469	0.086225
du	0.042438	0.0310814	0.0228035	0.0224259	0.013504	0.0078078	0.00695126	0.0066528	0.00511453	0.0093426	0.00690693	0.00705975	0.00835038	0.0112904	0.010715	0.014632	0.0389137	0.0787102	0.0790382	0.0629098	0.0675009	0.0741164	0.0491281	0.0640561	0.0667651	0.0415903	0.0575732	0.0382989	0.0543228
commun	0.0288306	0.0241689	0.018313	0.0189948	0.0211265	0.0168891	0.0210049	0.0318443	0.0316379	0.0492352	0.0644833	0.0353238	0.0376075	0.0599779	0.0408646	0.0293786	0.01923	0.0489564	0.0264395	0.0304313	0.0242352	0.0414151	0.0271339	0.0353392	0.0444192	0.0321201	0.0555569	0.0300463	0.0549957
</S>	0.0381849	0.0374013	0.0280992	0.0400883	0.0346113	0.0310403	0.0267804	0.0198077	0.0122074	0.0164671	0.00843699	0.00863839	0.00905617	0.0204414	0.0233567	0.020068	0.0265635	0.0814658	0.0476732	0.0320892	0.0464575	0.0731843	0.0329025	0.0385849	0.0523305	0.0290669	0.0654329	0.0411122	0.0584512
