 	a66	a87	a23	a53	a56	a61	a47	a21	a12	a62	a61	a90	a25	a92	a79	a56	a94	a21	a85	a92	a37	a85	a79	a44	a4	a13	a40	a36	a37	a96	a93	a4	a53	a69	a7	a84	a87	a23	a87	</S>
celui	0.0466176	0.0395313	0.0453769	0.0672756	0.0266235	0.0773661	0.0461727	0.0414041	0.0279519	0.0209645	0.0198997	0.0138571	0.00650304	0.0058318	0.00892471	0.00840427	0.00938615	0.0123831	0.0126895	0.0101897	0.0132273	0.0166712	0.0188867	0.0222702	0.0223503	0.0214206	0.0287916	0.0224926	0.0115178	0.0246903	0.0221011	0.0209235	0.0198116	0.0194777	0.0197389	0.0293083	0.0218974	0.0239432	0.0224719	0.0506543
qui	0.0211311	0.0179226	0.0208668	0.0157944	0.0252299	0.0424521	0.0569255	0.0376116	0.0507614	0.033529	0.0858602	0.06472	0.039723	0.0393807	0.0358657	0.0199066	0.0241413	0.0231828	0.0147676	0.0169801	0.0135139	0.00622685	0.00608304	0.0139426	0.00895194	0.0126248	0.0103052	0.0122984	0.0111527	0.0143553	0.0192814	0.0305831	0.0160525	0.0227771	0.0145334	0.016968	0.0179491	0.0252222	0.0147813	0.0256447
s'	0.0828698	0.0729291	0.0497672	0.0455779	0.0302861	0.0389943	0.0441407	0.0478693	0.0365779	0.0338389	0.0258699	0.0246676	0.0466988	0.0232873	0.0156991	0.0103238	0.0118877	0.0360073	0.0231946	0.0163868	0.026679	0.0164268	0.0108526	0.0263519	0.00578175	0.00732428	0.00529371	0.00544972	0.00246766	0.00505706	0.00475711	0.00932977	0.00627606	0.00756086	0.00716217	0.0137046	0.0113404	0.0262802	0.0293476	0.0556824
adosse	0.0488144	0.0288988	0.0163693	0.0128292	0.00753471	0.00919899	0.00858721	0.0213906	0.0327024	0.0271822	0.0259212	0.0204133	0.0306438	0.0293047	0.0328615	0.0402063	0.0466531	0.0545781	0.0333278	0.014508	0.0140074	0.00837851	0.00399429	0.00732775	0.0066286	0.00728991	0.00619941	0.0120659	0.00743545	0.0156979	0.0121301	0.0353363	0.0387282	0.0479163	0.0434981	0.0442583	0.0401134	0.0355945	0.0435246	0.0279497
sur	0.0991601	0.068448	0.0661638	0.0551346	0.0212117	0.0213785	0.0148236	0.0210774	0.0112933	0.0241781	0.0101072	0.0147663	0.0385442	0.0414547	0.0426744	0.0529044	0.0339648	0.0439348	0.0413542	0.026381	0.0404868	0.0148767	0.00999292	0.0127373	0.00840538	0.0126895	0.0135447	0.00867364	0.00690497	0.00962572	0.00679152	0.0159403	0.0110854	0.0134205	0.00810148	0.00652031	0.00689099	0.0221545	0.0111451	0.0110574
la	0.0370279	0.019199	0.0153645	0.0119186	0.00632264	0.0142988	0.0170089	0.0273596	0.0297954	0.0384424	0.0297354	0.0484046	0.0344032	0.0314184	0.0430985	0.0348554	0.042286	0.0633445	0.0551353	0.0512467	0.0439669	0.0232668	0.0184978	0.0253383	0.00878686	0.0127769	0.0127035	0.0110831	0.00701335	0.00753312	0.0166145	0.0169861	0.0127491	0.0137827	0.0136478	0.0104606	0.0162691	0.0245811	0.0207809	0.0324956
voiture	0.021186	0.00906441	0.00586355	0.00811542	0.00548886	0.00647605	0.00493765	0.00294915	0.00199828	0.00391033	0.00272988	0.00425637	0.00726124	0.00699396	0.0158461	0.0236984	0.0390827	0.0902	0.0761007	0.117932	0.0889676	0.082166	0.0610477	0.0834039	0.0327148	0.046689	0.0174869	0.0217484	0.00716777	0.00888674	0.00861719	0.0084706	0.0073991	0.0111878	0.0103206	0.00669968	0.0109558	0.0156599	0.0102656	0.00605409
là	0.0994482	0.0493985	0.0375633	0.0283138	0.0151618	0.011045	0.00458289	0.00532557	0.0046241	0.00750739	0.00843323	0.0168356	0.0168865	0.0119991	0.016501	0.0139365	0.0177455	0.0342257	0.0318247	0.0316597	0.0283184	0.0219654	0.0223921	0.0371857	0.00905445	0.0135643	0.0111935	0.0144864	0.00854737	0.0136798	0.0120532	0.0259001	0.0257381	0.032615	0.0349629	0.0487823	0.0401963	0.0616269	0.041392	0.0333276
est-il	0.0852046	0.0746442	0.0599242	0.0307208	0.0244314	0.0134366	0.00544722	0.00634777	0.00330933	0.00840779	0.00604331	0.012227	0.0179986	0.0136156	0.0129386	0.0123838	0.0180191	0.0211838	0.0234375	0.0136912	0.0198908	0.0199044	0.0142792	0.0161406	0.00546732	0.00628617	0.00924637	0.0103107	0.00979945	0.0120983	0.0272827	0.0225648	0.0428917	0.043043	0.035363	0.0430695	0.0363457	0.0615492	0.0642598	0.0367947
fou	0.0669566	0.067784	0.0526215	0.0208597	0.0127045	0.00781242	0.00443319	0.0038917	0.0035259	0.00716141	0.00684404	0.0134461	0.0200106	0.0120253	0.00809701	0.00810234	0.0123706	0.0324393	0.0223663	0.0184045	0.0197089	0.0131087	0.00794002	0.0165172	0.00647746	0.00847538	0.0075762	0.010993	0.0121496	0.0128178	0.0285537	0.0364838	0.0439568	0.0492143	0.0380242	0.0413168	0.0398489	0.066763	0.0773316	0.0608855
</S>	0.0538401	0.0541802	0.0571876	0.0337047	0.0234074	0.0167721	0.0087829	0.0087489	0.00701203	0.0123669	0.00789923	0.0126998	0.0128606	0.00948217	0.00849958	0.00716478	0.0102711	0.0153331	0.0166818	0.00988452	0.0118827	0.00777346	0.0065908	0.00792386	0.0040854	0.00402041	0.00822726	0.0115809	0.0115189	0.0141699	0.016052	0.045747	0.049805	0.0618775	0.0400194	0.0639652	0.0436609	0.063654	0.0680243	0.0726418
