 	a15	a66	a87	a23	a13	a44	a54	a37	a5	a37	a61	a21	a85	a98	a15	a20	a7	a15	a0	a54	a36	a27	a82	a87	a23	a87	</S>
le	0.0306466	0.0300866	0.0303644	0.0349206	0.0342922	0.0340735	0.0363024	0.0296086	0.0385402	0.0656152	0.133063	0.0442267	0.0812605	0.0922167	0.0399348	0.00786985	0.00461495	0.0111922	0.0278527	0.0107578	0.0116115	0.0151214	0.0198736	0.0161451	0.0202424	0.019581	0.0799851
chef	0.00205821	0.00872803	0.0151775	0.0323122	0.0355783	0.123712	0.0861526	0.135836	0.157201	0.148783	0.0610631	0.108831	0.0480138	0.00787978	0.00727997	0.00649315	0.0037343	0.00234898	0.00173885	0.000768792	0.000558317	0.000638272	0.000725248	0.00103322	0.000725914	0.00162528	0.00100271
coutumier	0.0386967	0.0932296	0.160224	0.152904	0.0917967	0.0853986	0.0504412	0.0550518	0.0475339	0.0558956	0.0205374	0.0141442	0.0200132	0.00624932	0.00945179	0.00839864	0.00439635	0.0065182	0.00632322	0.0107456	0.0074955	0.0111681	0.00984073	0.0111601	0.00792478	0.0093011	0.00515932
a	0.0434738	0.0617795	0.0538726	0.0434587	0.0391315	0.0353365	0.0249633	0.0383759	0.0355611	0.0357944	0.0294722	0.0309075	0.0400236	0.0194276	0.0368738	0.0267856	0.0326239	0.0237889	0.0323821	0.0480559	0.0436173	0.0444377	0.0425549	0.0415571	0.0239723	0.0211103	0.0506621
porté	0.0644772	0.105051	0.0743465	0.0471881	0.0423752	0.0305955	0.0305112	0.0608382	0.0489324	0.0396204	0.03278	0.0390622	0.0366941	0.0336177	0.0306641	0.0141785	0.0193185	0.0384195	0.0311251	0.0178787	0.0270964	0.0206407	0.0179617	0.0146291	0.0186649	0.0158261	0.0475075
un	0.0710981	0.0434997	0.0340191	0.0189069	0.0160745	0.0147974	0.00873997	0.00984989	0.00759618	0.00720313	0.00726099	0.00465441	0.00500966	0.00572957	0.0106312	0.0116055	0.0152259	0.0310365	0.0435002	0.0808424	0.119614	0.0814301	0.0651524	0.0867864	0.0758638	0.0623522	0.0615192
tissu	0.0302753	0.0236435	0.0209879	0.0159933	0.013602	0.0166021	0.0110326	0.0103448	0.0091684	0.00943313	0.00886388	0.00622351	0.00663597	0.00737973	0.0105981	0.0162265	0.0158208	0.0237188	0.0302151	0.0847246	0.114434	0.0885847	0.0990934	0.116708	0.0702842	0.0721856	0.0672206
de	0.0324848	0.0207885	0.0207171	0.0120957	0.0105171	0.0129963	0.0188279	0.0206404	0.0106531	0.015791	0.0299389	0.01722	0.0412475	0.0597524	0.0728628	0.0584481	0.0456244	0.0717847	0.0638917	0.0549795	0.05323	0.0615745	0.0622075	0.0525574	0.0300683	0.0213522	0.027748
raphia	0.0580245	0.0454979	0.0401781	0.0229924	0.016271	0.0182701	0.0179149	0.0203873	0.0116278	0.0210101	0.0206394	0.0131839	0.0265489	0.0272566	0.0289352	0.0303543	0.020211	0.0341624	0.0292725	0.0309777	0.0735336	0.0510324	0.0606093	0.104197	0.050467	0.0765702	0.0498744
</S>	0.052211	0.036288	0.0323211	0.0200193	0.0176509	0.020029	0.0143644	0.0127631	0.00867338	0.0134809	0.0146829	0.0106027	0.0161762	0.0191677	0.0311231	0.0305045	0.039716	0.0716028	0.0568893	0.0918821	0.0571605	0.0486758	0.0520343	0.0533934	0.0469357	0.0494665	0.0821853
