 	a66	a57	a87	a10	a40	a6	a37	a5	a12	a47	a61	a35	a94	a90	a15	a20	a90	a15	a79	a98	a15	a79	a69	a58	a82	a87	a38	a9	a38	</S>
la	0.058845	0.0557187	0.0622456	0.0654021	0.0330868	0.0557508	0.0529254	0.0747411	0.0444931	0.0247545	0.0195865	0.0115118	0.0203618	0.0302716	0.0258069	0.0181747	0.0123703	0.00899608	0.00974404	0.00750643	0.0172901	0.0323137	0.017898	0.0224131	0.0230232	0.0155169	0.0279958	0.0373113	0.0530369	0.0609079
colle	0.00255313	0.00981897	0.0108826	0.0376906	0.0500925	0.0673042	0.066372	0.0538881	0.157387	0.178523	0.127517	0.103264	0.033014	0.0245759	0.0248605	0.0150709	0.00454245	0.00238399	0.00216234	0.00286347	0.00435257	0.00181245	0.00377982	0.0018032	0.00242082	0.00237391	0.00132848	0.00230866	0.00348635	0.00156613
du	0.0259453	0.0289987	0.0112093	0.0149757	0.0312622	0.0301555	0.0325475	0.0389569	0.0585915	0.0245462	0.0209601	0.0284167	0.0250259	0.0213914	0.038076	0.0346811	0.0259587	0.0160632	0.0394824	0.0770376	0.0610631	0.0421271	0.0186373	0.0382713	0.0363958	0.0349997	0.0430243	0.0378045	0.0536224	0.00977281
man	0.00346965	0.00876316	0.00347191	0.00875663	0.019042	0.0405998	0.0437492	0.040378	0.0463629	0.0480868	0.109369	0.0855499	0.0821347	0.0979658	0.131848	0.0437593	0.0475429	0.0279377	0.0142956	0.0144219	0.00280875	0.00131992	0.000904274	0.00157207	0.0142693	0.0166413	0.0130181	0.0131377	0.0102706	0.00855283
ioc	0.048028	0.0333481	0.0136733	0.0159362	0.0137997	0.0141728	0.0124221	0.026898	0.0228574	0.0220994	0.0144606	0.0108042	0.0118972	0.0245145	0.0136431	0.0116979	0.0103024	0.00418675	0.00727263	0.00522393	0.00364118	0.00674489	0.00920313	0.0319225	0.0997292	0.117235	0.106732	0.0745509	0.0847188	0.128285
qui	0.0255854	0.00873549	0.00812732	0.00392516	0.0105375	0.00649085	0.00788531	0.0110967	0.0114925	0.0149093	0.0137032	0.0123263	0.0153198	0.0225806	0.0104423	0.0126832	0.0133552	0.00970777	0.014938	0.0109824	0.00703447	0.0277899	0.022149	0.0943915	0.125656	0.121802	0.0972827	0.0791049	0.0983131	0.0816519
est	0.045234	0.021696	0.0203618	0.0154809	0.0128929	0.0106622	0.0105482	0.00984375	0.0108527	0.0210193	0.0139804	0.0139451	0.014805	0.0171619	0.00913714	0.0122294	0.0177855	0.0161005	0.0261673	0.0210297	0.0232293	0.0395946	0.0518343	0.0958279	0.0769295	0.0774271	0.0674816	0.0471957	0.0727456	0.106801
trop	0.0274444	0.0244687	0.0200788	0.0149941	0.0169857	0.022803	0.0337291	0.0327987	0.0346213	0.0625561	0.0409954	0.0658325	0.0437155	0.0292488	0.0229628	0.0403445	0.0594567	0.0588597	0.0340071	0.0421744	0.0143084	0.025615	0.0130579	0.0312259	0.0322668	0.0313244	0.033983	0.0269921	0.0264716	0.0366775
cuit	0.0365681	0.0223385	0.020968	0.0207349	0.0138879	0.0132352	0.0181749	0.0226201	0.0228154	0.0436255	0.0222843	0.0356923	0.0352124	0.034908	0.0222285	0.032349	0.0390287	0.0333074	0.016278	0.0164377	0.0109638	0.020564	0.0213567	0.0577281	0.0513258	0.0564559	0.0599445	0.0513519	0.0677919	0.0798226
lui	0.0364349	0.033577	0.0330676	0.0353115	0.0216949	0.014633	0.0180395	0.0188331	0.0146612	0.0147351	0.0106093	0.0156453	0.0158459	0.0366485	0.031174	0.035446	0.0375489	0.0296891	0.00972416	0.0114896	0.011279	0.0176385	0.0153874	0.038365	0.0420505	0.047061	0.0583499	0.0552323	0.0812304	0.158597
est	0.0374921	0.041306	0.0424539	0.0416984	0.0220443	0.0189652	0.0231093	0.0239177	0.0205118	0.0303022	0.0172603	0.0222805	0.0230641	0.0485241	0.0423187	0.0440009	0.0552559	0.0396411	0.0118765	0.0182873	0.0160012	0.0161975	0.0174226	0.0244135	0.0397807	0.0397756	0.0496064	0.0435541	0.0523884	0.0765494
restée	0.0514964	0.0450048	0.0324619	0.0234576	0.0233395	0.025756	0.0267898	0.02544	0.0292183	0.0406081	0.0257735	0.024005	0.0187578	0.0220589	0.0171694	0.0222934	0.0154632	0.0146901	0.0101821	0.0199193	0.00443198	0.00821495	0.00550155	0.0142396	0.0320135	0.028497	0.0393099	0.038581	0.0733002	0.242025
aux	0.0741432	0.0711865	0.0594426	0.0487354	0.0476461	0.0424171	0.0269124	0.0279933	0.0211429	0.0132755	0.0151756	0.0132976	0.0149845	0.0193434	0.0217534	0.0189248	0.00920508	0.0111758	0.0240348	0.0263552	0.0130843	0.0310752	0.0142471	0.0163493	0.0280191	0.0271639	0.0397101	0.0471305	0.0563706	0.119705
mains	0.0703219	0.0694855	0.0630031	0.0564076	0.0562673	0.0753321	0.0449423	0.0438942	0.0360792	0.0179153	0.0222101	0.0160123	0.0156628	0.0173795	0.0200828	0.0131711	0.00845381	0.00866907	0.0167919	0.0144927	0.0131312	0.0285603	0.0143893	0.0133533	0.0191491	0.0200517	0.0300762	0.0449511	0.0502174	0.0795457
</S>	0.0873818	0.0772573	0.0805512	0.100525	0.0383946	0.0340381	0.0160362	0.0196592	0.00983966	0.00806675	0.00875835	0.0114263	0.0118085	0.0142089	0.0111994	0.00943045	0.00654039	0.00550929	0.0116775	0.0126342	0.00998228	0.0212665	0.011763	0.0169852	0.0266028	0.0330655	0.0500131	0.0657852	0.0759278	0.113665
