 	a23	a53	a20	a30	a35	a24	a25	a87	a79	a98	a94	a76	a14	a44	a38	a76	a94	a32	a24	a62	a75	a73	a94	a76	a14	a35	a32	a75	a25	a90	a9	a53	a93	a83	a9	a24	a9	a87	</S>
il	0.0174476	0.0198949	0.0619437	0.0521387	0.0387047	0.0681206	0.0735641	0.0494935	0.124764	0.0956132	0.0792651	0.062098	0.0465047	0.0272111	0.0140041	0.0072145	0.00632168	0.00753189	0.00599677	0.00376989	0.00451404	0.00446604	0.00487364	0.00431764	0.00552757	0.0040628	0.00269682	0.00403086	0.00696319	0.00767898	0.00898066	0.0067855	0.00504908	0.0075897	0.0161419	0.00574951	0.00699244	0.00763344	0.0243431
a	0.00216194	0.00193559	0.0021278	0.00443053	0.00508304	0.0104556	0.0261672	0.0712777	0.0309915	0.0266429	0.0355756	0.026213	0.0372592	0.0328799	0.037023	0.0324268	0.0362625	0.0325225	0.012109	0.00769429	0.00944638	0.0125889	0.0174068	0.0143953	0.0290897	0.0248854	0.0216278	0.0267014	0.0246826	0.0229812	0.0325863	0.0271019	0.036508	0.0372599	0.0352799	0.0527295	0.0412324	0.0468117	0.0154451
commis	0.00333389	0.00300351	0.00332476	0.00513991	0.00662911	0.020537	0.0278541	0.0427581	0.0209038	0.0256009	0.0355473	0.0255877	0.0149719	0.01506	0.0133889	0.00778688	0.00589474	0.00860842	0.00289426	0.00198867	0.00248884	0.00398178	0.00439067	0.00492111	0.00586326	0.00713523	0.0122599	0.0236379	0.0472707	0.0571466	0.0461642	0.0794432	0.0630859	0.056682	0.0620351	0.0500717	0.0463792	0.0790117	0.0572171
l'	0.0486998	0.0433512	0.0281497	0.0850314	0.0502729	0.0920277	0.0697404	0.0412343	0.0241548	0.0471776	0.0592665	0.0218941	0.0191311	0.0178743	0.0337261	0.0355188	0.0228656	0.017846	0.0148577	0.0192006	0.0232393	0.019195	0.019189	0.0200861	0.0218854	0.0197084	0.0142146	0.0134683	0.00661037	0.0078491	0.00677581	0.00333786	0.00515061	0.00411757	0.00495694	0.00579974	0.00368894	0.00289006	0.00581609
adultère	0.087111	0.0546117	0.0336009	0.0330522	0.0213991	0.0219804	0.0187797	0.0179044	0.0124891	0.021959	0.0369307	0.0160189	0.0163812	0.0177152	0.0268626	0.0341015	0.0239952	0.0146649	0.040753	0.0383231	0.0379876	0.0341246	0.0315915	0.0379716	0.0358759	0.0210069	0.0152799	0.0143667	0.00974671	0.0111426	0.0113358	0.00910442	0.0123828	0.0127655	0.0147044	0.0174284	0.0294323	0.0306317	0.024487
avec	0.0319177	0.0261576	0.0232466	0.022598	0.0141468	0.0166069	0.0128897	0.0168307	0.0153954	0.0164691	0.0212437	0.0145346	0.0177447	0.0205924	0.032065	0.0384458	0.0531345	0.0541843	0.0475969	0.023146	0.0219859	0.0124508	0.0123094	0.0102956	0.0067071	0.00505377	0.00474667	0.00698926	0.0083009	0.0130845	0.0129939	0.022922	0.0296008	0.0202856	0.0285696	0.0503462	0.023001	0.0501749	0.141236
la	0.0475303	0.0266214	0.0123362	0.0109125	0.0105496	0.0109463	0.0138062	0.0221514	0.00987104	0.00889457	0.010068	0.0160639	0.0125448	0.0179663	0.0212983	0.0198931	0.0249771	0.0201126	0.0175394	0.0117693	0.0126112	0.0122468	0.0123023	0.0135448	0.013198	0.0132024	0.0126883	0.0149312	0.0238417	0.028149	0.0373068	0.0447452	0.0434797	0.0349189	0.0554518	0.0497078	0.0545304	0.0933731	0.0839183
femme	0.0587497	0.0461084	0.027067	0.0423163	0.029201	0.0455784	0.0314184	0.0381384	0.0269983	0.026509	0.0315237	0.017415	0.0115891	0.00712033	0.0122651	0.0154032	0.0183267	0.0357828	0.0221594	0.0107285	0.0153648	0.00798485	0.0101126	0.00917022	0.00561764	0.00618725	0.00644378	0.0083633	0.0109589	0.0136923	0.0185186	0.0278815	0.0221603	0.0161535	0.0314535	0.0294612	0.0398501	0.0851363	0.0810906
du	0.0356805	0.0421318	0.0264811	0.0335576	0.0280522	0.018874	0.0303412	0.0345303	0.0188079	0.0214775	0.0178922	0.0113499	0.0153889	0.011924	0.0236366	0.0279159	0.0292732	0.0335499	0.0249067	0.0144592	0.0206349	0.011079	0.0137236	0.010333	0.00585662	0.00637132	0.00302859	0.0033749	0.00761015	0.00684715	0.0121024	0.0228448	0.0310091	0.018038	0.0418486	0.0510233	0.0387345	0.0733973	0.121912
chef	0.0363972	0.0261718	0.0223587	0.0284429	0.0188349	0.0137842	0.0180751	0.0204937	0.0123203	0.0177774	0.0203275	0.0142768	0.0159429	0.0127136	0.0300334	0.037232	0.0474913	0.0381727	0.0358413	0.0230169	0.0319064	0.0233452	0.0350367	0.0272812	0.0222096	0.0210008	0.0124301	0.0100219	0.0110335	0.00699395	0.0143117	0.0173869	0.0270689	0.0195805	0.0379883	0.0444398	0.0414859	0.0652472	0.0415268
</S>	0.0194149	0.0119469	0.012758	0.0267579	0.0193582	0.0188429	0.0274188	0.0230024	0.0118298	0.0149192	0.0169263	0.011534	0.0122543	0.00860079	0.012024	0.00793729	0.00563158	0.00380446	0.00447769	0.00601582	0.00632401	0.00785966	0.00834089	0.0091218	0.012354	0.00994037	0.00560436	0.00835262	0.0133575	0.0144903	0.0174695	0.0230058	0.0264992	0.0262372	0.0451718	0.0364082	0.0899877	0.130498	0.233522
