 	a23	a87	a23	a87	a23	a99	a20	a30	a35	a56	a35	a94	a98	a41	a35	a7	a32	a26	a35	a14	a2	a40	a30	a2	a57	a87	a23	a25	a38	a26	a35	a54	a41	a94	a7	a11	a75	a41	a76	a94	a58	a75	a14	a0	a54	a14	a2	a40	a54	a14	a30	a2	a57	a87	</S>
si	0.0210591	0.0257627	0.0216149	0.030567	0.0167314	0.015438	0.0108071	0.012949	0.0190151	0.0240506	0.0262915	0.0237149	0.0465515	0.0341766	0.0283706	0.0219162	0.0250239	0.0186653	0.012481	0.00802995	0.0150037	0.0111789	0.0135512	0.0136335	0.0166094	0.0188822	0.0150023	0.0133341	0.0153019	0.0130459	0.009387	0.0062634	0.0082254	0.00610459	0.00614807	0.00681675	0.00540287	0.00533771	0.00605584	0.00539061	0.00644497	0.00417762	0.00505548	0.00523695	0.0124337	0.00613107	0.00912166	0.0180236	0.0195319	0.0315316	0.0309483	0.0404822	0.0437466	0.0345038	0.0787387
tu	0.00170811	0.00152386	0.00145322	0.00186772	0.000846705	0.000689356	0.00107284	0.00132399	0.00201468	0.00778668	0.0178782	0.0233828	0.0276574	0.043393	0.0454427	0.0347699	0.0377927	0.017192	0.0220589	0.0252006	0.0364744	0.0288516	0.0357985	0.0406903	0.0676517	0.0429041	0.045656	0.0499951	0.0810288	0.0520073	0.0299724	0.0293463	0.0140683	0.0103726	0.0026399	0.00235114	0.00121955	0.00113564	0.00125547	0.00343346	0.00305218	0.00300408	0.00306971	0.00211192	0.00208039	0.00567095	0.00851386	0.0106005	0.00866781	0.0107248	0.0122441	0.00977599	0.0144564	0.0081231	0.00599633
ne	0.0296519	0.013928	0.0105598	0.00702159	0.00311553	0.00221556	0.00248487	0.00284272	0.00176025	0.00334753	0.0137863	0.0339593	0.0563675	0.0721269	0.041233	0.028115	0.0188127	0.00981357	0.00862361	0.00914598	0.0117569	0.0224918	0.018235	0.0214258	0.0238982	0.0148411	0.0180081	0.0115998	0.032403	0.0337698	0.0237125	0.0185564	0.0109826	0.0206329	0.00873053	0.00455097	0.00471173	0.00256853	0.00155819	0.00238615	0.00352279	0.00577359	0.00716505	0.00634106	0.00551365	0.0165531	0.0109024	0.0186128	0.044375	0.0513164	0.0317183	0.0215422	0.0265198	0.0284971	0.045915
bouges	0.0209201	0.0127003	0.00957211	0.00558018	0.00509054	0.00512834	0.00429228	0.00905617	0.0071318	0.0116284	0.018763	0.0197348	0.0227563	0.0189858	0.0128742	0.00959409	0.0100321	0.0144917	0.0122339	0.0133822	0.0131608	0.0107859	0.0110205	0.0118151	0.0223161	0.0182919	0.0239925	0.0164049	0.030834	0.0318811	0.0281348	0.0277538	0.0216096	0.0308693	0.0237709	0.0123361	0.014663	0.0151766	0.0158626	0.0361445	0.0265965	0.0276822	0.048563	0.0331101	0.0233479	0.0376181	0.0113085	0.0181826	0.0126811	0.0105221	0.00958984	0.0128896	0.0155588	0.0136319	0.0379455
pas	0.0169	0.00997948	0.00838334	0.00516012	0.00418904	0.00573641	0.00482911	0.00895996	0.00543846	0.00519607	0.00534944	0.00432392	0.00414986	0.00425816	0.00412736	0.00500143	0.00499343	0.00773658	0.0086185	0.00959153	0.00811385	0.00914988	0.00895915	0.0112685	0.0113468	0.01248	0.0150802	0.0153089	0.0168503	0.0139683	0.0170497	0.0137738	0.00926944	0.0151839	0.0208356	0.0157613	0.0196354	0.0214006	0.0251896	0.0294533	0.0219829	0.0205787	0.0263786	0.0318795	0.0423684	0.0451743	0.0474723	0.052826	0.0446493	0.0459362	0.0389197	0.0376871	0.0269238	0.0324496	0.0417729
je	0.0157506	0.0108216	0.0113057	0.00611907	0.00553561	0.00359235	0.00388231	0.00593083	0.00631099	0.0095903	0.00805209	0.00712195	0.00498952	0.00610822	0.00610002	0.00728642	0.00812348	0.00771299	0.00861072	0.00860824	0.00891515	0.00924872	0.0100202	0.0125658	0.0114196	0.00811931	0.00819738	0.00770668	0.0126417	0.0136346	0.0118528	0.0118819	0.00747871	0.00856792	0.0109194	0.00501451	0.00716219	0.0103725	0.0233298	0.0341628	0.0546525	0.0439226	0.0291207	0.0324794	0.0553214	0.0424053	0.0330176	0.036911	0.0440986	0.0381402	0.0436954	0.036185	0.034685	0.042744	0.0478564
ne	0.0303946	0.0177406	0.0150259	0.00846387	0.00562722	0.00469343	0.00444028	0.00352421	0.00265641	0.00288555	0.00244088	0.00289983	0.00313232	0.00638189	0.005809	0.00669294	0.0065091	0.00513995	0.00380739	0.00459839	0.00553885	0.00817145	0.0128651	0.0197192	0.0161818	0.00920991	0.0134686	0.01335	0.025926	0.0329339	0.0290268	0.025201	0.0116534	0.0170691	0.0205302	0.00711716	0.0104611	0.0110369	0.0129641	0.032043	0.0364864	0.0483986	0.0463215	0.0351702	0.0898135	0.0371009	0.021418	0.0248486	0.0281754	0.025192	0.0285558	0.0255812	0.0202128	0.026308	0.029086
te	0.0334852	0.0221332	0.0202978	0.0145075	0.0125093	0.0108635	0.00769159	0.00759547	0.00707945	0.00719974	0.0059855	0.00630258	0.00440386	0.00605615	0.00575281	0.00568036	0.00609965	0.00589896	0.00636482	0.00657202	0.012233	0.00920362	0.013401	0.0193056	0.0196537	0.0121562	0.016377	0.0160176	0.021544	0.0225939	0.024824	0.0222956	0.0170717	0.0160621	0.0131474	0.00618855	0.00754805	0.00872173	0.0174708	0.0248658	0.0178947	0.0219292	0.0248354	0.0346499	0.0701594	0.0364543	0.0239423	0.0276356	0.0335808	0.0270451	0.0388508	0.0245608	0.0244741	0.0346712	0.0361556
ferai	0.0226185	0.0313806	0.0298164	0.0230188	0.0171515	0.0161762	0.012762	0.00944139	0.00852701	0.00980261	0.0057315	0.00609348	0.00463104	0.00532932	0.00653743	0.0128037	0.0102997	0.012346	0.0116876	0.0117997	0.0227	0.0155934	0.0230744	0.0257774	0.0239275	0.0230744	0.0130613	0.0120187	0.0109828	0.0126926	0.0101834	0.0103786	0.0105775	0.0148785	0.00998778	0.0100555	0.0216344	0.0283045	0.0262129	0.0209545	0.0225352	0.0222423	0.0207598	0.0182264	0.0331222	0.022935	0.0134652	0.0191728	0.0270604	0.0383463	0.043022	0.027429	0.0110014	0.0288761	0.037781
pas	0.0294773	0.0254795	0.0239372	0.0177063	0.00715843	0.00656071	0.00490641	0.00379843	0.00344344	0.00386022	0.00341808	0.0043508	0.00579956	0.005536	0.00961437	0.0102912	0.012206	0.0120237	0.00599814	0.00712591	0.0107381	0.017175	0.0107858	0.0257925	0.025757	0.0172598	0.0141656	0.0151512	0.0130928	0.0174265	0.012144	0.0144174	0.0209003	0.0126014	0.00526777	0.00683699	0.00697384	0.00869997	0.00573316	0.0115376	0.012656	0.00742161	0.0172587	0.0210502	0.0334924	0.0162934	0.0157798	0.0312434	0.0256401	0.0312244	0.044156	0.0450385	0.0382896	0.0628708	0.122437
