 	a66	a87	a23	a97	a57	a99	a83	a62	a96	a61	a21	a47	a62	a96	a18	a75	a25	a98	a92	a56	a90	a25	a79	a56	a98	a79	a7	a53	a4	a57	a82	a87	a23	a97	a87	a23	a99	a97	</S>
j'	0.0533616	0.0434099	0.0553395	0.0448739	0.0380226	0.0188324	0.0154093	0.0136292	0.0149115	0.0145323	0.00749225	0.00612303	0.00708203	0.00775133	0.00681521	0.00894417	0.00686395	0.0103606	0.0156109	0.0206905	0.015319	0.0123255	0.0171481	0.0198316	0.0154722	0.0151309	0.0210301	0.00982081	0.0294895	0.0708338	0.105912	0.0341477	0.0460688	0.0498983	0.0345807	0.0262338	0.0210933	0.0184942	0.0271138
ai	0.052791	0.0487877	0.0667964	0.0526328	0.0440453	0.0353352	0.0439222	0.0294956	0.0444781	0.0234516	0.0195304	0.0159463	0.0113861	0.015927	0.0250042	0.0284689	0.0206396	0.0156414	0.00756826	0.00650286	0.0163715	0.0115497	0.0145186	0.0143589	0.0201078	0.0198208	0.0384527	0.028532	0.0285871	0.0229118	0.0146974	0.0122717	0.0137942	0.0153105	0.0170844	0.0203168	0.0251414	0.0225482	0.0352736
piétiné	0.00768382	0.012599	0.0181872	0.0165884	0.0218461	0.0176402	0.0246466	0.0267822	0.026984	0.0354526	0.0366111	0.053727	0.0437303	0.0613181	0.110077	0.0590343	0.0335462	0.0201744	0.00721405	0.0157287	0.00765264	0.0122721	0.0113145	0.0151023	0.0201122	0.0131414	0.0122084	0.0133609	0.0117001	0.0141105	0.0135617	0.0141843	0.0145104	0.0244028	0.028813	0.0265278	0.0319588	0.0305983	0.0348965
un	0.074603	0.0574807	0.0463642	0.0735929	0.0535778	0.0299357	0.0378646	0.0233968	0.0202682	0.0262882	0.030243	0.0267409	0.0176187	0.0111301	0.0255695	0.0325908	0.0398124	0.0350693	0.0253501	0.0164533	0.04028	0.0177132	0.0162	0.0155063	0.0118277	0.015272	0.0122986	0.00955478	0.0082322	0.00749933	0.00637822	0.00710909	0.00874418	0.00988546	0.0147379	0.0229758	0.0242627	0.0175737	0.0299989
milles	0.0241088	0.021555	0.0204705	0.0305957	0.0248174	0.0234187	0.0278988	0.0307008	0.0397212	0.0415004	0.0822104	0.121215	0.0732299	0.0598525	0.0856224	0.0457384	0.0404887	0.0348826	0.0223623	0.0167365	0.00966859	0.00673237	0.00714037	0.00483262	0.00630656	0.00471575	0.00455174	0.0066188	0.00401252	0.00502076	0.00283567	0.00338574	0.00535654	0.00744708	0.00746627	0.0110684	0.0127105	0.0153179	0.00768543
pattes	0.0479588	0.0447431	0.0311251	0.0407756	0.0308981	0.0193016	0.0264381	0.0168937	0.0156171	0.0182211	0.0366322	0.035735	0.0351368	0.0241509	0.0174334	0.0209993	0.0130788	0.0203946	0.0144107	0.0142958	0.00999457	0.0145464	0.0135593	0.0194175	0.0251855	0.0197064	0.0221671	0.0242201	0.0314035	0.0135328	0.0160927	0.0230926	0.0293663	0.0238721	0.0373764	0.0292065	0.0455883	0.0411234	0.0363089
dans	0.052562	0.0492068	0.0330786	0.0306711	0.0329545	0.0280927	0.0368608	0.0325556	0.0426152	0.0245775	0.0221409	0.0127211	0.0180595	0.0165025	0.0164738	0.0249983	0.0246169	0.0239863	0.0240621	0.0185071	0.0168405	0.015167	0.0171525	0.0138911	0.0153761	0.0162771	0.0216591	0.0194318	0.0292222	0.0183278	0.0252653	0.0305079	0.02588	0.021546	0.026656	0.028	0.0199841	0.0362583	0.0373141
la	0.0613349	0.0366236	0.0218769	0.0182031	0.0247237	0.0126667	0.0181515	0.0198861	0.0204903	0.0146361	0.0258437	0.0185262	0.015951	0.0161475	0.0239549	0.0261588	0.0153395	0.0164188	0.0170619	0.018641	0.0190498	0.0167277	0.0156105	0.0130719	0.0110683	0.00980045	0.0140543	0.025037	0.0381357	0.0293976	0.0345965	0.0348398	0.0310764	0.0355723	0.0350729	0.0378598	0.0436281	0.0617444	0.0510204
forêt	0.0308731	0.0291001	0.0278109	0.0265069	0.0268185	0.0224034	0.0219624	0.0165187	0.0158728	0.0218469	0.0162557	0.0162133	0.0124122	0.0115193	0.0250893	0.0230033	0.0244901	0.0171663	0.0192829	0.0312307	0.0387814	0.0267314	0.0216818	0.0262683	0.0171719	0.0166995	0.0107989	0.0107336	0.0157883	0.0218808	0.0196545	0.0221066	0.0302044	0.0264179	0.0463363	0.0602766	0.0333914	0.0419287	0.0767709
</S>	0.0310838	0.0206022	0.00919976	0.00660499	0.00648933	0.00552129	0.0060709	0.00845549	0.00951388	0.00760914	0.00794986	0.00789765	0.00472259	0.0044079	0.00476186	0.00622626	0.0059104	0.00524569	0.00814962	0.0161504	0.0116493	0.0112796	0.0123775	0.00573203	0.00888973	0.00586559	0.016603	0.0192495	0.0296696	0.0222996	0.0272984	0.0451826	0.0846466	0.0631971	0.107928	0.140477	0.0727963	0.0646133	0.067672
