 	a66	a87	a97	a99	a97	a30	a93	a4	a13	a70	a43	a11	a61	a75	a21	a85	a6	a37	a98	a47	a98	a85	a92	a47	a96	a66	a44	a93	a43	a75	a47	a79	a44	a37	a75	a79	a37	a43	a11	a9	a3	a97	a99	a97	a87	</S>
le	0.0157049	0.021976	0.0398944	0.0365542	0.0358882	0.0293718	0.0162595	0.0224815	0.0324233	0.0451694	0.0754967	0.0406889	0.0552499	0.0392537	0.0271423	0.0198999	0.0101849	0.0102413	0.00898269	0.00827318	0.00714383	0.00578307	0.00719607	0.00548098	0.00702568	0.00674178	0.014149	0.0135239	0.0170866	0.0163231	0.0230552	0.0214832	0.0224979	0.0331876	0.0304973	0.0225137	0.0193548	0.0156007	0.0158066	0.012026	0.0147012	0.0170859	0.0141826	0.0126615	0.0112051	0.0225503
fil	0.00304652	0.00564563	0.0125378	0.0241395	0.0264396	0.0293482	0.0141499	0.0177447	0.0364437	0.0138201	0.0232837	0.0237969	0.0330656	0.0303409	0.0209359	0.045319	0.0414698	0.0532265	0.0593461	0.0536958	0.0634293	0.0609704	0.0645739	0.0635268	0.0402981	0.0189353	0.0212793	0.0112311	0.0192691	0.0145014	0.00786902	0.00761462	0.00382024	0.00435315	0.00334775	0.00273211	0.00227429	0.00363223	0.00194997	0.00122959	0.00192787	0.00274798	0.0023976	0.00220262	0.0035585	0.00253202
indigène	0.00913143	0.00809548	0.0116834	0.0136662	0.0126776	0.0107578	0.0229013	0.0264941	0.0381007	0.0402308	0.0769055	0.0957258	0.0690913	0.101511	0.116602	0.0996742	0.0629437	0.0553432	0.0255842	0.0133323	0.0135608	0.0130647	0.0133224	0.0123214	0.00539544	0.00144369	0.00124065	0.000822129	0.0024156	0.00208437	0.00371352	0.00544438	0.00302319	0.00352902	0.00125376	0.000664284	0.000584431	0.000649341	0.000285016	0.000334467	0.000283219	0.00052129	0.000683788	0.000779079	0.000985431	0.0011421
fabriqué	0.015898	0.00774898	0.00558254	0.00834828	0.00708078	0.0133295	0.0147582	0.0214452	0.0275671	0.022802	0.0279223	0.0210264	0.0234884	0.0258533	0.0227326	0.0465163	0.0303315	0.043057	0.0507666	0.0467535	0.0473553	0.0545109	0.0436617	0.039446	0.018097	0.0133775	0.0097967	0.0113848	0.0066369	0.00731097	0.0104166	0.0246905	0.0203413	0.0212803	0.0207532	0.0125104	0.0150026	0.0199351	0.0173419	0.0199345	0.0164966	0.0143736	0.0135745	0.0150445	0.0156059	0.00811243
avec	0.0101893	0.0112371	0.0187889	0.0350076	0.0439669	0.0800143	0.0960151	0.0726298	0.0777614	0.0520964	0.0304063	0.0174165	0.0181073	0.0116659	0.00684283	0.0169813	0.0105779	0.0131015	0.0122264	0.0162008	0.0172765	0.0184536	0.0122811	0.0182914	0.0240306	0.0152074	0.0176673	0.0166782	0.0196572	0.0202736	0.0143667	0.0107378	0.0112602	0.00904829	0.00665184	0.006025	0.00969909	0.01153	0.0068639	0.0102428	0.0100293	0.00727314	0.00756851	0.0103977	0.0137058	0.0235494
l'	0.0117996	0.00637336	0.0094039	0.0118639	0.013339	0.0164875	0.0368966	0.0423143	0.039265	0.0390029	0.0400044	0.0427507	0.0307211	0.0417864	0.0368868	0.0387832	0.0394776	0.0333287	0.0259711	0.0368882	0.0310895	0.0248829	0.0246587	0.0224068	0.0212668	0.0206496	0.0260479	0.0190754	0.0125594	0.011615	0.0139833	0.0117792	0.00697965	0.00943142	0.00629765	0.00626631	0.0118057	0.0109222	0.00918975	0.0132301	0.0129401	0.0131155	0.0109682	0.0165559	0.0150649	0.0238737
écorce	0.0107872	0.00691274	0.00882683	0.0075535	0.00705477	0.00501961	0.0119074	0.0215307	0.0298455	0.0200541	0.0224623	0.031735	0.0189962	0.0263248	0.0275091	0.039783	0.0451967	0.0330152	0.0402358	0.03948	0.0494948	0.046345	0.0249701	0.0235253	0.0342894	0.0210352	0.036336	0.0324521	0.0384247	0.0252057	0.0295677	0.0325165	0.0195073	0.0228295	0.00885758	0.00712695	0.0156616	0.011958	0.00864074	0.013582	0.00719807	0.00839799	0.00560211	0.0091251	0.00600256	0.00711767
de	0.0126866	0.00781876	0.0139101	0.0175945	0.0160696	0.0172952	0.0305484	0.0407203	0.0432402	0.0545108	0.0483801	0.0366339	0.0319586	0.0405233	0.030754	0.0268089	0.0175545	0.026114	0.0186747	0.0210864	0.0138584	0.00916088	0.0105396	0.00579833	0.00751562	0.00936842	0.0198872	0.0187183	0.0127435	0.0151637	0.0210146	0.0216566	0.0194998	0.0261989	0.00822794	0.00683039	0.013967	0.0126023	0.0114369	0.0127586	0.0189239	0.0284791	0.0260934	0.0292932	0.0240405	0.0433402
la	0.0196194	0.00810017	0.0100873	0.00727113	0.00448669	0.00414586	0.00472014	0.00543075	0.00755078	0.0137414	0.014592	0.0121672	0.00916431	0.0168964	0.0166795	0.0185321	0.0238912	0.0320521	0.0337203	0.0306707	0.0310862	0.0242219	0.0215751	0.0197635	0.020577	0.0226273	0.0192942	0.0221775	0.0111427	0.0218871	0.0410996	0.0429285	0.0587677	0.0624694	0.0436091	0.0282026	0.0341808	0.0188678	0.016551	0.0189486	0.0204345	0.0211763	0.0216193	0.0191728	0.0210449	0.0230554
liane	0.0306309	0.0256044	0.037711	0.0366747	0.0258116	0.0243503	0.0126959	0.0201665	0.0161357	0.0163711	0.0151873	0.0108415	0.00854889	0.0107246	0.0114535	0.0144683	0.0164576	0.0178224	0.0194786	0.0287913	0.0247162	0.0244618	0.0175263	0.0130553	0.0110309	0.0109282	0.0116155	0.0154242	0.00985191	0.0174291	0.0275609	0.0327381	0.0270025	0.0277667	0.0182205	0.0143931	0.0383057	0.0178194	0.0168932	0.0234873	0.0272448	0.0439756	0.0336528	0.0300121	0.0238515	0.0411106
