 	a66	a10	a87	a23	a4	a62	a21	a92	a5	a21	a25	a79	a20	a90	a25	a79	a94	a96	a70	a34	a47	a31	a47	a56	a93	a94	a93	a94	a26	a57	a87	a23	a99	a87	</S>
son	0.026929	0.0482717	0.0468899	0.0457714	0.0403934	0.0586997	0.0591374	0.051149	0.0305462	0.0246513	0.0198147	0.0190811	0.0148376	0.0165882	0.0211221	0.0231206	0.0358026	0.0415021	0.0194821	0.0250298	0.0170671	0.0190005	0.0133296	0.0182186	0.0165178	0.0300047	0.0293849	0.0381427	0.0284415	0.0158669	0.0128732	0.0159466	0.0102909	0.011098	0.0549971
camarade	0.00517155	0.00706606	0.00906464	0.00992091	0.011495	0.0117123	0.0344679	0.0591287	0.09469	0.148303	0.0864841	0.0912035	0.103715	0.0232474	0.0466611	0.0410704	0.0176369	0.0247001	0.0277535	0.0259788	0.019701	0.00542332	0.00782639	0.0104464	0.0136339	0.00913827	0.00704441	0.00658245	0.00656422	0.0046584	0.0063604	0.00694514	0.0033839	0.00426724	0.00855294
lui	0.0655911	0.0453291	0.0452371	0.0302195	0.032119	0.0475259	0.0487184	0.0316173	0.0648415	0.0696531	0.0592863	0.0511074	0.0357543	0.034363	0.0210502	0.0241006	0.0157328	0.0045984	0.00799097	0.00334678	0.00510746	0.00454556	0.00538751	0.00562741	0.00893791	0.00754877	0.00945573	0.00758507	0.0171237	0.0239036	0.0194909	0.0289721	0.0409936	0.0499951	0.0271428
a	0.0231781	0.0205672	0.0201812	0.0164131	0.0141792	0.0115117	0.00893883	0.00931382	0.011984	0.0168322	0.0194716	0.0252474	0.028435	0.0530592	0.0389031	0.0383997	0.0399087	0.0211624	0.0159333	0.0148316	0.0179492	0.0305662	0.0224498	0.0421886	0.0245672	0.0197622	0.0232999	0.0186068	0.029644	0.0388428	0.03071	0.0482283	0.0403835	0.0640263	0.100324
donné	0.0530827	0.0610886	0.0625716	0.0427606	0.0569676	0.052219	0.028344	0.0131349	0.00873357	0.00899807	0.0125096	0.0224528	0.0462679	0.0390677	0.0420171	0.0401411	0.0395662	0.0344845	0.0348158	0.0413956	0.0360506	0.0189162	0.0193329	0.0230978	0.0192912	0.00902674	0.00635356	0.00668777	0.00861834	0.0130006	0.00938807	0.0162443	0.0162947	0.0184012	0.0386772
un	0.0470897	0.0321676	0.0281667	0.0181933	0.0191526	0.0261064	0.0362081	0.0309278	0.0342006	0.0323638	0.0204146	0.0213276	0.0240187	0.0215907	0.0144615	0.0160426	0.0202145	0.0145605	0.0151863	0.0243434	0.0200804	0.0326998	0.0300928	0.0294778	0.0270044	0.0420636	0.0357002	0.0281124	0.0276248	0.0272489	0.0250398	0.0357842	0.0387031	0.0491744	0.0544561
coup	0.0430042	0.0359442	0.0357286	0.0305545	0.0256535	0.0289306	0.0346633	0.0320611	0.0287708	0.0278399	0.0233826	0.0282857	0.0219812	0.0180944	0.0162601	0.0146846	0.0151717	0.0143544	0.0183359	0.0144806	0.0160561	0.0251764	0.0272202	0.0313897	0.0295526	0.0294296	0.0324175	0.0259314	0.0330095	0.0350767	0.0410421	0.0347093	0.0420972	0.0456137	0.0430964
de	0.0440743	0.0310247	0.018428	0.00812709	0.00562552	0.00976403	0.0214976	0.0236647	0.0252022	0.0286572	0.0254693	0.0273652	0.0150232	0.010917	0.00957873	0.0128934	0.0294824	0.0301413	0.0242976	0.0256615	0.0214692	0.0387595	0.0262924	0.0447465	0.0262576	0.0337873	0.0228383	0.0193036	0.0230678	0.0449296	0.0618649	0.0411602	0.0524678	0.0679053	0.0482549
poing	0.0362303	0.0212949	0.0216331	0.0175746	0.0171927	0.0158215	0.019649	0.0225324	0.0220867	0.0272672	0.0234405	0.0273868	0.0264585	0.0205507	0.0184769	0.0259026	0.0358621	0.0451889	0.0304992	0.0311626	0.0255763	0.037897	0.0421292	0.034561	0.0425452	0.0394272	0.0277601	0.0213209	0.0298666	0.0284159	0.0301057	0.0276583	0.0447562	0.0427601	0.019009
à	0.0455887	0.0328201	0.0285777	0.0189407	0.0192686	0.0197958	0.0181909	0.0176805	0.0117028	0.00916063	0.00762754	0.0110904	0.00774034	0.00831723	0.00733669	0.0080644	0.0118276	0.0114263	0.0093679	0.00966277	0.00830327	0.0263861	0.0175592	0.024106	0.0185296	0.0412034	0.0436876	0.0411155	0.0456799	0.0500037	0.049101	0.0661253	0.0714717	0.0927801	0.0897599
la	0.0489971	0.0352195	0.0334033	0.019887	0.0199216	0.0196269	0.0160821	0.0171243	0.0133561	0.0109362	0.0108704	0.0105603	0.00691942	0.0109432	0.00842329	0.00952995	0.0121653	0.0104591	0.0116304	0.0193938	0.0128894	0.0263167	0.0247218	0.0217436	0.0254627	0.035842	0.0419056	0.0405139	0.0384236	0.0510452	0.0525463	0.0667666	0.0581951	0.0804657	0.0777125
pomme	0.0424697	0.0173356	0.0150173	0.0147576	0.013211	0.0120298	0.0131783	0.00941522	0.0079828	0.01051	0.0121943	0.0150625	0.0102497	0.0205823	0.0185629	0.0165738	0.0224707	0.0224947	0.0189065	0.0224391	0.0124472	0.0284556	0.0191588	0.020857	0.0258017	0.033882	0.0486415	0.0361311	0.0392409	0.0480631	0.0828381	0.0672423	0.0692455	0.088357	0.0441942
d'	0.0373747	0.0240093	0.0235202	0.0169441	0.0159729	0.0238123	0.0198593	0.0183489	0.0135779	0.0137619	0.0113892	0.0126098	0.0124086	0.0137268	0.0127398	0.011894	0.0162426	0.0120053	0.0111479	0.0144506	0.0103632	0.0294007	0.0183315	0.022853	0.0191614	0.0361291	0.0383824	0.05272	0.0508213	0.0615336	0.0566795	0.0459889	0.0477985	0.0603394	0.113701
adam	0.0537168	0.0340666	0.0334865	0.0230023	0.0221103	0.0290977	0.0283861	0.0262483	0.019788	0.0150947	0.0139357	0.013908	0.0114204	0.0162745	0.0132693	0.0129835	0.0154492	0.0119394	0.0101247	0.0147674	0.0100082	0.0306295	0.0233221	0.0223423	0.022186	0.0342165	0.027923	0.0282244	0.0331992	0.0393172	0.0362392	0.0461112	0.0563112	0.0705888	0.100312
