 	a10	a87	a23	a30	a93	a75	a34	a70	a66	a11	a75	a34	a21	a47	a83	a9	a0	a31	a88	a0	a31	a88	a47	a83	a62	a83	a9	a10	a87	a23	a87	</S>
le	0.0456457	0.0722551	0.0830653	0.0361311	0.0783654	0.0605045	0.036384	0.018618	0.0180521	0.0213549	0.017413	0.0199234	0.0263403	0.0255309	0.0232455	0.0171226	0.0114739	0.0108964	0.0103381	0.0119564	0.0112473	0.0135479	0.0139492	0.0292215	0.0378266	0.05051	0.046945	0.0432291	0.0288531	0.0297379	0.0170929	0.033223
village	0.00779085	0.0183794	0.0319856	0.0399622	0.0692944	0.0909981	0.107215	0.114597	0.0535331	0.0630914	0.0537573	0.0378727	0.0396807	0.0641621	0.0331432	0.0443683	0.0345202	0.0124183	0.00670184	0.00658225	0.00547125	0.00354519	0.00144219	0.00250235	0.00469803	0.00479699	0.00507267	0.00528571	0.0119937	0.00979032	0.00998199	0.00536523
est	0.0215862	0.034645	0.032747	0.0285556	0.052231	0.0571618	0.0525033	0.0709864	0.0433762	0.0714832	0.0692689	0.0721947	0.0619224	0.0616141	0.0489966	0.0336082	0.0464165	0.0154885	0.0093287	0.00561722	0.00265717	0.0020868	0.00179657	0.00197092	0.00370472	0.00288384	0.00622476	0.0115413	0.0290016	0.013367	0.0274129	0.00762109
maussade	0.0219136	0.0165529	0.0145918	0.00964559	0.00984816	0.0159723	0.016821	0.0455833	0.023669	0.0370865	0.0301882	0.0351057	0.0401034	0.0787355	0.051542	0.0372955	0.0356083	0.0549271	0.0382982	0.0240139	0.0198363	0.0172442	0.0297862	0.0224028	0.0359464	0.0345356	0.0329335	0.027062	0.0263429	0.0416275	0.032673	0.0421078
à	0.0239905	0.0400053	0.0152394	0.0240183	0.020122	0.0298275	0.011724	0.0168266	0.0471054	0.0242602	0.061314	0.0360396	0.124234	0.0456719	0.0533422	0.0358828	0.024349	0.0366847	0.0320312	0.0209408	0.00980795	0.00989901	0.00503786	0.00654828	0.0111714	0.0198672	0.034703	0.0244569	0.0359746	0.0324187	0.0374121	0.0490934
cause	0.0170893	0.0100149	0.00655687	0.0048797	0.00690442	0.00760054	0.006751	0.00531267	0.00933186	0.00537057	0.00952492	0.00619328	0.020662	0.0250649	0.038175	0.0473015	0.051353	0.0636927	0.0559463	0.0634649	0.0358053	0.039692	0.0285427	0.0319297	0.0443597	0.0461949	0.044296	0.0556809	0.0545297	0.051883	0.0550191	0.0508765
des	0.0267457	0.0124075	0.0120932	0.0086334	0.0129607	0.00979831	0.0111934	0.00899817	0.00795879	0.00812571	0.00700744	0.00564275	0.00672921	0.00841813	0.0102457	0.00901166	0.0151764	0.0314573	0.0382683	0.0425334	0.0586692	0.0777867	0.0686761	0.070964	0.0631657	0.0592981	0.0540108	0.0581551	0.0469594	0.0428049	0.042772	0.0633328
décès	0.0443936	0.0306897	0.0226218	0.0232179	0.017525	0.0201211	0.012586	0.0127716	0.0256733	0.018414	0.019779	0.0235747	0.0329466	0.0342969	0.0364819	0.0367936	0.0550916	0.0379309	0.0181902	0.0172484	0.0163366	0.0165207	0.0129345	0.0181787	0.0140993	0.0215534	0.0235715	0.0468095	0.0697348	0.0633488	0.0726332	0.0839312
successifs	0.0181018	0.0179742	0.0159692	0.0134966	0.0088129	0.00862956	0.00609838	0.00650777	0.0104866	0.00789666	0.0160592	0.0113699	0.0347174	0.0322528	0.0654771	0.0494176	0.064657	0.0721508	0.029207	0.0194753	0.00874819	0.0087182	0.00502218	0.0103204	0.0160546	0.0242204	0.0404162	0.0657443	0.0683457	0.0899594	0.0542201	0.0994721
</S>	0.038307	0.0405288	0.031517	0.0260094	0.0229202	0.0158914	0.00957512	0.00574614	0.00946356	0.00835505	0.00640856	0.00509616	0.00549963	0.00763994	0.00667076	0.00812676	0.020147	0.0211505	0.0212619	0.0201042	0.0212485	0.0201334	0.0229618	0.0517536	0.0419669	0.0608093	0.0729763	0.0773387	0.0633311	0.0810731	0.0515087	0.10448
