 	a66	a87	a23	a79	a90	a56	a75	a5	a47	a88	a47	a21	a47	a62	a70	a93	a34	a75	a6	a36	a27	a57	a87	a23	a87	</S>
celui	0.123795	0.147521	0.144412	0.0928999	0.0521689	0.0274324	0.0236904	0.0149721	0.011172	0.00897394	0.0062141	0.00324538	0.00216994	0.00352726	0.00769496	0.0142425	0.0155044	0.0285518	0.0353641	0.0395786	0.0382075	0.0461236	0.0278079	0.0296865	0.0282812	0.0267626
qui	0.0228993	0.0252838	0.0383023	0.0652884	0.068591	0.0332077	0.024022	0.0292591	0.0290363	0.0440266	0.0309007	0.018649	0.018771	0.0150439	0.0107796	0.0191591	0.0290255	0.0443965	0.0928219	0.0536803	0.0690147	0.0472755	0.0541014	0.0491375	0.0466131	0.0207136
construit	0.0645879	0.0551991	0.0463908	0.0170439	0.0165945	0.0104753	0.0187633	0.0186536	0.0203723	0.024328	0.0221461	0.0166378	0.0173441	0.0197789	0.0216106	0.0225845	0.0222789	0.0354243	0.0606877	0.0445849	0.0518859	0.0524741	0.0539995	0.0797604	0.0945479	0.0918457
des	0.0804611	0.0762811	0.0283445	0.00915909	0.0087907	0.0076765	0.0140545	0.0154915	0.00939421	0.0114075	0.0196247	0.0189971	0.0287123	0.0347066	0.0357986	0.0259444	0.0304866	0.039852	0.0509491	0.0546556	0.0498991	0.0566642	0.0685703	0.0664546	0.0695422	0.088082
murs	0.0841618	0.0327732	0.0208459	0.0120143	0.00700359	0.0055727	0.00784204	0.00658411	0.0155301	0.0206504	0.0335276	0.0309993	0.027328	0.0435226	0.0321244	0.0271774	0.0315562	0.0398268	0.0869622	0.0557553	0.0697082	0.0462	0.0608095	0.0699761	0.0512238	0.0803243
de	0.131284	0.0608069	0.0281254	0.0113387	0.00687989	0.00934263	0.00663381	0.00638868	0.00814469	0.00680259	0.0150597	0.0127618	0.0108133	0.0155898	0.0166369	0.0241848	0.0380461	0.0599896	0.0734195	0.0621876	0.0968123	0.0706731	0.0732298	0.0517665	0.0630084	0.0400737
cette	0.126575	0.0676005	0.0291326	0.01001	0.00651963	0.00656058	0.00554478	0.0044509	0.00560168	0.007894	0.0089592	0.0111849	0.0131787	0.0227454	0.0296984	0.0294564	0.0464014	0.0583995	0.0730611	0.0560318	0.0742588	0.0488377	0.0590682	0.057144	0.0864161	0.0552689
case	0.0997638	0.0661115	0.0301288	0.00764799	0.00397692	0.00383395	0.00391804	0.00487817	0.00757108	0.010218	0.0124054	0.0128854	0.0128578	0.0174833	0.0182936	0.0165953	0.0248888	0.0396638	0.0644138	0.0595446	0.0797238	0.0924827	0.0608853	0.0803525	0.0931778	0.0762977
est	0.0606258	0.0443895	0.0485569	0.0161435	0.0101508	0.00765728	0.00859762	0.00873332	0.00939608	0.0170911	0.0168118	0.0150082	0.0102637	0.00975983	0.0106386	0.0122874	0.0244768	0.0391196	0.0522658	0.0591956	0.0811245	0.0875787	0.0611538	0.0784647	0.0720282	0.138481
maladroit	0.0477892	0.0253427	0.0207732	0.0139138	0.0110305	0.00998177	0.00837571	0.00923106	0.0125984	0.021001	0.0150928	0.0147686	0.0129833	0.0170421	0.016122	0.0219471	0.0351039	0.0619773	0.0853878	0.104049	0.084966	0.102187	0.067889	0.0695953	0.050815	0.060037
</S>	0.0804383	0.045508	0.0318585	0.0222374	0.0154287	0.0153752	0.0102619	0.00762566	0.010933	0.014568	0.010968	0.0117448	0.00756372	0.0130867	0.0185316	0.0409433	0.0519269	0.061827	0.0628922	0.0886001	0.0616481	0.0851266	0.057266	0.0600512	0.0486504	0.0649388
