 	a23	a87	a23	a87	a23	a79	a4	a13	a66	a90	a94	a54	a73	a27	a11	a56	a70	a13	a53	a4	a13	a20	a73	a2	a57	a87	a23	a18	a54	a73	a37	a54	a41	a66	a75	a73	a37	a61	a66	a57	a90	a44	a61	a0	a75	a73	a69	a84	a87	</S>
ondouma	0.0301495	0.0232399	0.02308	0.0236225	0.0135719	0.017516	0.0211983	0.0263307	0.0309369	0.0592496	0.0981323	0.0814776	0.121332	0.0759679	0.0369042	0.0376867	0.00878759	0.0122983	0.00898123	0.00986486	0.010556	0.00549997	0.00518772	0.00485785	0.00321205	0.0058054	0.00589907	0.00429806	0.0046837	0.00424958	0.00400636	0.00303851	0.00348099	0.00358969	0.00307966	0.00353226	0.00363077	0.00359206	0.00473065	0.00645194	0.00737252	0.0088529	0.0118846	0.00862056	0.0110818	0.0193603	0.0147243	0.0211412	0.0148226	0.0284292
était	0.0134934	0.00785611	0.00535547	0.00636236	0.00498322	0.00643998	0.0143631	0.0262845	0.0165999	0.031111	0.0249026	0.0320428	0.0779131	0.0960623	0.0428503	0.0475154	0.0527579	0.0413917	0.0297084	0.0299419	0.0225118	0.0178807	0.0194968	0.0128715	0.0146187	0.0190501	0.0159647	0.016623	0.00371272	0.0108096	0.00883725	0.0128451	0.0158823	0.0203985	0.0248908	0.0125485	0.0210893	0.0171275	0.0135076	0.0079545	0.00818662	0.00761745	0.0107075	0.00825426	0.00687293	0.00668471	0.00607361	0.00678738	0.00859462	0.0136646
stérile	0.00981377	0.0130653	0.0141284	0.0143925	0.0133882	0.0164086	0.0203299	0.0346043	0.0193348	0.0234171	0.0283372	0.0406291	0.0457714	0.0253192	0.0212425	0.0117856	0.0121616	0.0124101	0.00910525	0.0181449	0.021931	0.0232206	0.0272956	0.0280275	0.0336876	0.0334879	0.0316715	0.0429496	0.0260241	0.0353592	0.0347849	0.0391719	0.0287382	0.0385746	0.0225269	0.0139608	0.0097527	0.0151693	0.00920163	0.00614468	0.00549197	0.00554267	0.0074509	0.00618621	0.00649538	0.00572664	0.00769033	0.00717855	0.0141852	0.00858202
mais	0.0138044	0.0135013	0.0130398	0.0205152	0.0251107	0.019196	0.0128133	0.0119979	0.00886792	0.00630496	0.00900803	0.0123051	0.0155465	0.0153472	0.0263255	0.017721	0.0307979	0.017278	0.0202537	0.0173625	0.0175544	0.0302364	0.0247305	0.0302678	0.0348433	0.0185694	0.0227905	0.0247088	0.0446289	0.0295962	0.0244604	0.0299951	0.0287921	0.0222586	0.0266496	0.0162364	0.0243298	0.0163423	0.014014	0.0143016	0.0108678	0.0149407	0.0168918	0.0182624	0.0231177	0.0156457	0.0236596	0.0170307	0.0177014	0.0194793
le	0.0384448	0.0149007	0.0208469	0.0340135	0.0264027	0.0201707	0.00663204	0.0110564	0.0120693	0.0102983	0.01042	0.0160062	0.0190525	0.0394036	0.0504174	0.0269461	0.0131698	0.0179452	0.0214664	0.0355676	0.0318024	0.0216368	0.0177296	0.0291099	0.0283687	0.0210649	0.0314259	0.035286	0.0241402	0.0131118	0.00997951	0.00905876	0.0056433	0.00459774	0.00529826	0.00569463	0.00479268	0.00471779	0.00682679	0.0143359	0.0171368	0.0161367	0.0208045	0.0211913	0.030038	0.0196871	0.0253212	0.0222025	0.0264735	0.0311566
guérisseur	0.037561	0.0188859	0.0177104	0.0275732	0.0309226	0.0263132	0.0239391	0.0115191	0.0240303	0.0138785	0.0224796	0.0162046	0.0130394	0.0172614	0.0183742	0.0149521	0.0158512	0.0165871	0.0186327	0.0183757	0.015443	0.0197285	0.0228471	0.0279084	0.0341881	0.0422557	0.0561653	0.0610619	0.0482032	0.0205853	0.0177349	0.0129115	0.0105268	0.00667152	0.00637814	0.00457056	0.00419298	0.00430591	0.00610684	0.00867468	0.014486	0.0207931	0.0178303	0.0170102	0.0215476	0.0166424	0.0146104	0.0135242	0.0111698	0.0178342
l'	0.0531921	0.0319638	0.02167	0.0182677	0.0108045	0.0149043	0.0109299	0.0132541	0.0114863	0.0195471	0.0144906	0.0161478	0.0206754	0.0156485	0.0160973	0.0189863	0.027971	0.0323016	0.0213241	0.0228444	0.0239323	0.0149954	0.0211024	0.0292627	0.0312965	0.0295559	0.0322642	0.0264605	0.00711594	0.00958037	0.0118439	0.0102673	0.00766864	0.0077831	0.00601711	0.0047085	0.00417575	0.00500773	0.00534347	0.00732987	0.00884166	0.0105498	0.0126595	0.0160587	0.025953	0.0302743	0.0380149	0.0396622	0.038439	0.0713285
a	0.0494679	0.0431538	0.0337003	0.0381631	0.0412296	0.0296731	0.0157713	0.0104416	0.0141058	0.0163637	0.0175817	0.0136918	0.0143696	0.0157406	0.0126137	0.0273732	0.0159927	0.015599	0.00978041	0.0175562	0.024372	0.0113649	0.014728	0.0247723	0.0173517	0.016348	0.0211921	0.0237998	0.0123371	0.0133144	0.0160869	0.0219143	0.019784	0.0225412	0.0167419	0.0120747	0.0110431	0.0136436	0.011736	0.0182303	0.0115874	0.00819112	0.00967967	0.00981394	0.015225	0.0202833	0.0248817	0.0270485	0.0274099	0.0501341
rendue	0.0508068	0.0397709	0.0299281	0.025572	0.0132014	0.0199718	0.0132382	0.0125753	0.0130317	0.0206746	0.0195512	0.0153478	0.0202251	0.0133351	0.0104792	0.0183422	0.0136843	0.017056	0.0155961	0.0210489	0.0204577	0.0164459	0.0193067	0.0205615	0.0248869	0.0212816	0.0220576	0.0184184	0.00663406	0.00828287	0.00856281	0.00734874	0.00669746	0.00637154	0.00668668	0.00466313	0.00472196	0.00584387	0.00464587	0.00696457	0.00867222	0.0130336	0.0131059	0.0209874	0.0400104	0.0432899	0.0461363	0.0448625	0.0354718	0.0901536
féconde	0.0349204	0.0296861	0.0245891	0.0299104	0.0280387	0.0196365	0.0115773	0.0102646	0.0092996	0.0102659	0.0118859	0.0121533	0.0156654	0.0174209	0.0172933	0.0177038	0.0131503	0.0117775	0.0130421	0.0192013	0.0199009	0.0158273	0.0211443	0.0296961	0.0263196	0.0226489	0.030481	0.0327211	0.0191413	0.0229081	0.029612	0.0356238	0.032639	0.0316208	0.0309587	0.0212783	0.0197386	0.0228675	0.0164977	0.0149733	0.00891535	0.00619304	0.00799159	0.00843174	0.0142945	0.0138802	0.0189905	0.0178122	0.0205172	0.0288928
