 	a87	a97	a87	a97	a87	a57	a10	a87	a40	a2	a57	a10	a75	a21	a66	a98	a47	a41	a27	a57	a38	a75	a85	a44	a38	a11	a70	a66	a70	a9	a10	a75	a44	a98	a85	a96	a75	a37	a70	a75	a47	a21	a88	a61	a62	a21	a85	a47	a44	a98	a47	a11	a75	a44	a84	a57	a38	a4	a13	a53	a20	a7	a57	a87	a23	a87	a23	a38	</S>
les	0.0154965	0.0247304	0.0137768	0.0146086	0.00626413	0.00715403	0.00826645	0.00481501	0.00502015	0.00400258	0.0168657	0.0310477	0.0269538	0.0265537	0.0147979	0.0158388	0.0170991	0.030634	0.0210781	0.041969	0.0261528	0.0236051	0.0385244	0.0186634	0.0236472	0.0272984	0.028707	0.0270861	0.0134985	0.0164303	0.0227065	0.0159742	0.0208879	0.0140752	0.00623016	0.00943616	0.00683167	0.00596465	0.00649451	0.00704987	0.00451185	0.00408246	0.00609135	0.00833009	0.011426	0.00583528	0.0114715	0.015231	0.0137271	0.025307	0.0169521	0.01982	0.0310177	0.0133074	0.0219907	0.0199473	0.0121609	0.0057963	0.00461362	0.00427567	0.00331152	0.00303394	0.00270642	0.00464309	0.00357448	0.00264332	0.0044569	0.00570648	0.00779251
jeunes	0.00246368	0.00533236	0.00414215	0.00665163	0.00797086	0.0118789	0.0163246	0.0228081	0.0327673	0.0200791	0.0285888	0.0475524	0.0548278	0.0798002	0.077473	0.0707568	0.0406768	0.026978	0.0249422	0.019617	0.0155329	0.0126117	0.00741607	0.00630343	0.00758777	0.0136228	0.0175907	0.0257905	0.0252817	0.0277634	0.0143691	0.0292722	0.0140692	0.0152469	0.0115466	0.0235089	0.0099764	0.0153655	0.0128556	0.0158231	0.0094985	0.0104187	0.0091235	0.00452718	0.00569065	0.00240785	0.00317204	0.00158823	0.000752705	0.00154102	0.00204559	0.000993625	0.000900048	0.000698225	0.000862438	0.00136818	0.001334	0.000902851	0.000934176	0.00214007	0.00121218	0.00148911	0.00170705	0.00185607	0.00239462	0.00125455	0.00202145	0.00192835	0.00207077
gens	0.0165393	0.0231847	0.0143634	0.0212906	0.02577	0.0369402	0.0384044	0.0363181	0.031493	0.0365827	0.0234097	0.0281526	0.0308535	0.0244651	0.0168115	0.0286214	0.0192157	0.0219779	0.0218832	0.0159564	0.0256307	0.0269534	0.0160352	0.0189211	0.0208971	0.021618	0.014496	0.0140893	0.0117696	0.0133853	0.0166632	0.00943706	0.0142085	0.0104464	0.0169298	0.0162315	0.0151477	0.0109295	0.00701867	0.00865418	0.00596664	0.00964002	0.00763963	0.00867045	0.0076989	0.00545594	0.00797527	0.00445668	0.00485806	0.00554873	0.00729394	0.00439069	0.00439576	0.00407704	0.00256893	0.00205075	0.00423338	0.00303271	0.00413617	0.00658018	0.00375902	0.00424231	0.00384903	0.00621017	0.0102341	0.0106623	0.0123157	0.0104081	0.00595391
font	0.00737592	0.00762437	0.00253207	0.00252722	0.00300486	0.0024323	0.00364321	0.00400288	0.00770532	0.0136678	0.010687	0.0163476	0.0144943	0.0135641	0.020449	0.0256208	0.0346152	0.0356502	0.0401621	0.0328953	0.0322723	0.0321123	0.0244247	0.0282491	0.0136322	0.0139754	0.0179271	0.0208059	0.0155561	0.0233015	0.0192975	0.0244787	0.0199209	0.0234198	0.0198247	0.0206056	0.0204274	0.0230355	0.0210902	0.02974	0.0140367	0.0176074	0.022343	0.0189826	0.0148589	0.0129178	0.0109649	0.00565604	0.00578784	0.00444831	0.00380919	0.00368851	0.00391112	0.00532247	0.00464576	0.00611346	0.00333751	0.00640328	0.00427088	0.00777501	0.00822415	0.0119528	0.0138835	0.00708326	0.0104682	0.0114794	0.00671704	0.0060202	0.0041926
de	0.0104351	0.0100551	0.00318958	0.00285541	0.00239766	0.00304482	0.00345164	0.00301129	0.00368443	0.00443519	0.00435339	0.00735784	0.00894539	0.00887609	0.0123943	0.0189472	0.0238324	0.0261607	0.0290868	0.0282329	0.0269225	0.0309543	0.0269442	0.0293677	0.0179371	0.0201821	0.0249399	0.026787	0.0346083	0.030388	0.030309	0.0368914	0.0242708	0.0302704	0.0328014	0.0179716	0.0162609	0.0229892	0.0318125	0.0330214	0.0171413	0.0193186	0.0219603	0.0217209	0.0252444	0.0188966	0.0146096	0.0104315	0.0104141	0.00616807	0.00577049	0.00530084	0.00344089	0.00292986	0.00361385	0.00239084	0.00274082	0.00230709	0.00135959	0.00233042	0.00590816	0.00601547	0.00586353	0.00471141	0.00456887	0.00507419	0.00295981	0.00244268	0.00398875
la	0.017204	0.0117293	0.00786858	0.00765594	0.00631554	0.00457258	0.00482728	0.00315176	0.00292178	0.00418419	0.0033111	0.00484532	0.00603247	0.00561907	0.00768642	0.0113927	0.00921428	0.0085077	0.012052	0.0127183	0.0123804	0.012082	0.0143375	0.0150774	0.0199933	0.0320822	0.0352005	0.0347261	0.0402912	0.044546	0.0360338	0.0618045	0.0327299	0.0443397	0.0419296	0.0312608	0.0187761	0.018806	0.0315973	0.0349791	0.0163733	0.021864	0.0247734	0.0193288	0.0334048	0.0116904	0.00990134	0.00643299	0.00482941	0.00413793	0.00312841	0.00367378	0.00217502	0.001948	0.0028682	0.00298356	0.00281354	0.00215939	0.00209139	0.00514624	0.00546621	0.00621712	0.00549118	0.00675944	0.00623704	0.00613027	0.00661463	0.00524171	0.00533473
propagande	0.0122606	0.00722367	0.00439011	0.00316722	0.00378309	0.0035826	0.00466391	0.00600012	0.00640181	0.00507825	0.0110674	0.0102671	0.0119983	0.0114466	0.0123202	0.0162142	0.019749	0.0141775	0.0353644	0.0322269	0.049862	0.0329089	0.0346449	0.0140057	0.0130609	0.0202239	0.0481087	0.0367268	0.0514907	0.0323221	0.032	0.0480292	0.0225359	0.0456036	0.0233501	0.0134423	0.0172607	0.0210947	0.0171253	0.0142618	0.0125103	0.0129603	0.0165713	0.0128017	0.0209129	0.00981739	0.00993209	0.00721398	0.0101055	0.00608289	0.00755524	0.0074352	0.00523083	0.00679379	0.00527233	0.00234497	0.00352995	0.00151771	0.00102968	0.0020744	0.00175559	0.00342912	0.00332645	0.0020784	0.0020922	0.00147219	0.00178529	0.00145984	0.00146717
pour	0.0284973	0.0171043	0.0128124	0.00925491	0.00519858	0.00403981	0.00193272	0.00136119	0.000723866	0.00224776	0.00122371	0.0013505	0.00162691	0.000888667	0.0015467	0.00606146	0.00475978	0.00828934	0.012756	0.0161925	0.0300107	0.0411483	0.0399018	0.0281729	0.0196865	0.026149	0.0315629	0.0406297	0.0410207	0.0275464	0.0283028	0.0456827	0.0491179	0.0329409	0.0212899	0.0225645	0.015959	0.0104681	0.013693	0.0121712	0.00684551	0.00733053	0.0147963	0.0172444	0.0234606	0.0120005	0.0180296	0.0240532	0.013735	0.0106915	0.0101852	0.00976856	0.0111326	0.0065005	0.00492576	0.00459094	0.0029046	0.00339396	0.0037613	0.00565833	0.00428924	0.00604554	0.00566144	0.00806168	0.00732975	0.00379029	0.00643881	0.00619178	0.0252952
l'	0.0197875	0.0151338	0.0140666	0.00957258	0.00662484	0.00629969	0.00269359	0.00406444	0.00237142	0.00427999	0.00267121	0.00174291	0.00269411	0.00148147	0.00332981	0.00701357	0.0072421	0.00818443	0.0130594	0.0152133	0.0303954	0.0164127	0.0221681	0.02228	0.0186349	0.0236197	0.0356925	0.0194398	0.0376539	0.0225515	0.0253622	0.0216227	0.0206249	0.0232478	0.0246133	0.0198392	0.0157855	0.0128476	0.0103284	0.0112286	0.00815626	0.00969643	0.0116861	0.00899002	0.0174904	0.0103325	0.012261	0.0132115	0.00888321	0.0145936	0.0118353	0.0087496	0.0145843	0.0112146	0.0120466	0.0139137	0.0122009	0.00746342	0.0134812	0.0168287	0.0218127	0.0333757	0.0304248	0.0132715	0.0166519	0.0110726	0.0149652	0.0200803	0.0188506
église	0.017633	0.0167736	0.0166766	0.0174288	0.0136976	0.0117733	0.00984568	0.0117696	0.009381	0.0102288	0.0059539	0.00473805	0.00514324	0.00458388	0.00640629	0.0104239	0.0129059	0.013015	0.0163229	0.0200367	0.0318283	0.0232451	0.0257295	0.0194485	0.0218065	0.0237458	0.0295612	0.0222851	0.0318501	0.0230606	0.0215289	0.0201282	0.0170837	0.018748	0.0220718	0.0142667	0.016666	0.0105493	0.0134086	0.0154094	0.0110084	0.0097934	0.0168856	0.01784	0.0207873	0.017951	0.0206694	0.0159321	0.0199247	0.0272077	0.0290094	0.0164827	0.0215206	0.0122696	0.0100052	0.00669756	0.00492612	0.00432074	0.00568669	0.00397927	0.00405237	0.00460766	0.00455833	0.00313993	0.00542533	0.00402399	0.00617094	0.00773823	0.0102268
