 	a23	a10	a87	a10	a83	a50	a0	a24	a62	a75	a98	a92	a98	a92	a43	a11	a21	a47	a88	a62	a21	a47	a31	a62	a47	a62	a93	a56	a62	a47	a43	a75	a92	a37	a98	a85	a75	a47	a62	a88	a75	a98	a25	a93	a4	a13	a82	a87	a23	a87	a23	a97	</S>
les	0.0373514	0.0393572	0.0268007	0.0283325	0.0384496	0.0332667	0.0284535	0.0157869	0.0615515	0.03723	0.032628	0.0315266	0.0145744	0.0246531	0.0193071	0.0307664	0.0192552	0.026492	0.0247051	0.0375936	0.0216115	0.0187273	0.00899232	0.0119727	0.0120937	0.010438	0.00450341	0.00492367	0.00527769	0.00598689	0.0045499	0.0058572	0.0079873	0.00865025	0.0121741	0.00750788	0.00953856	0.0168079	0.017848	0.0101509	0.0140194	0.0118471	0.0145694	0.0172964	0.014965	0.0189653	0.0115904	0.0141466	0.0153223	0.00985987	0.0127466	0.0130527	0.0179381
plaisirs	0.00383903	0.00339638	0.00472916	0.00288387	0.00348172	0.00333546	0.0120563	0.0105875	0.0237504	0.0389785	0.0423425	0.0296749	0.0404395	0.0560226	0.032386	0.040645	0.0420952	0.0344011	0.0336948	0.0352058	0.0281436	0.0428914	0.0396299	0.0688985	0.0617413	0.0519297	0.0385677	0.0307421	0.0241995	0.0192818	0.0139535	0.00902228	0.00478836	0.00488173	0.00442699	0.00175817	0.00303555	0.00310495	0.00231692	0.00425767	0.00714399	0.00580875	0.00658779	0.00727108	0.00138254	0.00353384	0.00138582	0.00207734	0.00276947	0.00145619	0.00167419	0.00503928	0.0023524
du	0.013062	0.00845325	0.0113409	0.00676244	0.0136745	0.00760704	0.0128524	0.0130308	0.0138906	0.0227088	0.0213644	0.0302473	0.0236175	0.020042	0.0231513	0.0251795	0.021684	0.0245545	0.0207849	0.0274037	0.0283234	0.0229052	0.0216803	0.0482727	0.0712111	0.0399625	0.0349691	0.0554026	0.0516476	0.0673285	0.0551924	0.0363335	0.0102391	0.00730317	0.00733958	0.00351142	0.00546834	0.00338139	0.00319394	0.00602179	0.00569495	0.00468398	0.00608477	0.00606139	0.00458463	0.00680839	0.00503038	0.00352056	0.00457002	0.00238708	0.00255902	0.00412622	0.00278914
monde	0.0216587	0.00901235	0.00516807	0.00485357	0.00844042	0.00533069	0.0223302	0.0267744	0.0117556	0.0110185	0.020508	0.015029	0.0143117	0.0130324	0.00853131	0.00625651	0.0153124	0.00699328	0.00617848	0.00744905	0.0118922	0.0204352	0.0268209	0.0423625	0.048861	0.0342548	0.0559822	0.0789555	0.045188	0.0591147	0.0429797	0.0236689	0.0118208	0.00726273	0.01096	0.00885672	0.0126285	0.00695744	0.00515216	0.0125743	0.0109534	0.0102893	0.0155929	0.0120199	0.0153311	0.0232795	0.0223437	0.0148844	0.0189149	0.0134965	0.0162328	0.0138367	0.00615206
ont	0.0865541	0.0408828	0.0263972	0.0203076	0.0240453	0.0290075	0.0263086	0.0226745	0.0266218	0.0165193	0.0236679	0.0181766	0.0190771	0.0199296	0.0235315	0.0140361	0.0351806	0.0221534	0.0207129	0.0243041	0.0207803	0.0270202	0.0329	0.0349661	0.0322454	0.0445998	0.044271	0.0454574	0.0224458	0.0180369	0.0200151	0.014534	0.013828	0.011729	0.0126651	0.00685636	0.00823581	0.00894377	0.0030532	0.00362467	0.00191488	0.00146252	0.00175537	0.00133642	0.00207047	0.00158829	0.00164729	0.0016286	0.00219812	0.00266384	0.0033749	0.00474169	0.00732125
détourné	0.0718198	0.0458513	0.0396959	0.0434591	0.0252377	0.0238281	0.0260339	0.023289	0.0166536	0.0107624	0.0123228	0.0085901	0.00965091	0.0119407	0.0126887	0.0103228	0.012394	0.00835356	0.00973908	0.00951572	0.0146026	0.0168822	0.012103	0.0157828	0.0217757	0.0254554	0.0275993	0.0582279	0.0477109	0.0402474	0.0364662	0.0151535	0.0145846	0.00784817	0.0110336	0.00997587	0.0136036	0.0149851	0.0133891	0.012826	0.00881239	0.00662034	0.0100876	0.0058604	0.0130417	0.0108776	0.0109459	0.00840139	0.0140189	0.00866583	0.00949798	0.0128566	0.0179116
ce	0.138218	0.0451418	0.0376227	0.0261232	0.0148569	0.0162381	0.0131577	0.0129781	0.00900436	0.0137531	0.0134088	0.0115338	0.00943243	0.0101768	0.0123519	0.0151537	0.0180959	0.015803	0.0175552	0.0127057	0.019819	0.0140481	0.0126105	0.0179276	0.0165346	0.0139692	0.0168271	0.0260956	0.0144442	0.0162184	0.0291097	0.0103215	0.0172797	0.0118461	0.0137103	0.00903328	0.00968937	0.0194604	0.0100878	0.00883998	0.0106984	0.0124636	0.0163464	0.00977873	0.0198627	0.0231971	0.0198546	0.0175443	0.0181807	0.0106475	0.0130948	0.0282406	0.0289074
garçon	0.0155639	0.00883332	0.00792847	0.00633336	0.00416918	0.00553456	0.00630379	0.00390881	0.0091214	0.0109647	0.0113973	0.00709584	0.00727809	0.0119062	0.0104137	0.0247627	0.0205074	0.0170186	0.0165021	0.0115107	0.0112191	0.014323	0.0126089	0.0257062	0.0156917	0.0178985	0.0367871	0.0369162	0.0495055	0.0413533	0.043703	0.014716	0.0269011	0.0212855	0.0385274	0.0255398	0.021807	0.0479071	0.0285343	0.0233439	0.0181212	0.0121773	0.0265314	0.0181279	0.0159832	0.0302513	0.0102451	0.0163576	0.0203249	0.0120795	0.0145722	0.016266	0.0176338
du	0.0267358	0.0192243	0.0147684	0.0130522	0.00846024	0.0109204	0.00902805	0.00771232	0.014048	0.0138218	0.0131972	0.00879236	0.00698589	0.0101455	0.0099074	0.0139839	0.0220407	0.0167831	0.0234069	0.0197083	0.0271638	0.0273227	0.0167281	0.0268808	0.0196978	0.0166321	0.0215249	0.0211231	0.0112331	0.0119518	0.0194782	0.00911702	0.0222674	0.0188043	0.0263188	0.01356	0.0149981	0.0199672	0.0151408	0.0132127	0.0177175	0.0112845	0.0172972	0.0124371	0.0172817	0.0318975	0.0245791	0.0339668	0.036243	0.025777	0.0316543	0.0448594	0.0391594
droit	0.0228241	0.0195774	0.0193899	0.0218354	0.0158244	0.0209313	0.0251905	0.0179519	0.0222836	0.0226051	0.0213238	0.0180245	0.0146925	0.0227002	0.0211299	0.0190471	0.0176532	0.0215245	0.0256504	0.0252896	0.0275923	0.021843	0.0183267	0.0242126	0.0368389	0.0225209	0.0331155	0.041523	0.0345964	0.0257907	0.0438649	0.0222617	0.0291901	0.0232419	0.0211329	0.01584	0.0143613	0.0108854	0.00544299	0.00352715	0.00334828	0.00153875	0.0030274	0.00278652	0.0037004	0.00490602	0.00878505	0.00747208	0.0142094	0.00843039	0.0127327	0.0188846	0.0186208
