 	a15	a66	a87	a23	a83	a9	a11	a90	a98	a85	a6	a5	a21	a85	a37	a75	a92	a44	a66	a57	a3	a87	a99	a62	a21	a85	a79	a56	a90	a98	a47	a37	a21	a85	a92	a37	a26	a54	a37	a75	a56	a44	a94	a0	a62	a88	a71	a9	a87	a23	a87	</S>
itoua	0.0346469	0.0503571	0.0405759	0.0493099	0.0616101	0.0655036	0.0357037	0.0458445	0.0502412	0.0547424	0.058712	0.0316765	0.0139198	0.0124376	0.0138424	0.0124252	0.0132514	0.0118034	0.00905288	0.01078	0.012054	0.00993663	0.0115043	0.0194957	0.0179002	0.0134915	0.0162027	0.012459	0.01129	0.0111184	0.00514698	0.00682628	0.00880559	0.00899159	0.00525432	0.00729032	0.0109912	0.0133	0.00986118	0.0142678	0.0177153	0.0105411	0.00643731	0.00416134	0.0047377	0.00570779	0.00984723	0.00499164	0.00558307	0.00896185	0.00408216	0.0146095
est	0.0192113	0.0100815	0.00986278	0.00819486	0.0112251	0.013464	0.0124078	0.0141555	0.0214075	0.0285301	0.0333107	0.0398874	0.0271326	0.0247684	0.0291727	0.0223974	0.0236689	0.0314634	0.0330367	0.0355405	0.0253582	0.0238127	0.0281701	0.0205738	0.0143769	0.0226758	0.0212084	0.0212913	0.0179235	0.0161409	0.0114607	0.00728877	0.0080761	0.00693014	0.00992088	0.0132821	0.00820183	0.00691555	0.00828822	0.011495	0.0111655	0.0184362	0.0141565	0.0188327	0.0286562	0.0182993	0.0184607	0.0237354	0.0190587	0.0218542	0.0246957	0.030339
taquin	0.0201572	0.00645986	0.00599075	0.00429357	0.00503393	0.00545349	0.00688294	0.00698235	0.00772815	0.010711	0.0122953	0.0280333	0.022131	0.0268529	0.0580529	0.0390653	0.0390986	0.0660677	0.0674249	0.0505952	0.0407262	0.0223168	0.0231406	0.0258401	0.0217966	0.0234523	0.0143419	0.0198462	0.0213245	0.0126279	0.0153659	0.0105954	0.00817749	0.00761603	0.0072101	0.00836685	0.0056452	0.00555782	0.0068754	0.0085253	0.00692486	0.00297229	0.00414867	0.00812057	0.0090188	0.0189314	0.0192992	0.021733	0.0237211	0.0242196	0.0434638	0.0187877
c'	0.0377558	0.0317755	0.0283186	0.043749	0.0252691	0.0197821	0.0205858	0.0241961	0.0218045	0.0198471	0.0141866	0.0135565	0.0188654	0.0233249	0.02222	0.0367012	0.0170079	0.0258769	0.0112108	0.0125629	0.0129833	0.0132601	0.01464	0.0158698	0.0166983	0.0179634	0.0214271	0.0185051	0.0216115	0.0190019	0.0190397	0.0203616	0.0132755	0.0126747	0.014076	0.00897801	0.0133013	0.0136151	0.0120459	0.0190902	0.0144308	0.0218908	0.0117095	0.017437	0.0143313	0.0147896	0.0168031	0.0190298	0.0166578	0.0173881	0.0172697	0.0312475
est	0.0216849	0.018212	0.0104314	0.00770506	0.00870097	0.00732778	0.00852231	0.00871116	0.0104381	0.0114891	0.0171296	0.0251069	0.0289378	0.0285569	0.0312207	0.0263989	0.0341356	0.0337767	0.0255274	0.0220206	0.0201576	0.0167673	0.0239326	0.0143049	0.0217244	0.0221833	0.0272438	0.0274755	0.0229484	0.0445403	0.0417345	0.0375344	0.0450427	0.0513519	0.034624	0.0275229	0.0147266	0.0117436	0.00652307	0.0171311	0.00814424	0.00329084	0.00344566	0.0050668	0.00842934	0.0062993	0.00693261	0.00621532	0.00631163	0.00584373	0.0113314	0.0134425
pourquoi	0.0505396	0.0364521	0.0355537	0.0232771	0.0155685	0.00877557	0.0103679	0.00700501	0.00669384	0.00447717	0.0032451	0.00405068	0.00392146	0.00444687	0.00535756	0.00576536	0.00781036	0.00715525	0.0132928	0.0166475	0.0167801	0.0161125	0.0168287	0.0129463	0.0182425	0.0127483	0.0119627	0.0197705	0.0289396	0.0308186	0.0518814	0.0472062	0.0415909	0.0403105	0.0302987	0.0384806	0.0258774	0.0250106	0.0329046	0.0354583	0.0385994	0.0210889	0.0123733	0.014421	0.0203173	0.00655475	0.0120274	0.00948761	0.00821057	0.0111002	0.0117578	0.00948939
ses	0.0447641	0.0309832	0.0275504	0.0216798	0.0173502	0.0132663	0.0142304	0.00820958	0.00965303	0.00920316	0.00708588	0.0112183	0.013275	0.0146092	0.0211071	0.0259412	0.0288207	0.0300252	0.0309088	0.0253723	0.0244667	0.0262971	0.028315	0.0241454	0.0262761	0.020523	0.0214526	0.0247822	0.0227275	0.0238624	0.0255527	0.0202536	0.020447	0.0171964	0.0139819	0.0122598	0.00887315	0.00976613	0.0141275	0.0182137	0.0163355	0.011737	0.00764657	0.0126369	0.0163733	0.0122125	0.0177566	0.0170838	0.0157718	0.0152135	0.0226425	0.025816
amis	0.0360915	0.0380912	0.0426285	0.0269165	0.0157723	0.0121091	0.0125432	0.00905674	0.00882218	0.0055631	0.00401388	0.00778636	0.00657258	0.00815913	0.0104961	0.0121661	0.0182297	0.0194068	0.0258167	0.0274564	0.0192787	0.0251726	0.0266177	0.0199893	0.0238675	0.0103732	0.0143835	0.0176779	0.0141783	0.0145736	0.0161158	0.014245	0.0144596	0.0134458	0.0101871	0.0125124	0.00963026	0.00968308	0.0153765	0.0135046	0.0120732	0.00857115	0.0300494	0.0156438	0.0235686	0.0232447	0.0658418	0.0290214	0.0374921	0.0302603	0.0302819	0.0309808
refusent	0.032799	0.0326798	0.0307613	0.0274093	0.021923	0.0200761	0.0132738	0.0116978	0.0118516	0.00754208	0.0059926	0.0103606	0.00812286	0.00999996	0.0127683	0.0148677	0.0194298	0.0219936	0.0234741	0.0216206	0.0136851	0.0165957	0.0219678	0.0186122	0.0161302	0.013342	0.0150346	0.0179889	0.0154305	0.0134901	0.0105937	0.0100615	0.0105655	0.00861649	0.00623831	0.00717992	0.00484347	0.00558707	0.00992547	0.00969998	0.00922095	0.00782654	0.0177971	0.0172074	0.0210567	0.0314475	0.071707	0.0339719	0.0424425	0.0415648	0.0406062	0.0609189
de	0.0409296	0.0286529	0.0249736	0.0205199	0.0221176	0.0200318	0.0125842	0.0125581	0.0109888	0.00626785	0.00669517	0.00983808	0.00603673	0.00687412	0.00762291	0.00717847	0.0138768	0.0129897	0.0254197	0.0259972	0.0190565	0.0182386	0.0204545	0.0240831	0.025799	0.0142703	0.0181091	0.0269005	0.0302683	0.0207445	0.0150095	0.0121619	0.0188557	0.0147266	0.00955459	0.0114547	0.00653723	0.0112961	0.0192257	0.0193538	0.0176955	0.0103832	0.0114742	0.0154103	0.0209768	0.0225098	0.0558355	0.0309505	0.02551	0.0425102	0.0368534	0.0316372
