 	a15	a87	a23	a53	a20	a47	a37	a92	a44	a58	a82	a53	a76	a92	a75	a47	a61	a75	a85	a37	a96	a75	a85	a6	a37	a70	a34	a56	a66	a38	a56	a34	a61	a47	a62	a83	a9	a87	a23	a87	</S>
si	0.021893	0.0292477	0.0222758	0.0352731	0.0265012	0.0325246	0.0160154	0.0265971	0.0286263	0.0324119	0.0322738	0.0390033	0.065669	0.0808706	0.0694815	0.0472415	0.0738038	0.0277992	0.0240478	0.012977	0.0108275	0.00754867	0.00924504	0.0130139	0.00644554	0.00683613	0.0066249	0.00589982	0.00937792	0.00576337	0.00536268	0.00554612	0.0156724	0.0137316	0.0140407	0.0167901	0.0195238	0.0165145	0.0188313	0.0168814	0.030989
tu	0.00530477	0.00839388	0.00775532	0.0096579	0.0121601	0.0169005	0.059321	0.028594	0.0609284	0.0663813	0.0456647	0.0466161	0.0391637	0.0341425	0.0473249	0.040371	0.0438679	0.0481796	0.0283536	0.0252731	0.0279661	0.0205764	0.0200093	0.0188873	0.0126356	0.0234899	0.0164156	0.0162479	0.0101356	0.00828891	0.00997415	0.00897146	0.0189682	0.0213514	0.0174297	0.0131857	0.0114385	0.0134484	0.013155	0.0141871	0.00888356
te	0.0205775	0.0184037	0.01971	0.0119449	0.0129491	0.0195185	0.0568552	0.0531689	0.0542663	0.045121	0.0448924	0.0438133	0.044959	0.0570321	0.0506782	0.0529968	0.0449123	0.0355634	0.0277821	0.018558	0.0155744	0.0095733	0.00930225	0.0132107	0.00601615	0.012436	0.0117281	0.00767895	0.00439744	0.00233274	0.00134692	0.00188541	0.00369099	0.00470914	0.00489779	0.00704748	0.0094259	0.0228827	0.0225529	0.0552833	0.0403248
lances	0.0206818	0.0124397	0.0164519	0.0103846	0.00577252	0.00505156	0.00467841	0.00862069	0.00904514	0.0103097	0.00860542	0.0132599	0.017964	0.0204857	0.0247407	0.0336309	0.0330249	0.0329728	0.0394146	0.0306895	0.0231581	0.0203853	0.0167294	0.0366681	0.0202776	0.0204285	0.032302	0.0195779	0.0145739	0.00946297	0.00649073	0.00905395	0.0313972	0.0290781	0.0368965	0.0413438	0.0442656	0.0563286	0.0519072	0.0363036	0.0851466
dans	0.0478769	0.0434037	0.0386336	0.0246167	0.0193683	0.0138169	0.0112695	0.00774655	0.011687	0.0107084	0.00902025	0.012737	0.010339	0.0108905	0.0146778	0.0108772	0.0122281	0.0145526	0.0139183	0.00976152	0.00947471	0.00522397	0.00489749	0.0107356	0.00437387	0.013402	0.0179816	0.0139204	0.0109951	0.0125799	0.00888407	0.013667	0.0229719	0.0228673	0.0232034	0.0428124	0.0418399	0.0908986	0.0861898	0.125593	0.0693578
les	0.0180424	0.0136945	0.00748371	0.00731055	0.00867241	0.00977059	0.042968	0.0308578	0.034293	0.0585654	0.0560702	0.0417637	0.0159015	0.0260416	0.0470571	0.0367288	0.0656904	0.0591296	0.0636567	0.0400993	0.0334611	0.0281803	0.017634	0.0134088	0.00931029	0.00905565	0.0166679	0.011249	0.0187658	0.00944525	0.0069709	0.00561181	0.011348	0.0178222	0.0124306	0.0136503	0.0128325	0.021592	0.0204015	0.0205519	0.00581308
fétiches	0.0360952	0.0204174	0.0077457	0.00749758	0.00453803	0.00714576	0.0184073	0.0137679	0.0140991	0.0228687	0.0235171	0.0178775	0.0100156	0.0200226	0.0268762	0.0295718	0.0323978	0.0431506	0.0496541	0.0299593	0.0298356	0.0158241	0.00854439	0.0127314	0.00855149	0.00862564	0.012465	0.0177035	0.0230041	0.0133531	0.0111956	0.00989844	0.0192344	0.0345141	0.0290541	0.0443341	0.0404338	0.0771916	0.0610043	0.0693568	0.0175191
tu	0.0603884	0.0366271	0.0210081	0.0278281	0.0216342	0.0365288	0.0357092	0.0245175	0.0275891	0.0390157	0.0446745	0.047635	0.0322227	0.0316465	0.03574	0.0309915	0.0232548	0.0267887	0.0284847	0.0143217	0.0103889	0.00446797	0.00483046	0.00980945	0.00694523	0.0113985	0.0132271	0.0128623	0.0114676	0.00712546	0.00710643	0.00727289	0.0158708	0.0145772	0.0175037	0.029375	0.0265893	0.036426	0.0375861	0.0445987	0.0239645
t'	0.054981	0.0467604	0.0291673	0.02435	0.0235894	0.0236254	0.0181212	0.0189871	0.0200321	0.020168	0.0212751	0.0180594	0.0168958	0.0169473	0.0160042	0.0166268	0.0137009	0.0139319	0.0117465	0.00917224	0.00726433	0.00362889	0.00311335	0.00705496	0.00680915	0.00918539	0.0135329	0.0138303	0.020797	0.0104628	0.00939303	0.00785923	0.0389261	0.0406738	0.0349321	0.060839	0.0458152	0.0820527	0.0575471	0.0643308	0.0278098
écartes	0.0354187	0.0334338	0.0240093	0.0307205	0.0276206	0.0368711	0.0173123	0.0142393	0.0123137	0.0165153	0.0174446	0.0157915	0.018133	0.0158819	0.0139261	0.0155787	0.0114647	0.015495	0.0177976	0.0180999	0.0168772	0.0153368	0.0165987	0.0191014	0.0200617	0.0164804	0.0181467	0.018938	0.0267023	0.0157471	0.0114894	0.00675509	0.0150378	0.0148201	0.0189821	0.0419971	0.0379077	0.0750803	0.0645414	0.0720694	0.0492615
du	0.0193671	0.0194413	0.0106597	0.0106424	0.00849255	0.0184671	0.0166348	0.019685	0.0154178	0.0111712	0.0145794	0.0178646	0.0155757	0.015713	0.0147199	0.00741577	0.0131472	0.0142149	0.0070159	0.00938255	0.0116384	0.00710066	0.0114445	0.0157233	0.00799775	0.0116811	0.0175088	0.0144145	0.0219972	0.0109778	0.0101149	0.0131272	0.0272427	0.0411146	0.0424138	0.0492616	0.0297439	0.102411	0.103213	0.115376	0.0558888
bon	0.0196401	0.0082049	0.00426661	0.00509587	0.00675681	0.0232918	0.0161075	0.0133354	0.00964491	0.0116233	0.0162224	0.00840646	0.00837461	0.00599576	0.00679957	0.00476528	0.00826965	0.0132029	0.0101021	0.011148	0.0163899	0.00800458	0.00914985	0.0229304	0.0147909	0.0206148	0.0203555	0.0188147	0.0230909	0.0114689	0.0105733	0.0128901	0.027051	0.0323295	0.0468854	0.063626	0.049882	0.125775	0.100778	0.127507	0.0258381
chemin	0.0180991	0.0159175	0.0120626	0.0123122	0.0130432	0.0285986	0.0168584	0.020547	0.00785935	0.00933818	0.0105997	0.00743291	0.0114893	0.0128917	0.00717465	0.00524109	0.00548846	0.00600812	0.00491306	0.00511851	0.00562351	0.00372942	0.0032461	0.00635726	0.00553179	0.00509062	0.00730455	0.00578773	0.00666969	0.00463576	0.006088	0.0159301	0.040493	0.0564775	0.0549266	0.0657991	0.0700578	0.101628	0.114361	0.120378	0.0688898
