 	a15	a66	a87	a23	a30	a53	a15	a69	a79	a92	a85	a92	a37	a61	a21	a92	a56	a96	a90	a92	a47	a96	a90	a25	a92	a44	a70	a93	a70	a13	a71	a9	a87	a23	a87	</S>
elle	0.0341619	0.0323023	0.0370141	0.0362471	0.0505053	0.0681706	0.077458	0.0698991	0.0637001	0.0503956	0.0509779	0.0483063	0.0350005	0.0156726	0.00665726	0.00636389	0.00452533	0.00483447	0.00801211	0.0119487	0.00873811	0.00791709	0.0121024	0.0202498	0.013097	0.00759153	0.00904581	0.0240591	0.0220666	0.0233515	0.0296237	0.0329399	0.0223751	0.0198313	0.00937782	0.0254801
a	0.0082967	0.0104063	0.0152091	0.0164729	0.0343449	0.0269842	0.0498724	0.0375852	0.0306024	0.0359565	0.024072	0.0189555	0.0238636	0.0352587	0.0160528	0.0425394	0.0317996	0.0421814	0.0299984	0.0243025	0.0283148	0.02731	0.0288268	0.0217012	0.0277947	0.0245178	0.0219463	0.0390646	0.0367953	0.0322251	0.0321038	0.0295469	0.0238659	0.0226799	0.0272696	0.0212826
pris	0.00808752	0.00634088	0.00341703	0.00378414	0.0041373	0.0041206	0.00558494	0.0243392	0.0378475	0.125048	0.0858783	0.0669721	0.0743068	0.0496586	0.0264993	0.0365477	0.0340126	0.0103278	0.00833237	0.00489005	0.00607793	0.00419089	0.00321519	0.00311732	0.00282502	0.0028609	0.00413709	0.0044451	0.00588628	0.0154353	0.0327142	0.0302572	0.0488366	0.0442694	0.0844087	0.0871902
de	0.0509815	0.0577597	0.0403289	0.0381915	0.020273	0.0221581	0.00641777	0.0117815	0.0145442	0.0274575	0.0364364	0.0398095	0.0494698	0.0863861	0.0248988	0.0231337	0.0310449	0.0203047	0.0323751	0.0466904	0.0352214	0.0340829	0.0348728	0.0235277	0.023142	0.0151582	0.023961	0.0132541	0.00959398	0.0104285	0.0164974	0.0173458	0.0163464	0.0139323	0.0121865	0.0200059
l'	0.030103	0.0262624	0.0142426	0.0128507	0.0129536	0.0142671	0.013259	0.0213647	0.0265793	0.0278227	0.0207835	0.0269305	0.0387663	0.0316334	0.0289234	0.031333	0.0397994	0.0163012	0.0206137	0.0133113	0.0161992	0.0138023	0.016051	0.0146623	0.0147482	0.011055	0.0184135	0.0205594	0.0148368	0.0246084	0.0407644	0.0619511	0.0616294	0.0539038	0.077718	0.0709966
embonpoint	0.0411464	0.0296307	0.0153678	0.0133209	0.0117273	0.0174805	0.0158493	0.0171759	0.0271172	0.0446156	0.0378348	0.0446084	0.0687967	0.0611513	0.0522742	0.0436038	0.088304	0.0284963	0.0231035	0.0154162	0.0161663	0.0170965	0.014878	0.0152631	0.019104	0.0195613	0.0243821	0.0206312	0.0144586	0.0203753	0.0168003	0.0303184	0.0197016	0.024763	0.0117285	0.0177509
depuis	0.0374719	0.0241153	0.00932083	0.00607385	0.0071697	0.013341	0.0147305	0.024209	0.0614729	0.0761947	0.0597079	0.0704282	0.0716864	0.0587899	0.0526066	0.0829768	0.131441	0.0343094	0.0273061	0.0128263	0.010529	0.0122288	0.0112572	0.00728405	0.00697236	0.00234635	0.00415035	0.00174071	0.00134775	0.00192932	0.00328743	0.00594177	0.00952125	0.0103768	0.0176742	0.017234
qu'	0.0670482	0.0588095	0.0183625	0.0150076	0.0147625	0.0165142	0.0170765	0.0324984	0.0294984	0.0226219	0.0162205	0.0154819	0.0184869	0.0186674	0.0143232	0.0176922	0.0157244	0.0114767	0.0081377	0.0102819	0.0102027	0.0103064	0.0136096	0.0109304	0.0113631	0.0130757	0.0215673	0.0220419	0.019295	0.0307037	0.0347638	0.0538928	0.0636866	0.0583423	0.0945872	0.0929389
elle	0.049709	0.0442902	0.0173595	0.0137419	0.0123847	0.0150229	0.028642	0.040939	0.0399037	0.0333907	0.0171242	0.0251973	0.0246079	0.0217453	0.0144956	0.0329528	0.0342097	0.0353731	0.0280232	0.0228188	0.0280339	0.0200915	0.0155701	0.0123418	0.00609365	0.00698954	0.0133158	0.0172842	0.0131751	0.0200701	0.0290036	0.0360455	0.0543691	0.0445888	0.0699931	0.0611028
s'	0.0354077	0.0383474	0.0171722	0.017124	0.0152475	0.0159861	0.0249147	0.0391723	0.0333364	0.0319561	0.0204382	0.0403307	0.0377072	0.0257217	0.0155114	0.0311099	0.0341454	0.0250587	0.023189	0.0146622	0.0215442	0.0141633	0.015912	0.0115853	0.0052696	0.00603382	0.00994464	0.0183973	0.0218432	0.022976	0.0194688	0.0406324	0.052942	0.0441427	0.078515	0.0800909
