 	a66	a87	a23	a83	a21	a12	a47	a12	a62	a88	a75	a98	a79	a90	a4	a54	a98	a47	a7	a26	a57	a97	a87	a23	a87	a23	a87	</S>
il	0.0839579	0.0426807	0.041955	0.0220354	0.0247644	0.0339805	0.024631	0.0234494	0.0268912	0.0448339	0.0371028	0.040457	0.0293064	0.0234468	0.0159484	0.0160882	0.015221	0.0230699	0.0229669	0.0257516	0.0253811	0.0331296	0.0600292	0.0549424	0.0443674	0.0443884	0.0353416	0.0838818
n'	0.0953187	0.0806957	0.0626912	0.0254958	0.0152313	0.0137241	0.0194291	0.0148753	0.0219185	0.0269505	0.0117371	0.0239667	0.0228294	0.0272758	0.0213407	0.027705	0.0272454	0.0473789	0.0447995	0.034822	0.05062	0.0449002	0.0254298	0.0331594	0.0420527	0.0396481	0.0533961	0.045363
y	0.0402911	0.0273056	0.0242356	0.0246221	0.0231397	0.0288945	0.0404405	0.0162089	0.0203145	0.0190016	0.0161401	0.0104014	0.0102884	0.00897628	0.0102793	0.0167443	0.0268404	0.0324698	0.0329251	0.0540661	0.0405683	0.0350995	0.0484841	0.0597475	0.0962462	0.0528986	0.0820825	0.101288
a	0.0405004	0.0528788	0.0668318	0.11625	0.111119	0.0982024	0.0761718	0.065597	0.0420524	0.0267163	0.0317468	0.0254063	0.0317597	0.0296311	0.0342115	0.0300712	0.0243376	0.00766158	0.00934418	0.0135116	0.00868818	0.00805895	0.0105207	0.00827848	0.0067909	0.00748728	0.00612754	0.0100465
personne	0.0763761	0.0614649	0.0447756	0.0502554	0.0441596	0.040734	0.040256	0.0222492	0.0216557	0.0140797	0.0140438	0.0148129	0.0166947	0.0211163	0.0209149	0.0241781	0.0229199	0.0324969	0.0196459	0.0418391	0.0433809	0.0389672	0.0448157	0.0309839	0.0489656	0.0292951	0.0424894	0.0764334
pour	0.0549297	0.0355818	0.0316631	0.0336327	0.0315018	0.0448941	0.0542717	0.0300805	0.0290272	0.0206874	0.0172653	0.0159389	0.0168951	0.0181092	0.0204581	0.0219068	0.0226276	0.0321068	0.0210596	0.0287409	0.0357894	0.0438485	0.0402446	0.0480121	0.0723177	0.0460026	0.0564906	0.0759162
fermer	0.0638743	0.0437862	0.0398808	0.0425145	0.0365916	0.0375281	0.0437948	0.0360906	0.0286403	0.0163166	0.0174822	0.0130007	0.0204052	0.0214951	0.0251322	0.0257398	0.0273559	0.0310467	0.0263228	0.0315606	0.0380466	0.0403005	0.036359	0.0372633	0.0490215	0.0444725	0.0569509	0.0690267
cette	0.106699	0.0557397	0.0611148	0.0534232	0.0594282	0.0415743	0.0354894	0.0169266	0.0145474	0.0189319	0.0180376	0.0108158	0.0141374	0.0107618	0.00768053	0.00802477	0.00971282	0.0128238	0.0151326	0.0163921	0.0169543	0.0219788	0.0294054	0.0385249	0.0515253	0.0435847	0.0737377	0.136896
maison	0.0597503	0.0376124	0.0370705	0.0405949	0.0437105	0.0340037	0.0284554	0.0199673	0.0180349	0.0155298	0.0121528	0.00790707	0.0101901	0.0142046	0.0180393	0.0141546	0.0147573	0.0206592	0.0226143	0.0204558	0.0222343	0.0292653	0.0350748	0.0566967	0.0663322	0.0762475	0.0896726	0.134612
</S>	0.0381066	0.0182089	0.0184154	0.00845098	0.0080525	0.00969935	0.0108302	0.00325899	0.00442173	0.00366719	0.00344017	0.00218981	0.00214616	0.00379445	0.00494332	0.00558762	0.00756963	0.0185401	0.0220758	0.0271688	0.0254313	0.0352674	0.0482352	0.109984	0.118792	0.11676	0.13922	0.185742
