 	a66	a87	a23	a54	a37	a43	a75	a37	a98	a92	a37	a56	a43	a62	a75	a85	a21	a85	a47	a37	a47	a85	a37	a34	a44	a57	a82	a87	a23	a87	</S>
ma	0.0265242	0.0506858	0.0839774	0.0685036	0.0588298	0.0507285	0.0303509	0.0213095	0.0184177	0.0159888	0.013507	0.0156263	0.0238881	0.0274295	0.0249086	0.0272886	0.0267751	0.0266761	0.0272972	0.0312181	0.0337984	0.0213531	0.0501383	0.0221161	0.0164571	0.0262279	0.0300065	0.0200223	0.0333414	0.0336843	0.0429239
femme	0.00794824	0.0124405	0.0209111	0.0332645	0.0448647	0.0494815	0.106483	0.125562	0.154501	0.0714951	0.124304	0.0667833	0.0297961	0.0278921	0.0266562	0.0162249	0.029095	0.018886	0.00807164	0.00481816	0.00537478	0.00116212	0.00113296	0.00161418	0.0010878	0.00311722	0.00150871	0.00126504	0.00136149	0.00143571	0.00146066
m'	0.0535275	0.052709	0.0531416	0.059931	0.0786666	0.0863358	0.0676917	0.0791864	0.0628139	0.0729848	0.0709504	0.0501909	0.0197202	0.0272791	0.0301851	0.018934	0.0102175	0.00912463	0.00933738	0.00851663	0.0146923	0.00205819	0.00386678	0.00730806	0.00718097	0.0252716	0.00549379	0.00431722	0.00347113	0.00310586	0.00179002
a	0.0227642	0.0176952	0.0171641	0.00696927	0.00826386	0.00920532	0.00569047	0.0149566	0.0180739	0.0218195	0.0253049	0.0587558	0.0815155	0.0856554	0.097266	0.0598773	0.0314143	0.0324865	0.0399562	0.0385235	0.0554774	0.029002	0.0438019	0.0256408	0.0279565	0.0273781	0.017535	0.0194637	0.0178031	0.0187585	0.0238252
fait	0.0407412	0.0466539	0.0208449	0.0180843	0.0201514	0.0190722	0.0125107	0.01646	0.0138044	0.0179704	0.0208583	0.0381887	0.0481992	0.0451806	0.0651677	0.0412309	0.0755473	0.0520784	0.0428951	0.0423623	0.0547049	0.0214857	0.0309615	0.01315	0.0186971	0.0207346	0.0274918	0.0149686	0.0310728	0.0400705	0.0286607
goûter	0.038718	0.03278	0.0227522	0.0181834	0.0207906	0.0250758	0.0155316	0.0178084	0.0127153	0.0126651	0.0110911	0.0210021	0.0254046	0.0150101	0.0183807	0.0220589	0.0184053	0.0143294	0.0139503	0.0198958	0.0382925	0.039321	0.0383133	0.0378336	0.0586475	0.0586467	0.0850151	0.0533781	0.0699417	0.058427	0.0656349
les	0.0424934	0.0278855	0.021656	0.0161965	0.011653	0.00859783	0.00351	0.00445699	0.00445974	0.00525308	0.00504371	0.0107807	0.0171187	0.0149656	0.0170821	0.0171844	0.0116682	0.0138908	0.0168277	0.0227407	0.0449595	0.0404185	0.0652568	0.0760291	0.112681	0.0814166	0.0578823	0.0634937	0.0583219	0.0512484	0.0548272
feuilles	0.0485638	0.0360687	0.0237177	0.0182548	0.0178095	0.0197857	0.0132883	0.0142588	0.0123274	0.0155452	0.0159515	0.0310192	0.0377325	0.028191	0.0379748	0.0587443	0.0269113	0.032894	0.0316177	0.0357676	0.0505566	0.0562652	0.0444467	0.0590396	0.0568021	0.0487684	0.030687	0.0281834	0.0239396	0.0169429	0.0279447
de	0.0445687	0.0389063	0.0292937	0.0194368	0.0146715	0.0108078	0.00717334	0.00742159	0.00997589	0.0144605	0.00890422	0.0105304	0.0208287	0.0120904	0.0111109	0.0128723	0.0122662	0.0162854	0.0212139	0.0263198	0.0368614	0.0435722	0.0588837	0.0641458	0.0706817	0.0546604	0.0819051	0.11321	0.0509571	0.049387	0.0265973
manioc	0.0337884	0.0266725	0.0142596	0.00747436	0.00471943	0.00346094	0.00233505	0.00656943	0.0075561	0.00670506	0.0124535	0.0201399	0.025127	0.0278727	0.0283993	0.03447	0.0286523	0.0439217	0.0470895	0.0505221	0.0340999	0.0657942	0.0581834	0.0331483	0.0475567	0.0360021	0.0613385	0.103709	0.0534251	0.0380411	0.0365124
qu'	0.0370503	0.0394449	0.0216374	0.0119274	0.0101572	0.00734884	0.00705142	0.0116521	0.0124635	0.0126416	0.0158136	0.0162036	0.021943	0.0179264	0.018332	0.0269144	0.0213287	0.0283756	0.0347883	0.0384294	0.0430122	0.0379974	0.0425725	0.0392327	0.0555044	0.0419596	0.0550004	0.0795171	0.063101	0.0578629	0.0728101
elle	0.040529	0.0400992	0.0290224	0.0155202	0.0146597	0.0121671	0.0125758	0.0137614	0.0121962	0.013391	0.0161474	0.0192583	0.0260675	0.0291282	0.0373351	0.0473277	0.0276792	0.0339802	0.0402575	0.0466894	0.0668328	0.0436879	0.0599523	0.0556502	0.0503441	0.0410211	0.0367958	0.0336431	0.0256975	0.0280118	0.0305708
a	0.0586514	0.03889	0.0255356	0.0170147	0.0184885	0.013256	0.0135142	0.0177706	0.0152396	0.0180282	0.0225748	0.0211222	0.0260268	0.0266755	0.0287362	0.0401086	0.02621	0.0368794	0.0450737	0.0495649	0.0713183	0.0287962	0.0413092	0.0528336	0.0542337	0.0419899	0.0440316	0.027522	0.0233247	0.025396	0.029884
préparées	0.0686351	0.0563326	0.0313857	0.0207715	0.0213156	0.0157296	0.0122863	0.0153991	0.0131916	0.0135432	0.0110613	0.00952335	0.0149155	0.0110776	0.0147621	0.024031	0.0236995	0.0282257	0.036319	0.0412451	0.0628846	0.0293506	0.03756	0.0474922	0.0537496	0.0514771	0.072636	0.0394475	0.0346175	0.0360736	0.0512611
</S>	0.077604	0.045914	0.0263903	0.0153354	0.0133905	0.00892814	0.0101709	0.0122215	0.0104834	0.0103	0.0081915	0.00793814	0.013572	0.0130586	0.0184754	0.0262989	0.0255531	0.0261649	0.0345756	0.0390834	0.0636833	0.029409	0.0464729	0.0562804	0.0674796	0.0622217	0.0809947	0.0382564	0.0343778	0.0291389	0.0480357
