 	a66	a87	a23	a40	a6	a36	a98	a47	a85	a6	a37	a44	a15	a47	a36	a37	a44	a58	a4	a57	a82	a87	a23	a87	a23	a87	</S>
il	0.0479004	0.0584431	0.0363777	0.082764	0.0771849	0.0929992	0.073887	0.0759982	0.0738596	0.040705	0.0491695	0.0258092	0.0139947	0.0091121	0.00488663	0.00767971	0.00742208	0.0116068	0.012049	0.0172936	0.0186676	0.0170457	0.0175696	0.022257	0.0297566	0.017863	0.057698
y	0.0412949	0.0286548	0.0244359	0.0209257	0.0506995	0.025314	0.0264266	0.0397234	0.0482806	0.0526862	0.0424833	0.0415018	0.0379558	0.0237896	0.0235308	0.0342316	0.0249108	0.0322562	0.0308286	0.0372596	0.0389682	0.0505636	0.0537066	0.0513594	0.0376743	0.0481247	0.0324132
a	0.0534306	0.0546026	0.0350317	0.0322379	0.0331471	0.0253252	0.0293436	0.0187998	0.0212525	0.0217659	0.0134079	0.0105466	0.00788174	0.00733291	0.0113606	0.011456	0.015132	0.0185166	0.0195441	0.0233387	0.0513197	0.0462131	0.0552317	0.0883353	0.062137	0.101631	0.131678
une	0.0295925	0.0314428	0.0232161	0.0239409	0.00924108	0.0129104	0.00514243	0.00503911	0.00837334	0.00918833	0.0475895	0.0210632	0.0265926	0.0362834	0.0482372	0.0460834	0.0359245	0.0469841	0.0616717	0.066398	0.101799	0.0897539	0.0701962	0.0387868	0.022209	0.032469	0.0498713
querelle	0.0420152	0.0315163	0.0372561	0.0559173	0.0728663	0.0871298	0.0734962	0.0604426	0.0582081	0.0355289	0.0823096	0.0390979	0.0312913	0.0212673	0.0216788	0.0201519	0.0105031	0.00778669	0.0122159	0.0126244	0.0144578	0.0225052	0.0274939	0.0307237	0.0214069	0.0291188	0.0409899
entre	0.0730107	0.068803	0.0486645	0.0658173	0.0310838	0.0352884	0.0222553	0.0186998	0.0148245	0.00813323	0.0114261	0.00897418	0.00777243	0.0135487	0.0174877	0.0256968	0.0202586	0.0213779	0.035856	0.0533204	0.0844608	0.0750308	0.0539268	0.0567623	0.0334401	0.0446589	0.0494211
ces	0.0918641	0.112586	0.110286	0.0789739	0.0185922	0.0105397	0.0106726	0.0137387	0.0122239	0.00930844	0.0067966	0.00807571	0.00728109	0.00495133	0.0157952	0.0218697	0.0193071	0.0171679	0.023006	0.0183073	0.0274708	0.0328685	0.0334962	0.0469416	0.0497829	0.06501	0.133087
jeunes	0.126824	0.149453	0.0788598	0.0400915	0.0088688	0.00474837	0.00339787	0.00410682	0.00528949	0.00499825	0.00348629	0.0072854	0.00704628	0.00844488	0.0145166	0.0176854	0.0173697	0.0188963	0.016774	0.0191396	0.0201683	0.0245417	0.0395102	0.0561813	0.0788476	0.0755112	0.147958
filles	0.17698	0.131614	0.0579171	0.0531563	0.0190713	0.00875616	0.00680333	0.00767892	0.00618374	0.00590537	0.00288456	0.00560131	0.00372983	0.00306902	0.00430929	0.00622601	0.0079242	0.00875118	0.00866732	0.0131905	0.0158739	0.0258007	0.0397059	0.0761713	0.0784521	0.107534	0.118043
</S>	0.11181	0.0827928	0.0372694	0.0250671	0.0066772	0.00385575	0.00285555	0.0034495	0.00544505	0.00582506	0.00527079	0.00634087	0.0057114	0.00459078	0.0106403	0.0126338	0.0123014	0.0142378	0.0170168	0.0156559	0.0311669	0.035521	0.0329204	0.0705941	0.0731956	0.0932235	0.273931
