 	a66	a87	a97	a23	a53	a15	a47	a92	a25	a90	a25	a98	a47	a36	a44	a94	a56	a75	a47	a96	a53	a69	a58	a82	a10	a87	a97	</S>
cet	0.0575878	0.0781554	0.0677289	0.0594415	0.0556829	0.0792856	0.0765454	0.0481685	0.0495834	0.0358254	0.0392215	0.0425031	0.0192518	0.0147124	0.0109332	0.00871984	0.00537117	0.00484126	0.0105537	0.0103686	0.0143996	0.0201732	0.0224525	0.0264154	0.021074	0.0321358	0.0284002	0.0604682
enfant	0.0040816	0.00634514	0.00767793	0.00638739	0.0153938	0.0466444	0.101339	0.103715	0.109455	0.0869445	0.0752741	0.132475	0.14113	0.117859	0.0209699	0.00445787	0.00208861	0.0014418	0.000778184	0.00116338	0.000621699	0.000619084	0.000789472	0.000696247	0.000948812	0.00285979	0.00372134	0.00412105
est	0.0353749	0.0287911	0.0210086	0.0200233	0.0287037	0.0191843	0.0457761	0.117632	0.0971183	0.144655	0.0836739	0.0480525	0.0286276	0.0199565	0.020238	0.00588588	0.00693036	0.00636687	0.00294292	0.00523474	0.00422322	0.00985479	0.0167675	0.0203312	0.0218148	0.0247355	0.0486352	0.0674606
en	0.0203807	0.00726123	0.00714929	0.0089489	0.00854248	0.00572655	0.0035722	0.00631755	0.00696888	0.0379189	0.0262917	0.0659919	0.0565752	0.0806098	0.10862	0.0873001	0.0782092	0.0655076	0.0499155	0.0353034	0.0269126	0.0326313	0.025343	0.0397782	0.0263926	0.0297986	0.0178408	0.0341919
train	0.0206544	0.0191413	0.0190322	0.0268637	0.0247148	0.0230765	0.0171399	0.00872563	0.00589108	0.00937322	0.0073842	0.0510039	0.0548482	0.0768359	0.164947	0.130611	0.160809	0.069158	0.0263906	0.0175643	0.0112373	0.00881156	0.010034	0.00775249	0.00718261	0.00812844	0.00551081	0.00717759
de	0.0420907	0.0245041	0.0228296	0.0118051	0.0132211	0.0149323	0.0296095	0.0365666	0.0359094	0.0578077	0.0383186	0.0258698	0.0120333	0.00641963	0.00504557	0.00315609	0.00259152	0.00270892	0.0162825	0.0243979	0.0378101	0.0473331	0.0565004	0.0893658	0.109793	0.0948133	0.065104	0.0731801
provoquer	0.0331213	0.0311525	0.0219178	0.0241644	0.026749	0.0228852	0.0308088	0.0409622	0.0402963	0.201374	0.163419	0.0868141	0.0545188	0.0382424	0.0259395	0.0327923	0.0129108	0.0119526	0.0127056	0.0180799	0.0153318	0.00985652	0.00721222	0.00750284	0.00606204	0.00883883	0.00720474	0.00718555
le	0.0422529	0.0426545	0.0323209	0.0242985	0.0212905	0.0183726	0.0274755	0.0252364	0.0402505	0.0936808	0.0392174	0.033239	0.044797	0.0410332	0.036932	0.0530028	0.0247624	0.0185577	0.0297606	0.0436785	0.0309315	0.0218487	0.0243332	0.0367541	0.029122	0.0422218	0.0273922	0.0545829
fou	0.0748193	0.0393392	0.0393061	0.0283686	0.037142	0.0221662	0.0232907	0.028707	0.0291545	0.0548498	0.0352198	0.0370598	0.025772	0.0259554	0.0145048	0.00592079	0.00696681	0.0044092	0.00549929	0.0131816	0.0126067	0.0233976	0.0306478	0.0686064	0.0557662	0.0829831	0.0779534	0.0964061
</S>	0.0432156	0.0303338	0.0282681	0.0174196	0.0205929	0.0177235	0.0161284	0.0129473	0.0104167	0.0264884	0.00983723	0.0128508	0.00710075	0.0147534	0.0113034	0.0135617	0.0128979	0.00634217	0.0150675	0.0263992	0.0369955	0.0356473	0.0353448	0.0695508	0.0697494	0.124949	0.0935272	0.180588
