 	a66	a87	a23	a87	a23	a18	a83	a47	a21	a12	a43	a93	a4	a13	a4	a93	a4	a93	a44	a56	a25	a56	a44	a98	a92	a37	a47	a88	a61	a75	a47	a36	a2	a57	a87	a23	a87	</S>
cette	0.0371185	0.0426378	0.0478999	0.0199482	0.0199291	0.0393749	0.0225435	0.0177275	0.0187944	0.013724	0.0100362	0.00958328	0.0111061	0.0121947	0.0125038	0.0156909	0.0143395	0.0220263	0.0321709	0.0435228	0.0423184	0.0613088	0.0322385	0.0246372	0.0218106	0.0140878	0.0117175	0.0354809	0.0384815	0.0423657	0.0259025	0.037558	0.0228227	0.0218519	0.0222069	0.0196148	0.0269789	0.0357451
maison	0.00263333	0.00387264	0.0108393	0.0158548	0.019585	0.0651793	0.0494351	0.0530725	0.0703052	0.0420037	0.0225916	0.0312037	0.035672	0.0532977	0.0436799	0.0431557	0.0323914	0.0323025	0.0312026	0.0354345	0.0370051	0.0400766	0.0351373	0.0479132	0.0396998	0.0373657	0.0196096	0.0177639	0.0104362	0.00981343	0.00167306	0.00153039	0.00131025	0.0016891	0.00105462	0.00095036	0.00222465	0.00103447
n'	0.018326	0.0137988	0.0325524	0.0414653	0.0311222	0.0380022	0.0531951	0.0355147	0.0903575	0.119682	0.0531807	0.0709409	0.0527409	0.0559603	0.0140553	0.0297718	0.00726379	0.00265416	0.001756	0.00177558	0.00232659	0.00252905	0.00369341	0.0100264	0.00759462	0.0129738	0.0229935	0.0140878	0.0129113	0.0164122	0.0144071	0.0149203	0.0135355	0.0190216	0.0226654	0.011296	0.0257198	0.00876974
est	0.0441854	0.022307	0.019126	0.0206958	0.0217665	0.0222894	0.0353571	0.0259328	0.0401024	0.0502122	0.046215	0.0429064	0.0257796	0.0352408	0.0208067	0.0260758	0.0237585	0.0193431	0.0249045	0.0159923	0.0196751	0.0162301	0.0203188	0.0227638	0.0168421	0.0143998	0.0183335	0.0136699	0.0111097	0.021426	0.0195943	0.0258658	0.0202457	0.0343818	0.0331136	0.0331753	0.0230232	0.0528341
pas	0.0177552	0.0188244	0.0184016	0.0157857	0.0195463	0.00737165	0.0070343	0.00998785	0.00691225	0.00719133	0.00891591	0.00637424	0.00678613	0.00713072	0.00859446	0.0117557	0.0144778	0.0284688	0.0298135	0.0276689	0.0637764	0.0922186	0.142405	0.159956	0.0696792	0.0277216	0.0298421	0.0315793	0.0201249	0.0123922	0.00783329	0.00829456	0.00888327	0.00820465	0.0110923	0.00733575	0.00712953	0.0127344
encore	0.0511069	0.0439166	0.0393007	0.0374161	0.0365111	0.0247121	0.0183453	0.0240014	0.0252927	0.0126959	0.0144236	0.0116259	0.016167	0.0121921	0.0204126	0.0217664	0.0256157	0.0177953	0.0167863	0.0141407	0.0258402	0.0296625	0.0277975	0.0481449	0.0260143	0.0178022	0.0180738	0.0190029	0.0239561	0.0275486	0.0293111	0.0529359	0.0366834	0.0224763	0.0339723	0.0216501	0.0201128	0.0347906
peinte	0.0445041	0.0344664	0.0548413	0.0528899	0.0429837	0.03143	0.0265307	0.0242011	0.0408143	0.0187267	0.0185965	0.0177592	0.0251303	0.0177801	0.0207909	0.0358967	0.0325849	0.0210277	0.0160561	0.0172057	0.00934316	0.00954976	0.00806023	0.0111109	0.0127978	0.0123192	0.0142951	0.0133709	0.0227417	0.0277642	0.0281942	0.0384361	0.0313354	0.0298595	0.0328973	0.0314642	0.0347748	0.0374694
de	0.181492	0.04626	0.0577469	0.0186555	0.0122457	0.011161	0.00946379	0.0118196	0.013283	0.0076953	0.0114383	0.00713671	0.0105522	0.00712815	0.0105713	0.00945312	0.0136963	0.0129479	0.0140244	0.0241649	0.0193349	0.0153997	0.00722074	0.0127125	0.019045	0.00959991	0.00994329	0.00828283	0.0201047	0.0185314	0.0177465	0.0308107	0.0374221	0.0381066	0.0609945	0.0595596	0.0838614	0.0403871
ce	0.0581226	0.0268239	0.0240513	0.0075305	0.00342758	0.00359996	0.00290301	0.00253582	0.0035828	0.00151421	0.00207461	0.00184854	0.00392385	0.00273139	0.003933	0.00590678	0.00819516	0.00651922	0.00784128	0.012924	0.0119409	0.0110647	0.00886947	0.0130062	0.0241606	0.0227412	0.0206803	0.0185933	0.0309443	0.0503174	0.0490058	0.0404335	0.0784354	0.0797914	0.0910005	0.103843	0.108416	0.046767
côté	0.0371611	0.0305931	0.0360258	0.0229407	0.0156634	0.0154081	0.0120037	0.0108084	0.0117154	0.00375338	0.00591061	0.00404337	0.0100865	0.00801184	0.0129803	0.016907	0.0218326	0.0190179	0.0212338	0.0303408	0.0247253	0.0225641	0.0292803	0.0209289	0.0364262	0.013867	0.0262638	0.0100605	0.0221469	0.0371249	0.0389161	0.0384824	0.0398082	0.0549262	0.0681675	0.0591695	0.0597641	0.0509405
</S>	0.059568	0.0439231	0.0425734	0.0129677	0.00483911	0.00337051	0.00332686	0.00250382	0.00345214	0.00221285	0.00297054	0.00192908	0.00295723	0.00256286	0.00543903	0.00653845	0.0101305	0.00751038	0.00751677	0.00851547	0.00661659	0.00729474	0.00584863	0.0111704	0.0139587	0.0114842	0.0125386	0.00785314	0.0238909	0.0427879	0.0302237	0.0356858	0.0565426	0.0660636	0.0934999	0.110518	0.0971437	0.132071
