 	a84	a87	a97	a99	a97	a87	a97	a99	a61	a0	a61	a75	a5	a36	a25	a92	a56	a44	a34	a75	a5	a36	a21	a5	a12	a43	a31	a0	a56	a93	a4	a93	a34	a75	a56	a96	a70	a13	a3	a97	a10	a24	a11	a75	a92	a56	a93	a4	a13	a34	a96	a62	a88	a75	a79	a37	a18	a71	a25	a3	a97	a87	a3	a97	a87	a23	a99	a57	</S>
nous	0.0221175	0.033747	0.0256808	0.0133629	0.0110624	0.0172216	0.00779709	0.0192811	0.0077885	0.00985429	0.00997188	0.0234952	0.0210624	0.0124076	0.024608	0.0290863	0.0251772	0.0380045	0.0451311	0.0241455	0.020047	0.00893305	0.00802005	0.00695086	0.0100188	0.00717502	0.00750026	0.00888829	0.00935031	0.0205285	0.0103971	0.0100838	0.00607255	0.00573016	0.00779429	0.00494811	0.00392328	0.00563767	0.00768215	0.0126567	0.0113496	0.00714699	0.0139556	0.0185962	0.0107323	0.0143898	0.0140823	0.013865	0.018923	0.0162213	0.0122413	0.0104562	0.0120229	0.0127379	0.01507	0.0188817	0.0148813	0.0183598	0.00967534	0.0102683	0.0120497	0.0135531	0.0115794	0.0127418	0.0124368	0.0133312	0.0167061	0.0187315	0.0116728
n'	0.00531359	0.00703312	0.0111422	0.00602813	0.00624643	0.0066772	0.00490873	0.00413459	0.00657636	0.00439291	0.00454745	0.00514591	0.00501	0.00720202	0.00702046	0.00737285	0.003656	0.00793516	0.00953933	0.013484	0.0109205	0.0139003	0.0189593	0.0164999	0.0205563	0.0292218	0.0375361	0.0306571	0.0371655	0.0294475	0.0325258	0.0352161	0.0511351	0.0513742	0.0482565	0.0491204	0.0186238	0.0199617	0.0280833	0.0174538	0.0156832	0.0194969	0.00992234	0.00421866	0.00392589	0.00410757	0.00457245	0.00445936	0.00603332	0.00470553	0.00584786	0.00759668	0.00805496	0.00855976	0.0132564	0.0169576	0.0130104	0.0115408	0.0120324	0.00731606	0.00711584	0.00568593	0.00620593	0.00751304	0.00841247	0.00848255	0.0130818	0.0143603	0.0178623
avons	0.0238614	0.0227577	0.0283159	0.0132008	0.017788	0.0113286	0.0151967	0.0106347	0.0116917	0.0108287	0.0221892	0.0220173	0.0112224	0.0168179	0.0231212	0.00981684	0.0105292	0.0163615	0.0161457	0.0227622	0.0189129	0.0283743	0.0279976	0.0253575	0.0136057	0.0170916	0.0250617	0.0198964	0.0210685	0.0254414	0.0215729	0.0490242	0.0239116	0.0584282	0.0236515	0.0325563	0.00998563	0.022297	0.0132969	0.015485	0.00917056	0.0201407	0.00324619	0.00297534	0.00522136	0.00384446	0.00266573	0.00250185	0.00217812	0.0045319	0.00506268	0.0064471	0.00283794	0.0028413	0.00716857	0.00578751	0.00578654	0.006026	0.00323694	0.0029259	0.00235175	0.00344831	0.00425524	0.00599766	0.00642139	0.00815077	0.0109529	0.0112571	0.0129637
pas	0.0108445	0.0198224	0.0187984	0.0312512	0.0213674	0.0187357	0.0159825	0.00900415	0.0133733	0.0124412	0.00643808	0.00533	0.0120659	0.0118707	0.00719415	0.00651174	0.00234169	0.00382108	0.00431674	0.00502541	0.00391967	0.00389022	0.00444415	0.00541829	0.00471563	0.00417185	0.00514828	0.00847648	0.00951694	0.00773799	0.00663226	0.00692516	0.00845735	0.0102696	0.00925469	0.0154545	0.0110089	0.0138232	0.0176215	0.0216024	0.0166424	0.0164729	0.0266969	0.0152383	0.0133642	0.0150061	0.0238647	0.0295636	0.0306979	0.0217852	0.0305089	0.0388043	0.0233199	0.0242087	0.0204713	0.0211114	0.0154627	0.0142495	0.013201	0.00856387	0.0136579	0.0172996	0.00980961	0.0157541	0.0143025	0.0116642	0.0295806	0.0152526	0.03842
pu	0.0348909	0.0286258	0.0232658	0.0233062	0.015619	0.0134208	0.0137155	0.01211	0.0150281	0.0157482	0.00920195	0.00991031	0.0125795	0.00676429	0.00607959	0.00527043	0.00454889	0.00447597	0.00480997	0.0069984	0.00518415	0.00525954	0.0087785	0.0150946	0.0144651	0.0123084	0.0154607	0.0283148	0.0338474	0.0218468	0.0228426	0.0184853	0.0194463	0.0211205	0.0161503	0.0157048	0.0162135	0.0170571	0.0180608	0.01832	0.0145594	0.015355	0.0197948	0.0157641	0.0146576	0.0146665	0.0160173	0.0161921	0.0253758	0.014133	0.0099662	0.0144544	0.0125313	0.0105033	0.00894609	0.00943821	0.0071094	0.00540618	0.00902563	0.00630437	0.00824806	0.0124817	0.00828871	0.0146928	0.0156304	0.0100353	0.0220417	0.0187643	0.0192854
poursuivre	0.0127626	0.0073497	0.00535198	0.00525238	0.0051215	0.00268455	0.00568806	0.00326096	0.00811734	0.00414036	0.00336352	0.00183639	0.0027854	0.0041024	0.00181286	0.00181354	0.00217433	0.00346284	0.00426033	0.00595963	0.00857385	0.0136945	0.0172647	0.0320027	0.0272729	0.0127622	0.0255956	0.0187977	0.0355713	0.0328805	0.0359568	0.0371823	0.0318238	0.0525348	0.0386984	0.0382136	0.0287947	0.0383851	0.0257206	0.0221126	0.025603	0.021475	0.0107448	0.00752847	0.005932	0.00535043	0.00482901	0.00462697	0.0054407	0.00608795	0.00381437	0.00609731	0.00721625	0.00538923	0.00732855	0.00797077	0.0117003	0.00935354	0.0149888	0.0132512	0.0191893	0.0285375	0.0214402	0.016642	0.0149233	0.0155519	0.0126158	0.0123079	0.00892413
le	0.0183145	0.0122539	0.012321	0.00668251	0.00425523	0.00460202	0.00358938	0.00230532	0.00306463	0.00285652	0.00238467	0.00172457	0.00187007	0.00275465	0.00367773	0.00159833	0.00179201	0.00451679	0.00427056	0.00749079	0.00742986	0.00691673	0.0085346	0.010274	0.0146319	0.0119632	0.0162944	0.0165582	0.0208563	0.0210751	0.0210064	0.0277808	0.0466521	0.0540518	0.0525458	0.059699	0.0420579	0.0441693	0.0525106	0.0450831	0.0348457	0.0319756	0.0187744	0.0150177	0.0146294	0.010658	0.00662221	0.00599633	0.0049083	0.00654475	0.0052886	0.00745717	0.00543445	0.00482229	0.00605416	0.00454034	0.00737071	0.00321372	0.00822626	0.00722994	0.0154376	0.0129573	0.0105534	0.0109115	0.00821594	0.0116593	0.0111068	0.0154153	0.0117166
lièvre	0.0162429	0.0154221	0.00857436	0.00626303	0.00511183	0.00324015	0.0054563	0.00286393	0.00500003	0.00285041	0.00353537	0.00247767	0.00283312	0.0023051	0.00258468	0.00164721	0.0020652	0.00301841	0.00352762	0.00591731	0.00763571	0.0066622	0.00970952	0.0173471	0.0238892	0.0115085	0.0204002	0.0112494	0.0224076	0.0293272	0.0217213	0.0262346	0.0436288	0.0334876	0.0506738	0.0392184	0.0363768	0.0320252	0.0370104	0.0602866	0.0470721	0.0208047	0.0204303	0.0129511	0.0132812	0.0126587	0.00722849	0.00762124	0.00598557	0.00822138	0.00504693	0.00431551	0.00363615	0.00538045	0.00847998	0.00478418	0.00699496	0.00537769	0.00803235	0.00781603	0.0129912	0.0176275	0.0158202	0.0145583	0.0136979	0.0139611	0.016575	0.0216503	0.0152626
dans	0.0355551	0.0226092	0.0148079	0.0119489	0.00951782	0.00564632	0.00867278	0.00499061	0.0110233	0.00603159	0.00546806	0.00576641	0.00348147	0.00373366	0.00285363	0.00270725	0.00409228	0.00473863	0.00619113	0.00735827	0.00848929	0.0106989	0.0129027	0.0252851	0.0225311	0.0130388	0.0157396	0.0114193	0.0206829	0.0152967	0.017207	0.0194677	0.0215157	0.0220655	0.0205917	0.0173739	0.0127422	0.0172257	0.0162315	0.0188393	0.0167714	0.0207256	0.0127528	0.016134	0.0164008	0.0185148	0.0131735	0.00968319	0.0116409	0.0158846	0.00752148	0.00844673	0.0108881	0.0125395	0.0145323	0.0117835	0.0092567	0.0124654	0.0165237	0.0135267	0.0206559	0.0240278	0.0165221	0.0221594	0.0217154	0.0169604	0.0286048	0.0309419	0.0327075
cette	0.021056	0.0122392	0.0101966	0.00974643	0.00675467	0.00571146	0.00537245	0.00518068	0.0066833	0.00610991	0.00638589	0.00609007	0.00454042	0.00347614	0.0051671	0.0044862	0.00487991	0.00621598	0.00724324	0.00987727	0.0107699	0.0164861	0.0199421	0.0304988	0.0264472	0.0219463	0.0242607	0.0198455	0.0235975	0.0228793	0.0169886	0.0233568	0.0194861	0.0331221	0.0277864	0.022032	0.01106	0.0255807	0.0199625	0.0262254	0.0227076	0.0294659	0.0227261	0.0223014	0.0143465	0.0170744	0.014768	0.0111203	0.0136856	0.0116358	0.00889139	0.00796047	0.0102158	0.00823717	0.0105478	0.00954951	0.00963247	0.00982555	0.0137351	0.0142812	0.0168687	0.0136232	0.00924531	0.0117802	0.0131141	0.0109572	0.0179012	0.0159704	0.0181447
