 	a66	a87	a23	a50	a88	a71	a38	a93	a34	a56	a61	a47	a21	a12	a94	a90	a15	a79	a98	a15	a98	a79	a98	a85	a21	a12	a96	a18	a82	a87	a23	a79	a18	a75	a6	a36	a43	a24	a88	a38	a0	a75	a85	a5	a21	a12	a18	a71	a9	a97	a87	a23	a87	a23	a87	a23	a87	a97	</S>
la	0.0253944	0.0431225	0.0377081	0.055292	0.0444729	0.0428756	0.0396103	0.0271776	0.0243226	0.00881582	0.0224043	0.0125405	0.00523656	0.00614151	0.00833451	0.0053347	0.00853825	0.0100892	0.0115083	0.0236542	0.0100124	0.0323105	0.0139414	0.0172565	0.0183691	0.0140176	0.0133086	0.00719205	0.00971897	0.00624863	0.00435548	0.00534273	0.00528998	0.00435943	0.0038431	0.00450937	0.00577455	0.0102417	0.00919231	0.0123258	0.00494388	0.0108394	0.0132387	0.00783603	0.00972717	0.0134586	0.0125442	0.0156967	0.0166453	0.010972	0.0129936	0.0177906	0.0181272	0.0179417	0.0308856	0.024939	0.0302888	0.0176338	0.0433138
manière	0.00110499	0.00384491	0.00758267	0.00970699	0.00707004	0.0119139	0.0175926	0.0352294	0.036814	0.0692789	0.21492	0.225431	0.049252	0.0404038	0.0461313	0.0147826	0.0417371	0.0160125	0.011633	0.00832719	0.00541165	0.0043521	0.00232636	0.00370195	0.00581963	0.00100528	0.0102595	0.000844183	0.0072605	0.000651904	0.00255162	0.00437248	0.00483246	0.0218481	0.0124342	0.00695597	0.00623193	0.00569376	0.0044418	0.00335771	0.00330713	0.00298953	0.000973989	0.00126349	0.000982939	0.000543733	0.00111206	0.000270857	0.000728481	0.000374853	0.000654382	0.000356123	0.000212271	0.000513411	0.000265747	0.000722771	0.000437593	0.000681622	0.000487751
dont	0.0375796	0.0269187	0.025306	0.00623196	0.00867359	0.0154088	0.011804	0.0222178	0.0150961	0.0457626	0.0384444	0.0527066	0.0497326	0.0515818	0.0517915	0.0586721	0.0515504	0.0264517	0.0384659	0.0177088	0.0530156	0.00365577	0.0067612	0.0122316	0.00879969	0.010404	0.0189953	0.024988	0.00720217	0.00572457	0.0359177	0.01694	0.0169798	0.0115991	0.00550418	0.00235341	0.0044385	0.00338459	0.00409727	0.00406725	0.00155616	0.00241584	0.00247704	0.00509695	0.00186564	0.00381028	0.00287581	0.0018881	0.00486058	0.00381601	0.00842365	0.00401036	0.00458779	0.00953395	0.0055713	0.00800167	0.00720684	0.0120366	0.000800956
le	0.00766028	0.00467924	0.00415295	0.00268589	0.00319252	0.002343	0.0078252	0.0107103	0.00824352	0.00735445	0.0135035	0.0196873	0.0179674	0.0301438	0.0297226	0.0306714	0.0303009	0.0350127	0.0454848	0.037916	0.0676584	0.0507087	0.043831	0.0353368	0.0351117	0.0455723	0.0383926	0.0295394	0.0142282	0.0194164	0.0261279	0.0228526	0.0192337	0.0144505	0.0184573	0.00850367	0.0171675	0.00912633	0.00747107	0.00638796	0.00419858	0.00809469	0.00470814	0.0057233	0.00521959	0.00618416	0.005939	0.00622267	0.00825232	0.00877329	0.00470605	0.00516147	0.0035702	0.00764615	0.00437539	0.00853303	0.00932719	0.0105428	0.00399011
pain	0.0271882	0.0100607	0.00767674	0.00349319	0.00452974	0.00403811	0.00464265	0.0033871	0.0070025	0.00463318	0.00538221	0.0194988	0.0109257	0.0137373	0.00957713	0.0209382	0.021527	0.00974311	0.0175514	0.0149056	0.0220701	0.0166309	0.0192748	0.0144752	0.0196252	0.0161734	0.0391191	0.0276606	0.0183903	0.0102498	0.0354129	0.0568565	0.0430536	0.0607357	0.0301174	0.0258816	0.014818	0.0237881	0.0205331	0.0105798	0.011921	0.0130319	0.0129359	0.0196072	0.0168271	0.0177379	0.0151445	0.0111885	0.00853572	0.00818952	0.00618078	0.00790195	0.00374578	0.0147526	0.00619685	0.0189164	0.0250713	0.0254914	0.0107389
a	0.0355326	0.0160617	0.00773175	0.00509849	0.00601909	0.00362586	0.00368856	0.0016758	0.00489935	0.00744813	0.00528149	0.0109313	0.0154264	0.0170373	0.0145248	0.0258771	0.019971	0.0218967	0.0359905	0.0210704	0.0387941	0.0316066	0.0306611	0.0309006	0.0187417	0.0533716	0.0601376	0.043346	0.0475279	0.0305783	0.0267723	0.0401482	0.0250123	0.00792496	0.00861416	0.00654332	0.00940431	0.0126565	0.0134613	0.012887	0.00807756	0.0119361	0.011395	0.0126874	0.00751286	0.00818345	0.00616163	0.00495504	0.0054815	0.00400487	0.00407219	0.00344892	0.00307331	0.00936123	0.0058934	0.012411	0.0154504	0.0217292	0.0152869
suffi	0.0336942	0.0243441	0.0151075	0.00664792	0.00872193	0.00528861	0.00444397	0.00230398	0.00377993	0.00321905	0.00317766	0.00374737	0.0037398	0.0033573	0.0047352	0.00674425	0.00588043	0.00974493	0.0182252	0.0150653	0.0231424	0.0235569	0.0149449	0.0202644	0.0177064	0.0726569	0.0650818	0.0235395	0.030946	0.0217314	0.0257725	0.0265954	0.0224373	0.0155095	0.00651223	0.00757797	0.0117607	0.017429	0.0271137	0.0185836	0.0206234	0.0300806	0.0217777	0.0202806	0.0158194	0.01136	0.00689251	0.0109767	0.0120797	0.0107152	0.00899483	0.00903139	0.00401503	0.0199667	0.00931914	0.0217423	0.0342629	0.0364338	0.0207968
pour	0.0467495	0.0406107	0.0241958	0.0119805	0.00880503	0.00836919	0.00984716	0.00441917	0.0032644	0.00646699	0.00412359	0.00542042	0.0175596	0.0173829	0.0253354	0.0339237	0.0163033	0.0353263	0.0424334	0.0189137	0.0392222	0.0387825	0.0421849	0.0394767	0.0144007	0.0439891	0.0192966	0.0234132	0.00918812	0.0242387	0.0210349	0.00584335	0.00607119	0.00249654	0.0025222	0.00291024	0.00316062	0.00550361	0.00874667	0.0108433	0.00744954	0.00889121	0.00973256	0.0116959	0.00727825	0.0073112	0.00858043	0.0116035	0.010404	0.0116766	0.0085737	0.0173384	0.0127834	0.0113177	0.0203162	0.0169843	0.0200409	0.0174138	0.0358521
tout	0.0280284	0.0224203	0.013806	0.00752844	0.00714021	0.00761665	0.00743814	0.00513219	0.00443572	0.00942678	0.00907604	0.0109467	0.0286072	0.0310176	0.0417601	0.0426925	0.02556	0.0483101	0.0363851	0.0192665	0.0275093	0.025178	0.0357012	0.0251982	0.0128282	0.0265159	0.016844	0.0230817	0.00830911	0.0251983	0.0145474	0.00804052	0.00530487	0.00256322	0.00276889	0.0021468	0.00236045	0.00339399	0.00444748	0.00676427	0.005507	0.00671259	0.0167416	0.0213714	0.0180686	0.0133586	0.0202693	0.0168203	0.0141958	0.0180292	0.00977244	0.0237755	0.018784	0.0137723	0.0247905	0.0192692	0.0190404	0.016138	0.0182867
le	0.0249376	0.0266914	0.0190761	0.00941671	0.00774624	0.00816459	0.00855286	0.00722883	0.00439488	0.00878889	0.00970726	0.0104775	0.0305048	0.0308035	0.0390389	0.0459499	0.0247546	0.0491888	0.0389299	0.0222262	0.0254007	0.0284819	0.0360099	0.0243096	0.0126493	0.0284191	0.0152748	0.0268589	0.00972837	0.0300065	0.0128599	0.0100628	0.00785033	0.00429359	0.0041324	0.00394014	0.00476725	0.00559515	0.00776273	0.00935424	0.00837732	0.0100843	0.0142603	0.0208285	0.0158029	0.0137317	0.0175173	0.0141732	0.0111357	0.008881	0.0064954	0.0102764	0.0100928	0.00951004	0.0119208	0.0176786	0.019772	0.0202368	0.0248878
