 	a23	a83	a56	a18	a75	a5	a75	a92	a36	a26	a70	a93	a66	a75	a92	a56	a70	a93	a83	a75	a85	a36	a2	a90	a4	a57	a82	a87	a23	a87	</S>
a	0.122175	0.103936	0.0762717	0.0519537	0.0308298	0.0269873	0.0213727	0.0236999	0.0220319	0.0185812	0.0127695	0.013641	0.0125122	0.0143634	0.0141226	0.0251496	0.0340626	0.0221674	0.022247	0.0258019	0.0408266	0.0233377	0.0252005	0.0473097	0.0279501	0.0319925	0.0218472	0.0149043	0.0216469	0.020564	0.0297448
côté	0.010645	0.00753414	0.0221777	0.0394777	0.0737874	0.118991	0.082655	0.0849701	0.101073	0.0456059	0.0261175	0.0143272	0.0162135	0.0167279	0.0152262	0.0193082	0.012078	0.0124105	0.0110232	0.0122598	0.0148286	0.0256805	0.0358529	0.0205517	0.0253385	0.0187675	0.014801	0.0167254	0.021013	0.0351538	0.0286783
du	0.0388376	0.0196564	0.0274555	0.0153113	0.0198818	0.0123818	0.0188235	0.0313903	0.0382132	0.0412619	0.0187899	0.0213707	0.0157167	0.0199341	0.0177788	0.0345235	0.0300567	0.0310742	0.0304153	0.0352333	0.0423515	0.0499714	0.0510657	0.0479436	0.0375748	0.0449159	0.0373281	0.0340797	0.043101	0.0426901	0.0508716
village	0.0597851	0.0713634	0.0338165	0.0653628	0.0573722	0.0402596	0.0394131	0.0368523	0.0465816	0.0217423	0.0292932	0.0365827	0.038207	0.043511	0.0514787	0.0646574	0.0614348	0.0625586	0.0330867	0.0270878	0.0186533	0.0123577	0.00739621	0.00397943	0.00525876	0.00623734	0.00441231	0.00550032	0.00582957	0.00354062	0.0063875
il	0.0953703	0.065076	0.0545119	0.0569543	0.0380977	0.0272934	0.0173298	0.0233173	0.0242075	0.028185	0.0225286	0.0248035	0.0177463	0.0212315	0.0321277	0.0405723	0.0303773	0.0259402	0.0277476	0.0160356	0.0148231	0.0120545	0.0151213	0.0155616	0.0172764	0.0234101	0.022359	0.0452415	0.034908	0.0551192	0.0546717
y	0.0614871	0.0425703	0.0185049	0.0144407	0.00887888	0.00916742	0.00472181	0.0053108	0.0108864	0.00787324	0.00994235	0.0162482	0.0184398	0.0229417	0.0402833	0.0249289	0.032009	0.0194142	0.0205391	0.0179595	0.031551	0.0484336	0.0549453	0.0493118	0.0571066	0.0693777	0.0433122	0.0763291	0.0733937	0.0440226	0.0456687
a	0.0650064	0.0451402	0.0280709	0.017694	0.0109296	0.0112726	0.00520993	0.00477442	0.0077222	0.00653212	0.00568853	0.0110062	0.0135468	0.0197827	0.0343628	0.0249767	0.0383984	0.0135883	0.0147359	0.0116192	0.0286833	0.034454	0.0434455	0.0550684	0.0630002	0.064213	0.0526058	0.0582567	0.0696949	0.0649128	0.0756076
une	0.0609036	0.0337588	0.0225956	0.0142073	0.0148495	0.0107154	0.0098857	0.0130517	0.0126733	0.014011	0.00903273	0.0106745	0.0114393	0.0124054	0.0173755	0.0128036	0.0190574	0.00714652	0.00751245	0.00675745	0.0096666	0.0222432	0.0421821	0.0589184	0.0600334	0.0763973	0.0737236	0.0717531	0.0756249	0.0864826	0.102118
grande	0.0418207	0.0233645	0.023717	0.0199514	0.0239754	0.0157409	0.0128908	0.0174847	0.0185148	0.0250838	0.0139724	0.0198643	0.0196513	0.0204625	0.0309574	0.0273878	0.0316039	0.0233609	0.0234367	0.0191158	0.0254655	0.0218735	0.0323191	0.0494977	0.0351033	0.0486095	0.0464451	0.058205	0.0774197	0.0740805	0.0786242
bananeraie	0.174374	0.073773	0.0540712	0.0354917	0.0308147	0.0204174	0.0210359	0.0203112	0.0177097	0.0186245	0.00816884	0.00707028	0.00663881	0.00551267	0.00738921	0.00824886	0.00553822	0.00488768	0.00428083	0.00736267	0.0100048	0.0178179	0.0272336	0.0351592	0.0407053	0.0398831	0.0492436	0.0540119	0.0451382	0.0492857	0.0997957
</S>	0.0928799	0.0539336	0.0404172	0.024616	0.019389	0.0156433	0.0162314	0.0157767	0.0180636	0.0157245	0.0117323	0.011086	0.00880247	0.00766948	0.00927673	0.00834075	0.00861478	0.00962485	0.00871586	0.00763914	0.0170626	0.0294735	0.048962	0.0448513	0.0496595	0.0538066	0.0498408	0.0472276	0.0451008	0.0695836	0.140254
