 	a66	a87	a23	a11	a12	a96	a75	a5	a21	a12	a47	a12	a31	a0	a43	a56	a98	a79	a20	a44	a4	a57	a82	a87	a23	a87	a10	a97	</S>
notre	0.106494	0.0746854	0.0481929	0.0515424	0.0361202	0.0318397	0.0205665	0.0127271	0.00812479	0.00676056	0.00984596	0.016664	0.0164441	0.0203161	0.0371771	0.0232292	0.0210167	0.0257157	0.0268586	0.0161619	0.0232587	0.0377251	0.0439819	0.0374423	0.0681362	0.0464023	0.0475037	0.0351961	0.0498709
fétiche	0.0194032	0.0122807	0.0171413	0.0100151	0.00760426	0.00551367	0.00830516	0.00410275	0.00607564	0.0251486	0.0408373	0.0291502	0.104139	0.046858	0.0272498	0.0282029	0.0299917	0.0503596	0.122326	0.0704499	0.0981667	0.0403408	0.0256411	0.0273629	0.025244	0.0284945	0.0195317	0.0257646	0.0442989
pro	0.0300858	0.00563859	0.00871575	0.00719158	0.00361019	0.00342841	0.00421462	0.00460502	0.00453792	0.0127353	0.00989205	0.0160123	0.0280436	0.026392	0.0244577	0.0386763	0.0476074	0.0604382	0.145671	0.0771447	0.08644	0.0436241	0.0359295	0.0391804	0.0386105	0.040046	0.0353253	0.0477183	0.0740274
tecteur	0.118706	0.0709397	0.0503626	0.0504071	0.038832	0.06139	0.0478552	0.0531423	0.0552147	0.0363205	0.0381347	0.0209413	0.015024	0.0130362	0.0138704	0.0162869	0.0211311	0.0117249	0.012591	0.00960493	0.0134239	0.0167471	0.0234343	0.0214677	0.0369044	0.036142	0.0344893	0.0192121	0.042664
est	0.0569865	0.0453021	0.0365367	0.053466	0.0637885	0.0804425	0.0931882	0.0861687	0.0917271	0.049817	0.0358181	0.0209136	0.0193462	0.0134606	0.017946	0.0170697	0.0146757	0.00559759	0.00600268	0.011271	0.00636176	0.0124682	0.0149307	0.0100866	0.0143669	0.0263897	0.0185979	0.0293478	0.0479257
gardé	0.043351	0.0389747	0.0298065	0.0445982	0.0619063	0.0814185	0.0927333	0.080258	0.0624832	0.0463951	0.0296867	0.0409242	0.0219172	0.0147925	0.0191403	0.018689	0.0156168	0.00826818	0.0118948	0.00857215	0.0100265	0.00851438	0.019972	0.0352833	0.0323218	0.0339124	0.0233008	0.0252464	0.0399958
au	0.0930074	0.032631	0.0240018	0.0219961	0.0165606	0.0166446	0.0150409	0.0152964	0.0092761	0.00703942	0.00567261	0.00604506	0.00375849	0.00468065	0.00508672	0.00878834	0.00705011	0.0105331	0.0191422	0.0291057	0.0173731	0.0252024	0.039663	0.0651065	0.0820513	0.0926636	0.0769586	0.110662	0.138962
bout	0.0405084	0.0225409	0.0151203	0.013627	0.00803341	0.0138419	0.017933	0.0161164	0.0159383	0.0085121	0.0159515	0.0114479	0.0100087	0.0233773	0.0192641	0.0227223	0.0197802	0.0106974	0.0125254	0.0127095	0.0302507	0.028626	0.0605792	0.0752171	0.0777627	0.0990315	0.0884377	0.122365	0.0870744
du	0.0394891	0.0321067	0.0249217	0.0250112	0.0212379	0.024258	0.0251938	0.0179584	0.0230059	0.0171305	0.0369365	0.0176071	0.0232433	0.0302136	0.0128802	0.00657547	0.00394277	0.00303305	0.00516641	0.0112232	0.00965485	0.0176136	0.0360434	0.0431467	0.0561093	0.086476	0.0762619	0.146192	0.127367
village	0.0379132	0.0246074	0.0168666	0.0194984	0.0174974	0.0264782	0.0367339	0.0340725	0.0284116	0.0224807	0.0351448	0.0247335	0.0195735	0.0238401	0.0168907	0.0153214	0.00865215	0.00644514	0.00876789	0.00990973	0.0152826	0.0147681	0.0300851	0.0438863	0.0483839	0.0892801	0.07856	0.128827	0.117088
</S>	0.0550868	0.0445718	0.024708	0.0295128	0.0238978	0.03273	0.0332977	0.0319767	0.0242505	0.0169076	0.0215858	0.0146667	0.0171514	0.0191334	0.0147899	0.0124091	0.00679223	0.00481185	0.01114	0.016336	0.0132838	0.015129	0.0288792	0.036127	0.0568948	0.094588	0.074217	0.121571	0.103555
