 	a87	a23	a53	a90	a44	a90	a25	a92	a75	a85	a21	a12	a21	a12	a43	a75	a37	a96	a66	a9	a87	a23	a87	a23	a87	</S>
le	0.06258	0.0920136	0.0520495	0.0462145	0.0225592	0.0203649	0.0157058	0.0142941	0.0102963	0.0047329	0.00464119	0.00480706	0.00420983	0.00395559	0.00535473	0.0329135	0.0325338	0.0477569	0.0560062	0.0658027	0.0609074	0.0596383	0.0612907	0.0733507	0.0605677	0.0854531
soldat	0.00428918	0.00700136	0.00994797	0.0247457	0.0813907	0.236739	0.199651	0.169499	0.0912718	0.0491556	0.0391842	0.0208631	0.0191388	0.0153769	0.0130571	0.00563333	0.00194688	0.00127415	0.000455485	0.000793992	0.000524379	0.000272646	0.000331346	0.00146784	0.00341472	0.00257377
est	0.0448488	0.0405858	0.0340575	0.0350436	0.0398052	0.0567896	0.102272	0.081501	0.0708127	0.103032	0.0524433	0.0372725	0.0272657	0.00946745	0.00960493	0.0111583	0.00630689	0.00423822	0.00698826	0.0169067	0.0166092	0.0437951	0.0192348	0.0401718	0.0664655	0.0233233
en	0.00506965	0.00176846	0.0022288	0.0034314	0.00436938	0.00436593	0.0319758	0.0685998	0.117896	0.182037	0.0743223	0.0813765	0.0415721	0.0632796	0.0478881	0.0587215	0.0455904	0.0258744	0.0236009	0.0219383	0.0200545	0.0131616	0.0183849	0.0172198	0.0136429	0.0116307
train	0.0247218	0.0162937	0.0127577	0.0121616	0.0123972	0.00673135	0.0263957	0.064463	0.0838295	0.120603	0.100214	0.106255	0.050498	0.0597057	0.0472236	0.034984	0.0319965	0.0358736	0.0322293	0.0280448	0.0213809	0.0147288	0.0176849	0.0129095	0.0136061	0.0123103
de	0.0251955	0.0233538	0.0128579	0.010059	0.0158359	0.0215392	0.0313543	0.0218112	0.0116528	0.00886871	0.0100241	0.00906546	0.0189139	0.00802478	0.01614	0.0257131	0.0248145	0.0203498	0.0374154	0.0572677	0.0708619	0.104804	0.0951433	0.10521	0.111697	0.102026
surveiller	0.090444	0.0659029	0.0563178	0.0617566	0.0669665	0.113376	0.0867472	0.0935593	0.0763354	0.026946	0.0335327	0.0229997	0.0188336	0.00827217	0.0134407	0.00915665	0.00611289	0.00534139	0.00624534	0.00858348	0.0165338	0.0224788	0.0162528	0.0174761	0.02691	0.0294777
le	0.0393158	0.0185227	0.0163923	0.0149079	0.0116474	0.00907196	0.0094457	0.0110738	0.0133103	0.0112997	0.0169592	0.0160311	0.0140929	0.0133439	0.025335	0.0287864	0.0349472	0.0461659	0.0628357	0.057219	0.0717592	0.107492	0.0948192	0.070421	0.0856237	0.0991816
voleur	0.0972935	0.038455	0.0231478	0.00959408	0.00456318	0.00395875	0.00631717	0.0086874	0.0113291	0.0108815	0.00953351	0.00937998	0.011342	0.0122468	0.0144536	0.022768	0.0374792	0.0364423	0.0771293	0.0517474	0.0738221	0.0695537	0.0927769	0.101152	0.0755789	0.0903671
</S>	0.0405278	0.0324751	0.0227822	0.0152518	0.00921788	0.00803268	0.00604615	0.00551972	0.00636648	0.00730875	0.00597974	0.00517058	0.00442612	0.00383728	0.00735279	0.0150508	0.0178224	0.0289146	0.0509748	0.0601096	0.0729892	0.0937029	0.110651	0.0993393	0.101576	0.168574
