 	a66	a87	a10	a87	a23	a40	a37	a79	a69	a90	a92	a6	a0	a12	a96	a0	a11	a93	a70	a66	a0	a24	a88	a62	a31	a88	a66	a71	a3	a97	a87	</S>
cet	0.0289654	0.0422176	0.0767043	0.0645224	0.0533688	0.0620811	0.0941003	0.056997	0.0174625	0.0127027	0.0213054	0.0249802	0.0406186	0.0149309	0.0198008	0.0235179	0.0227515	0.0216405	0.0207296	0.0381803	0.0252522	0.0160252	0.0166839	0.016197	0.019801	0.0187691	0.0165629	0.0210477	0.0157612	0.0253142	0.0148991	0.0361089
enfant	0.00401808	0.00854258	0.0175775	0.0307934	0.0555229	0.130811	0.179845	0.129155	0.139188	0.121299	0.0515404	0.0309433	0.0207586	0.0129773	0.00791283	0.00515932	0.00613267	0.00191294	0.00182668	0.00195153	0.00106601	0.00159615	0.00258584	0.00307703	0.00431484	0.00247877	0.0036021	0.00366718	0.0049079	0.00392128	0.00511272	0.00580209
est	0.0434712	0.0365476	0.0533544	0.051627	0.0546805	0.0406881	0.0543335	0.101478	0.10192	0.0908004	0.0693642	0.0632949	0.0675085	0.0149348	0.0107484	0.00414957	0.00393896	0.00250066	0.00236867	0.00554937	0.00335215	0.00903492	0.00762051	0.00824233	0.00699296	0.00814782	0.00633614	0.00960707	0.00845864	0.0150599	0.026406	0.0174829
en	0.00950999	0.00451784	0.00430108	0.00377859	0.00260649	0.00278113	0.00400423	0.0100904	0.0228821	0.0304045	0.0234402	0.0464588	0.0578704	0.064202	0.0648524	0.0472704	0.0344098	0.0188436	0.0226708	0.0225258	0.038872	0.073169	0.0588799	0.0399855	0.0269379	0.0334293	0.0426132	0.0492324	0.0398478	0.027498	0.0344171	0.0376974
train	0.0138652	0.0108062	0.00744695	0.00602469	0.00622172	0.00452243	0.00298091	0.00546672	0.0160013	0.0233631	0.0171059	0.0380186	0.0517363	0.0840056	0.173003	0.146218	0.135714	0.0638855	0.0283238	0.032579	0.0403463	0.0195325	0.0189127	0.00511056	0.00513978	0.00566985	0.00436038	0.00622499	0.00755888	0.0057437	0.00832675	0.00578501
de	0.0210033	0.0128712	0.0110449	0.00887558	0.00755879	0.0083858	0.014293	0.0205299	0.0530688	0.0445555	0.0684935	0.0517216	0.104367	0.0588454	0.0356033	0.0178043	0.0164946	0.0256002	0.0192267	0.0242505	0.0370606	0.0217808	0.0340999	0.015409	0.0242756	0.0151446	0.021517	0.0200031	0.0328255	0.0531477	0.0593121	0.0408307
serrer	0.0108379	0.0107284	0.0140246	0.0215927	0.0152244	0.0247415	0.0170783	0.0176027	0.0200078	0.0278665	0.0726387	0.113071	0.182439	0.104379	0.0540521	0.0300623	0.0336977	0.0280025	0.0352361	0.0422035	0.0283823	0.0282669	0.0199287	0.014071	0.00778772	0.0044585	0.00281068	0.00346286	0.0026369	0.00352836	0.00508444	0.00409523
la	0.0393283	0.0271422	0.022989	0.0179586	0.014522	0.0164755	0.0102508	0.0057664	0.00707192	0.00937035	0.0164544	0.0245616	0.0160488	0.0264318	0.0204435	0.0382909	0.0392768	0.0361763	0.0768676	0.0579933	0.0704618	0.0582474	0.0231411	0.0242893	0.0280187	0.0353136	0.0456678	0.0405251	0.0363392	0.0316169	0.0475106	0.0354485
corde	0.0597783	0.0348381	0.0256229	0.0178327	0.0141725	0.011403	0.00959341	0.0147021	0.0123052	0.0196862	0.017321	0.0369287	0.0601264	0.0765376	0.0396933	0.0163739	0.0142157	0.0195752	0.0194061	0.0222683	0.046288	0.0359073	0.035895	0.0267075	0.0414111	0.0308259	0.0200253	0.0245256	0.0406607	0.0486529	0.06439	0.04233
qui	0.0270419	0.0311673	0.0272077	0.0210819	0.0136869	0.00956829	0.00616098	0.00846102	0.00961795	0.0102893	0.0148614	0.0414016	0.0640954	0.107055	0.0408719	0.0262027	0.0246169	0.0180277	0.0143428	0.0125014	0.0362611	0.0160034	0.0196755	0.0145164	0.0311945	0.0232488	0.0250743	0.0320212	0.0447934	0.0673366	0.0819932	0.0796216
