 	a15	a66	a87	a23	a83	a56	a70	a35	a70	a90	a4	a58	a90	a98	a21	a12	a18	a25	a82	a87	</S>
a	0.0539027	0.0458446	0.0461051	0.0390351	0.0346206	0.0328826	0.0221452	0.0195321	0.0069364	0.00593274	0.00621694	0.00865482	0.0113202	0.0217048	0.0355172	0.0681585	0.0973966	0.105541	0.134558	0.10001	0.103986
combien	0.0593043	0.0510503	0.0504368	0.0407833	0.0388323	0.0396379	0.0281631	0.0278834	0.0344445	0.0243394	0.059964	0.0423568	0.0271821	0.0279507	0.0252233	0.0268967	0.0536817	0.0632057	0.0810797	0.0948073	0.102777
tu	0.0914593	0.0785923	0.0712825	0.0586061	0.0547752	0.0544619	0.0474168	0.0820801	0.0540105	0.0372909	0.0391064	0.0282225	0.0201612	0.0265872	0.0257992	0.0329425	0.0273225	0.0502477	0.0318806	0.0535559	0.034199
as	0.0375654	0.0350756	0.0471229	0.0496619	0.0396897	0.0348019	0.0320616	0.0494891	0.049678	0.0424091	0.0482863	0.0759207	0.045106	0.0944075	0.0769199	0.0744039	0.0546726	0.0343308	0.0246961	0.0271575	0.0265433
payé	0.109076	0.0411359	0.0247619	0.0248465	0.0271793	0.0302856	0.0306474	0.0401688	0.0409064	0.0220785	0.0243235	0.0418394	0.0274009	0.050397	0.0663442	0.0487454	0.0702797	0.0834166	0.0653614	0.0627059	0.0680994
le	0.0498337	0.0423703	0.0367466	0.0315152	0.0311673	0.0193746	0.0145031	0.0177331	0.0185772	0.0286544	0.0511164	0.0746526	0.0739282	0.080723	0.0973105	0.069739	0.0482433	0.0686128	0.0573661	0.0583667	0.0294662
passage	0.0582064	0.0510611	0.0444203	0.0315605	0.02486	0.0192545	0.0121562	0.0201628	0.0232511	0.0259347	0.0370111	0.0412239	0.0239693	0.0548701	0.0888668	0.114089	0.0621064	0.0715716	0.0668417	0.0872233	0.0413594
du	0.0585108	0.0222499	0.0155909	0.0118873	0.0125263	0.0144416	0.0177131	0.0245339	0.031555	0.0294961	0.0320087	0.0422587	0.0265546	0.0652681	0.0907059	0.0982803	0.0556733	0.0929983	0.0980706	0.107647	0.05203
fleuve	0.0353804	0.0296275	0.0221776	0.0141898	0.00960508	0.0111189	0.010523	0.0148336	0.0175944	0.0238118	0.030581	0.0435275	0.036887	0.0667167	0.072383	0.113343	0.0700992	0.106559	0.119157	0.0811738	0.0707112
</S>	0.035856	0.0161078	0.00825748	0.00438027	0.0023149	0.00136494	0.00173362	0.00282151	0.00357704	0.00400521	0.00398639	0.0100613	0.00934152	0.0246167	0.0383311	0.0605458	0.0529007	0.181812	0.183271	0.242727	0.111987
