 	a87	a10	a62	a75	a96	a90	a44	a53	a90	a98	a44	a98	a79	a70	a34	a88	a24	a83	a38	a70	a90	a15	a84	a57	a87	a23	a87	a97	</S>
le	0.0356704	0.084178	0.0904237	0.0825952	0.0662589	0.0623491	0.0342192	0.0321923	0.0479511	0.0432937	0.0449636	0.0233207	0.0188558	0.00967576	0.0101715	0.00584973	0.00942894	0.0123346	0.0153093	0.0137212	0.0257297	0.03938	0.0243983	0.0303606	0.022623	0.026424	0.0315636	0.0277815	0.0289764
singe	0.0038719	0.0215687	0.0339138	0.0468297	0.101233	0.119582	0.0839182	0.126258	0.0678613	0.0493075	0.057477	0.0455574	0.0380036	0.0422076	0.0315323	0.0266581	0.0177816	0.0129604	0.0112793	0.0110598	0.00402582	0.00449146	0.00388897	0.00645466	0.0035862	0.00627614	0.00869705	0.00832548	0.00539313
est	0.0188411	0.0152784	0.0262667	0.0341833	0.0275593	0.0409937	0.0550225	0.104733	0.0807606	0.119499	0.050009	0.0548096	0.0591532	0.0296349	0.0253633	0.0151192	0.0198753	0.0117163	0.00804075	0.0145217	0.017049	0.0149967	0.0112	0.0325924	0.024606	0.0179966	0.0173538	0.0370724	0.0157527
en	0.0119458	0.0065282	0.00472465	0.00587076	0.0119996	0.0155567	0.0404239	0.0668921	0.052801	0.061459	0.0664188	0.165598	0.15954	0.0884774	0.0311696	0.0362249	0.0246104	0.0105037	0.0208096	0.0146088	0.0107339	0.0115998	0.0116823	0.00898822	0.0137441	0.0118922	0.0147409	0.0121803	0.00827491
train	0.0148256	0.0130335	0.00817242	0.00764053	0.00725807	0.0043258	0.00493058	0.0200258	0.0599837	0.081846	0.149915	0.218236	0.159839	0.0888062	0.0436416	0.0493871	0.0300389	0.0102751	0.00648568	0.00308763	0.00204622	0.0023857	0.00189452	0.00173754	0.00247573	0.00170348	0.00259069	0.00174918	0.00166287
de	0.0573082	0.0379156	0.0443396	0.0292377	0.0184794	0.0260484	0.0137541	0.00304841	0.00260306	0.00276284	0.00387507	0.00333962	0.00213707	0.00361687	0.00527154	0.0066823	0.018015	0.0321726	0.0211075	0.0306787	0.047689	0.0383874	0.0535544	0.0719497	0.0564069	0.0958479	0.0693438	0.0736677	0.13076
faire	0.0856171	0.0554369	0.0485914	0.040598	0.0361607	0.0294085	0.0457344	0.0415463	0.0420074	0.0596821	0.0552511	0.0454433	0.0442275	0.0455739	0.0558939	0.0406814	0.0414227	0.0292055	0.0203645	0.0130813	0.00949504	0.00662282	0.00753464	0.0119483	0.0129883	0.0163557	0.0245112	0.0181563	0.01646
tomber	0.0841426	0.0466825	0.0385494	0.027829	0.0240186	0.0260266	0.027181	0.040408	0.0350555	0.0461892	0.0554769	0.0338666	0.0369159	0.0353544	0.0470686	0.0303125	0.0433193	0.0569259	0.0351539	0.0237427	0.0188696	0.0132805	0.0144887	0.019933	0.0160028	0.0256118	0.0321018	0.0247078	0.0407848
les	0.0603759	0.0428041	0.0389585	0.031204	0.0272864	0.0300752	0.0291133	0.0371275	0.0285197	0.0332809	0.0490742	0.028536	0.0192966	0.0163708	0.0171504	0.0175317	0.0251771	0.0471215	0.0305866	0.0300993	0.0465324	0.0382619	0.0248725	0.0346202	0.0316381	0.043005	0.0541384	0.0368916	0.0503502
fruits	0.0538577	0.0257015	0.0336792	0.024909	0.0210082	0.0194569	0.0162142	0.0206045	0.0176159	0.0147231	0.0218464	0.0177825	0.0209009	0.0220867	0.0265275	0.025385	0.0454744	0.0598427	0.0338188	0.0320166	0.0442095	0.0593539	0.0513586	0.0423469	0.0467526	0.0418233	0.0560919	0.0376434	0.0669683
</S>	0.0329469	0.0336283	0.0352564	0.0337834	0.0267053	0.0295348	0.0227344	0.0261103	0.021938	0.0167994	0.0159065	0.0109431	0.0120124	0.0113765	0.0113429	0.0108973	0.0142382	0.0235553	0.021701	0.0300191	0.045167	0.0703566	0.0578542	0.0456377	0.0497279	0.0473927	0.0574751	0.0503925	0.134567
