 	a23	a99	a75	a5	a37	a75	a85	a36	a26	a93	a34	a75	a92	a56	a34	a56	a34	a75	a85	a47	a2	a26	a13	a82	a87	a23	a10	</S>
a	0.0488624	0.0326161	0.0327896	0.0415676	0.039905	0.0491909	0.0490781	0.0606603	0.0409612	0.0394514	0.0243901	0.0262493	0.0353683	0.0238165	0.0292826	0.0215219	0.0362802	0.0204514	0.0225075	0.0226121	0.0344863	0.0435165	0.0383908	0.0321178	0.0305728	0.0272944	0.0321281	0.0639308
côté	0.0250225	0.0470757	0.0712923	0.0846783	0.142556	0.0966901	0.0605678	0.0362431	0.0100442	0.0098174	0.0122882	0.0143635	0.0246724	0.0138591	0.0247395	0.0145613	0.0129065	0.0190328	0.0221094	0.0200494	0.0240223	0.0206297	0.0276247	0.0292074	0.0274683	0.0280573	0.0388591	0.0415616
du	0.0595678	0.0258047	0.037903	0.0234302	0.0425073	0.027155	0.0286672	0.0288604	0.0131368	0.0156555	0.0216009	0.014792	0.0154153	0.0139664	0.0124739	0.0134998	0.0172373	0.033908	0.0438853	0.0507351	0.0994246	0.0679499	0.0421994	0.0278061	0.0506337	0.0656767	0.0547804	0.0513274
village	0.102983	0.0436424	0.0717328	0.0785717	0.0309282	0.0308156	0.0300832	0.0302416	0.0299802	0.0415277	0.0445094	0.0671654	0.0716127	0.039435	0.0515617	0.0481852	0.0465356	0.0318899	0.0276129	0.0213988	0.0141542	0.00970404	0.00523294	0.00523985	0.00468576	0.0051276	0.00441865	0.0110245
il	0.119256	0.0772867	0.0594626	0.0321115	0.0255098	0.018093	0.0244957	0.0248778	0.0156088	0.0229243	0.0132898	0.0145411	0.0266408	0.0197415	0.0208381	0.0273518	0.044579	0.0301637	0.0161082	0.0146334	0.0155873	0.0300757	0.0318201	0.0306008	0.0390219	0.0679591	0.0671478	0.0702742
y	0.0550463	0.028876	0.0241162	0.0119572	0.00886811	0.0115883	0.0115645	0.00704679	0.00734238	0.011231	0.00958057	0.0126719	0.0259567	0.0239773	0.0295232	0.0313936	0.0432251	0.0440209	0.0285692	0.0419654	0.0536443	0.0852206	0.0704003	0.0743628	0.0691031	0.0946305	0.0479205	0.0361973
a	0.034273	0.0274794	0.0220876	0.0171068	0.0133228	0.0133722	0.0105762	0.00856156	0.00358302	0.00796433	0.00774549	0.0108232	0.0320866	0.0252102	0.0250938	0.020615	0.0436499	0.0215933	0.0235722	0.0262114	0.0525374	0.069484	0.0790685	0.0853382	0.0701968	0.0894017	0.0738848	0.0851605
une	0.0398252	0.0299182	0.0248639	0.0188109	0.0249601	0.024783	0.0190006	0.0189131	0.006784	0.00957649	0.00748313	0.00868127	0.0157301	0.0131193	0.0115789	0.0102462	0.0171665	0.0102153	0.0123437	0.0133651	0.0395534	0.0866121	0.084528	0.0886737	0.0723707	0.0899387	0.0981006	0.102858
grande	0.0510357	0.0377246	0.0319888	0.0179901	0.0265591	0.0276358	0.0253437	0.0215919	0.0111131	0.0141387	0.0142551	0.0140182	0.0229403	0.0211472	0.0198151	0.0210882	0.027355	0.0260837	0.0248004	0.0339397	0.0498917	0.0830913	0.0536119	0.0562466	0.0413645	0.0820532	0.0732451	0.0699314
bananeraie	0.125261	0.0632473	0.0466346	0.0273777	0.0174633	0.02347	0.0268689	0.0240803	0.012968	0.0151034	0.00994685	0.00819957	0.00875108	0.00524854	0.003988	0.00375485	0.00606665	0.00453891	0.00592379	0.0196018	0.0245306	0.038679	0.0454122	0.0724679	0.0610786	0.0661436	0.058192	0.175001
</S>	0.0915844	0.0548285	0.0470409	0.0266177	0.0254094	0.0248497	0.0275479	0.0233987	0.015674	0.0231819	0.019708	0.0144691	0.0173725	0.0155408	0.0126995	0.0128966	0.0192849	0.0171204	0.0126248	0.0198869	0.0345607	0.0584697	0.0576723	0.0631519	0.0605281	0.0688237	0.057668	0.077389
