 	a23	a87	a23	a87	a23	a40	a30	a41	a24	a35	a30	a2	a35	a41	a14	a76	a73	a35	a26	a94	a76	a90	a57	a82	a30	a70	a94	a13	a38	a9	a99	a87	</S>
il	0.0360581	0.0551617	0.0409275	0.0282202	0.0438742	0.0236838	0.0483204	0.0289854	0.0259906	0.0472408	0.0330668	0.0391562	0.0524017	0.0372833	0.0315689	0.0205772	0.014495	0.0129361	0.0152919	0.0287099	0.0299263	0.0125163	0.0113844	0.012412	0.0141855	0.0141119	0.0165067	0.0272959	0.0280266	0.0232372	0.0244512	0.0310278	0.0909684
brigue	0.00768758	0.00674238	0.00766762	0.0118882	0.0140452	0.0200155	0.0230596	0.0213765	0.0275877	0.0318479	0.0449531	0.0424723	0.0527618	0.035394	0.035298	0.0340935	0.0444886	0.0873954	0.05534	0.0788222	0.0216842	0.0197152	0.0220381	0.0128291	0.0140344	0.0175867	0.0180137	0.0212228	0.0252893	0.0450102	0.0385122	0.0394543	0.0216727
l'	0.091989	0.0435488	0.0325756	0.0187029	0.0148516	0.0206332	0.028519	0.0316733	0.0453475	0.0635887	0.0624122	0.0337457	0.0509592	0.0380048	0.036507	0.0255322	0.0242577	0.0131893	0.0106669	0.0120675	0.00913114	0.00749967	0.00544924	0.00374984	0.00387349	0.00654785	0.00879003	0.0184633	0.0356907	0.0460862	0.0417607	0.0678673	0.0463188
honneur	0.0450144	0.0378512	0.0368639	0.0296396	0.0134128	0.00519269	0.00505165	0.00529706	0.00915425	0.00678131	0.0197919	0.0227946	0.0188779	0.0108316	0.0178289	0.0188737	0.0437461	0.0340677	0.0558796	0.0386642	0.0559743	0.0733828	0.083249	0.0565759	0.0456104	0.0378269	0.0263622	0.0242622	0.0390161	0.036125	0.0207361	0.0141203	0.0111438
d'	0.0594622	0.0623865	0.0524262	0.0435026	0.0348484	0.0283809	0.012898	0.0135184	0.0191487	0.00950028	0.0314163	0.0461658	0.0323503	0.0154172	0.0202145	0.0270294	0.028686	0.0255663	0.0340232	0.0464946	0.0855206	0.0291356	0.021385	0.0128252	0.0101047	0.00940775	0.0113805	0.0116261	0.0146863	0.0222132	0.0319639	0.0327275	0.0635879
être	0.073113	0.0550691	0.0492232	0.0367053	0.0293919	0.0231975	0.0191022	0.0224661	0.0296562	0.0244126	0.0294213	0.0273277	0.045527	0.0373337	0.0246265	0.0241945	0.0280637	0.0170537	0.0109561	0.0124603	0.0137264	0.0141415	0.0156262	0.0198377	0.0207403	0.0247657	0.0308538	0.0321106	0.0358403	0.0370632	0.0334336	0.0405115	0.0620475
invité	0.0571746	0.0426126	0.0487154	0.0420193	0.0357232	0.0296832	0.0227446	0.0228659	0.0346639	0.0148898	0.0204692	0.0235594	0.0321014	0.0257874	0.0152938	0.0225106	0.0141912	0.0256597	0.0262971	0.0212332	0.0249826	0.023278	0.0202935	0.0309229	0.0278141	0.0314323	0.0312553	0.0305623	0.0448377	0.0426176	0.0433988	0.0347879	0.0356214
par	0.0905448	0.0618288	0.0657596	0.0456724	0.0375989	0.0182604	0.00492345	0.00508037	0.00923623	0.00392491	0.0144885	0.0134648	0.00953464	0.00471084	0.00481843	0.00331292	0.00221188	0.00831385	0.00858327	0.00896443	0.0138073	0.00858791	0.0106378	0.0210987	0.0246083	0.0365751	0.0461992	0.0439261	0.0613762	0.0797583	0.0746283	0.0709372	0.0866262
le	0.0846213	0.051382	0.0521794	0.0321472	0.0188165	0.00790771	0.0030263	0.00311909	0.00324413	0.0017483	0.00527379	0.00579461	0.00506388	0.00259972	0.00263358	0.00314462	0.00497649	0.00854293	0.015803	0.021374	0.0320931	0.0258426	0.0221191	0.0279506	0.024734	0.0375896	0.0561599	0.05948	0.0709409	0.0738219	0.0697327	0.0739822	0.0921548
chef	0.0795224	0.0491028	0.0562765	0.0443017	0.0406878	0.0295305	0.0242906	0.0227395	0.0169936	0.0123966	0.0144444	0.0189233	0.0147736	0.00545167	0.00511099	0.00362984	0.00400847	0.00295542	0.0040877	0.00455922	0.00974776	0.0129328	0.0199903	0.0297745	0.0352458	0.0435601	0.0517154	0.0849774	0.0752857	0.051932	0.0417277	0.0442767	0.0450474
</S>	0.0513313	0.0402164	0.0316769	0.0166532	0.0123893	0.00530391	0.00332129	0.00249608	0.00337463	0.0021673	0.00563588	0.00846992	0.00856155	0.00258504	0.00224557	0.00238657	0.0027397	0.00181749	0.00189831	0.00214521	0.00527755	0.00687041	0.00828851	0.015031	0.0228917	0.0414372	0.05966	0.0826499	0.0960823	0.109183	0.0957851	0.111818	0.13761
