 	a66	a97	a99	a21	a5	a47	a21	a5	a12	a96	a90	a98	a79	a56	a43	a24	a31	a88	a61	a21	a5	a37	a93	a94	a13	a57	a3	a97	a87	a97	a82	</S>
la	0.0457772	0.0514482	0.0377675	0.0524663	0.0207652	0.0201736	0.0360252	0.08025	0.0425991	0.0339432	0.0315169	0.0259762	0.028026	0.0313131	0.0260084	0.0331643	0.0198362	0.015023	0.0145403	0.0171514	0.0199761	0.029647	0.0444164	0.0516039	0.0397394	0.0357673	0.0309973	0.0169287	0.013064	0.012961	0.0132313	0.0278963
nourriture	0.00200143	0.0091335	0.0314505	0.0825892	0.0993171	0.147869	0.152214	0.0785441	0.0537207	0.0352631	0.0482593	0.0324886	0.0329417	0.0235776	0.0399851	0.0221094	0.00973803	0.0151428	0.0100221	0.00638813	0.00814382	0.00465915	0.00348211	0.00500033	0.00611154	0.00806936	0.00576662	0.00701038	0.00667204	0.0041022	0.00714019	0.00108613
que	0.0204484	0.0246694	0.0251362	0.0324218	0.0454738	0.148876	0.242452	0.236918	0.068169	0.0259865	0.0241544	0.0149987	0.0100061	0.00463328	0.00430511	0.00214732	0.00172055	0.00215308	0.0020802	0.00186352	0.000916178	0.000654868	0.00138297	0.00182363	0.0010919	0.00225752	0.00428746	0.00788374	0.00546942	0.0152161	0.0111725	0.00923055
notre	0.0827241	0.0604932	0.0369917	0.0222458	0.0119714	0.0153233	0.0273391	0.0438567	0.0253198	0.0174058	0.0173913	0.014061	0.0145413	0.0202313	0.0348581	0.0305867	0.0143986	0.0142716	0.0111187	0.0197275	0.00521494	0.00771219	0.0119124	0.030441	0.0251584	0.0445968	0.068139	0.05559	0.0539797	0.0511987	0.0523739	0.0588259
maman	0.0802981	0.0481307	0.0211457	0.00909499	0.00975609	0.00513151	0.00795485	0.0153927	0.0233668	0.029739	0.0254069	0.0171409	0.0205948	0.0135934	0.0256611	0.0222238	0.00973458	0.0183352	0.0211469	0.0315151	0.0121255	0.0119022	0.0101496	0.0251958	0.0284089	0.0408113	0.0611805	0.0373868	0.0975608	0.0352862	0.111131	0.073498
a	0.0260335	0.0164833	0.0111968	0.00883725	0.0208015	0.0202308	0.0308911	0.0369464	0.0289752	0.0365695	0.017839	0.0207932	0.0262852	0.0128075	0.0205297	0.0114426	0.00766688	0.0123581	0.0150003	0.0145665	0.0072345	0.00466983	0.0074205	0.0157031	0.0103157	0.0256124	0.0617076	0.0700965	0.0746621	0.0990869	0.146294	0.0809429
préparée	0.0163868	0.017179	0.0113087	0.00894414	0.0187298	0.0180443	0.0268744	0.0307252	0.0347215	0.037928	0.0328465	0.0535427	0.0595277	0.0317017	0.0491506	0.0230159	0.0249049	0.0461183	0.0537519	0.0334627	0.0221142	0.0116755	0.0136505	0.0223771	0.0118643	0.0201681	0.0391743	0.0431668	0.0296289	0.0514649	0.042009	0.0638418
est	0.0512989	0.0380452	0.0287281	0.0188817	0.0158742	0.015297	0.0225043	0.0139978	0.0154878	0.0201043	0.0129648	0.0170177	0.026326	0.0370335	0.0474253	0.0412383	0.0375074	0.0544021	0.0617045	0.0209271	0.0204804	0.0117334	0.0211949	0.0326505	0.0279867	0.0448078	0.042618	0.0339161	0.0423368	0.0386236	0.0540784	0.0328076
pimentée	0.0191534	0.012977	0.00980586	0.00727423	0.0107971	0.00464492	0.00737872	0.00973121	0.0136795	0.0242383	0.0220483	0.0257441	0.0228854	0.0167396	0.0284771	0.0200438	0.0118617	0.0360262	0.0391412	0.0201633	0.0233992	0.0148252	0.0297522	0.0328928	0.0405375	0.0823191	0.0882209	0.0614866	0.0641078	0.0395289	0.0764019	0.083717
</S>	0.0427303	0.023649	0.0182938	0.00925586	0.00726766	0.00313346	0.00581188	0.0063876	0.00470161	0.00598454	0.00668607	0.00796251	0.00897285	0.00678391	0.0183742	0.0131221	0.0121637	0.0327141	0.0252259	0.0257669	0.0119721	0.0136258	0.0254112	0.0399823	0.0330375	0.0668342	0.0715217	0.0673174	0.0646812	0.0703296	0.103425	0.146874
