 	a23	a83	a54	a6	a37	a6	a47	a6	a37	a66	a31	a62	a75	a25	a92	a44	a11	a21	a47	a62	a83	a62	a88	a71	a9	a87	a23	a10	a50	a75	a92	a56	a96	a93	a90	a98	a79	a44	a21	a34	a93	a44	a26	a3	a87	a23	a87	a23	a87	</S>
l'	0.0369917	0.0398448	0.0520143	0.0367508	0.0472115	0.0368636	0.042314	0.0315962	0.0381971	0.0257074	0.0454995	0.0147313	0.0304318	0.0215392	0.0173363	0.0225522	0.0356044	0.029793	0.0266953	0.0377469	0.0344509	0.0174909	0.0165259	0.0194903	0.0177597	0.0116917	0.0123371	0.0100235	0.00777199	0.00810038	0.0155434	0.0166276	0.0107931	0.0128301	0.00774431	0.00617112	0.00508989	0.00739273	0.00726852	0.00636739	0.0105391	0.00490178	0.00725779	0.00486798	0.00566883	0.00718573	0.00639543	0.00891947	0.00756684	0.0158054
enfant	0.00202222	0.00526438	0.0295779	0.102069	0.119479	0.162896	0.10946	0.064782	0.0567022	0.0470663	0.0418229	0.0543625	0.0423607	0.0243995	0.0243656	0.01251	0.0139668	0.0123932	0.00487033	0.00635981	0.0050169	0.00212528	0.00334241	0.00431654	0.00286941	0.0048883	0.00307325	0.00273378	0.00165919	0.00268559	0.00139495	0.00133567	0.00205924	0.00223189	0.00303261	0.00341659	0.00213735	0.00206716	0.00221804	0.0011847	0.000822084	0.000667141	0.00104399	0.00077895	0.000752227	0.000796784	0.000886574	0.000787081	0.000676454	0.0022695
roule	0.0214785	0.00778982	0.0223532	0.027538	0.032475	0.0695514	0.102494	0.0882211	0.057002	0.0834316	0.0546926	0.0485778	0.0451323	0.014798	0.0319065	0.0214119	0.0146892	0.00931487	0.0102121	0.00730627	0.00680873	0.0096414	0.00999204	0.00934883	0.0126146	0.0154219	0.0144718	0.0116584	0.0110848	0.00593675	0.00375655	0.00372267	0.00250902	0.00126961	0.00106928	0.000714863	0.00165736	0.00166017	0.0039513	0.00543096	0.00543161	0.00677463	0.00732945	0.00723402	0.00711451	0.0095614	0.0122235	0.00858603	0.0108592	0.0217886
par	0.0264814	0.017486	0.0229276	0.0114637	0.0115305	0.0134264	0.0115443	0.0154703	0.0260596	0.0167947	0.0265861	0.00888969	0.0188148	0.0106065	0.011993	0.0213229	0.0190254	0.0143093	0.0193678	0.0179633	0.0227312	0.0338057	0.026328	0.0184711	0.0258941	0.0171348	0.0188876	0.0260869	0.0433504	0.0380509	0.0253182	0.0405972	0.0315087	0.0235024	0.0168005	0.0256984	0.0205306	0.0127816	0.0174921	0.0143943	0.00898524	0.014608	0.0200907	0.018014	0.0193554	0.0138681	0.0185138	0.0129241	0.0132888	0.0189238
terre	0.0159257	0.00566804	0.00587339	0.00310015	0.00303467	0.00290791	0.00280006	0.00486801	0.0083703	0.0112155	0.0136953	0.0184459	0.0119232	0.0240053	0.0273618	0.0226266	0.0362286	0.0387074	0.0449928	0.0454326	0.0510122	0.0678908	0.051185	0.0375968	0.0361186	0.0354405	0.0319257	0.0453747	0.0427337	0.0261517	0.0297719	0.0364236	0.0218631	0.0132471	0.0136476	0.00588393	0.00572536	0.00580296	0.0056726	0.00469726	0.00330739	0.00449434	0.00740443	0.0109031	0.00940379	0.0092971	0.012564	0.0071352	0.00938027	0.0107624
parce	0.0217761	0.0051224	0.00576568	0.00168476	0.00140081	0.00194247	0.00211567	0.00689322	0.0156638	0.0138963	0.0172175	0.0222538	0.0258579	0.0465777	0.0480981	0.0408168	0.0521239	0.054884	0.0641369	0.0409786	0.0439616	0.0619498	0.0542166	0.0377354	0.0313911	0.0287092	0.0270588	0.0289284	0.0287625	0.0186285	0.0203295	0.0143161	0.00657064	0.00360113	0.00277525	0.00260598	0.00326145	0.00622725	0.0068843	0.00570565	0.00613741	0.00530562	0.00647792	0.00720977	0.00828147	0.0089658	0.0118659	0.00548242	0.00470477	0.0127432
que	0.0383315	0.0201171	0.019142	0.0118259	0.00557679	0.0104329	0.008577	0.00740723	0.00879872	0.0089049	0.0148436	0.0104754	0.017968	0.0224986	0.0364843	0.0441307	0.0462103	0.0516791	0.0401046	0.0489519	0.0350729	0.0315391	0.0281173	0.03282	0.0320274	0.0253009	0.0218022	0.0163617	0.0132931	0.0112932	0.0293733	0.0182265	0.0138113	0.0104605	0.00697397	0.00345215	0.00497805	0.00701803	0.00939454	0.00944041	0.00787593	0.00971068	0.0143972	0.0159695	0.0198371	0.0145464	0.0208002	0.0151393	0.0174402	0.0310664
sa	0.0252239	0.0181641	0.0166251	0.00835759	0.006401	0.00774377	0.006617	0.00388403	0.00495088	0.00304885	0.0079389	0.0079235	0.0180944	0.0119897	0.0311485	0.0459962	0.0445462	0.0409503	0.0296168	0.0374148	0.0306575	0.0298301	0.0277644	0.0403654	0.0390434	0.0276904	0.0189719	0.0150674	0.0154411	0.00877557	0.0217272	0.0265999	0.016688	0.0138843	0.0102677	0.00781725	0.00888617	0.0145392	0.0169845	0.0137315	0.00980913	0.0119875	0.0242058	0.0235938	0.0286281	0.0194889	0.0261245	0.0256424	0.0229542	0.026197
mère	0.0388272	0.0157672	0.0142483	0.00417306	0.00200716	0.00207962	0.00175732	0.00162725	0.00260091	0.00147459	0.00466897	0.00397389	0.00596103	0.00644732	0.0138152	0.0196526	0.0338111	0.0335286	0.0392313	0.0657855	0.0390359	0.029018	0.0268399	0.0288927	0.0260718	0.020665	0.0160133	0.0145574	0.0152988	0.00994619	0.0211834	0.0292602	0.0215641	0.0222434	0.0141235	0.0101375	0.0126968	0.0205365	0.0251526	0.0219155	0.0172197	0.0188264	0.0317595	0.019821	0.0191433	0.0280041	0.0352887	0.0250288	0.0269627	0.0413549
l'	0.0425675	0.0224863	0.0167583	0.00834795	0.00442501	0.00576386	0.00313295	0.00273248	0.00404533	0.00367664	0.00649003	0.0101442	0.00860137	0.0182036	0.0215429	0.0186717	0.0354724	0.0447775	0.0415137	0.0427346	0.0251474	0.0193988	0.0230721	0.0246562	0.0174825	0.0209776	0.0165245	0.0153733	0.0123905	0.00941574	0.0233674	0.021168	0.0141439	0.0134127	0.0131578	0.00774916	0.0103641	0.0100168	0.0212805	0.0177677	0.0117841	0.0134325	0.02439	0.0267953	0.0254166	0.0322732	0.0390988	0.0421945	0.0414646	0.0441952
