 	a23	a53	a15	a73	a44	a75	a41	a85	a14	a44	a26	a38	a24	a41	a35	a14	a44	a57	a40	a90	a82	a38	a76	a20	a84	a87	a79	a76	a90	a38	a75	a85	a35	a34	a96	a66	a9	a87	</S>
il	0.00801451	0.0231139	0.0250117	0.0560303	0.124655	0.0839092	0.0592791	0.0728806	0.10011	0.0560632	0.0269322	0.039629	0.0327353	0.034237	0.0198913	0.021916	0.0157887	0.0147545	0.0127709	0.0159916	0.00730347	0.00948961	0.0053531	0.00374083	0.00238338	0.00333472	0.00591503	0.00471545	0.00496489	0.00764427	0.0110442	0.0121177	0.0149569	0.00987194	0.00749931	0.0093588	0.0111182	0.00943853	0.0160347
a	0.00219411	0.00219303	0.0093158	0.0067258	0.00746416	0.0277562	0.0469152	0.0439635	0.062168	0.0495422	0.0448736	0.0542297	0.0516001	0.0468884	0.0416937	0.0372158	0.0360519	0.0199232	0.0127611	0.0268771	0.0262054	0.0326129	0.0177798	0.0182676	0.00922822	0.00543361	0.00866904	0.00932362	0.0101567	0.00974949	0.0102656	0.0136103	0.0162791	0.0242454	0.0333093	0.0410009	0.0319402	0.0332686	0.0183018
porté	0.0113796	0.00766441	0.00646705	0.00981491	0.0243412	0.0281808	0.0315481	0.0382198	0.0456323	0.0434096	0.0253414	0.0359457	0.0276742	0.0257317	0.0226055	0.026901	0.014422	0.00967412	0.00530642	0.0107642	0.00831549	0.00688534	0.0103466	0.00872616	0.00733157	0.00427182	0.0059246	0.00516973	0.00499724	0.00508814	0.00981989	0.0249193	0.0462927	0.0481352	0.0708719	0.0641588	0.0640433	0.069846	0.0838323
les	0.0384271	0.0402288	0.0345754	0.0348768	0.0352529	0.0562613	0.0451721	0.0269174	0.0403058	0.0338195	0.0609735	0.0306372	0.0477014	0.0326948	0.0349322	0.0283741	0.0342639	0.0531903	0.0280066	0.0383632	0.0195692	0.0124951	0.0107544	0.0156039	0.0329651	0.0481327	0.0181209	0.00922817	0.00725816	0.00507662	0.00446434	0.00388641	0.00461243	0.00518597	0.00494599	0.00508193	0.00384479	0.00534408	0.00845533
balles	0.0292345	0.0191389	0.0185015	0.0183417	0.0129064	0.0160023	0.0274979	0.0205831	0.0260836	0.0414087	0.0582541	0.062684	0.0644335	0.0717911	0.0558843	0.0533862	0.0502583	0.0538802	0.0431109	0.0369588	0.0260147	0.0289308	0.0121734	0.0123876	0.0156421	0.0157265	0.0156764	0.00898999	0.00887574	0.00633022	0.00520483	0.00474191	0.00488156	0.00585443	0.0068751	0.00960971	0.00921854	0.012584	0.00994216
de	0.0240557	0.0361644	0.0378099	0.0306218	0.0318965	0.0349966	0.0342612	0.028063	0.0274796	0.0528473	0.0322212	0.0367363	0.0328063	0.0334666	0.0300681	0.0292475	0.0282377	0.0284687	0.0218825	0.0340654	0.0317417	0.0287558	0.0276335	0.0196249	0.00994517	0.00829427	0.0119824	0.00891223	0.00786144	0.00527694	0.00598257	0.00774602	0.0152865	0.0212124	0.0227102	0.0254052	0.0250835	0.0252287	0.0459205
coton	0.0346775	0.0414259	0.0430022	0.0409057	0.0381429	0.0402823	0.0474826	0.0548662	0.0716118	0.059433	0.0347315	0.0255506	0.0323927	0.032484	0.0262677	0.0202773	0.0104437	0.0100696	0.00727674	0.0103728	0.00579253	0.00781707	0.00716847	0.00711774	0.0139804	0.0171712	0.0108936	0.011782	0.0116546	0.0107725	0.0139116	0.0156471	0.0196931	0.0289237	0.0268409	0.0257917	0.0252776	0.0250546	0.0330127
au	0.0535238	0.0307122	0.0358764	0.0300468	0.024819	0.0338556	0.0536306	0.0476011	0.0378845	0.0565611	0.0436783	0.0443623	0.0403424	0.0445936	0.0290185	0.0312873	0.0296727	0.0189976	0.00926377	0.0218438	0.0149133	0.0132547	0.0110571	0.00578107	0.00494542	0.00487516	0.00721072	0.00802386	0.00821368	0.00435193	0.00431788	0.00608506	0.0107238	0.0191412	0.0218468	0.0205617	0.0216798	0.0285728	0.0668726
marché	0.0422015	0.0380584	0.0346758	0.0377086	0.0298414	0.0260643	0.027472	0.0226903	0.0479882	0.034752	0.0211941	0.0128407	0.0186692	0.018508	0.0126132	0.0118304	0.00922219	0.00818595	0.00776839	0.00894171	0.00485242	0.00503744	0.00960358	0.00684877	0.013682	0.0262664	0.0214305	0.030831	0.0406941	0.0331505	0.0308713	0.032769	0.0346956	0.0349539	0.0383553	0.0269376	0.0341528	0.0423748	0.0612666
</S>	0.0268935	0.0219137	0.0204247	0.0151239	0.0126278	0.0108142	0.0131305	0.00824511	0.0205032	0.0155866	0.0155165	0.0118227	0.0117456	0.0121651	0.0104109	0.0124846	0.0169026	0.0149297	0.0130327	0.018136	0.0172645	0.0124908	0.0149322	0.00862855	0.00564168	0.00633039	0.0138204	0.00990339	0.0144059	0.0119206	0.0153412	0.0243795	0.0394222	0.0550199	0.0528095	0.0677362	0.0656429	0.0719093	0.189991
