 	a23	a87	a10	a87	a23	a30	a53	a20	a44	a30	a73	a26	a38	a90	a94	a35	a24	a41	a66	a75	a41	a14	a44	a84	a11	a35	a98	a9	a99	a87	a23	a50	a24	a38	a24	a41	a35	a14	a35	a98	a41	a94	a32	a43	a90	a58	a82	a87	a23	a87	</S>
il	0.00802281	0.0112296	0.0130745	0.0091388	0.00627752	0.0117296	0.0392963	0.0262778	0.024981	0.0555027	0.0540656	0.0363981	0.0665258	0.0406564	0.0699975	0.033747	0.0489621	0.0692775	0.0465044	0.0338636	0.0365498	0.0375806	0.0212266	0.0276326	0.0145263	0.00437509	0.00441384	0.00235057	0.0038976	0.0025357	0.00290282	0.00154175	0.0023486	0.0018756	0.0028033	0.0035226	0.00309608	0.00369988	0.00468409	0.00477778	0.00578285	0.00728901	0.00778707	0.01088	0.00946202	0.0122317	0.0100184	0.012289	0.00816632	0.00881593	0.0154079
se	0.00180585	0.0013606	0.00262902	0.00713305	0.00511353	0.00407526	0.002779	0.00641303	0.0142103	0.0231273	0.0222695	0.0253944	0.0230054	0.0318511	0.0291876	0.0340792	0.0357817	0.0350005	0.0379576	0.039417	0.0287115	0.0468126	0.0369057	0.0435659	0.0411667	0.0367475	0.0385564	0.0295622	0.035007	0.0285784	0.0191651	0.0161149	0.00834511	0.00711721	0.00663605	0.00800134	0.00546948	0.0116418	0.0124779	0.0131123	0.0155062	0.0126275	0.0104743	0.00963192	0.0100151	0.0137309	0.0120337	0.0119944	0.0173469	0.0165423	0.013811
fait	0.0166235	0.0109645	0.00709225	0.00867598	0.00849981	0.00723641	0.00424557	0.0139287	0.0191134	0.0254999	0.0247852	0.0320651	0.0351385	0.0336205	0.0306796	0.0192287	0.0190838	0.0180469	0.0173744	0.0158922	0.0108305	0.0126504	0.0112681	0.011359	0.0125728	0.00846638	0.0178448	0.0133427	0.0232059	0.021086	0.010587	0.0122578	0.00824365	0.0104519	0.00541726	0.00540038	0.00333208	0.00336038	0.00333911	0.00253105	0.005506	0.0114229	0.0146054	0.027919	0.0340926	0.035808	0.0440451	0.0598808	0.0499894	0.0758427	0.065546
une	0.0121559	0.0213565	0.0243176	0.0287438	0.0245866	0.0342615	0.0184417	0.0218808	0.0398591	0.0131111	0.0121843	0.0368941	0.00730241	0.0119793	0.0139284	0.0141874	0.0108041	0.00947452	0.0123513	0.017902	0.0182086	0.0180699	0.0196264	0.023586	0.0321603	0.0188216	0.0274688	0.0182778	0.02626	0.0177278	0.0126046	0.0105571	0.0142643	0.0258827	0.0160487	0.041526	0.0479961	0.0710407	0.0427929	0.0331772	0.0196281	0.00776851	0.0104289	0.00477387	0.00487045	0.00546034	0.00537723	0.00485354	0.00524668	0.00452824	0.00524408
paillasse	0.0208616	0.0105308	0.00943962	0.00798646	0.011288	0.0137821	0.0108528	0.0146813	0.0177242	0.0165195	0.00912881	0.0184603	0.0123346	0.0148185	0.0230465	0.0411764	0.0369424	0.0380659	0.0471961	0.0514561	0.0370319	0.0355523	0.0529659	0.0566834	0.072631	0.0280511	0.0392627	0.0394912	0.0308425	0.0145949	0.0130116	0.0108135	0.0108708	0.00916201	0.0053481	0.01064	0.0117499	0.0114375	0.0103674	0.00613225	0.00556723	0.00407728	0.00286294	0.00191369	0.00201478	0.00367718	0.00664864	0.00897006	0.00819118	0.010708	0.0124372
avec	0.0123335	0.00957827	0.0107253	0.00894099	0.00611593	0.00748445	0.00922006	0.0125406	0.0136365	0.0144247	0.0305844	0.0300292	0.0483989	0.0172023	0.0314847	0.0185341	0.0206594	0.023601	0.0223188	0.0219431	0.0183454	0.0165909	0.0182593	0.0198084	0.0141472	0.0141197	0.0248275	0.0260233	0.0209242	0.018875	0.0166593	0.0134402	0.0279177	0.0238565	0.0282984	0.0218668	0.0166433	0.0119279	0.0152042	0.00903713	0.01985	0.0180037	0.0317354	0.0263326	0.0191629	0.0225695	0.028542	0.0222995	0.0254344	0.0185324	0.0210089
la	0.0317172	0.0321657	0.0210667	0.0164158	0.0145419	0.0120179	0.00638076	0.0076315	0.0065385	0.00703524	0.00951419	0.0224709	0.0268532	0.0148682	0.0181746	0.0158153	0.0128944	0.0178969	0.0160949	0.0133317	0.0124872	0.0122111	0.0171071	0.0152911	0.0142854	0.0142328	0.0166215	0.0117854	0.0125127	0.0116517	0.00941325	0.00902652	0.0136684	0.00912794	0.0115305	0.0140433	0.0153264	0.014429	0.0176548	0.0201956	0.0221833	0.0171586	0.0221321	0.0218566	0.0323414	0.0353039	0.0454768	0.0532024	0.0459585	0.0474972	0.0608618
balle	0.0131819	0.0157076	0.0156559	0.0104589	0.00992993	0.0174083	0.0101218	0.00590739	0.00367252	0.00735574	0.0134428	0.0306645	0.042658	0.0148866	0.0278315	0.0189985	0.0234609	0.0211562	0.0289598	0.0241403	0.0218102	0.0221513	0.028191	0.0466392	0.0299816	0.00794891	0.0212227	0.0128749	0.0208574	0.00880808	0.00812332	0.00493363	0.00843297	0.00596703	0.014709	0.0115222	0.0113364	0.0105508	0.019766	0.0378019	0.0381212	0.0409858	0.0292792	0.0277911	0.0153441	0.0182217	0.0164798	0.0256526	0.0194738	0.0262091	0.0332138
de	0.034594	0.0375799	0.0323531	0.0166922	0.0075505	0.0113665	0.00923282	0.00586295	0.00695727	0.00615581	0.00944772	0.0382367	0.0131441	0.0192354	0.0379478	0.0324955	0.0269394	0.0234553	0.0294812	0.0372246	0.0244818	0.0357676	0.0312048	0.026785	0.028921	0.00701523	0.0139588	0.00625575	0.00923518	0.00295766	0.00236588	0.00173784	0.00221805	0.00262408	0.00306991	0.00472291	0.00381582	0.00476729	0.00632456	0.00594305	0.00967897	0.0115726	0.00837358	0.0130413	0.0169061	0.0262288	0.0242204	0.0357935	0.0337594	0.0465471	0.113753
riz	0.0353647	0.0288556	0.015385	0.00806069	0.00547226	0.00644089	0.00624992	0.00281945	0.00338043	0.00588968	0.00728473	0.0160558	0.00793203	0.00932311	0.0186122	0.0284258	0.0220258	0.0134145	0.0239329	0.0253473	0.0177484	0.0269255	0.0302568	0.0219492	0.0332796	0.00985897	0.0240933	0.0145161	0.0286114	0.011871	0.00979515	0.00509226	0.00481093	0.00508308	0.00366371	0.00845707	0.00886793	0.0132973	0.0118202	0.0146263	0.0187134	0.0278793	0.0123635	0.0302126	0.0253739	0.030831	0.0352227	0.0467166	0.0495152	0.0631431	0.0651319
