 	a66	a87	a23	a53	a56	a90	a44	a90	a98	a47	a36	a25	a15	a98	a47	a0	a75	a5	a36	a5	a23	a98	a47	a92	a79	a75	a5	a18	a25	a87	a23	a99	a97	a87	</S>
la	0.032916	0.0470205	0.0482689	0.0448985	0.0343384	0.0199508	0.0569738	0.0498718	0.0379929	0.0288053	0.0293381	0.014676	0.0200858	0.0112391	0.0137789	0.0196402	0.0155542	0.0138489	0.0147413	0.0411427	0.017463	0.0379057	0.0268489	0.0176594	0.0153788	0.027773	0.0199182	0.0186581	0.024129	0.0385675	0.0405836	0.027832	0.0303603	0.022733	0.0391077
poule	0.00643943	0.0103621	0.00973611	0.0125737	0.00855656	0.0086695	0.0168735	0.0258536	0.0427855	0.124797	0.087814	0.0729223	0.0483038	0.0830804	0.103975	0.107332	0.0815687	0.0622595	0.0516733	0.0172514	0.00851257	0.00228128	0.00163673	0.000732986	0.000362323	0.000291356	0.000697063	0.000490604	0.000298001	0.000271544	0.000243354	0.000295487	0.000265333	0.000414862	0.000379456
picore	0.022332	0.029266	0.0513526	0.0592488	0.0638703	0.0835585	0.0762106	0.0593259	0.0411905	0.053048	0.0654267	0.0867749	0.072104	0.0590067	0.0577639	0.0377169	0.041522	0.0135118	0.0138871	0.00226177	0.0033318	0.000741294	0.000505636	0.000340673	0.000296212	0.000604033	0.000623992	0.000326213	0.000390838	0.000450111	0.00071003	0.00055053	0.000517753	0.000710962	0.000520926
les	0.0873044	0.0449098	0.0627507	0.0703298	0.0529645	0.0658528	0.0732194	0.0445235	0.0321276	0.0297654	0.026631	0.0348852	0.0308746	0.0248639	0.0215401	0.0186041	0.0298162	0.0183266	0.0134534	0.00911831	0.0131882	0.00866104	0.0128553	0.0106093	0.0124499	0.00945931	0.0094148	0.0153768	0.00732313	0.0273726	0.0132405	0.0215285	0.0106459	0.0149088	0.0211047
grains	0.00649193	0.00519907	0.00598621	0.00522395	0.00634676	0.00765297	0.0104464	0.00887452	0.00693955	0.00525776	0.00407585	0.00681524	0.00575791	0.00826962	0.00643363	0.00590698	0.00786364	0.0046429	0.00513098	0.00502482	0.00948909	0.0206738	0.0317178	0.032372	0.0474683	0.0444687	0.0441532	0.102989	0.0427489	0.144321	0.0803096	0.0943789	0.060357	0.0503041	0.0659074
de	0.020421	0.0164157	0.017525	0.00988459	0.0124496	0.0142053	0.0363024	0.0364658	0.0362006	0.0254244	0.0313703	0.0146114	0.00691783	0.00386894	0.00853586	0.00946723	0.0132592	0.00921599	0.00935745	0.00736096	0.0113641	0.0188794	0.0290489	0.0348408	0.0254964	0.0334197	0.0505809	0.0752956	0.0486644	0.0621086	0.0517033	0.0582182	0.0475502	0.0292827	0.0842874
maïs	0.0481427	0.027485	0.0274254	0.0220394	0.0268602	0.0270622	0.039266	0.0315498	0.0413485	0.0257092	0.0423416	0.0229511	0.0267416	0.0193391	0.0231324	0.0276813	0.0382377	0.0207585	0.0243007	0.0234514	0.0309884	0.0198907	0.0218869	0.0184564	0.0121808	0.0229277	0.0286043	0.0222656	0.0239509	0.0495123	0.026468	0.0363132	0.026266	0.0204685	0.0539964
qui	0.0517708	0.0462582	0.0405493	0.0386679	0.0430226	0.0278365	0.0456823	0.0404332	0.0462734	0.0126189	0.0152429	0.0157271	0.0163235	0.0175502	0.0142512	0.0207492	0.034062	0.0237165	0.0215161	0.016361	0.024619	0.0228477	0.0224374	0.0152074	0.00760024	0.0130888	0.0138601	0.0140755	0.0314418	0.0612924	0.0368251	0.0365282	0.0349715	0.0231034	0.0534885
sont	0.0381044	0.0333597	0.0359249	0.0303396	0.0347865	0.0331124	0.0461099	0.0319106	0.0315285	0.0264373	0.0261051	0.0159006	0.0125399	0.00556901	0.00594768	0.00551407	0.00636172	0.00457366	0.0060042	0.00570124	0.017322	0.0225738	0.0317881	0.0217821	0.0163382	0.0328243	0.0282625	0.029522	0.0339073	0.0634557	0.0458819	0.0589157	0.0479892	0.041629	0.0719771
par	0.0276637	0.0437051	0.0277212	0.0245557	0.0287838	0.0274993	0.030783	0.0219183	0.0253723	0.0104695	0.0108549	0.0154786	0.0181125	0.0191796	0.0141882	0.0146583	0.0174272	0.0173751	0.0197612	0.0161109	0.0328888	0.0268825	0.0282493	0.0265733	0.0203675	0.0209758	0.02951	0.0235696	0.0445685	0.0504429	0.0499392	0.0545412	0.0465098	0.0442998	0.0690635
terre	0.0199351	0.0266436	0.0227516	0.020873	0.0244918	0.0324834	0.0332395	0.0262375	0.026915	0.0186929	0.0187968	0.020578	0.0206459	0.0156462	0.0152221	0.0164054	0.013922	0.0131154	0.0191618	0.020671	0.0293373	0.0276274	0.0255017	0.0293071	0.0273298	0.031865	0.0411643	0.047127	0.0429379	0.0399011	0.0517276	0.0441538	0.0420861	0.0412709	0.0522346
</S>	0.0256693	0.0349043	0.0312854	0.0288483	0.0291752	0.0361291	0.0449954	0.0377878	0.0317817	0.0211473	0.0217892	0.0229507	0.0171513	0.0106834	0.0125511	0.0138038	0.0125147	0.0107921	0.0159723	0.0160511	0.0292832	0.0279114	0.0270164	0.0289241	0.0259396	0.0296819	0.0351453	0.0410736	0.0349217	0.0347118	0.0424336	0.0358831	0.0378157	0.0364771	0.0567979
