 	a23	a79	a20	a84	a53	a90	a4	a90	a25	a73	a44	a57	a38	a73	a94	a20	a84	a57	a87	a23	a40	a73	a84	a57	a40	a98	a41	a96	a90	a94	a76	a32	a98	a25	a56	a75	a98	a73	a69	a84	a87	</S>
elle	0.013671	0.0311288	0.0787613	0.0281381	0.0308996	0.0239828	0.0217002	0.0563537	0.0402704	0.0503105	0.0454056	0.0645974	0.0631336	0.0564162	0.0329842	0.0128532	0.0171696	0.0147143	0.014134	0.00759767	0.0048707	0.00672876	0.00510283	0.00438938	0.00199629	0.00262955	0.00418126	0.00278009	0.00507425	0.00419238	0.00257752	0.00389444	0.0035854	0.00940047	0.011619	0.0128034	0.0199477	0.0320705	0.0471384	0.0304353	0.029835	0.0505252
prit	0.00147301	0.0013606	0.00255654	0.0114488	0.0214895	0.0327683	0.0577997	0.0784593	0.0562016	0.117278	0.0690323	0.0297401	0.0804334	0.0668477	0.0564755	0.0354728	0.0341852	0.0381845	0.0283797	0.0185346	0.0128932	0.0138831	0.00700801	0.00651438	0.00303077	0.00550593	0.00453847	0.00421234	0.00334945	0.00353005	0.00375279	0.00493105	0.00547928	0.00439425	0.00392525	0.00379779	0.00567205	0.0061822	0.0115152	0.0168271	0.0196252	0.0113107
la	0.00798604	0.00624831	0.00494391	0.00958177	0.00813299	0.0287039	0.0315565	0.113757	0.0772686	0.121697	0.0589443	0.0507977	0.116069	0.0632911	0.0627087	0.0119083	0.0104465	0.008431	0.00594926	0.00499273	0.00483494	0.00448028	0.00255018	0.00267029	0.00176062	0.00615887	0.0044769	0.00176552	0.00186954	0.00211069	0.00245664	0.00225099	0.0022546	0.00319942	0.00408039	0.00611965	0.019547	0.0268054	0.0213981	0.0312304	0.0268311	0.0177334
bague	0.0045949	0.00607994	0.00646566	0.00421749	0.00196403	0.00640001	0.00538432	0.0163422	0.0160736	0.0223331	0.0258253	0.0300968	0.0362919	0.0401486	0.0429182	0.0520872	0.0643583	0.0339316	0.054387	0.0259052	0.0219769	0.0196497	0.013569	0.0124532	0.00889634	0.0091342	0.0165234	0.00861498	0.00726147	0.0349101	0.0801355	0.0623742	0.0784177	0.0456913	0.0387005	0.0146922	0.0093857	0.00520624	0.00502007	0.00606539	0.00334228	0.0021742
et	0.0213148	0.00794577	0.00885623	0.0193403	0.00815958	0.010581	0.0171431	0.0316515	0.025637	0.0271331	0.0388815	0.0330074	0.0943661	0.0921528	0.0871518	0.0712928	0.0580707	0.0365152	0.0370636	0.0164022	0.0229162	0.0213877	0.019342	0.00590386	0.00288916	0.00294483	0.00184152	0.00101078	0.000691194	0.00209318	0.00316051	0.00271686	0.00883532	0.00956259	0.00799606	0.0154942	0.0175251	0.0248411	0.0240138	0.0195793	0.0181863	0.0244021
la	0.0514576	0.0129117	0.00906971	0.00883504	0.00631732	0.00906491	0.00831263	0.0166916	0.0110529	0.0148975	0.0162159	0.0264048	0.0290802	0.0247642	0.0309258	0.0244313	0.0259057	0.0208715	0.0228925	0.022677	0.0163955	0.0184689	0.0189358	0.017407	0.0204848	0.0223028	0.0160452	0.010872	0.010348	0.0202292	0.0311589	0.0277705	0.0359328	0.0305774	0.0375077	0.0268785	0.0338796	0.0483616	0.0491882	0.0462047	0.0380308	0.0302404
mit	0.0156498	0.00880149	0.00632129	0.00619985	0.00887699	0.0073305	0.0163242	0.0291859	0.0120283	0.0335518	0.0282211	0.0174136	0.0367867	0.0303443	0.0475619	0.0209526	0.0211053	0.00987576	0.0110267	0.00986637	0.018782	0.0153866	0.0164831	0.0187552	0.0217597	0.0216551	0.0245471	0.0169857	0.0168755	0.031766	0.0415734	0.0308078	0.0354832	0.0285606	0.0338753	0.0462772	0.0470117	0.0453187	0.0429586	0.0352318	0.0159633	0.016518
sur	0.031703	0.0320753	0.0304415	0.0282198	0.0438736	0.0153369	0.0492978	0.03561	0.012837	0.0232954	0.027464	0.0184395	0.0528158	0.0608765	0.0741541	0.0277439	0.0213785	0.0133862	0.0101674	0.00405343	0.0136663	0.00773028	0.00676091	0.00676817	0.00312033	0.00335905	0.00450937	0.00428875	0.00593038	0.0133538	0.0155676	0.0109587	0.0226845	0.0157231	0.0171039	0.0255133	0.0176137	0.0306043	0.044632	0.0352237	0.0412656	0.0404525
son	0.0176452	0.01403	0.0135271	0.0123608	0.00354814	0.00230475	0.00399471	0.00380574	0.00284958	0.00212845	0.00265069	0.00870105	0.0132941	0.020371	0.0439418	0.0153843	0.0167531	0.0138212	0.0135224	0.0107179	0.014499	0.0105165	0.00765164	0.00996055	0.0119715	0.00830095	0.0128505	0.0160966	0.0120194	0.0311855	0.0280706	0.0392085	0.0655181	0.0365382	0.0394447	0.0595177	0.084511	0.0866214	0.0762532	0.0491362	0.0302034	0.0345729
doigt	0.00999054	0.00938983	0.0163521	0.0192149	0.00606553	0.0050109	0.0059668	0.0068049	0.00537045	0.00457902	0.00450945	0.00785716	0.00835292	0.00725159	0.0176449	0.0106478	0.0123783	0.0122186	0.0167783	0.0146288	0.01395	0.0132754	0.011521	0.0136538	0.0126839	0.0111296	0.0125727	0.00874915	0.00801523	0.0250415	0.0211437	0.0341482	0.0555499	0.0534745	0.0499469	0.0619361	0.10991	0.0766223	0.0657678	0.05511	0.034336	0.0504496
